record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.0,,,,840.0,Collecting baseline... RawAvg=840.00
baseline,840.0,,,,840.0,Collecting baseline... RawAvg=840.00
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.0,,,,840.0,Collecting baseline... RawAvg=840.00
baseline,840.0,,,,840.0,Collecting baseline... RawAvg=840.00
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.8,,,,840.8,Collecting baseline... RawAvg=840.80
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.8,,,,840.8,Collecting baseline... RawAvg=840.80
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.0,,,,840.0,Collecting baseline... RawAvg=840.00
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
info,,,,,,Baseline collection complete! Starting detection.
final_base,,840.33,,,840.33,Final Base Raw Average = 840.33
info,,,,,,--------------------------------------------------------------------------
data,,840.3,848.6,8.3,848.6,Time=11.2s | BaseRaw=840.3 | CurrentRaw=848.6 | Change=8.3 => Floor
data,,840.3,848.2,7.9,848.2,Time=11.3s | BaseRaw=840.3 | CurrentRaw=848.2 | Change=7.9 => Floor
data,,840.3,847.0,6.7,847.0,Time=11.4s | BaseRaw=840.3 | CurrentRaw=847.0 | Change=6.7 => Floor
data,,840.3,845.0,4.7,845.0,Time=11.5s | BaseRaw=840.3 | CurrentRaw=845.0 | Change=4.7 => Floor
data,,840.3,842.8,2.5,842.8,Time=11.6s | BaseRaw=840.3 | CurrentRaw=842.8 | Change=2.5 => Floor
data,,840.3,841.2,0.9,841.2,Time=11.7s | BaseRaw=840.3 | CurrentRaw=841.2 | Change=0.9 => Floor
data,,840.3,840.4,0.1,840.4,Time=11.8s | BaseRaw=840.3 | CurrentRaw=840.4 | Change=0.1 => Floor
data,,840.3,840.2,0.1,840.2,Time=11.9s | BaseRaw=840.3 | CurrentRaw=840.2 | Change=0.1 => Floor
data,,840.3,840.6,0.3,840.6,Time=12.0s | BaseRaw=840.3 | CurrentRaw=840.6 | Change=0.3 => Floor
