record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,790.6,,,,790.6,Collecting baseline... RawAvg=790.60
baseline,790.6,,,,790.6,Collecting baseline... RawAvg=790.60
baseline,790.6,,,,790.6,Collecting baseline... RawAvg=790.60
baseline,790.6,,,,790.6,Collecting baseline... RawAvg=790.60
baseline,790.4,,,,790.4,Collecting baseline... RawAvg=790.40
baseline,790.2,,,,790.2,Collecting baseline... RawAvg=790.20
baseline,790.2,,,,790.2,Collecting baseline... RawAvg=790.20
baseline,790.0,,,,790.0,Collecting baseline... RawAvg=790.00
baseline,789.2,,,,789.2,Collecting baseline... RawAvg=789.20
baseline,788.6,,,,788.6,Collecting baseline... RawAvg=788.60
baseline,788.0,,,,788.0,Collecting baseline... RawAvg=788.00
baseline,787.4,,,,787.4,Collecting baseline... RawAvg=787.40
baseline,787.2,,,,787.2,Collecting baseline... RawAvg=787.20
baseline,787.2,,,,787.2,Collecting baseline... RawAvg=787.20
baseline,787.2,,,,787.2,Collecting baseline... RawAvg=787.20
baseline,786.8,,,,786.8,Collecting baseline... RawAvg=786.80
baseline,786.6,,,,786.6,Collecting baseline... RawAvg=786.60
baseline,786.0,,,,786.0,Collecting baseline... RawAvg=786.00
baseline,785.6,,,,785.6,Collecting baseline... RawAvg=785.60
baseline,785.6,,,,785.6,Collecting baseline... RawAvg=785.60
baseline,786.0,,,,786.0,Collecting baseline... RawAvg=786.00
baseline,786.0,,,,786.0,Collecting baseline... RawAvg=786.00
baseline,786.4,,,,786.4,Collecting baseline... RawAvg=786.40
baseline,786.8,,,,786.8,Collecting baseline... RawAvg=786.80
baseline,786.6,,,,786.6,Collecting baseline... RawAvg=786.60
baseline,786.4,,,,786.4,Collecting baseline... RawAvg=786.40
baseline,786.2,,,,786.2,Collecting baseline... RawAvg=786.20
baseline,786.0,,,,786.0,Collecting baseline... RawAvg=786.00
baseline,785.8,,,,785.8,Collecting baseline... RawAvg=785.80
baseline,786.0,,,,786.0,Collecting baseline... RawAvg=786.00
baseline,786.0,,,,786.0,Collecting baseline... RawAvg=786.00
baseline,786.4,,,,786.4,Collecting baseline... RawAvg=786.40
baseline,786.6,,,,786.6,Collecting baseline... RawAvg=786.60
baseline,787.0,,,,787.0,Collecting baseline... RawAvg=787.00
baseline,786.8,,,,786.8,Collecting baseline... RawAvg=786.80
baseline,786.8,,,,786.8,Collecting baseline... RawAvg=786.80
baseline,786.4,,,,786.4,Collecting baseline... RawAvg=786.40
baseline,786.0,,,,786.0,Collecting baseline... RawAvg=786.00
baseline,785.6,,,,785.6,Collecting baseline... RawAvg=785.60
baseline,785.6,,,,785.6,Collecting baseline... RawAvg=785.60
baseline,785.8,,,,785.8,Collecting baseline... RawAvg=785.80
baseline,786.2,,,,786.2,Collecting baseline... RawAvg=786.20
baseline,786.4,,,,786.4,Collecting baseline... RawAvg=786.40
baseline,786.6,,,,786.6,Collecting baseline... RawAvg=786.60
baseline,786.6,,,,786.6,Collecting baseline... RawAvg=786.60
baseline,786.2,,,,786.2,Collecting baseline... RawAvg=786.20
baseline,785.8,,,,785.8,Collecting baseline... RawAvg=785.80
baseline,785.8,,,,785.8,Collecting baseline... RawAvg=785.80
baseline,785.6,,,,785.6,Collecting baseline... RawAvg=785.60
info,,,,,,Baseline collection complete! Starting detection.
final_base,,787.12,,,787.12,Final Base Raw Average = 787.12
info,,,,,,--------------------------------------------------------------------------
data,,787.1,770.8,16.3,770.8,Time=9.3s | BaseRaw=787.1 | CurrentRaw=770.8 | Change=16.3 => Liquid
data,,787.1,770.8,16.3,770.8,Time=9.4s | BaseRaw=787.1 | CurrentRaw=770.8 | Change=16.3 => Liquid
data,,787.1,771.6,15.5,771.6,Time=9.5s | BaseRaw=787.1 | CurrentRaw=771.6 | Change=15.5 => Liquid
data,,787.1,774.2,12.9,774.2,Time=9.6s | BaseRaw=787.1 | CurrentRaw=774.2 | Change=12.9 => Liquid
data,,787.1,777.4,9.7,777.4,Time=9.7s | BaseRaw=787.1 | CurrentRaw=777.4 | Change=9.7 => Floor
data,,787.1,780.0,7.1,780.0,Time=9.8s | BaseRaw=787.1 | CurrentRaw=780.0 | Change=7.1 => Floor
data,,787.1,783.2,3.9,783.2,Time=9.9s | BaseRaw=787.1 | CurrentRaw=783.2 | Change=3.9 => Floor
data,,787.1,785.6,1.5,785.6,Time=10.0s | BaseRaw=787.1 | CurrentRaw=785.6 | Change=1.5 => Floor
data,,787.1,786.0,1.1,786.0,Time=10.1s | BaseRaw=787.1 | CurrentRaw=786.0 | Change=1.1 => Floor
data,,787.1,786.4,0.7,786.4,Time=10.2s | BaseRaw=787.1 | CurrentRaw=786.4 | Change=0.7 => Floor
