record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,831.0,,,,831.0,Collecting baseline... RawAvg=831.00
baseline,831.2,,,,831.2,Collecting baseline... RawAvg=831.20
baseline,831.4,,,,831.4,Collecting baseline... RawAvg=831.40
baseline,831.6,,,,831.6,Collecting baseline... RawAvg=831.60
baseline,831.8,,,,831.8,Collecting baseline... RawAvg=831.80
baseline,832.0,,,,832.0,Collecting baseline... RawAvg=832.00
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.6,,,,832.6,Collecting baseline... RawAvg=832.60
baseline,832.6,,,,832.6,Collecting baseline... RawAvg=832.60
baseline,832.8,,,,832.8,Collecting baseline... RawAvg=832.80
baseline,832.8,,,,832.8,Collecting baseline... RawAvg=832.80
baseline,832.6,,,,832.6,Collecting baseline... RawAvg=832.60
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.0,,,,832.0,Collecting baseline... RawAvg=832.00
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.6,,,,832.6,Collecting baseline... RawAvg=832.60
baseline,832.6,,,,832.6,Collecting baseline... RawAvg=832.60
baseline,832.6,,,,832.6,Collecting baseline... RawAvg=832.60
baseline,832.8,,,,832.8,Collecting baseline... RawAvg=832.80
baseline,832.8,,,,832.8,Collecting baseline... RawAvg=832.80
baseline,832.8,,,,832.8,Collecting baseline... RawAvg=832.80
baseline,832.6,,,,832.6,Collecting baseline... RawAvg=832.60
baseline,832.6,,,,832.6,Collecting baseline... RawAvg=832.60
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.0,,,,832.0,Collecting baseline... RawAvg=832.00
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
info,,,,,,Baseline collection complete! Starting detection.
final_base,,832.27,,,832.27,Final Base Raw Average = 832.27
info,,,,,,--------------------------------------------------------------------------
data,,832.3,776.2,56.1,776.2,Time=6.4s | BaseRaw=832.3 | CurrentRaw=776.2 | Change=56.1 => Liquid
data,,832.3,776.0,56.3,776.0,Time=6.5s | BaseRaw=832.3 | CurrentRaw=776.0 | Change=56.3 => Liquid
data,,832.3,776.0,56.3,776.0,Time=6.6s | BaseRaw=832.3 | CurrentRaw=776.0 | Change=56.3 => Liquid
data,,832.3,776.0,56.3,776.0,Time=6.7s | BaseRaw=832.3 | CurrentRaw=776.0 | Change=56.3 => Liquid
data,,832.3,776.0,56.3,776.0,Time=6.8s | BaseRaw=832.3 | CurrentRaw=776.0 | Change=56.3 => Liquid
data,,832.3,776.0,56.3,776.0,Time=6.9s | BaseRaw=832.3 | CurrentRaw=776.0 | Change=56.3 => Liquid
data,,832.3,776.0,56.3,776.0,Time=7.0s | BaseRaw=832.3 | CurrentRaw=776.0 | Change=56.3 => Liquid
data,,832.3,776.0,56.3,776.0,Time=7.1s | BaseRaw=832.3 | CurrentRaw=776.0 | Change=56.3 => Liquid
data,,832.3,776.0,56.3,776.0,Time=7.2s | BaseRaw=832.3 | CurrentRaw=776.0 | Change=56.3 => Liquid
data,,832.3,776.2,56.1,776.2,Time=7.3s | BaseRaw=832.3 | CurrentRaw=776.2 | Change=56.1 => Liquid
data,,832.3,776.2,56.1,776.2,Time=7.4s | BaseRaw=832.3 | CurrentRaw=776.2 | Change=56.1 => Liquid
data,,832.3,776.2,56.1,776.2,Time=7.5s | BaseRaw=832.3 | CurrentRaw=776.2 | Change=56.1 => Liquid
data,,832.3,776.2,56.1,776.2,Time=7.6s | BaseRaw=832.3 | CurrentRaw=776.2 | Change=56.1 => Liquid
data,,832.3,776.2,56.1,776.2,Time=7.7s | BaseRaw=832.3 | CurrentRaw=776.2 | Change=56.1 => Liquid
data,,832.3,776.0,56.3,776.0,Time=7.8s | BaseRaw=832.3 | CurrentRaw=776.0 | Change=56.3 => Liquid
data,,832.3,776.2,56.1,776.2,Time=7.9s | BaseRaw=832.3 | CurrentRaw=776.2 | Change=56.1 => Liquid
data,,832.3,776.2,56.1,776.2,Time=8.0s | BaseRaw=832.3 | CurrentRaw=776.2 | Change=56.1 => Liquid
data,,832.3,776.2,56.1,776.2,Time=8.1s | BaseRaw=832.3 | CurrentRaw=776.2 | Change=56.1 => Liquid
data,,832.3,776.2,56.1,776.2,Time=8.2s | BaseRaw=832.3 | CurrentRaw=776.2 | Change=56.1 => Liquid
data,,832.3,776.2,56.1,776.2,Time=8.3s | BaseRaw=832.3 | CurrentRaw=776.2 | Change=56.1 => Liquid
data,,832.3,776.2,56.1,776.2,Time=8.4s | BaseRaw=832.3 | CurrentRaw=776.2 | Change=56.1 => Liquid
data,,832.3,776.2,56.1,776.2,Time=8.5s | BaseRaw=832.3 | CurrentRaw=776.2 | Change=56.1 => Liquid
data,,832.3,776.2,56.1,776.2,Time=8.6s | BaseRaw=832.3 | CurrentRaw=776.2 | Change=56.1 => Liquid
data,,832.3,776.2,56.1,776.2,Time=8.7s | BaseRaw=832.3 | CurrentRaw=776.2 | Change=56.1 => Liquid
data,,832.3,776.2,56.1,776.2,Time=8.8s | BaseRaw=832.3 | CurrentRaw=776.2 | Change=56.1 => Liquid
data,,832.3,776.0,56.3,776.0,Time=8.9s | BaseRaw=832.3 | CurrentRaw=776.0 | Change=56.3 => Liquid
data,,832.3,776.0,56.3,776.0,Time=9.0s | BaseRaw=832.3 | CurrentRaw=776.0 | Change=56.3 => Liquid
data,,832.3,776.0,56.3,776.0,Time=9.1s | BaseRaw=832.3 | CurrentRaw=776.0 | Change=56.3 => Liquid
data,,832.3,776.0,56.3,776.0,Time=9.2s | BaseRaw=832.3 | CurrentRaw=776.0 | Change=56.3 => Liquid
data,,832.3,776.0,56.3,776.0,Time=9.3s | BaseRaw=832.3 | CurrentRaw=776.0 | Change=56.3 => Liquid
data,,832.3,776.0,56.3,776.0,Time=9.4s | BaseRaw=832.3 | CurrentRaw=776.0 | Change=56.3 => Liquid
data,,832.3,776.0,56.3,776.0,Time=9.5s | BaseRaw=832.3 | CurrentRaw=776.0 | Change=56.3 => Liquid
data,,832.3,776.0,56.3,776.0,Time=9.6s | BaseRaw=832.3 | CurrentRaw=776.0 | Change=56.3 => Liquid
data,,832.3,776.0,56.3,776.0,Time=9.7s | BaseRaw=832.3 | CurrentRaw=776.0 | Change=56.3 => Liquid
data,,832.3,776.0,56.3,776.0,Time=9.8s | BaseRaw=832.3 | CurrentRaw=776.0 | Change=56.3 => Liquid
data,,832.3,776.0,56.3,776.0,Time=9.9s | BaseRaw=832.3 | CurrentRaw=776.0 | Change=56.3 => Liquid
data,,832.3,776.2,56.1,776.2,Time=10.0s | BaseRaw=832.3 | CurrentRaw=776.2 | Change=56.1 => Liquid
data,,832.3,776.2,56.1,776.2,Time=10.1s | BaseRaw=832.3 | CurrentRaw=776.2 | Change=56.1 => Liquid
data,,832.3,776.0,56.3,776.0,Time=10.2s | BaseRaw=832.3 | CurrentRaw=776.0 | Change=56.3 => Liquid
data,,832.3,776.0,56.3,776.0,Time=10.3s | BaseRaw=832.3 | CurrentRaw=776.0 | Change=56.3 => Liquid
data,,832.3,775.8,56.5,775.8,Time=10.4s | BaseRaw=832.3 | CurrentRaw=775.8 | Change=56.5 => Liquid
data,,832.3,775.6,56.7,775.6,Time=10.5s | BaseRaw=832.3 | CurrentRaw=775.6 | Change=56.7 => Liquid
data,,832.3,775.4,56.9,775.4,Time=10.6s | BaseRaw=832.3 | CurrentRaw=775.4 | Change=56.9 => Liquid
data,,832.3,775.6,56.7,775.6,Time=10.7s | BaseRaw=832.3 | CurrentRaw=775.6 | Change=56.7 => Liquid
data,,832.3,775.4,56.9,775.4,Time=10.8s | BaseRaw=832.3 | CurrentRaw=775.4 | Change=56.9 => Liquid
data,,832.3,775.4,56.9,775.4,Time=10.9s | BaseRaw=832.3 | CurrentRaw=775.4 | Change=56.9 => Liquid
