record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,859.2,,,,859.2,Collecting baseline... RawAvg=859.20
baseline,859.2,,,,859.2,Collecting baseline... RawAvg=859.20
baseline,859.2,,,,859.2,Collecting baseline... RawAvg=859.20
baseline,859.2,,,,859.2,Collecting baseline... RawAvg=859.20
baseline,859.2,,,,859.2,Collecting baseline... RawAvg=859.20
baseline,859.6,,,,859.6,Collecting baseline... RawAvg=859.60
baseline,859.6,,,,859.6,Collecting baseline... RawAvg=859.60
baseline,859.6,,,,859.6,Collecting baseline... RawAvg=859.60
baseline,859.8,,,,859.8,Collecting baseline... RawAvg=859.80
baseline,859.6,,,,859.6,Collecting baseline... RawAvg=859.60
baseline,859.2,,,,859.2,Collecting baseline... RawAvg=859.20
baseline,859.2,,,,859.2,Collecting baseline... RawAvg=859.20
baseline,859.6,,,,859.6,Collecting baseline... RawAvg=859.60
baseline,859.4,,,,859.4,Collecting baseline... RawAvg=859.40
baseline,859.4,,,,859.4,Collecting baseline... RawAvg=859.40
baseline,859.4,,,,859.4,Collecting baseline... RawAvg=859.40
baseline,859.6,,,,859.6,Collecting baseline... RawAvg=859.60
baseline,859.4,,,,859.4,Collecting baseline... RawAvg=859.40
baseline,859.6,,,,859.6,Collecting baseline... RawAvg=859.60
baseline,859.8,,,,859.8,Collecting baseline... RawAvg=859.80
baseline,859.8,,,,859.8,Collecting baseline... RawAvg=859.80
baseline,859.6,,,,859.6,Collecting baseline... RawAvg=859.60
baseline,859.4,,,,859.4,Collecting baseline... RawAvg=859.40
baseline,859.4,,,,859.4,Collecting baseline... RawAvg=859.40
baseline,859.4,,,,859.4,Collecting baseline... RawAvg=859.40
baseline,859.4,,,,859.4,Collecting baseline... RawAvg=859.40
baseline,859.4,,,,859.4,Collecting baseline... RawAvg=859.40
baseline,859.4,,,,859.4,Collecting baseline... RawAvg=859.40
baseline,859.2,,,,859.2,Collecting baseline... RawAvg=859.20
baseline,859.2,,,,859.2,Collecting baseline... RawAvg=859.20
baseline,859.2,,,,859.2,Collecting baseline... RawAvg=859.20
baseline,859.2,,,,859.2,Collecting baseline... RawAvg=859.20
baseline,859.2,,,,859.2,Collecting baseline... RawAvg=859.20
baseline,859.2,,,,859.2,Collecting baseline... RawAvg=859.20
baseline,859.0,,,,859.0,Collecting baseline... RawAvg=859.00
baseline,859.0,,,,859.0,Collecting baseline... RawAvg=859.00
baseline,859.2,,,,859.2,Collecting baseline... RawAvg=859.20
baseline,859.2,,,,859.2,Collecting baseline... RawAvg=859.20
baseline,859.2,,,,859.2,Collecting baseline... RawAvg=859.20
baseline,859.2,,,,859.2,Collecting baseline... RawAvg=859.20
baseline,859.4,,,,859.4,Collecting baseline... RawAvg=859.40
baseline,859.2,,,,859.2,Collecting baseline... RawAvg=859.20
baseline,859.2,,,,859.2,Collecting baseline... RawAvg=859.20
baseline,859.2,,,,859.2,Collecting baseline... RawAvg=859.20
baseline,859.2,,,,859.2,Collecting baseline... RawAvg=859.20
baseline,859.0,,,,859.0,Collecting baseline... RawAvg=859.00
baseline,859.2,,,,859.2,Collecting baseline... RawAvg=859.20
baseline,859.4,,,,859.4,Collecting baseline... RawAvg=859.40
baseline,859.4,,,,859.4,Collecting baseline... RawAvg=859.40
info,,,,,,Baseline collection complete! Starting detection.
final_base,,859.34,,,859.34,Final Base Raw Average = 859.34
info,,,,,,--------------------------------------------------------------------------
data,,859.3,860.0,0.7,860.0,Time=5.8s | BaseRaw=859.3 | CurrentRaw=860.0 | Change=0.7 => Floor
data,,859.3,860.6,1.3,860.6,Time=5.9s | BaseRaw=859.3 | CurrentRaw=860.6 | Change=1.3 => Floor
data,,859.3,861.6,2.3,861.6,Time=6.0s | BaseRaw=859.3 | CurrentRaw=861.6 | Change=2.3 => Floor
data,,859.3,863.4,4.1,863.4,Time=6.1s | BaseRaw=859.3 | CurrentRaw=863.4 | Change=4.1 => Floor
data,,859.3,865.8,6.5,865.8,Time=6.2s | BaseRaw=859.3 | CurrentRaw=865.8 | Change=6.5 => Floor
data,,859.3,867.6,8.3,867.6,Time=6.3s | BaseRaw=859.3 | CurrentRaw=867.6 | Change=8.3 => Floor
data,,859.3,869.2,9.9,869.2,Time=6.4s | BaseRaw=859.3 | CurrentRaw=869.2 | Change=9.9 => Floor
data,,859.3,870.2,10.9,870.2,Time=6.5s | BaseRaw=859.3 | CurrentRaw=870.2 | Change=10.9 => Liquid
data,,859.3,870.4,11.1,870.4,Time=6.6s | BaseRaw=859.3 | CurrentRaw=870.4 | Change=11.1 => Liquid
