record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,823.4,,,,823.4,Collecting baseline... RawAvg=823.40
baseline,823.4,,,,823.4,Collecting baseline... RawAvg=823.40
baseline,823.0,,,,823.0,Collecting baseline... RawAvg=823.00
baseline,822.6,,,,822.6,Collecting baseline... RawAvg=822.60
baseline,822.4,,,,822.4,Collecting baseline... RawAvg=822.40
baseline,822.8,,,,822.8,Collecting baseline... RawAvg=822.80
baseline,823.0,,,,823.0,Collecting baseline... RawAvg=823.00
baseline,823.6,,,,823.6,Collecting baseline... RawAvg=823.60
baseline,824.0,,,,824.0,Collecting baseline... RawAvg=824.00
baseline,824.2,,,,824.2,Collecting baseline... RawAvg=824.20
baseline,824.0,,,,824.0,Collecting baseline... RawAvg=824.00
baseline,823.6,,,,823.6,Collecting baseline... RawAvg=823.60
baseline,823.2,,,,823.2,Collecting baseline... RawAvg=823.20
baseline,822.8,,,,822.8,Collecting baseline... RawAvg=822.80
baseline,822.6,,,,822.6,Collecting baseline... RawAvg=822.60
baseline,822.8,,,,822.8,Collecting baseline... RawAvg=822.80
baseline,823.4,,,,823.4,Collecting baseline... RawAvg=823.40
baseline,823.6,,,,823.6,Collecting baseline... RawAvg=823.60
baseline,823.8,,,,823.8,Collecting baseline... RawAvg=823.80
baseline,823.8,,,,823.8,Collecting baseline... RawAvg=823.80
baseline,823.4,,,,823.4,Collecting baseline... RawAvg=823.40
baseline,822.8,,,,822.8,Collecting baseline... RawAvg=822.80
baseline,822.8,,,,822.8,Collecting baseline... RawAvg=822.80
baseline,822.8,,,,822.8,Collecting baseline... RawAvg=822.80
baseline,823.0,,,,823.0,Collecting baseline... RawAvg=823.00
baseline,823.4,,,,823.4,Collecting baseline... RawAvg=823.40
baseline,823.8,,,,823.8,Collecting baseline... RawAvg=823.80
baseline,823.8,,,,823.8,Collecting baseline... RawAvg=823.80
baseline,823.8,,,,823.8,Collecting baseline... RawAvg=823.80
baseline,823.4,,,,823.4,Collecting baseline... RawAvg=823.40
baseline,823.0,,,,823.0,Collecting baseline... RawAvg=823.00
baseline,822.8,,,,822.8,Collecting baseline... RawAvg=822.80
baseline,822.6,,,,822.6,Collecting baseline... RawAvg=822.60
baseline,822.8,,,,822.8,Collecting baseline... RawAvg=822.80
baseline,823.2,,,,823.2,Collecting baseline... RawAvg=823.20
baseline,823.6,,,,823.6,Collecting baseline... RawAvg=823.60
baseline,823.8,,,,823.8,Collecting baseline... RawAvg=823.80
baseline,823.8,,,,823.8,Collecting baseline... RawAvg=823.80
baseline,823.6,,,,823.6,Collecting baseline... RawAvg=823.60
baseline,823.4,,,,823.4,Collecting baseline... RawAvg=823.40
baseline,823.2,,,,823.2,Collecting baseline... RawAvg=823.20
baseline,823.0,,,,823.0,Collecting baseline... RawAvg=823.00
baseline,823.2,,,,823.2,Collecting baseline... RawAvg=823.20
baseline,823.6,,,,823.6,Collecting baseline... RawAvg=823.60
baseline,824.0,,,,824.0,Collecting baseline... RawAvg=824.00
baseline,824.0,,,,824.0,Collecting baseline... RawAvg=824.00
baseline,824.0,,,,824.0,Collecting baseline... RawAvg=824.00
baseline,823.8,,,,823.8,Collecting baseline... RawAvg=823.80
baseline,823.2,,,,823.2,Collecting baseline... RawAvg=823.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,823.34,,,823.34,Final Base Raw Average = 823.34
info,,,,,,--------------------------------------------------------------------------
data,,823.3,822.0,1.3,822.0,Time=10.9s | BaseRaw=823.3 | CurrentRaw=822.0 | Change=1.3 => Floor
data,,823.3,822.8,0.5,822.8,Time=11.0s | BaseRaw=823.3 | CurrentRaw=822.8 | Change=0.5 => Floor
data,,823.3,822.8,0.5,822.8,Time=11.1s | BaseRaw=823.3 | CurrentRaw=822.8 | Change=0.5 => Floor
data,,823.3,822.6,0.7,822.6,Time=11.2s | BaseRaw=823.3 | CurrentRaw=822.6 | Change=0.7 => Floor
data,,823.3,822.6,0.7,822.6,Time=11.3s | BaseRaw=823.3 | CurrentRaw=822.6 | Change=0.7 => Floor
data,,823.3,822.6,0.7,822.6,Time=11.4s | BaseRaw=823.3 | CurrentRaw=822.6 | Change=0.7 => Floor
data,,823.3,822.6,0.7,822.6,Time=11.5s | BaseRaw=823.3 | CurrentRaw=822.6 | Change=0.7 => Floor
data,,823.3,822.4,0.9,822.4,Time=11.6s | BaseRaw=823.3 | CurrentRaw=822.4 | Change=0.9 => Floor
data,,823.3,822.6,0.7,822.6,Time=11.7s | BaseRaw=823.3 | CurrentRaw=822.6 | Change=0.7 => Floor
data,,823.3,822.4,0.9,822.4,Time=11.8s | BaseRaw=823.3 | CurrentRaw=822.4 | Change=0.9 => Floor
data,,823.3,822.6,0.7,822.6,Time=11.9s | BaseRaw=823.3 | CurrentRaw=822.6 | Change=0.7 => Floor
data,,823.3,822.6,0.7,822.6,Time=12.0s | BaseRaw=823.3 | CurrentRaw=822.6 | Change=0.7 => Floor
data,,823.3,823.0,0.3,823.0,Time=12.1s | BaseRaw=823.3 | CurrentRaw=823.0 | Change=0.3 => Floor
data,,823.3,822.8,0.5,822.8,Time=12.2s | BaseRaw=823.3 | CurrentRaw=822.8 | Change=0.5 => Floor
data,,823.3,823.0,0.3,823.0,Time=12.3s | BaseRaw=823.3 | CurrentRaw=823.0 | Change=0.3 => Floor
data,,823.3,822.8,0.5,822.8,Time=12.4s | BaseRaw=823.3 | CurrentRaw=822.8 | Change=0.5 => Floor
data,,823.3,822.6,0.7,822.6,Time=12.5s | BaseRaw=823.3 | CurrentRaw=822.6 | Change=0.7 => Floor
data,,823.3,822.4,0.9,822.4,Time=12.6s | BaseRaw=823.3 | CurrentRaw=822.4 | Change=0.9 => Floor
data,,823.3,822.4,0.9,822.4,Time=12.7s | BaseRaw=823.3 | CurrentRaw=822.4 | Change=0.9 => Floor
data,,823.3,822.2,1.1,822.2,Time=12.8s | BaseRaw=823.3 | CurrentRaw=822.2 | Change=1.1 => Floor
data,,823.3,822.0,1.3,822.0,Time=12.9s | BaseRaw=823.3 | CurrentRaw=822.0 | Change=1.3 => Floor
data,,823.3,822.2,1.1,822.2,Time=13.0s | BaseRaw=823.3 | CurrentRaw=822.2 | Change=1.1 => Floor
data,,823.3,821.8,1.5,821.8,Time=13.1s | BaseRaw=823.3 | CurrentRaw=821.8 | Change=1.5 => Floor
data,,823.3,822.0,1.3,822.0,Time=13.2s | BaseRaw=823.3 | CurrentRaw=822.0 | Change=1.3 => Floor
data,,823.3,821.8,1.5,821.8,Time=13.3s | BaseRaw=823.3 | CurrentRaw=821.8 | Change=1.5 => Floor
data,,823.3,822.2,1.1,822.2,Time=13.4s | BaseRaw=823.3 | CurrentRaw=822.2 | Change=1.1 => Floor
data,,823.3,821.8,1.5,821.8,Time=13.5s | BaseRaw=823.3 | CurrentRaw=821.8 | Change=1.5 => Floor
data,,823.3,822.0,1.3,822.0,Time=13.6s | BaseRaw=823.3 | CurrentRaw=822.0 | Change=1.3 => Floor
data,,823.3,821.6,1.7,821.6,Time=13.7s | BaseRaw=823.3 | CurrentRaw=821.6 | Change=1.7 => Floor
data,,823.3,821.6,1.7,821.6,Time=13.8s | BaseRaw=823.3 | CurrentRaw=821.6 | Change=1.7 => Floor
data,,823.3,821.2,2.1,821.2,Time=13.9s | BaseRaw=823.3 | CurrentRaw=821.2 | Change=2.1 => Floor
data,,823.3,821.2,2.1,821.2,Time=14.0s | BaseRaw=823.3 | CurrentRaw=821.2 | Change=2.1 => Floor
data,,823.3,821.4,1.9,821.4,Time=14.1s | BaseRaw=823.3 | CurrentRaw=821.4 | Change=1.9 => Floor
data,,823.3,821.4,1.9,821.4,Time=14.2s | BaseRaw=823.3 | CurrentRaw=821.4 | Change=1.9 => Floor
data,,823.3,821.6,1.7,821.6,Time=14.3s | BaseRaw=823.3 | CurrentRaw=821.6 | Change=1.7 => Floor
data,,823.3,821.6,1.7,821.6,Time=14.4s | BaseRaw=823.3 | CurrentRaw=821.6 | Change=1.7 => Floor
data,,823.3,822.0,1.3,822.0,Time=14.5s | BaseRaw=823.3 | CurrentRaw=822.0 | Change=1.3 => Floor
data,,823.3,821.6,1.7,821.6,Time=14.6s | BaseRaw=823.3 | CurrentRaw=821.6 | Change=1.7 => Floor
data,,823.3,821.8,1.5,821.8,Time=14.7s | BaseRaw=823.3 | CurrentRaw=821.8 | Change=1.5 => Floor
data,,823.3,821.8,1.5,821.8,Time=14.8s | BaseRaw=823.3 | CurrentRaw=821.8 | Change=1.5 => Floor
data,,823.3,822.0,1.3,822.0,Time=14.9s | BaseRaw=823.3 | CurrentRaw=822.0 | Change=1.3 => Floor
data,,823.3,821.8,1.5,821.8,Time=15.0s | BaseRaw=823.3 | CurrentRaw=821.8 | Change=1.5 => Floor
data,,823.3,822.0,1.3,822.0,Time=15.1s | BaseRaw=823.3 | CurrentRaw=822.0 | Change=1.3 => Floor
data,,823.3,822.2,1.1,822.2,Time=15.2s | BaseRaw=823.3 | CurrentRaw=822.2 | Change=1.1 => Floor
data,,823.3,822.0,1.3,822.0,Time=15.3s | BaseRaw=823.3 | CurrentRaw=822.0 | Change=1.3 => Floor
data,,823.3,822.0,1.3,822.0,Time=15.4s | BaseRaw=823.3 | CurrentRaw=822.0 | Change=1.3 => Floor
data,,823.3,821.8,1.5,821.8,Time=15.5s | BaseRaw=823.3 | CurrentRaw=821.8 | Change=1.5 => Floor
data,,823.3,822.0,1.3,822.0,Time=15.6s | BaseRaw=823.3 | CurrentRaw=822.0 | Change=1.3 => Floor
data,,823.3,821.6,1.7,821.6,Time=15.7s | BaseRaw=823.3 | CurrentRaw=821.6 | Change=1.7 => Floor
data,,823.3,822.0,1.3,822.0,Time=15.8s | BaseRaw=823.3 | CurrentRaw=822.0 | Change=1.3 => Floor
data,,823.3,821.8,1.5,821.8,Time=15.9s | BaseRaw=823.3 | CurrentRaw=821.8 | Change=1.5 => Floor
data,,823.3,822.2,1.1,822.2,Time=16.0s | BaseRaw=823.3 | CurrentRaw=822.2 | Change=1.1 => Floor
