record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,812.4,,,,812.4,Collecting baseline... RawAvg=812.40
baseline,812.8,,,,812.8,Collecting baseline... RawAvg=812.80
baseline,813.2,,,,813.2,Collecting baseline... RawAvg=813.20
baseline,813.4,,,,813.4,Collecting baseline... RawAvg=813.40
baseline,813.4,,,,813.4,Collecting baseline... RawAvg=813.40
baseline,813.2,,,,813.2,Collecting baseline... RawAvg=813.20
baseline,813.0,,,,813.0,Collecting baseline... RawAvg=813.00
baseline,812.8,,,,812.8,Collecting baseline... RawAvg=812.80
baseline,812.8,,,,812.8,Collecting baseline... RawAvg=812.80
baseline,813.2,,,,813.2,Collecting baseline... RawAvg=813.20
baseline,813.6,,,,813.6,Collecting baseline... RawAvg=813.60
baseline,813.8,,,,813.8,Collecting baseline... RawAvg=813.80
baseline,813.8,,,,813.8,Collecting baseline... RawAvg=813.80
baseline,813.4,,,,813.4,Collecting baseline... RawAvg=813.40
baseline,813.0,,,,813.0,Collecting baseline... RawAvg=813.00
baseline,812.6,,,,812.6,Collecting baseline... RawAvg=812.60
baseline,812.4,,,,812.4,Collecting baseline... RawAvg=812.40
baseline,812.6,,,,812.6,Collecting baseline... RawAvg=812.60
baseline,813.2,,,,813.2,Collecting baseline... RawAvg=813.20
baseline,813.8,,,,813.8,Collecting baseline... RawAvg=813.80
baseline,814.0,,,,814.0,Collecting baseline... RawAvg=814.00
baseline,813.8,,,,813.8,Collecting baseline... RawAvg=813.80
baseline,813.4,,,,813.4,Collecting baseline... RawAvg=813.40
baseline,812.8,,,,812.8,Collecting baseline... RawAvg=812.80
baseline,812.2,,,,812.2,Collecting baseline... RawAvg=812.20
baseline,812.6,,,,812.6,Collecting baseline... RawAvg=812.60
baseline,813.0,,,,813.0,Collecting baseline... RawAvg=813.00
baseline,813.6,,,,813.6,Collecting baseline... RawAvg=813.60
baseline,814.0,,,,814.0,Collecting baseline... RawAvg=814.00
baseline,814.2,,,,814.2,Collecting baseline... RawAvg=814.20
baseline,813.6,,,,813.6,Collecting baseline... RawAvg=813.60
baseline,813.4,,,,813.4,Collecting baseline... RawAvg=813.40
baseline,812.6,,,,812.6,Collecting baseline... RawAvg=812.60
baseline,812.4,,,,812.4,Collecting baseline... RawAvg=812.40
baseline,812.6,,,,812.6,Collecting baseline... RawAvg=812.60
baseline,813.2,,,,813.2,Collecting baseline... RawAvg=813.20
baseline,813.4,,,,813.4,Collecting baseline... RawAvg=813.40
baseline,814.0,,,,814.0,Collecting baseline... RawAvg=814.00
baseline,814.0,,,,814.0,Collecting baseline... RawAvg=814.00
baseline,813.6,,,,813.6,Collecting baseline... RawAvg=813.60
baseline,813.0,,,,813.0,Collecting baseline... RawAvg=813.00
baseline,812.8,,,,812.8,Collecting baseline... RawAvg=812.80
baseline,812.6,,,,812.6,Collecting baseline... RawAvg=812.60
baseline,813.0,,,,813.0,Collecting baseline... RawAvg=813.00
baseline,813.4,,,,813.4,Collecting baseline... RawAvg=813.40
baseline,813.8,,,,813.8,Collecting baseline... RawAvg=813.80
baseline,813.8,,,,813.8,Collecting baseline... RawAvg=813.80
baseline,813.8,,,,813.8,Collecting baseline... RawAvg=813.80
baseline,813.0,,,,813.0,Collecting baseline... RawAvg=813.00
info,,,,,,Baseline collection complete! Starting detection.
final_base,,813.22,,,813.22,Final Base Raw Average = 813.22
info,,,,,,--------------------------------------------------------------------------
data,,813.2,816.0,2.8,816.0,Time=5.9s | BaseRaw=813.2 | CurrentRaw=816.0 | Change=2.8 => Floor
data,,813.2,816.8,3.6,816.8,Time=6.0s | BaseRaw=813.2 | CurrentRaw=816.8 | Change=3.6 => Floor
data,,813.2,817.8,4.6,817.8,Time=6.1s | BaseRaw=813.2 | CurrentRaw=817.8 | Change=4.6 => Floor
data,,813.2,818.6,5.4,818.6,Time=6.2s | BaseRaw=813.2 | CurrentRaw=818.6 | Change=5.4 => Floor
data,,813.2,820.0,6.8,820.0,Time=6.3s | BaseRaw=813.2 | CurrentRaw=820.0 | Change=6.8 => Floor
data,,813.2,821.6,8.4,821.6,Time=6.4s | BaseRaw=813.2 | CurrentRaw=821.6 | Change=8.4 => Floor
data,,813.2,824.0,10.8,824.0,Time=6.5s | BaseRaw=813.2 | CurrentRaw=824.0 | Change=10.8 => Liquid
data,,813.2,829.6,16.4,829.6,Time=6.6s | BaseRaw=813.2 | CurrentRaw=829.6 | Change=16.4 => Liquid
data,,813.2,835.4,22.2,835.4,Time=6.7s | BaseRaw=813.2 | CurrentRaw=835.4 | Change=22.2 => Liquid
data,,813.2,841.2,28.0,841.2,Time=6.8s | BaseRaw=813.2 | CurrentRaw=841.2 | Change=28.0 => Liquid
data,,813.2,845.8,32.6,845.8,Time=6.9s | BaseRaw=813.2 | CurrentRaw=845.8 | Change=32.6 => Liquid
data,,813.2,849.0,35.8,849.0,Time=7.0s | BaseRaw=813.2 | CurrentRaw=849.0 | Change=35.8 => Liquid
data,,813.2,849.2,36.0,849.2,Time=7.1s | BaseRaw=813.2 | CurrentRaw=849.2 | Change=36.0 => Liquid
data,,813.2,849.4,36.2,849.4,Time=7.2s | BaseRaw=813.2 | CurrentRaw=849.4 | Change=36.2 => Liquid
data,,813.2,849.0,35.8,849.0,Time=7.3s | BaseRaw=813.2 | CurrentRaw=849.0 | Change=35.8 => Liquid
data,,813.2,848.6,35.4,848.6,Time=7.4s | BaseRaw=813.2 | CurrentRaw=848.6 | Change=35.4 => Liquid
data,,813.2,848.8,35.6,848.8,Time=7.5s | BaseRaw=813.2 | CurrentRaw=848.8 | Change=35.6 => Liquid
data,,813.2,848.8,35.6,848.8,Time=7.6s | BaseRaw=813.2 | CurrentRaw=848.8 | Change=35.6 => Liquid
data,,813.2,848.2,35.0,848.2,Time=7.7s | BaseRaw=813.2 | CurrentRaw=848.2 | Change=35.0 => Liquid
data,,813.2,848.6,35.4,848.6,Time=7.8s | BaseRaw=813.2 | CurrentRaw=848.6 | Change=35.4 => Liquid
data,,813.2,848.6,35.4,848.6,Time=7.9s | BaseRaw=813.2 | CurrentRaw=848.6 | Change=35.4 => Liquid
data,,813.2,848.4,35.2,848.4,Time=8.0s | BaseRaw=813.2 | CurrentRaw=848.4 | Change=35.2 => Liquid
data,,813.2,848.6,35.4,848.6,Time=8.1s | BaseRaw=813.2 | CurrentRaw=848.6 | Change=35.4 => Liquid
data,,813.2,848.6,35.4,848.6,Time=8.2s | BaseRaw=813.2 | CurrentRaw=848.6 | Change=35.4 => Liquid
data,,813.2,848.2,35.0,848.2,Time=8.3s | BaseRaw=813.2 | CurrentRaw=848.2 | Change=35.0 => Liquid
data,,813.2,848.4,35.2,848.4,Time=8.4s | BaseRaw=813.2 | CurrentRaw=848.4 | Change=35.2 => Liquid
data,,813.2,848.4,35.2,848.4,Time=8.5s | BaseRaw=813.2 | CurrentRaw=848.4 | Change=35.2 => Liquid
data,,813.2,848.4,35.2,848.4,Time=8.6s | BaseRaw=813.2 | CurrentRaw=848.4 | Change=35.2 => Liquid
data,,813.2,848.6,35.4,848.6,Time=8.7s | BaseRaw=813.2 | CurrentRaw=848.6 | Change=35.4 => Liquid
data,,813.2,848.6,35.4,848.6,Time=8.8s | BaseRaw=813.2 | CurrentRaw=848.6 | Change=35.4 => Liquid
data,,813.2,848.4,35.2,848.4,Time=8.9s | BaseRaw=813.2 | CurrentRaw=848.4 | Change=35.2 => Liquid
data,,813.2,848.8,35.6,848.8,Time=9.0s | BaseRaw=813.2 | CurrentRaw=848.8 | Change=35.6 => Liquid
data,,813.2,848.4,35.2,848.4,Time=9.1s | BaseRaw=813.2 | CurrentRaw=848.4 | Change=35.2 => Liquid
data,,813.2,848.2,35.0,848.2,Time=9.2s | BaseRaw=813.2 | CurrentRaw=848.2 | Change=35.0 => Liquid
data,,813.2,848.4,35.2,848.4,Time=9.3s | BaseRaw=813.2 | CurrentRaw=848.4 | Change=35.2 => Liquid
data,,813.2,848.2,35.0,848.2,Time=9.4s | BaseRaw=813.2 | CurrentRaw=848.2 | Change=35.0 => Liquid
data,,813.2,848.0,34.8,848.0,Time=9.5s | BaseRaw=813.2 | CurrentRaw=848.0 | Change=34.8 => Liquid
data,,813.2,848.8,35.6,848.8,Time=9.6s | BaseRaw=813.2 | CurrentRaw=848.8 | Change=35.6 => Liquid
data,,813.2,848.6,35.4,848.6,Time=9.7s | BaseRaw=813.2 | CurrentRaw=848.6 | Change=35.4 => Liquid
data,,813.2,848.4,35.2,848.4,Time=9.8s | BaseRaw=813.2 | CurrentRaw=848.4 | Change=35.2 => Liquid
data,,813.2,849.0,35.8,849.0,Time=9.9s | BaseRaw=813.2 | CurrentRaw=849.0 | Change=35.8 => Liquid
data,,813.2,849.0,35.8,849.0,Time=10.0s | BaseRaw=813.2 | CurrentRaw=849.0 | Change=35.8 => Liquid
data,,813.2,848.4,35.2,848.4,Time=10.1s | BaseRaw=813.2 | CurrentRaw=848.4 | Change=35.2 => Liquid
data,,813.2,848.8,35.6,848.8,Time=10.2s | BaseRaw=813.2 | CurrentRaw=848.8 | Change=35.6 => Liquid
data,,813.2,849.2,36.0,849.2,Time=10.3s | BaseRaw=813.2 | CurrentRaw=849.2 | Change=36.0 => Liquid
data,,813.2,848.8,35.6,848.8,Time=10.4s | BaseRaw=813.2 | CurrentRaw=848.8 | Change=35.6 => Liquid
data,,813.2,848.6,35.4,848.6,Time=10.5s | BaseRaw=813.2 | CurrentRaw=848.6 | Change=35.4 => Liquid
data,,813.2,848.6,35.4,848.6,Time=10.6s | BaseRaw=813.2 | CurrentRaw=848.6 | Change=35.4 => Liquid
data,,813.2,848.6,35.4,848.6,Time=10.7s | BaseRaw=813.2 | CurrentRaw=848.6 | Change=35.4 => Liquid
data,,813.2,848.4,35.2,848.4,Time=10.8s | BaseRaw=813.2 | CurrentRaw=848.4 | Change=35.2 => Liquid
data,,813.2,848.4,35.2,848.4,Time=10.9s | BaseRaw=813.2 | CurrentRaw=848.4 | Change=35.2 => Liquid
data,,813.2,848.2,35.0,848.2,Time=11.0s | BaseRaw=813.2 | CurrentRaw=848.2 | Change=35.0 => Liquid
data,,813.2,848.4,35.2,848.4,Time=11.1s | BaseRaw=813.2 | CurrentRaw=848.4 | Change=35.2 => Liquid
data,,813.2,849.0,35.8,849.0,Time=11.2s | BaseRaw=813.2 | CurrentRaw=849.0 | Change=35.8 => Liquid
data,,813.2,849.6,36.4,849.6,Time=11.3s | BaseRaw=813.2 | CurrentRaw=849.6 | Change=36.4 => Liquid
data,,813.2,848.6,35.4,848.6,Time=11.4s | BaseRaw=813.2 | CurrentRaw=848.6 | Change=35.4 => Liquid
data,,813.2,845.0,31.8,845.0,Time=11.5s | BaseRaw=813.2 | CurrentRaw=845.0 | Change=31.8 => Liquid
data,,813.2,840.6,27.4,840.6,Time=11.6s | BaseRaw=813.2 | CurrentRaw=840.6 | Change=27.4 => Liquid
data,,813.2,834.8,21.6,834.8,Time=11.7s | BaseRaw=813.2 | CurrentRaw=834.8 | Change=21.6 => Liquid
data,,813.2,828.6,15.4,828.6,Time=11.8s | BaseRaw=813.2 | CurrentRaw=828.6 | Change=15.4 => Liquid
data,,813.2,824.0,10.8,824.0,Time=11.9s | BaseRaw=813.2 | CurrentRaw=824.0 | Change=10.8 => Liquid
data,,813.2,821.6,8.4,821.6,Time=12.0s | BaseRaw=813.2 | CurrentRaw=821.6 | Change=8.4 => Floor
data,,813.2,819.6,6.4,819.6,Time=12.1s | BaseRaw=813.2 | CurrentRaw=819.6 | Change=6.4 => Floor
data,,813.2,817.8,4.6,817.8,Time=12.2s | BaseRaw=813.2 | CurrentRaw=817.8 | Change=4.6 => Floor
