Iniaw=871.2 | Change=0.0 => Floor (empty)
Time=43.2s | BaseRaw=818.0 | CurrentRaw=871.4 | Change=0.0 => Floor (empty)
Time¢æInitial floor measurement (5s)... Keep the sensor on the empty floor.
Collecting baseline... RawAvg=871.00
Collecting baseline... RawAvg=871.60
Collecting baseline... RawAvg=872.00
Collecting baseline... RawAvg=872.60
Collecting baseline... RawAvg=873.40
Collecting baseline... RawAvg=873.60
Collecting baseline... RawAvg=874.00
Collecting baseline... RawAvg=874.20
Collecting baseline... RawAvg=874.20
Collecting baseline... RawAvg=874.00
Collecting baseline... RawAvg=874.00
Collecting baseline... RawAvg=874.00
Collecting baseline... RawAvg=874.20
Collecting baseline... RawAvg=874.40
Collecting baseline... RawAvg=874.60
Collecting baseline... RawAvg=874.60
Collecting baseline... RawAvg=874.80
Collecting baseline... RawAvg=874.80
Collecting baseline... RawAvg=874.60
Collecting baseline... RawAvg=874.60
Collecting baseline... RawAvg=874.80
Collecting baseline... RawAvg=874.60
Collecting baseline... RawAvg=874.60
Collecting baseline... RawAvg=874.80
Collecting baseline... RawAvg=874.60
Collecting baseline... RawAvg=874.40
Collecting baseline... RawAvg=874.60
Collecting baseline... RawAvg=874.60
Collecting baseline... RawAvg=874.80
Collecting baseline... RawAvg=875.20
Collecting baseline... RawAvg=875.40
Collecting baseline... RawAvg=875.60
Collecting baseline... RawAvg=875.80
Collecting baseline... RawAvg=875.80
Collecting baseline... RawAvg=875.80
Collecting baseline... RawAvg=875.80
Collecting baseline... RawAvg=875.60
Collecting baseline... RawAvg=875.40
Collecting baseline... RawAvg=875.00
Collecting baseline... RawAvg=874.60
Collecting baseline... RawAvg=874.40
Collecting baseline... RawAvg=874.20
Collecting baseline... RawAvg=874.00
Collecting baseline... RawAvg=874.20
Collecting baseline... RawAvg=874.00
Collecting baseline... RawAvg=874.40
Collecting baseline... RawAvg=874.80
Collecting baseline... RawAvg=875.40
Collecting baseline... RawAvg=875.60
Collecting baseline... RawAvg=876.40

Baseline collection complete! Starting detection.
Final Base Raw Average = 874.49
--------------------------------------------------------------------------
Time=0.1s | BaseRaw=874.5 | CurrentRaw=876.8 | Change=0.0 => Floor (empty)
Time=0.2s | BaseRaw=874.5 | CurrentRaw=876.4 | Change=0.0 => Floor (empty)
Time=0.3s | BaseRaw=874.5 | CurrentRaw=876.0 | Change=0.0 => Floor (empty)
Time=0.4s | BaseRaw=874.5 | CurrentRaw=875.8 | Change=0.0 => Floor (empty)
Time=0.5s | BaseRaw=874.5 | CurrentRaw=875.8 | Change=0.0 => Floor (empty)
Time=0.6s | BaseRaw=874.5 | CurrentRaw=875.2 | Change=0.0 => Floor (empty)
Time=0.7s | BaseRaw=874.5 | CurrentRaw=875.2 | Change=0.0 => Floor (empty)
Time=0.8s | BaseRaw=874.5 | CurrentRaw=875.4 | Change=0.0 => Floor (empty)
Time=0.9s | BaseRaw=874.5 | CurrentRaw=874.6 | Change=0.0 => Floor (empty)
Time=1.0s | BaseRaw=874.5 | CurrentRaw=873.6 | Change=0.9 => Floor (empty)
Time=1.1s | BaseRaw=874.5 | CurrentRaw=873.6 | Change=0.9 => Floor (empty)
Time=1.2s | BaseRaw=874.5 | CurrentRaw=873.0 | Change=1.5 => Floor (empty)
Time=1.3s | BaseRaw=874.5 | CurrentRaw=871.2 | Change=3.3 => Floor (empty)
Time=1.4s | BaseRaw=874.5 | CurrentRaw=869.8 | Change=4.7 => Floor (empty)
Time=1.5s | BaseRaw=874.5 | CurrentRaw=868.4 | Change=6.1 => Water
Time=1.6s | BaseRaw=874.5 | CurrentRaw=866.0 | Change=8.5 => Water
Time=1.7s | BaseRaw=874.5 | CurrentRaw=863.0 | Change=11.5 => Water
Time=1.8s | BaseRaw=874.5 | CurrentRaw=861.0 | Change=13.5 => Water
Time=1.9s | BaseRaw=874.5 | CurrentRaw=860.2 | Change=14.3 => Water
Time=2.0s | BaseRaw=874.5 | CurrentRaw=859.4 | Change=15.1 => Coffee
Time=2.1s | BaseRaw=874.5 | CurrentRaw=858.6 | Change=15.9 => Coffee
Time=2.2s | BaseRaw=874.5 | CurrentRaw=859.2 | Change=15.3 => Coffee
Time=2.3s | BaseRaw=874.5 | CurrentRaw=859.8 | Change=14.7 => Water
Time=2.4s | BaseRaw=874.5 | CurrentRaw=858.6 | Change=15.9 => Coffee
Time=2.5s | BaseRaw=874.5 | CurrentRaw=857.8 | Change=16.7 => Coffee
Time=2.6s | BaseRaw=874.5 | CurrentRaw=856.0 | Change=18.5 => Coffee
Time=2.7s | BaseRaw=874.5 | CurrentRaw=852.0 | Change=22.5 => Coffee
Time=2.8s | BaseRaw=874.5 | CurrentRaw=848.0 | Change=26.5 => Coffee
Time=2.9s | BaseRaw=874.5 | CurrentRaw=845.2 | Change=29.3 => Coffee
Time=3.0s | BaseRaw=874.5 | CurrentRaw=841.6 | Change=32.9 => Coffee
Time=3.1s | BaseRaw=874.5 | CurrentRaw=839.4 | Change=35.1 => Coffee
Time=3.2s | BaseRaw=874.5 | CurrentRaw=839.4 | Change=35.1 => Coffee
Time=3.3s | BaseRaw=874.5 | CurrentRaw=839.4 | Change=35.1 => Coffee
Time=3.4s | BaseRaw=874.5 | CurrentRaw=839.4 | Change=35.1 => Coffee
Time=3.5s | BaseRaw=874.5 | CurrentRaw=840.2 | Change=34.3 => Coffee
Time=3.6s | BaseRaw=874.5 | CurrentRaw=840.8 | Change=33.7 => Coffee
Time=3.7s | BaseRaw=874.5 | CurrentRaw=841.2 | Change=33.3 => Coffee
Time=3.8s | BaseRaw=874.5 | CurrentRaw=842.0 | Change=32.5 => Coffee
Time=3.9s | BaseRaw=874.5 | CurrentRaw=842.4 | Change=32.1 => Coffee
Time=4.0s | BaseRaw=874.5 | CurrentRaw=842.4 | Change=32.1 => Coffee
Time=4.1s | BaseRaw=874.5 | CurrentRaw=843.2 | Change=31.3 => Coffee
Time=4.2s | BaseRaw=874.5 | CurrentRaw=844.0 | Change=30.5 => Coffee
Time=4.3s | BaseRaw=874.5 | CurrentRaw=844.8 | Change=29.7 => Coffee
Time=4.4s | BaseRaw=874.5 | CurrentRaw=846.4 | Change=28.1 => Coffee
Time=4.5s | BaseRaw=874.5 | CurrentRaw=848.0 | Change=26.5 => Coffee
Time=4.6s | BaseRaw=874.5 | CurrentRaw=849.4 | Change=25.1 => Coffee
Time=4.7s | BaseRaw=874.5 | CurrentRaw=851.0 | Change=23.5 => Coffee
Time=4.8s | BaseRaw=874.5 | CurrentRaw=852.4 | Change=22.1 => Coffee
Time=4.9s | BaseRaw=874.5 | CurrentRaw=853.0 | Change=21.5 => Coffee
Time=5.0s | BaseRaw=874.5 | CurrentRaw=854.0 | Change=20.5 => Coffee
Time=5.1s | BaseRaw=874.5 | CurrentRaw=854.4 | Change=20.1 => Coffee
Time=5.2s | BaseRaw=874.5 | CurrentRaw=854.4 | Change=20.1 => Coffee
Time=5.3s | BaseRaw=874.5 | CurrentRaw=854.8 | Change=19.7 => Coffee
Time=5.4s | BaseRaw=874.5 | CurrentRaw=855.0 | Change=19.5 => Coffee
Time=5.5s | BaseRaw=874.5 | CurrentRaw=854.4 | Change=20.1 => Coffee
Time=5.6s | BaseRaw=874.5 | CurrentRaw=855.0 | Change=19.5 => Coffee
Time=5.7s | BaseRaw=874.5 | CurrentRaw=855.6 | Change=18.9 => Coffee
Time=5.8s | BaseRaw=874.5 | CurrentRaw=855.6 | Change=18.9 => Coffee
Time=5.9s | BaseRaw=874.5 | CurrentRaw=856.4 | Change=18.1 => Coffee
Time=6.0s | BaseRaw=874.5 | CurrentRaw=857.6 | Change=16.9 => Coffee
Time=6.1s | BaseRaw=874.5 | CurrentRaw=857.8 | Change=16.7 => Coffee
Time=6.2s | BaseRaw=874.5 | CurrentRaw=858.6 | Change=15.9 => Coffee
Time=6.3s | BaseRaw=874.5 | CurrentRaw=859.6 | Change=14.9 => Water
Time=6.4s | BaseRaw=874.5 | CurrentRaw=859.8 | Change=14.7 => Water
Time=6.5s | BaseRaw=874.5 | CurrentRaw=860.6 | Change=13.9 => Water
Time=6.6s | BaseRaw=874.5 | CurrentRaw=861.6 | Change=12.9 => Water
Time=6.7s | BaseRaw=874.5 | CurrentRaw=862.2 | Change=12.3 => Water
Time=6.8s | BaseRaw=874.5 | CurrentRaw=862.8 | Change=11.7 => Water
Time=6.9s | BaseRaw=874.5 | CurrentRaw=864.2 | Change=10.3 => Water
Time=7.0s | BaseRaw=874.5 | CurrentRaw=865.0 | Change=9.5 => Water
Time=7.1s | BaseRaw=874.5 | CurrentRaw=866.2 | Change=8.3 => Water
Time=7.2s | BaseRaw=874.5 | CurrentRaw=867.0 | Change=7.5 => Water
Time=7.3s | BaseRaw=874.5 | CurrentRaw=868.2 | Change=6.3 => Water
Time=7.4s | BaseRaw=874.5 | CurrentRaw=869.0 | Change=5.5 => Water
Time=7.5s | BaseRaw=874.5 | CurrentRaw=869.6 | Change=4.9 => Floor (empty)
Time=7.6s | BaseRaw=874.5 | CurrentRaw=869.8 | Change=4.7 => Floor (empty)
Time=7.7s | BaseRaw=874.5 | CurrentRaw=869.6 | Change=4.9 => Floor (empty)
Time=7.8s | BaseRaw=874.5 | CurrentRaw=869.2 | Change=5.3 => Water
Time=7.9s | BaseRaw=874.5 | CurrentRaw=868.0 | Change=6.5 => Water
Time=8.0s | BaseRaw=874.5 | CurrentRaw=866.8 | Change=7.7 => Water
Time=8.1s | BaseRaw=874.5 | CurrentRaw=865.6 | Change=8.9 => Water
Time=8.2s | BaseRaw=874.5 | CurrentRaw=864.8 | Change=9.7 => Water
Time=8.3s | BaseRaw=874.5 | CurrentRaw=863.2 | Change=11.3 => Water
Time=8.4s | BaseRaw=874.5 | CurrentRaw=861.8 | Change=12.7 => Water
Time=8.5s | BaseRaw=874.5 | CurrentRaw=860.8 | Change=13.7 => Water
Time=8.6s | BaseRaw=874.5 | CurrentRaw=859.4 | Change=15.1 => Coffee
Time=8.7s | BaseRaw=874.5 | CurrentRaw=857.8 | Change=16.7 => Coffee
Time=8.8s | BaseRaw=874.5 | CurrentRaw=857.0 | Change=17.5 => Coffee
Time=8.9s | BaseRaw=874.5 | CurrentRaw=856.6 | Change=17.9 => Coffee
Time=9.0s | BaseRaw=874.5 | CurrentRaw=855.4 | Change=19.1 => Coffee
Time=9.1s | BaseRaw=874.5 | CurrentRaw=855.0 | Change=19.5 => Coffee
Time=9.2s | BaseRaw=874.5 | CurrentRaw=854.8 | Change=19.7 => Coffee
Time=9.3s | BaseRaw=874.5 | CurrentRaw=854.2 | Change=20.3 => Coffee
Time=9.4s | BaseRaw=874.5 | CurrentRaw=853.6 | Change=20.9 => Coffee
Time=9.5s | BaseRaw=874.5 | CurrentRaw=853.8 | Change=20.7 => Coffee
Time=9.6s | BaseRaw=874.5 | CurrentRaw=852.8 | Change=21.7 => Coffee
Time=9.7s | BaseRaw=874.5 | CurrentRaw=852.2 | Change=22.3 => Coffee
Time=9.8s | BaseRaw=874.5 | CurrentRaw=851.8 | Change=22.7 => Coffee
Time=9.9s | BaseRaw=874.5 | CurrentRaw=851.2 | Change=23.3 => Coffee
Time=10.0s | BaseRaw=874.5 | CurrentRaw=850.4 | Change=24.1 => Coffee
Time=10.1s | BaseRaw=874.5 | CurrentRaw=850.8 | Change=23.7 => Coffee
Time=10.2s | BaseRaw=874.5 | CurrentRaw=850.6 | Change=23.9 => Coffee
Time=10.3s | BaseRaw=874.5 | CurrentRaw=851.0 | Change=23.5 => Coffee
Time=10.4s | BaseRaw=874.5 | CurrentRaw=851.4 | Change=23.1 => Coffee
Time=10.5s | BaseRaw=874.5 | CurrentRaw=852.0 | Change=22.5 => Coffee
Time=10.6s | BaseRaw=874.5 | CurrentRaw=852.6 | Change=21.9 => Coffee
Time=10.7s | BaseRaw=874.5 | CurrentRaw=853.6 | Change=20.9 => Coffee
Time=10.8s | BaseRaw=874.5 | CurrentRaw=854.2 | Change=20.3 => Coffee
Time=10.9s | BaseRaw=874.5 | CurrentRaw=855.2 | Change=19.3 => Coffee
Time=11.0s | BaseRaw=874.5 | CurrentRaw=855.8 | Change=18.7 => Coffee
Time=11.1s | BaseRaw=874.5 | CurrentRaw=856.2 | Change=18.3 => Coffee
Time=11.2s | BaseRaw=874.5 | CurrentRaw=856.6 | Change=17.9 => Coffee
Time=11.3s | BaseRaw=874.5 | CurrentRaw=857.0 | Change=17.5 => Coffee
Time=11.4s | BaseRaw=874.5 | CurrentRaw=856.6 | Change=17.9 => Coffee
Time=11.5s | BaseRaw=874.5 | CurrentRaw=856.2 | Change=18.3 => Coffee
Time=11.6s | BaseRaw=874.5 | CurrentRaw=856.2 | Change=18.3 => Coffee
Time=11.7s | BaseRaw=874.5 | CurrentRaw=855.4 | Change=19.1 => Coffee
Time=11.8s | BaseRaw=874.5 | CurrentRaw=855.0 | Change=19.5 => Coffee
Time=11.9s | BaseRaw=874.5 | CurrentRaw=854.6 | Change=19.9 => Coffee
Time=12.0s | BaseRaw=874.5 | CurrentRaw=854.4 | Change=20.1 => Coffee
Time=12.1s | BaseRaw=874.5 | CurrentRaw=854.0 | Change=20.5 => Coffee
Time=12.2s | BaseRaw=874.5 | CurrentRaw=854.2 | Change=20.3 => Coffee
Time=12.3s | BaseRaw=874.5 | CurrentRaw=854.2 | Change=20.3 => Coffee
Time=12.4s | BaseRaw=874.5 | CurrentRaw=854.8 | Change=19.7 => Coffee
Time=12.5s | BaseRaw=874.5 | CurrentRaw=855.0 | Change=19.5 => Coffee
Time=12.6s | BaseRaw=874.5 | CurrentRaw=855.2 | Change=19.3 => Coffee
Time=12.7s | BaseRaw=874.5 | CurrentRaw=855.4 | Change=19.1 => Coffee
Time=12.8s | BaseRaw=874.5 | CurrentRaw=855.4 | Change=19.1 => Coffee
Time=12.9s | BaseRaw=874.5 | CurrentRaw=855.2 | Change=19.3 => Coffee
Time=13.0s | BaseRaw=874.5 | CurrentRaw=855.0 | Change=19.5 => Coffee
Time=13.1s | BaseRaw=874.5 | CurrentRaw=855.0 | Change=19.5 => Coffee
Time=13.2s | BaseRaw=874.5 | CurrentRaw=854.8 | Change=19.7 => Coffee
Time=13.3s | BaseRaw=874.5 | CurrentRaw=854.6 | Change=19.9 => Coffee
Time=13.4s | BaseRaw=874.5 | CurrentRaw=854.6 | Change=19.9 => Coffee
Time=13.5s | BaseRaw=874.5 | CurrentRaw=854.8 | Change=19.7 => Coffee
Time=13.6s | BaseRaw=874.5 | CurrentRaw=854.6 | Change=19.9 => Coffee
Time=13.7s | BaseRaw=874.5 | CurrentRaw=854.6 | Change=19.9 => Coffee
Time=13.8s | BaseRaw=874.5 | CurrentRaw=854.2 | Change=20.3 => Coffee
Time=13.9s | BaseRaw=874.5 | CurrentRaw=854.2 | Change=20.3 => Coffee
Time=14.0s | BaseRaw=874.5 | CurrentRaw=853.8 | Change=20.7 => Coffee
Time=14.1s | BaseRaw=874.5 | CurrentRaw=853.6 | Change=20.9 => Coffee
Time=14.2s | BaseRaw=874.5 | CurrentRaw=853.2 | Change=21.3 => Coffee
Time=14.3s | BaseRaw=874.5 | CurrentRaw=852.4 | Change=22.1 => Coffee
Time=14.4s | BaseRaw=874.5 | CurrentRaw=852.0 | Change=22.5 => Coffee
Time=14.5s | BaseRaw=874.5 | CurrentRaw=852.0 | Change=22.5 => Coffee
Time=14.6s | BaseRaw=874.5 | CurrentRaw=851.8 | Change=22.7 => Coffee
Time=14.7s | BaseRaw=874.5 | CurrentRaw=851.8 | Change=22.7 => Coffee
Time=14.8s | BaseRaw=874.5 | CurrentRaw=852.2 | Change=22.3 => Coffee
Time=14.9s | BaseRaw=874.5 | CurrentRaw=852.2 | Change=22.3 => Coffee
Time=15.0s | BaseRaw=874.5 | CurrentRaw=852.2 | Change=22.3 => Coffee
Time=15.1s | BaseRaw=874.5 | CurrentRaw=852.4 | Change=22.1 => Coffee
Time=15.2s | BaseRaw=874.5 | CurrentRaw=852.2 | Change=22.3 => Coffee
Time=15.3s | BaseRaw=874.5 | CurrentRaw=852.0 | Change=22.5 => Coffee
Time=15.4s | BaseRaw=874.5 | CurrentRaw=851.8 | Change=22.7 => Coffee
Time=15.5s | BaseRaw=874.5 | CurrentRaw=851.2 | Change=23.3 => Coffee
Time=15.6s | BaseRaw=874.5 | CurrentRaw=850.6 | Change=23.9 => Coffee
Time=15.7s | BaseRaw=874.5 | CurrentRaw=850.2 | Change=24.3 => Coffee
Time=15.8s | BaseRaw=874.5 | CurrentRaw=849.6 | Change=24.9 => Coffee
Time=15.9s | BaseRaw=874.5 | CurrentRaw=849.2 | Change=25.3 => Coffee
Time=16.0s | BaseRaw=874.5 | CurrentRaw=849.2 | Change=25.3 => Coffee
Time=16.1s | BaseRaw=874.5 | CurrentRaw=848.6 | Change=25.9 => Coffee
Time=16.2s | BaseRaw=874.5 | CurrentRaw=848.4 | Change=26.1 => Coffee
Time=16.3s | BaseRaw=874.5 | CurrentRaw=848.4 | Change=26.1 => Coffee
Time=16.4s | BaseRaw=874.5 | CurrentRaw=848.4 | Change=26.1 => Coffee
Time=16.5s | BaseRaw=874.5 | CurrentRaw=848.4 | Change=26.1 => Coffee
Time=16.6s | BaseRaw=874.5 | CurrentRaw=848.4 | Change=26.1 => Coffee
Time=16.7s | BaseRaw=874.5 | CurrentRaw=848.8 | Change=25.7 => Coffee
Time=16.8s | BaseRaw=874.5 | CurrentRaw=849.0 | Change=25.5 => Coffee
Time=16.9s | BaseRaw=874.5 | CurrentRaw=849.0 | Change=25.5 => Coffee
Time=17.0s | BaseRaw=874.5 | CurrentRaw=849.2 | Change=25.3 => Coffee
Time=17.1s | BaseRaw=874.5 | CurrentRaw=849.2 | Change=25.3 => Coffee
Time=17.2s | BaseRaw=874.5 | CurrentRaw=849.2 | Change=25.3 => Coffee
Time=17.3s | BaseRaw=874.5 | CurrentRaw=849.6 | Change=24.9 => Coffee
Time=17.4s | BaseRaw=874.5 | CurrentRaw=850.4 | Change=24.1 => Coffee
Time=17.5s | BaseRaw=874.5 | CurrentRaw=850.8 | Change=23.7 => Coffee
Time=17.6s | BaseRaw=874.5 | CurrentRaw=851.4 | Change=23.1 => Coffee
Time=17.7s | BaseRaw=874.5 | CurrentRaw=851.8 | Change=22.7 => Coffee
Time=17.8s | BaseRaw=874.5 | CurrentRaw=852.0 | Change=22.5 => Coffee
Time=17.9s | BaseRaw=874.5 | CurrentRaw=851.6 | Change=22.9 => Coffee
Time=18.0s | BaseRaw=874.5 | CurrentRaw=851.6 | Change=22.9 => Coffee
Time=18.1s | BaseRaw=874.5 | CurrentRaw=851.2 | Change=23.3 => Coffee
Time=18.2s | BaseRaw=874.5 | CurrentRaw=851.2 | Change=23.3 => Coffee
Time=18.3s | BaseRaw=874.5 | CurrentRaw=851.0 | Change=23.5 => Coffee
Time=18.4s | BaseRaw=874.5 | CurrentRaw=851.2 | Change=23.3 => Coffee
Time=18.5s | BaseRaw=874.5 | CurrentRaw=851.0 | Change=23.5 => Coffee
Time=18.6s | BaseRaw=874.5 | CurrentRaw=851.4 | Change=23.1 => Coffee
Time=18.7s | BaseRaw=874.5 | CurrentRaw=851.6 | Change=22.9 => Coffee
Time=18.8s | BaseRaw=874.5 | CurrentRaw=852.0 | Change=22.5 => Coffee
Time=18.9s | BaseRaw=874.5 | CurrentRaw=851.8 | Change=22.7 => Coffee
Time=19.0s | BaseRaw=874.5 | CurrentRaw=851.8 | Change=22.7 => Coffee
Time=19.1s | BaseRaw=874.5 | CurrentRaw=851.2 | Change=23.3 => Coffee
Time=19.2s | BaseRaw=874.5 | CurrentRaw=850.6 | Change=23.9 => Coffee
Time=19.3s | BaseRaw=874.5 | CurrentRaw=850.0 | Change=24.5 => Coffee
Time=19.4s | BaseRaw=874.5 | CurrentRaw=849.6 | Change=24.9 => Coffee
Time=19.5s | BaseRaw=874.5 | CurrentRaw=849.6 | Change=24.9 => Coffee
Time=19.6s | BaseRaw=874.5 | CurrentRaw=849.8 | Change=24.7 => Coffee
Time=19.7s | BaseRaw=874.5 | CurrentRaw=850.6 | Change=23.9 => Coffee
Time=19.8s | BaseRaw=874.5 | CurrentRaw=851.8 | Change=22.7 => Coffee
Time=19.9s | BaseRaw=874.5 | CurrentRaw=853.0 | Change=21.5 => Coffee
Time=20.0s | BaseRaw=874.5 | CurrentRaw=854.2 | Change=20.3 => Coffee
Time=20.1s | BaseRaw=874.5 | CurrentRaw=855.6 | Change=18.9 => Coffee
Time=20.2s | BaseRaw=874.5 | CurrentRaw=856.2 | Change=18.3 => Coffee
Time=20.3s | BaseRaw=874.5 | CurrentRaw=856.4 | Change=18.1 => Coffee
Time=20.4s | BaseRaw=874.5 | CurrentRaw=856.2 | Change=18.3 => Coffee
Time=20.5s | BaseRaw=874.5 | CurrentRaw=856.2 | Change=18.3 => Coffee
Time=20.6s | BaseRaw=874.5 | CurrentRaw=855.8 | Change=18.7 => Coffee
Time=20.7s | BaseRaw=874.5 | CurrentRaw=855.6 | Change=18.9 => Coffee
Time=20.8s | BaseRaw=874.5 | CurrentRaw=855.8 | Change=18.7 => Coffee
Time=20.9s | BaseRaw=874.5 | CurrentRaw=855.6 | Change=18.9 => Coffee
Time=21.0s | BaseRaw=874.5 | CurrentRaw=855.6 | Change=18.9 => Coffee
Time=21.1s | BaseRaw=874.5 | CurrentRaw=855.8 | Change=18.7 => Coffee
Time=21.2s | BaseRaw=874.5 | CurrentRaw=856.0 | Change=18.5 => Coffee
Time=21.3s | BaseRaw=874.5 | CurrentRaw=856.0 | Change=18.5 => Coffee
Time=21.4s | BaseRaw=874.5 | CurrentRaw=856.2 | Change=18.3 => Coffee
Time=21.5s | BaseRaw=874.5 | CurrentRaw=856.2 | Change=18.3 => Coffee
Time=21.6s | BaseRaw=874.5 | CurrentRaw=856.4 | Change=18.1 => Coffee
Time=21.7s | BaseRaw=874.5 | CurrentRaw=856.6 | Change=17.9 => Coffee
Time=21.8s | BaseRaw=874.5 | CurrentRaw=856.6 | Change=17.9 => Coffee
Time=21.9s | BaseRaw=874.5 | CurrentRaw=856.8 | Change=17.7 => Coffee
Time=22.0s | BaseRaw=874.5 | CurrentRaw=857.0 | Change=17.5 => Coffee
Time=22.1s | BaseRaw=874.5 | CurrentRaw=857.2 | Change=17.3 => Coffee
Time=22.2s | BaseRaw=874.5 | CurrentRaw=857.2 | Change=17.3 => Coffee
Time=22.3s | BaseRaw=874.5 | CurrentRaw=857.4 | Change=17.1 => Coffee
Time=22.4s | BaseRaw=874.5 | CurrentRaw=857.4 | Change=17.1 => Coffee
Time=22.5s | BaseRaw=874.5 | CurrentRaw=857.6 | Change=16.9 => Coffee
Time=22.6s | BaseRaw=874.5 | CurrentRaw=858.0 | Change=16.5 => Coffee
Time=22.7s | BaseRaw=874.5 | CurrentRaw=858.2 | Change=16.3 => Coffee
Time=22.8s | BaseRaw=874.5 | CurrentRaw=858.0 | Change=16.5 => Coffee
Time=22.9s | BaseRaw=874.5 | CurrentRaw=858.2 | Change=16.3 => Coffee
Time=23.0s | BaseRaw=874.5 | CurrentRaw=858.2 | Change=16.3 => Coffee
Time=23.1s | BaseRaw=874.5 | CurrentRaw=858.0 | Change=16.5 => Coffee
