Time,BaseRaw,CurrentRaw,Change
0.0,324.13,324.2,0.06999999999999318
0.204,324.13,319.6,4.529999999999973
0.408,324.13,311.8,12.329999999999984
0.612,324.13,303.4,20.730000000000018
0.816,324.13,297.2,26.930000000000007
1.02,324.13,304.0,20.129999999999995
1.224,324.13,312.2,11.930000000000007
1.429,324.13,324.8,0.6700000000000159
1.633,324.13,337.0,12.870000000000005
1.837,324.13,343.8,19.670000000000016
2.041,324.13,340.4,16.269999999999982
2.245,324.13,329.6,5.470000000000027
2.449,324.13,316.6,7.529999999999973
2.653,324.13,306.4,17.730000000000018
2.857,324.13,303.6,20.529999999999973
3.061,324.13,310.4,13.730000000000018
3.265,324.13,322.8,1.329999999999984
3.469,324.13,335.6,11.470000000000027
3.673,324.13,344.0,19.870000000000005
3.878,324.13,342.0,17.870000000000005
4.082,324.13,332.4,8.269999999999982
4.286,324.13,319.4,4.730000000000018
4.49,324.13,308.6,15.529999999999973
4.694,324.13,304.4,19.730000000000018
4.898,324.13,310.2,13.930000000000007
5.102,324.13,322.4,1.7300000000000182
5.306,324.13,335.8,11.670000000000016
5.51,324.13,345.6,21.470000000000027
5.714,324.13,344.8,20.670000000000016
5.918,324.13,336.0,11.870000000000005
6.122,324.13,323.0,1.1299999999999955
6.327,324.13,311.6,12.529999999999973
6.531,324.13,306.0,18.129999999999995
6.735,324.13,310.8,13.329999999999984
6.939,324.13,322.4,1.7300000000000182
7.143,324.13,336.0,11.870000000000005
7.347,324.13,345.8,21.670000000000016
7.551,324.13,345.8,21.670000000000016
7.755,324.13,337.6,13.470000000000027
7.959,324.13,324.6,0.4700000000000273
8.163,324.13,312.0,12.129999999999995
8.367,324.13,305.6,18.529999999999973
8.571,324.13,309.2,14.930000000000007
8.776,324.13,320.2,3.930000000000007
8.98,324.13,333.6,9.470000000000027
9.184,324.13,344.8,20.670000000000016
9.388,324.13,346.6,22.470000000000027
9.592,324.13,339.6,15.470000000000027
9.796,324.13,327.2,3.069999999999993
10.0,324.13,315.0,9.129999999999995
10.1,324.1,306.6,17.5
10.2,324.1,306.6,17.5
10.3,324.1,320.2,3.9
10.4,324.1,319.8,4.3
10.5,324.1,326.0,0.0
10.6,324.1,327.2,0.0
10.7,324.1,328.2,0.0
10.8,324.1,327.4,0.0
10.9,324.1,326.6,0.0
11.0,324.1,327.6,0.0
11.1,324.1,325.2,0.0
11.2,324.1,327.2,0.0
11.3,324.1,326.0,0.0
11.4,324.1,326.2,0.0
11.5,324.1,327.0,0.0
11.6,324.1,325.0,0.0
11.7,324.1,327.0,0.0
11.8,324.1,326.0,0.0
11.9,324.1,326.4,0.0
12.0,324.1,326.4,0.0
12.1,324.1,325.0,0.0
12.2,324.1,326.2,0.0
12.3,324.1,323.4,0.7
12.4,324.1,324.4,0.0
12.5,324.1,324.0,0.1
12.6,324.1,322.8,1.3
12.7,324.1,324.6,0.0
12.8,324.1,322.0,2.1
12.9,324.1,323.4,0.7
13.0,324.1,322.2,1.9
13.1,324.1,321.6,2.5
13.2,324.1,321.6,2.5
13.3,324.1,319.2,4.9
13.4,324.1,320.6,3.5
13.5,324.1,319.6,4.5
13.6,324.1,319.8,4.3
13.7,324.1,320.6,3.5
13.8,324.1,318.8,5.3
13.9,324.1,320.6,3.5
14.0,324.1,319.4,4.7
14.1,324.1,320.2,3.9
14.2,324.1,320.6,3.5
14.3,324.1,319.2,4.9
14.4,324.1,320.2,3.9
14.5,324.1,318.0,6.1
14.6,324.1,319.0,5.1
14.7,324.1,319.0,5.1
14.8,324.1,318.2,5.9
14.9,324.1,320.0,4.1
15.0,324.1,317.2,6.9
15.1,324.1,318.8,5.3
15.2,324.1,317.8,6.3
15.3,324.1,317.4,6.7
15.4,324.1,318.6,5.5
15.5,324.1,316.4,7.7
15.6,324.1,318.2,5.9
15.7,324.1,318.2,5.9
15.8,324.1,320.0,4.1
15.9,324.1,321.6,2.5
16.0,324.1,321.6,2.5
16.1,324.1,324.4,0.0
16.2,324.1,324.0,0.1
16.3,324.1,324.4,0.0
16.4,324.1,324.8,0.0
16.5,324.1,323.8,0.3
16.6,324.1,325.4,0.0
16.7,324.1,322.8,1.3
16.8,324.1,324.2,0.0
16.9,324.1,324.4,0.0
17.0,324.1,324.0,0.1
17.1,324.1,326.4,0.0
17.2,324.1,324.6,0.0
17.3,324.1,326.4,0.0
17.4,324.1,326.6,0.0
17.5,324.1,326.0,0.0
17.6,324.1,326.8,0.0
17.7,324.1,325.4,0.0
17.8,324.1,327.2,0.0
17.9,324.1,326.4,0.0
18.0,324.1,327.0,0.0
18.1,324.1,327.6,0.0
18.2,324.1,325.8,0.0
18.3,324.1,327.6,0.0
18.4,324.1,327.0,0.0
18.5,324.1,327.6,0.0
18.6,324.1,328.6,0.0
18.7,324.1,327.8,0.0
18.8,324.1,330.0,0.0
18.9,324.1,328.0,0.0
19.0,324.1,329.6,0.0
19.1,324.1,330.0,0.0
19.2,324.1,329.0,0.0
19.3,324.1,330.4,0.0
19.4,324.1,327.6,0.0
19.5,324.1,329.0,0.0
19.6,324.1,328.2,0.0
19.7,324.1,328.2,0.0
19.8,324.1,329.8,0.0
19.9,324.1,328.0,0.0
20.0,324.1,330.4,0.0
20.1,324.1,323.8,0.3
20.2,324.1,332.2,0.0
20.3,324.1,323.2,0.9
20.4,324.1,330.2,0.0
20.5,324.1,325.6,0.0
20.6,324.1,332.0,0.0
20.7,324.1,323.4,0.7
20.8,324.1,333.4,0.0
20.9,324.1,322.6,1.5
21.0,324.1,334.2,0.0
21.1,324.1,323.0,1.1
21.2,324.1,334.6,0.0
21.3,324.1,325.2,0.0
21.4,324.1,334.0,0.0
21.5,324.1,328.0,0.0
21.6,324.1,331.8,0.0
21.7,324.1,330.2,0.0
21.8,324.1,328.8,0.0
21.9,324.1,332.0,0.0
22.0,324.1,325.8,0.0
22.1,324.1,334.0,0.0
22.2,324.1,324.2,0.0
22.3,324.1,335.4,0.0
22.4,324.1,324.2,0.0
22.5,324.1,335.8,0.0
22.6,324.1,325.2,0.0
22.7,324.1,335.8,0.0
22.8,324.1,327.8,0.0
22.9,324.1,333.2,0.0
23.0,324.1,329.6,0.0
23.1,324.1,330.2,0.0
23.2,324.1,330.8,0.0
23.3,324.1,326.2,0.0
23.4,324.1,332.8,0.0
23.5,324.1,324.2,0.0
23.6,324.1,334.6,0.0
23.7,324.1,323.8,0.3
23.8,324.1,335.2,0.0
23.9,324.1,324.0,0.1
24.0,324.1,334.6,0.0
24.1,324.1,325.0,0.0
24.2,324.1,330.6,0.0
24.3,324.1,325.0,0.0
24.4,324.1,326.0,0.0
24.5,324.1,325.0,0.0
24.6,324.1,321.2,2.9
24.7,324.1,326.8,0.0
24.8,324.1,319.0,5.1
24.9,324.1,328.6,0.0
25.0,324.1,318.2,5.9
25.1,324.1,329.6,0.0
25.2,324.1,318.8,5.3
25.3,324.1,330.0,0.0
25.4,324.1,321.4,2.7
25.5,324.1,328.4,0.0
25.6,324.1,323.4,0.7
25.7,324.1,325.4,0.0
25.8,324.1,324.8,0.0
