Time,BaseRaw,CurrentRaw,Change
0.0,250.59,254.0,3.4099999999999966
0.204,250.59,253.2,2.609999999999985
0.408,250.59,252.8,2.210000000000008
0.612,250.59,252.6,2.009999999999991
0.816,250.59,252.4,1.8100000000000023
1.02,250.59,252.6,2.009999999999991
1.224,250.59,253.0,2.4099999999999966
1.429,250.59,253.2,2.609999999999985
1.633,250.59,253.0,2.4099999999999966
1.837,250.59,253.0,2.4099999999999966
2.041,250.59,253.0,2.4099999999999966
2.245,250.59,252.8,2.210000000000008
2.449,250.59,252.6,2.009999999999991
2.653,250.59,252.6,2.009999999999991
2.857,250.59,252.4,1.8100000000000023
3.061,250.59,252.2,1.6099999999999852
3.265,250.59,252.0,1.4099999999999966
3.469,250.59,251.8,1.210000000000008
3.673,250.59,251.4,0.8100000000000023
3.878,250.59,250.8,0.21000000000000796
4.082,250.59,250.2,0.3900000000000148
4.286,250.59,249.8,0.789999999999992
4.49,250.59,249.6,0.9900000000000091
4.694,250.59,249.6,0.9900000000000091
4.898,250.59,249.6,0.9900000000000091
5.102,250.59,249.6,0.9900000000000091
5.306,250.59,249.8,0.789999999999992
5.51,250.59,250.0,0.5900000000000034
5.714,250.59,250.2,0.3900000000000148
5.918,250.59,250.4,0.18999999999999773
6.122,250.59,250.6,0.009999999999990905
6.327,250.59,250.4,0.18999999999999773
6.531,250.59,250.2,0.3900000000000148
6.735,250.59,250.0,0.5900000000000034
6.939,250.59,250.0,0.5900000000000034
7.143,250.59,249.8,0.789999999999992
7.347,250.59,249.6,0.9900000000000091
7.551,250.59,249.4,1.1899999999999977
7.755,250.59,249.2,1.3900000000000148
7.959,250.59,249.0,1.5900000000000034
8.163,250.59,249.0,1.5900000000000034
8.367,250.59,248.8,1.789999999999992
8.571,250.59,248.4,2.1899999999999977
8.776,250.59,248.2,2.390000000000015
8.98,250.59,248.2,2.390000000000015
9.184,250.59,248.0,2.5900000000000034
9.388,250.59,247.8,2.789999999999992
9.592,250.59,247.8,2.789999999999992
9.796,250.59,247.6,2.990000000000009
10.0,250.59,247.2,3.390000000000015
10.1,250.6,247.0,3.6
10.2,250.6,247.0,3.6
10.3,250.6,247.2,3.4
10.4,250.6,247.2,3.4
