Time,BaseRaw,CurrentRaw,Change
0.0,303.9,317.6,13.700000000000045
0.204,303.9,307.2,3.3000000000000114
0.408,303.9,295.4,8.5
0.612,303.9,285.4,18.5
0.816,303.9,280.6,23.299999999999955
1.02,303.9,289.2,14.699999999999989
1.224,303.9,301.8,2.099999999999966
1.429,303.9,315.2,11.300000000000011
1.633,303.9,324.0,20.100000000000023
1.837,303.9,320.6,16.700000000000045
2.041,303.9,310.2,6.300000000000011
2.245,303.9,296.8,7.099999999999966
2.449,303.9,285.8,18.099999999999966
2.653,303.9,282.6,21.299999999999955
2.857,303.9,290.2,13.699999999999989
3.061,303.9,303.0,0.8999999999999773
3.265,303.9,316.0,12.100000000000023
3.469,303.9,324.4,20.5
3.673,303.9,320.8,16.900000000000034
3.878,303.9,310.4,6.5
4.082,303.9,297.2,6.699999999999989
4.286,303.9,286.8,17.099999999999966
4.49,303.9,284.4,19.5
4.694,303.9,292.2,11.699999999999989
4.898,303.9,304.6,0.7000000000000455
5.102,303.9,317.4,13.5
5.306,303.9,325.2,21.30000000000001
5.51,303.9,321.6,17.700000000000045
5.714,303.9,311.6,7.7000000000000455
5.918,303.9,299.2,4.699999999999989
6.122,303.9,289.6,14.299999999999955
6.327,303.9,287.4,16.5
6.531,303.9,294.8,9.099999999999966
6.735,303.9,307.0,3.1000000000000227
6.939,303.9,318.8,14.900000000000034
7.143,303.9,325.6,21.700000000000045
7.347,303.9,321.6,17.700000000000045
7.551,303.9,310.6,6.7000000000000455
7.755,303.9,297.4,6.5
7.959,303.9,287.4,16.5
8.163,303.9,285.4,18.5
8.367,303.9,293.2,10.699999999999989
8.571,303.9,306.0,2.1000000000000227
8.776,303.9,318.2,14.300000000000011
8.98,303.9,325.4,21.5
9.184,303.9,321.4,17.5
9.388,303.9,311.0,7.100000000000023
9.592,303.9,298.8,5.099999999999966
9.796,303.9,289.8,14.099999999999966
10.0,303.9,288.2,15.699999999999989
10.1,303.9,307.4,0.0
10.2,303.9,310.8,0.0
10.3,303.9,313.4,0.0
10.4,303.9,317.4,0.0
10.5,303.9,306.4,0.0
10.6,303.9,307.4,0.0
10.7,303.9,305.6,0.0
10.8,303.9,308.0,0.0
10.9,303.9,307.2,0.0
11.0,303.9,307.8,0.0
11.1,303.9,308.0,0.0
11.2,303.9,307.0,0.0
11.3,303.9,308.6,0.0
11.4,303.9,305.4,0.0
11.5,303.9,306.4,0.0
11.6,303.9,306.2,0.0
11.7,303.9,304.6,0.0
11.8,303.9,306.0,0.0
11.9,303.9,302.0,1.9
12.0,303.9,304.0,0.0
12.1,303.9,302.8,1.1
12.2,303.9,302.2,1.7
12.3,303.9,303.0,0.9
12.4,303.9,301.0,2.9
12.5,303.9,303.4,0.5
12.6,303.9,302.2,1.7
12.7,303.9,302.4,1.5
12.8,303.9,302.8,1.1
12.9,303.9,301.4,2.5
13.0,303.9,303.0,0.9
13.1,303.9,300.8,3.1
13.2,303.9,302.2,1.7
13.3,303.9,302.4,1.5
13.4,303.9,301.0,2.9
13.5,303.9,303.0,0.9
13.6,303.9,298.6,5.3
13.7,303.9,300.6,3.3
13.8,303.9,299.8,4.1
13.9,303.9,299.4,4.5
14.0,303.9,300.8,3.1
14.1,303.9,298.6,5.3
14.2,303.9,301.6,2.3
14.3,303.9,300.4,3.5
14.4,303.9,300.8,3.1
14.5,303.9,301.2,2.7
14.6,303.9,299.8,4.1
14.7,303.9,301.6,2.3
14.8,303.9,299.6,4.3
14.9,303.9,301.0,2.9
15.0,303.9,301.2,2.7
15.1,303.9,300.0,3.9
15.2,303.9,302.0,1.9
15.3,303.9,297.6,6.3
