Time,BaseRaw,CurrentRaw,Change
0.0,193.21,211.0,17.789999999999992
0.204,193.21,206.8,13.590000000000003
0.408,193.21,207.8,14.590000000000003
0.612,193.21,212.0,18.789999999999992
0.816,193.21,217.0,23.789999999999992
1.02,193.21,213.2,19.98999999999998
1.224,193.21,209.0,15.789999999999992
1.429,193.21,197.4,4.189999999999998
1.633,193.21,183.0,10.210000000000008
1.837,193.21,171.8,21.409999999999997
2.041,193.21,169.8,23.409999999999997
2.245,193.21,178.8,14.409999999999997
2.449,193.21,192.6,0.6100000000000136
2.653,193.21,206.2,12.98999999999998
2.857,193.21,213.4,20.189999999999998
3.061,193.21,208.0,14.789999999999992
3.265,193.21,195.6,2.3899999999999864
3.469,193.21,181.2,12.01000000000002
3.673,193.21,170.8,22.409999999999997
3.878,193.21,169.8,23.409999999999997
4.082,193.21,179.4,13.810000000000002
4.286,193.21,193.6,0.38999999999998636
4.49,193.21,207.2,13.98999999999998
4.694,193.21,213.0,19.789999999999992
4.898,193.21,207.2,13.98999999999998
5.102,193.21,194.6,1.3899999999999864
5.306,193.21,180.4,12.810000000000002
5.51,193.21,170.8,22.409999999999997
5.714,193.21,171.2,22.01000000000002
5.918,193.21,181.4,11.810000000000002
6.122,193.21,195.6,2.3899999999999864
6.327,193.21,208.6,15.389999999999986
6.531,193.21,212.8,19.590000000000003
6.735,193.21,206.2,12.98999999999998
6.939,193.21,193.2,0.010000000000019327
7.143,193.21,179.0,14.210000000000008
7.347,193.21,170.2,23.01000000000002
7.551,193.21,171.6,21.610000000000014
7.755,193.21,182.2,11.01000000000002
7.959,193.21,196.8,3.5900000000000034
8.163,193.21,209.6,16.389999999999986
8.367,193.21,212.0,18.789999999999992
8.571,193.21,204.8,11.590000000000003
8.776,193.21,191.4,1.8100000000000023
8.98,193.21,177.4,15.810000000000002
9.184,193.21,169.6,23.610000000000014
9.388,193.21,172.6,20.610000000000014
9.592,193.21,183.8,9.409999999999997
9.796,193.21,198.4,5.189999999999998
10.0,193.21,210.6,17.389999999999986
10.1,193.2,207.0,0.0
10.2,193.2,198.4,0.0
10.3,193.2,197.6,0.0
10.4,193.2,184.2,9.0
10.5,193.2,191.4,1.8
10.6,193.2,189.4,3.8
10.7,193.2,192.2,1.0
10.8,193.2,191.2,2.0
10.9,193.2,192.0,1.2
11.0,193.2,192.6,0.6
11.1,193.2,190.8,2.4
11.2,193.2,193.0,0.2
11.3,193.2,189.8,3.4
11.4,193.2,191.2,2.0
11.5,193.2,191.4,1.8
11.6,193.2,190.0,3.2
11.7,193.2,192.0,1.2
11.8,193.2,187.6,5.6
11.9,193.2,191.0,2.2
12.0,193.2,190.2,3.0
12.1,193.2,189.8,3.4
12.2,193.2,191.6,1.6
12.3,193.2,189.4,3.8
12.4,193.2,191.8,1.4
12.5,193.2,190.6,2.6
12.6,193.2,191.4,1.8
12.7,193.2,192.0,1.2
12.8,193.2,190.2,3.0
12.9,193.2,192.6,0.6
13.0,193.2,189.4,3.8
