record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,821.8,,,,821.8,Collecting baseline... RawAvg=821.80
baseline,821.4,,,,821.4,Collecting baseline... RawAvg=821.40
baseline,821.4,,,,821.4,Collecting baseline... RawAvg=821.40
baseline,821.2,,,,821.2,Collecting baseline... RawAvg=821.20
baseline,821.2,,,,821.2,Collecting baseline... RawAvg=821.20
baseline,821.6,,,,821.6,Collecting baseline... RawAvg=821.60
baseline,821.8,,,,821.8,Collecting baseline... RawAvg=821.80
baseline,821.4,,,,821.4,Collecting baseline... RawAvg=821.40
baseline,821.2,,,,821.2,Collecting baseline... RawAvg=821.20
baseline,820.8,,,,820.8,Collecting baseline... RawAvg=820.80
baseline,820.4,,,,820.4,Collecting baseline... RawAvg=820.40
baseline,820.2,,,,820.2,Collecting baseline... RawAvg=820.20
baseline,820.2,,,,820.2,Collecting baseline... RawAvg=820.20
baseline,820.0,,,,820.0,Collecting baseline... RawAvg=820.00
baseline,819.8,,,,819.8,Collecting baseline... RawAvg=819.80
baseline,819.4,,,,819.4,Collecting baseline... RawAvg=819.40
baseline,819.0,,,,819.0,Collecting baseline... RawAvg=819.00
baseline,818.6,,,,818.6,Collecting baseline... RawAvg=818.60
baseline,818.4,,,,818.4,Collecting baseline... RawAvg=818.40
baseline,818.0,,,,818.0,Collecting baseline... RawAvg=818.00
baseline,818.0,,,,818.0,Collecting baseline... RawAvg=818.00
baseline,818.4,,,,818.4,Collecting baseline... RawAvg=818.40
baseline,818.6,,,,818.6,Collecting baseline... RawAvg=818.60
baseline,818.8,,,,818.8,Collecting baseline... RawAvg=818.80
baseline,819.0,,,,819.0,Collecting baseline... RawAvg=819.00
baseline,818.8,,,,818.8,Collecting baseline... RawAvg=818.80
baseline,818.4,,,,818.4,Collecting baseline... RawAvg=818.40
baseline,818.2,,,,818.2,Collecting baseline... RawAvg=818.20
baseline,818.2,,,,818.2,Collecting baseline... RawAvg=818.20
baseline,818.4,,,,818.4,Collecting baseline... RawAvg=818.40
baseline,818.6,,,,818.6,Collecting baseline... RawAvg=818.60
baseline,819.0,,,,819.0,Collecting baseline... RawAvg=819.00
baseline,819.2,,,,819.2,Collecting baseline... RawAvg=819.20
baseline,819.2,,,,819.2,Collecting baseline... RawAvg=819.20
baseline,819.0,,,,819.0,Collecting baseline... RawAvg=819.00
baseline,818.6,,,,818.6,Collecting baseline... RawAvg=818.60
baseline,818.2,,,,818.2,Collecting baseline... RawAvg=818.20
baseline,818.0,,,,818.0,Collecting baseline... RawAvg=818.00
baseline,818.0,,,,818.0,Collecting baseline... RawAvg=818.00
baseline,818.4,,,,818.4,Collecting baseline... RawAvg=818.40
baseline,818.8,,,,818.8,Collecting baseline... RawAvg=818.80
baseline,818.8,,,,818.8,Collecting baseline... RawAvg=818.80
baseline,818.8,,,,818.8,Collecting baseline... RawAvg=818.80
baseline,818.6,,,,818.6,Collecting baseline... RawAvg=818.60
baseline,818.0,,,,818.0,Collecting baseline... RawAvg=818.00
baseline,817.6,,,,817.6,Collecting baseline... RawAvg=817.60
baseline,817.8,,,,817.8,Collecting baseline... RawAvg=817.80
baseline,818.0,,,,818.0,Collecting baseline... RawAvg=818.00
baseline,818.2,,,,818.2,Collecting baseline... RawAvg=818.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,819.25,,,819.25,Final Base Raw Average = 819.25
info,,,,,,--------------------------------------------------------------------------
data,,819.3,817.4,1.9,817.4,Time=12.0s | BaseRaw=819.3 | CurrentRaw=817.4 | Change=1.9 => Floor
data,,819.3,818.4,0.9,818.4,Time=12.1s | BaseRaw=819.3 | CurrentRaw=818.4 | Change=0.9 => Floor
data,,819.3,818.8,0.5,818.8,Time=12.2s | BaseRaw=819.3 | CurrentRaw=818.8 | Change=0.5 => Floor
data,,819.3,818.8,0.5,818.8,Time=12.3s | BaseRaw=819.3 | CurrentRaw=818.8 | Change=0.5 => Floor
data,,819.3,818.8,0.5,818.8,Time=12.4s | BaseRaw=819.3 | CurrentRaw=818.8 | Change=0.5 => Floor
data,,819.3,818.6,0.7,818.6,Time=12.5s | BaseRaw=819.3 | CurrentRaw=818.6 | Change=0.7 => Floor
data,,819.3,818.6,0.7,818.6,Time=12.6s | BaseRaw=819.3 | CurrentRaw=818.6 | Change=0.7 => Floor
data,,819.3,818.4,0.9,818.4,Time=12.7s | BaseRaw=819.3 | CurrentRaw=818.4 | Change=0.9 => Floor
data,,819.3,817.6,1.7,817.6,Time=12.8s | BaseRaw=819.3 | CurrentRaw=817.6 | Change=1.7 => Floor
data,,819.3,817.4,1.9,817.4,Time=12.9s | BaseRaw=819.3 | CurrentRaw=817.4 | Change=1.9 => Floor
data,,819.3,816.8,2.5,816.8,Time=13.0s | BaseRaw=819.3 | CurrentRaw=816.8 | Change=2.5 => Floor
data,,819.3,816.6,2.7,816.6,Time=13.1s | BaseRaw=819.3 | CurrentRaw=816.6 | Change=2.7 => Floor
data,,819.3,816.0,3.3,816.0,Time=13.2s | BaseRaw=819.3 | CurrentRaw=816.0 | Change=3.3 => Floor
data,,819.3,816.6,2.7,816.6,Time=13.3s | BaseRaw=819.3 | CurrentRaw=816.6 | Change=2.7 => Floor
data,,819.3,816.2,3.1,816.2,Time=13.4s | BaseRaw=819.3 | CurrentRaw=816.2 | Change=3.1 => Floor
data,,819.3,816.4,2.9,816.4,Time=13.5s | BaseRaw=819.3 | CurrentRaw=816.4 | Change=2.9 => Floor
data,,819.3,816.0,3.3,816.0,Time=13.6s | BaseRaw=819.3 | CurrentRaw=816.0 | Change=3.3 => Floor
data,,819.3,816.2,3.1,816.2,Time=13.7s | BaseRaw=819.3 | CurrentRaw=816.2 | Change=3.1 => Floor
data,,819.3,816.0,3.3,816.0,Time=13.8s | BaseRaw=819.3 | CurrentRaw=816.0 | Change=3.3 => Floor
data,,819.3,816.2,3.1,816.2,Time=13.9s | BaseRaw=819.3 | CurrentRaw=816.2 | Change=3.1 => Floor
data,,819.3,816.4,2.9,816.4,Time=14.0s | BaseRaw=819.3 | CurrentRaw=816.4 | Change=2.9 => Floor
data,,819.3,816.6,2.7,816.6,Time=14.1s | BaseRaw=819.3 | CurrentRaw=816.6 | Change=2.7 => Floor
data,,819.3,816.6,2.7,816.6,Time=14.2s | BaseRaw=819.3 | CurrentRaw=816.6 | Change=2.7 => Floor
data,,819.3,816.2,3.1,816.2,Time=14.3s | BaseRaw=819.3 | CurrentRaw=816.2 | Change=3.1 => Floor
data,,819.3,816.6,2.7,816.6,Time=14.4s | BaseRaw=819.3 | CurrentRaw=816.6 | Change=2.7 => Floor
data,,819.3,816.2,3.1,816.2,Time=14.5s | BaseRaw=819.3 | CurrentRaw=816.2 | Change=3.1 => Floor
data,,819.3,816.4,2.9,816.4,Time=14.6s | BaseRaw=819.3 | CurrentRaw=816.4 | Change=2.9 => Floor
data,,819.3,816.0,3.3,816.0,Time=14.7s | BaseRaw=819.3 | CurrentRaw=816.0 | Change=3.3 => Floor
data,,819.3,816.4,2.9,816.4,Time=14.8s | BaseRaw=819.3 | CurrentRaw=816.4 | Change=2.9 => Floor
data,,819.3,816.0,3.3,816.0,Time=14.9s | BaseRaw=819.3 | CurrentRaw=816.0 | Change=3.3 => Floor
data,,819.3,816.6,2.7,816.6,Time=15.0s | BaseRaw=819.3 | CurrentRaw=816.6 | Change=2.7 => Floor
data,,819.3,816.4,2.9,816.4,Time=15.1s | BaseRaw=819.3 | CurrentRaw=816.4 | Change=2.9 => Floor
data,,819.3,816.8,2.5,816.8,Time=15.2s | BaseRaw=819.3 | CurrentRaw=816.8 | Change=2.5 => Floor
data,,819.3,816.6,2.7,816.6,Time=15.3s | BaseRaw=819.3 | CurrentRaw=816.6 | Change=2.7 => Floor
data,,819.3,816.6,2.7,816.6,Time=15.4s | BaseRaw=819.3 | CurrentRaw=816.6 | Change=2.7 => Floor
data,,819.3,816.4,2.9,816.4,Time=15.5s | BaseRaw=819.3 | CurrentRaw=816.4 | Change=2.9 => Floor
data,,819.3,816.6,2.7,816.6,Time=15.6s | BaseRaw=819.3 | CurrentRaw=816.6 | Change=2.7 => Floor
data,,819.3,816.8,2.5,816.8,Time=15.7s | BaseRaw=819.3 | CurrentRaw=816.8 | Change=2.5 => Floor
data,,819.3,816.6,2.7,816.6,Time=15.8s | BaseRaw=819.3 | CurrentRaw=816.6 | Change=2.7 => Floor
data,,819.3,816.8,2.5,816.8,Time=15.9s | BaseRaw=819.3 | CurrentRaw=816.8 | Change=2.5 => Floor
data,,819.3,816.6,2.7,816.6,Time=16.0s | BaseRaw=819.3 | CurrentRaw=816.6 | Change=2.7 => Floor
data,,819.3,816.6,2.7,816.6,Time=16.1s | BaseRaw=819.3 | CurrentRaw=816.6 | Change=2.7 => Floor
data,,819.3,816.0,3.3,816.0,Time=16.2s | BaseRaw=819.3 | CurrentRaw=816.0 | Change=3.3 => Floor
data,,819.3,816.4,2.9,816.4,Time=16.3s | BaseRaw=819.3 | CurrentRaw=816.4 | Change=2.9 => Floor
