record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.0,,,,840.0,Collecting baseline... RawAvg=840.00
baseline,840.0,,,,840.0,Collecting baseline... RawAvg=840.00
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.0,,,,840.0,Collecting baseline... RawAvg=840.00
baseline,840.0,,,,840.0,Collecting baseline... RawAvg=840.00
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.8,,,,840.8,Collecting baseline... RawAvg=840.80
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.8,,,,840.8,Collecting baseline... RawAvg=840.80
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.0,,,,840.0,Collecting baseline... RawAvg=840.00
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
info,,,,,,Baseline collection complete! Starting detection.
final_base,,840.33,,,840.33,Final Base Raw Average = 840.33
info,,,,,,--------------------------------------------------------------------------
data,,840.3,848.4,8.1,848.4,Time=6.6s | BaseRaw=840.3 | CurrentRaw=848.4 | Change=8.1 => Floor
data,,840.3,848.4,8.1,848.4,Time=6.7s | BaseRaw=840.3 | CurrentRaw=848.4 | Change=8.1 => Floor
data,,840.3,848.4,8.1,848.4,Time=6.8s | BaseRaw=840.3 | CurrentRaw=848.4 | Change=8.1 => Floor
data,,840.3,848.4,8.1,848.4,Time=6.9s | BaseRaw=840.3 | CurrentRaw=848.4 | Change=8.1 => Floor
data,,840.3,848.2,7.9,848.2,Time=7.0s | BaseRaw=840.3 | CurrentRaw=848.2 | Change=7.9 => Floor
data,,840.3,848.2,7.9,848.2,Time=7.1s | BaseRaw=840.3 | CurrentRaw=848.2 | Change=7.9 => Floor
data,,840.3,848.2,7.9,848.2,Time=7.2s | BaseRaw=840.3 | CurrentRaw=848.2 | Change=7.9 => Floor
data,,840.3,848.0,7.7,848.0,Time=7.3s | BaseRaw=840.3 | CurrentRaw=848.0 | Change=7.7 => Floor
data,,840.3,848.2,7.9,848.2,Time=7.4s | BaseRaw=840.3 | CurrentRaw=848.2 | Change=7.9 => Floor
data,,840.3,848.2,7.9,848.2,Time=7.5s | BaseRaw=840.3 | CurrentRaw=848.2 | Change=7.9 => Floor
data,,840.3,848.2,7.9,848.2,Time=7.6s | BaseRaw=840.3 | CurrentRaw=848.2 | Change=7.9 => Floor
data,,840.3,848.2,7.9,848.2,Time=7.7s | BaseRaw=840.3 | CurrentRaw=848.2 | Change=7.9 => Floor
data,,840.3,848.4,8.1,848.4,Time=7.8s | BaseRaw=840.3 | CurrentRaw=848.4 | Change=8.1 => Floor
data,,840.3,848.4,8.1,848.4,Time=7.9s | BaseRaw=840.3 | CurrentRaw=848.4 | Change=8.1 => Floor
data,,840.3,848.4,8.1,848.4,Time=8.0s | BaseRaw=840.3 | CurrentRaw=848.4 | Change=8.1 => Floor
data,,840.3,848.6,8.3,848.6,Time=8.1s | BaseRaw=840.3 | CurrentRaw=848.6 | Change=8.3 => Floor
data,,840.3,848.6,8.3,848.6,Time=8.2s | BaseRaw=840.3 | CurrentRaw=848.6 | Change=8.3 => Floor
data,,840.3,848.6,8.3,848.6,Time=8.3s | BaseRaw=840.3 | CurrentRaw=848.6 | Change=8.3 => Floor
data,,840.3,848.4,8.1,848.4,Time=8.4s | BaseRaw=840.3 | CurrentRaw=848.4 | Change=8.1 => Floor
data,,840.3,848.6,8.3,848.6,Time=8.5s | BaseRaw=840.3 | CurrentRaw=848.6 | Change=8.3 => Floor
data,,840.3,848.4,8.1,848.4,Time=8.6s | BaseRaw=840.3 | CurrentRaw=848.4 | Change=8.1 => Floor
data,,840.3,848.4,8.1,848.4,Time=8.7s | BaseRaw=840.3 | CurrentRaw=848.4 | Change=8.1 => Floor
data,,840.3,848.4,8.1,848.4,Time=8.8s | BaseRaw=840.3 | CurrentRaw=848.4 | Change=8.1 => Floor
data,,840.3,848.4,8.1,848.4,Time=8.9s | BaseRaw=840.3 | CurrentRaw=848.4 | Change=8.1 => Floor
data,,840.3,848.2,7.9,848.2,Time=9.0s | BaseRaw=840.3 | CurrentRaw=848.2 | Change=7.9 => Floor
data,,840.3,848.2,7.9,848.2,Time=9.1s | BaseRaw=840.3 | CurrentRaw=848.2 | Change=7.9 => Floor
data,,840.3,848.2,7.9,848.2,Time=9.2s | BaseRaw=840.3 | CurrentRaw=848.2 | Change=7.9 => Floor
data,,840.3,848.0,7.7,848.0,Time=9.3s | BaseRaw=840.3 | CurrentRaw=848.0 | Change=7.7 => Floor
data,,840.3,848.0,7.7,848.0,Time=9.4s | BaseRaw=840.3 | CurrentRaw=848.0 | Change=7.7 => Floor
data,,840.3,848.2,7.9,848.2,Time=9.5s | BaseRaw=840.3 | CurrentRaw=848.2 | Change=7.9 => Floor
data,,840.3,848.4,8.1,848.4,Time=9.6s | BaseRaw=840.3 | CurrentRaw=848.4 | Change=8.1 => Floor
data,,840.3,848.6,8.3,848.6,Time=9.7s | BaseRaw=840.3 | CurrentRaw=848.6 | Change=8.3 => Floor
data,,840.3,848.8,8.5,848.8,Time=9.8s | BaseRaw=840.3 | CurrentRaw=848.8 | Change=8.5 => Floor
data,,840.3,848.8,8.5,848.8,Time=9.9s | BaseRaw=840.3 | CurrentRaw=848.8 | Change=8.5 => Floor
data,,840.3,848.8,8.5,848.8,Time=10.0s | BaseRaw=840.3 | CurrentRaw=848.8 | Change=8.5 => Floor
data,,840.3,848.6,8.3,848.6,Time=10.1s | BaseRaw=840.3 | CurrentRaw=848.6 | Change=8.3 => Floor
data,,840.3,848.4,8.1,848.4,Time=10.2s | BaseRaw=840.3 | CurrentRaw=848.4 | Change=8.1 => Floor
data,,840.3,848.2,7.9,848.2,Time=10.3s | BaseRaw=840.3 | CurrentRaw=848.2 | Change=7.9 => Floor
data,,840.3,848.2,7.9,848.2,Time=10.4s | BaseRaw=840.3 | CurrentRaw=848.2 | Change=7.9 => Floor
data,,840.3,848.2,7.9,848.2,Time=10.5s | BaseRaw=840.3 | CurrentRaw=848.2 | Change=7.9 => Floor
data,,840.3,848.2,7.9,848.2,Time=10.6s | BaseRaw=840.3 | CurrentRaw=848.2 | Change=7.9 => Floor
data,,840.3,848.2,7.9,848.2,Time=10.7s | BaseRaw=840.3 | CurrentRaw=848.2 | Change=7.9 => Floor
data,,840.3,848.2,7.9,848.2,Time=10.8s | BaseRaw=840.3 | CurrentRaw=848.2 | Change=7.9 => Floor
data,,840.3,848.4,8.1,848.4,Time=10.9s | BaseRaw=840.3 | CurrentRaw=848.4 | Change=8.1 => Floor
data,,840.3,848.4,8.1,848.4,Time=11.0s | BaseRaw=840.3 | CurrentRaw=848.4 | Change=8.1 => Floor
data,,840.3,848.6,8.3,848.6,Time=11.1s | BaseRaw=840.3 | CurrentRaw=848.6 | Change=8.3 => Floor
