record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,813.8,,,,813.8,Collecting baseline... RawAvg=813.80
baseline,813.4,,,,813.4,Collecting baseline... RawAvg=813.40
baseline,813.0,,,,813.0,Collecting baseline... RawAvg=813.00
baseline,812.8,,,,812.8,Collecting baseline... RawAvg=812.80
baseline,812.6,,,,812.6,Collecting baseline... RawAvg=812.60
baseline,813.0,,,,813.0,Collecting baseline... RawAvg=813.00
baseline,813.6,,,,813.6,Collecting baseline... RawAvg=813.60
baseline,814.2,,,,814.2,Collecting baseline... RawAvg=814.20
baseline,814.2,,,,814.2,Collecting baseline... RawAvg=814.20
baseline,813.8,,,,813.8,Collecting baseline... RawAvg=813.80
baseline,813.6,,,,813.6,Collecting baseline... RawAvg=813.60
baseline,813.0,,,,813.0,Collecting baseline... RawAvg=813.00
baseline,812.6,,,,812.6,Collecting baseline... RawAvg=812.60
baseline,812.8,,,,812.8,Collecting baseline... RawAvg=812.80
baseline,813.4,,,,813.4,Collecting baseline... RawAvg=813.40
baseline,813.6,,,,813.6,Collecting baseline... RawAvg=813.60
baseline,814.0,,,,814.0,Collecting baseline... RawAvg=814.00
baseline,814.0,,,,814.0,Collecting baseline... RawAvg=814.00
baseline,813.8,,,,813.8,Collecting baseline... RawAvg=813.80
baseline,813.2,,,,813.2,Collecting baseline... RawAvg=813.20
baseline,812.8,,,,812.8,Collecting baseline... RawAvg=812.80
baseline,812.6,,,,812.6,Collecting baseline... RawAvg=812.60
baseline,812.6,,,,812.6,Collecting baseline... RawAvg=812.60
baseline,812.8,,,,812.8,Collecting baseline... RawAvg=812.80
baseline,813.4,,,,813.4,Collecting baseline... RawAvg=813.40
baseline,813.8,,,,813.8,Collecting baseline... RawAvg=813.80
baseline,813.8,,,,813.8,Collecting baseline... RawAvg=813.80
baseline,813.6,,,,813.6,Collecting baseline... RawAvg=813.60
baseline,813.2,,,,813.2,Collecting baseline... RawAvg=813.20
baseline,812.6,,,,812.6,Collecting baseline... RawAvg=812.60
baseline,812.2,,,,812.2,Collecting baseline... RawAvg=812.20
baseline,812.2,,,,812.2,Collecting baseline... RawAvg=812.20
baseline,812.6,,,,812.6,Collecting baseline... RawAvg=812.60
baseline,813.2,,,,813.2,Collecting baseline... RawAvg=813.20
baseline,813.6,,,,813.6,Collecting baseline... RawAvg=813.60
baseline,814.0,,,,814.0,Collecting baseline... RawAvg=814.00
baseline,813.8,,,,813.8,Collecting baseline... RawAvg=813.80
baseline,813.2,,,,813.2,Collecting baseline... RawAvg=813.20
baseline,812.6,,,,812.6,Collecting baseline... RawAvg=812.60
baseline,812.2,,,,812.2,Collecting baseline... RawAvg=812.20
baseline,812.0,,,,812.0,Collecting baseline... RawAvg=812.00
baseline,812.4,,,,812.4,Collecting baseline... RawAvg=812.40
baseline,813.0,,,,813.0,Collecting baseline... RawAvg=813.00
baseline,813.4,,,,813.4,Collecting baseline... RawAvg=813.40
baseline,813.6,,,,813.6,Collecting baseline... RawAvg=813.60
baseline,813.4,,,,813.4,Collecting baseline... RawAvg=813.40
baseline,813.0,,,,813.0,Collecting baseline... RawAvg=813.00
baseline,812.8,,,,812.8,Collecting baseline... RawAvg=812.80
baseline,812.4,,,,812.4,Collecting baseline... RawAvg=812.40
info,,,,,,Baseline collection complete! Starting detection.
final_base,,813.17,,,813.17,Final Base Raw Average = 813.17
info,,,,,,--------------------------------------------------------------------------
data,,813.2,837.8,24.6,837.8,Time=6.6s | BaseRaw=813.2 | CurrentRaw=837.8 | Change=24.6 => Liquid
data,,813.2,837.6,24.4,837.6,Time=6.7s | BaseRaw=813.2 | CurrentRaw=837.6 | Change=24.4 => Liquid
data,,813.2,837.0,23.8,837.0,Time=6.8s | BaseRaw=813.2 | CurrentRaw=837.0 | Change=23.8 => Liquid
data,,813.2,836.8,23.6,836.8,Time=6.9s | BaseRaw=813.2 | CurrentRaw=836.8 | Change=23.6 => Liquid
data,,813.2,836.4,23.2,836.4,Time=7.0s | BaseRaw=813.2 | CurrentRaw=836.4 | Change=23.2 => Liquid
data,,813.2,835.8,22.6,835.8,Time=7.1s | BaseRaw=813.2 | CurrentRaw=835.8 | Change=22.6 => Liquid
data,,813.2,835.8,22.6,835.8,Time=7.2s | BaseRaw=813.2 | CurrentRaw=835.8 | Change=22.6 => Liquid
data,,813.2,835.4,22.2,835.4,Time=7.3s | BaseRaw=813.2 | CurrentRaw=835.4 | Change=22.2 => Liquid
data,,813.2,835.0,21.8,835.0,Time=7.4s | BaseRaw=813.2 | CurrentRaw=835.0 | Change=21.8 => Liquid
data,,813.2,835.2,22.0,835.2,Time=7.5s | BaseRaw=813.2 | CurrentRaw=835.2 | Change=22.0 => Liquid
data,,813.2,835.0,21.8,835.0,Time=7.6s | BaseRaw=813.2 | CurrentRaw=835.0 | Change=21.8 => Liquid
data,,813.2,834.8,21.6,834.8,Time=7.7s | BaseRaw=813.2 | CurrentRaw=834.8 | Change=21.6 => Liquid
data,,813.2,835.4,22.2,835.4,Time=7.8s | BaseRaw=813.2 | CurrentRaw=835.4 | Change=22.2 => Liquid
data,,813.2,835.2,22.0,835.2,Time=7.9s | BaseRaw=813.2 | CurrentRaw=835.2 | Change=22.0 => Liquid
data,,813.2,835.2,22.0,835.2,Time=8.0s | BaseRaw=813.2 | CurrentRaw=835.2 | Change=22.0 => Liquid
data,,813.2,835.6,22.4,835.6,Time=8.1s | BaseRaw=813.2 | CurrentRaw=835.6 | Change=22.4 => Liquid
data,,813.2,835.4,22.2,835.4,Time=8.2s | BaseRaw=813.2 | CurrentRaw=835.4 | Change=22.2 => Liquid
data,,813.2,835.4,22.2,835.4,Time=8.3s | BaseRaw=813.2 | CurrentRaw=835.4 | Change=22.2 => Liquid
data,,813.2,835.6,22.4,835.6,Time=8.4s | BaseRaw=813.2 | CurrentRaw=835.6 | Change=22.4 => Liquid
data,,813.2,835.2,22.0,835.2,Time=8.5s | BaseRaw=813.2 | CurrentRaw=835.2 | Change=22.0 => Liquid
data,,813.2,835.2,22.0,835.2,Time=8.6s | BaseRaw=813.2 | CurrentRaw=835.2 | Change=22.0 => Liquid
data,,813.2,835.6,22.4,835.6,Time=8.7s | BaseRaw=813.2 | CurrentRaw=835.6 | Change=22.4 => Liquid
data,,813.2,835.0,21.8,835.0,Time=8.8s | BaseRaw=813.2 | CurrentRaw=835.0 | Change=21.8 => Liquid
data,,813.2,835.2,22.0,835.2,Time=8.9s | BaseRaw=813.2 | CurrentRaw=835.2 | Change=22.0 => Liquid
data,,813.2,835.4,22.2,835.4,Time=9.0s | BaseRaw=813.2 | CurrentRaw=835.4 | Change=22.2 => Liquid
data,,813.2,835.2,22.0,835.2,Time=9.1s | BaseRaw=813.2 | CurrentRaw=835.2 | Change=22.0 => Liquid
data,,813.2,835.4,22.2,835.4,Time=9.2s | BaseRaw=813.2 | CurrentRaw=835.4 | Change=22.2 => Liquid
data,,813.2,835.6,22.4,835.6,Time=9.3s | BaseRaw=813.2 | CurrentRaw=835.6 | Change=22.4 => Liquid
data,,813.2,835.6,22.4,835.6,Time=9.4s | BaseRaw=813.2 | CurrentRaw=835.6 | Change=22.4 => Liquid
data,,813.2,835.8,22.6,835.8,Time=9.5s | BaseRaw=813.2 | CurrentRaw=835.8 | Change=22.6 => Liquid
data,,813.2,835.8,22.6,835.8,Time=9.6s | BaseRaw=813.2 | CurrentRaw=835.8 | Change=22.6 => Liquid
data,,813.2,835.2,22.0,835.2,Time=9.7s | BaseRaw=813.2 | CurrentRaw=835.2 | Change=22.0 => Liquid
data,,813.2,835.4,22.2,835.4,Time=9.8s | BaseRaw=813.2 | CurrentRaw=835.4 | Change=22.2 => Liquid
data,,813.2,835.2,22.0,835.2,Time=9.9s | BaseRaw=813.2 | CurrentRaw=835.2 | Change=22.0 => Liquid
data,,813.2,834.8,21.6,834.8,Time=10.0s | BaseRaw=813.2 | CurrentRaw=834.8 | Change=21.6 => Liquid
data,,813.2,835.0,21.8,835.0,Time=10.1s | BaseRaw=813.2 | CurrentRaw=835.0 | Change=21.8 => Liquid
data,,813.2,835.4,22.2,835.4,Time=10.2s | BaseRaw=813.2 | CurrentRaw=835.4 | Change=22.2 => Liquid
data,,813.2,835.2,22.0,835.2,Time=10.3s | BaseRaw=813.2 | CurrentRaw=835.2 | Change=22.0 => Liquid
data,,813.2,835.0,21.8,835.0,Time=10.4s | BaseRaw=813.2 | CurrentRaw=835.0 | Change=21.8 => Liquid
data,,813.2,835.4,22.2,835.4,Time=10.5s | BaseRaw=813.2 | CurrentRaw=835.4 | Change=22.2 => Liquid
data,,813.2,835.8,22.6,835.8,Time=10.6s | BaseRaw=813.2 | CurrentRaw=835.8 | Change=22.6 => Liquid
data,,813.2,836.2,23.0,836.2,Time=10.7s | BaseRaw=813.2 | CurrentRaw=836.2 | Change=23.0 => Liquid
data,,813.2,836.6,23.4,836.6,Time=10.8s | BaseRaw=813.2 | CurrentRaw=836.6 | Change=23.4 => Liquid
data,,813.2,837.0,23.8,837.0,Time=10.9s | BaseRaw=813.2 | CurrentRaw=837.0 | Change=23.8 => Liquid
data,,813.2,837.4,24.2,837.4,Time=11.0s | BaseRaw=813.2 | CurrentRaw=837.4 | Change=24.2 => Liquid
data,,813.2,837.4,24.2,837.4,Time=11.1s | BaseRaw=813.2 | CurrentRaw=837.4 | Change=24.2 => Liquid
data,,813.2,837.2,24.0,837.2,Time=11.2s | BaseRaw=813.2 | CurrentRaw=837.2 | Change=24.0 => Liquid
data,,813.2,837.2,24.0,837.2,Time=11.3s | BaseRaw=813.2 | CurrentRaw=837.2 | Change=24.0 => Liquid
data,,813.2,837.4,24.2,837.4,Time=11.4s | BaseRaw=813.2 | CurrentRaw=837.4 | Change=24.2 => Liquid
data,,813.2,837.6,24.4,837.6,Time=11.5s | BaseRaw=813.2 | CurrentRaw=837.6 | Change=24.4 => Liquid
data,,813.2,837.6,24.4,837.6,Time=11.6s | BaseRaw=813.2 | CurrentRaw=837.6 | Change=24.4 => Liquid
data,,813.2,837.6,24.4,837.6,Time=11.7s | BaseRaw=813.2 | CurrentRaw=837.6 | Change=24.4 => Liquid
data,,813.2,837.8,24.6,837.8,Time=11.8s | BaseRaw=813.2 | CurrentRaw=837.8 | Change=24.6 => Liquid
data,,813.2,837.8,24.6,837.8,Time=11.9s | BaseRaw=813.2 | CurrentRaw=837.8 | Change=24.6 => Liquid
