record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.0,,,,840.0,Collecting baseline... RawAvg=840.00
baseline,840.0,,,,840.0,Collecting baseline... RawAvg=840.00
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.0,,,,840.0,Collecting baseline... RawAvg=840.00
baseline,840.0,,,,840.0,Collecting baseline... RawAvg=840.00
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.8,,,,840.8,Collecting baseline... RawAvg=840.80
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.8,,,,840.8,Collecting baseline... RawAvg=840.80
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.0,,,,840.0,Collecting baseline... RawAvg=840.00
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
info,,,,,,Baseline collection complete! Starting detection.
final_base,,840.33,,,840.33,Final Base Raw Average = 840.33
info,,,,,,--------------------------------------------------------------------------
data,,840.3,838.4,1.9,838.4,Time=5.9s | BaseRaw=840.3 | CurrentRaw=838.4 | Change=1.9 => Floor
data,,840.3,839.0,1.3,839.0,Time=6.0s | BaseRaw=840.3 | CurrentRaw=839.0 | Change=1.3 => Floor
data,,840.3,840.4,0.1,840.4,Time=6.1s | BaseRaw=840.3 | CurrentRaw=840.4 | Change=0.1 => Floor
data,,840.3,842.4,2.1,842.4,Time=6.2s | BaseRaw=840.3 | CurrentRaw=842.4 | Change=2.1 => Floor
data,,840.3,844.8,4.5,844.8,Time=6.3s | BaseRaw=840.3 | CurrentRaw=844.8 | Change=4.5 => Floor
data,,840.3,847.2,6.9,847.2,Time=6.4s | BaseRaw=840.3 | CurrentRaw=847.2 | Change=6.9 => Floor
data,,840.3,848.4,8.1,848.4,Time=6.5s | BaseRaw=840.3 | CurrentRaw=848.4 | Change=8.1 => Floor
