record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,686.20,,,,686.20,Collecting baseline... RawAvg=686.20
baseline,686.60,,,,686.60,Collecting baseline... RawAvg=686.60
baseline,686.60,,,,686.60,Collecting baseline... RawAvg=686.60
baseline,686.80,,,,686.80,Collecting baseline... RawAvg=686.80
baseline,687.00,,,,687.00,Collecting baseline... RawAvg=687.00
baseline,687.20,,,,687.20,Collecting baseline... RawAvg=687.20
baseline,687.00,,,,687.00,Collecting baseline... RawAvg=687.00
baseline,687.20,,,,687.20,Collecting baseline... RawAvg=687.20
baseline,687.40,,,,687.40,Collecting baseline... RawAvg=687.40
baseline,687.60,,,,687.60,Collecting baseline... RawAvg=687.60
baseline,687.80,,,,687.80,Collecting baseline... RawAvg=687.80
baseline,687.80,,,,687.80,Collecting baseline... RawAvg=687.80
baseline,687.60,,,,687.60,Collecting baseline... RawAvg=687.60
baseline,687.40,,,,687.40,Collecting baseline... RawAvg=687.40
baseline,687.40,,,,687.40,Collecting baseline... RawAvg=687.40
baseline,687.60,,,,687.60,Collecting baseline... RawAvg=687.60
baseline,686.80,,,,686.80,Collecting baseline... RawAvg=686.80
baseline,684.80,,,,684.80,Collecting baseline... RawAvg=684.80
baseline,682.00,,,,682.00,Collecting baseline... RawAvg=682.00
baseline,678.80,,,,678.80,Collecting baseline... RawAvg=678.80
baseline,675.20,,,,675.20,Collecting baseline... RawAvg=675.20
baseline,672.60,,,,672.60,Collecting baseline... RawAvg=672.60
baseline,671.00,,,,671.00,Collecting baseline... RawAvg=671.00
baseline,670.20,,,,670.20,Collecting baseline... RawAvg=670.20
baseline,669.60,,,,669.60,Collecting baseline... RawAvg=669.60
baseline,669.40,,,,669.40,Collecting baseline... RawAvg=669.40
baseline,669.40,,,,669.40,Collecting baseline... RawAvg=669.40
baseline,669.60,,,,669.60,Collecting baseline... RawAvg=669.60
baseline,669.60,,,,669.60,Collecting baseline... RawAvg=669.60
baseline,669.60,,,,669.60,Collecting baseline... RawAvg=669.60
baseline,669.00,,,,669.00,Collecting baseline... RawAvg=669.00
baseline,668.40,,,,668.40,Collecting baseline... RawAvg=668.40
baseline,668.00,,,,668.00,Collecting baseline... RawAvg=668.00
baseline,667.80,,,,667.80,Collecting baseline... RawAvg=667.80
baseline,667.80,,,,667.80,Collecting baseline... RawAvg=667.80
baseline,668.20,,,,668.20,Collecting baseline... RawAvg=668.20
baseline,668.60,,,,668.60,Collecting baseline... RawAvg=668.60
baseline,668.80,,,,668.80,Collecting baseline... RawAvg=668.80
baseline,668.80,,,,668.80,Collecting baseline... RawAvg=668.80
baseline,668.40,,,,668.40,Collecting baseline... RawAvg=668.40
baseline,667.80,,,,667.80,Collecting baseline... RawAvg=667.80
baseline,667.40,,,,667.40,Collecting baseline... RawAvg=667.40
baseline,667.00,,,,667.00,Collecting baseline... RawAvg=667.00
baseline,667.20,,,,667.20,Collecting baseline... RawAvg=667.20
baseline,667.60,,,,667.60,Collecting baseline... RawAvg=667.60
baseline,668.20,,,,668.20,Collecting baseline... RawAvg=668.20
baseline,668.60,,,,668.60,Collecting baseline... RawAvg=668.60
baseline,669.00,,,,669.00,Collecting baseline... RawAvg=669.00
baseline,668.60,,,,668.60,Collecting baseline... RawAvg=668.60
info,,,,,,Baseline collection complete! Starting detection.
final_base,,676.10,,,676.10,Final Base Raw Average = 676.10
info,,,,,,--------------------------------------------------------------------------
data,,676.1,667.8,8.3,667.8,Time=0.1s | BaseRaw=676.1 | CurrentRaw=667.8 | Change=8.3 => Floor
data,,676.1,668.0,8.1,668.0,Time=0.2s | BaseRaw=676.1 | CurrentRaw=668.0 | Change=8.1 => Floor
data,,676.1,667.8,8.3,667.8,Time=0.3s | BaseRaw=676.1 | CurrentRaw=667.8 | Change=8.3 => Floor
data,,676.1,668.4,7.7,668.4,Time=0.4s | BaseRaw=676.1 | CurrentRaw=668.4 | Change=7.7 => Floor
data,,676.1,669.2,6.9,669.2,Time=0.5s | BaseRaw=676.1 | CurrentRaw=669.2 | Change=6.9 => Floor
data,,676.1,669.4,6.7,669.4,Time=0.6s | BaseRaw=676.1 | CurrentRaw=669.4 | Change=6.7 => Floor
data,,676.1,669.8,6.3,669.8,Time=0.7s | BaseRaw=676.1 | CurrentRaw=669.8 | Change=6.3 => Floor
data,,676.1,670.0,6.1,670.0,Time=0.8s | BaseRaw=676.1 | CurrentRaw=670.0 | Change=6.1 => Floor
data,,676.1,670.2,5.9,670.2,Time=0.9s | BaseRaw=676.1 | CurrentRaw=670.2 | Change=5.9 => Floor
data,,676.1,670.0,6.1,670.0,Time=1.0s | BaseRaw=676.1 | CurrentRaw=670.0 | Change=6.1 => Floor
data,,676.1,670.2,5.9,670.2,Time=1.1s | BaseRaw=676.1 | CurrentRaw=670.2 | Change=5.9 => Floor
data,,676.1,670.0,6.1,670.0,Time=1.2s | BaseRaw=676.1 | CurrentRaw=670.0 | Change=6.1 => Floor
data,,676.1,669.8,6.3,669.8,Time=1.3s | BaseRaw=676.1 | CurrentRaw=669.8 | Change=6.3 => Floor
data,,676.1,669.8,6.3,669.8,Time=1.4s | BaseRaw=676.1 | CurrentRaw=669.8 | Change=6.3 => Floor
data,,676.1,670.0,6.1,670.0,Time=1.5s | BaseRaw=676.1 | CurrentRaw=670.0 | Change=6.1 => Floor
data,,676.1,670.2,5.9,670.2,Time=1.6s | BaseRaw=676.1 | CurrentRaw=670.2 | Change=5.9 => Floor
data,,676.1,670.2,5.9,670.2,Time=1.7s | BaseRaw=676.1 | CurrentRaw=670.2 | Change=5.9 => Floor
data,,676.1,670.4,5.7,670.4,Time=1.8s | BaseRaw=676.1 | CurrentRaw=670.4 | Change=5.7 => Floor
data,,676.1,670.4,5.7,670.4,Time=1.9s | BaseRaw=676.1 | CurrentRaw=670.4 | Change=5.7 => Floor
data,,676.1,670.0,6.1,670.0,Time=2.0s | BaseRaw=676.1 | CurrentRaw=670.0 | Change=6.1 => Floor
data,,676.1,670.0,6.1,670.0,Time=2.1s | BaseRaw=676.1 | CurrentRaw=670.0 | Change=6.1 => Floor
data,,676.1,670.0,6.1,670.0,Time=2.2s | BaseRaw=676.1 | CurrentRaw=670.0 | Change=6.1 => Floor
data,,676.1,670.0,6.1,670.0,Time=2.3s | BaseRaw=676.1 | CurrentRaw=670.0 | Change=6.1 => Floor
data,,676.1,669.8,6.3,669.8,Time=2.4s | BaseRaw=676.1 | CurrentRaw=669.8 | Change=6.3 => Floor
data,,676.1,669.8,6.3,669.8,Time=2.5s | BaseRaw=676.1 | CurrentRaw=669.8 | Change=6.3 => Floor
data,,676.1,670.0,6.1,670.0,Time=2.6s | BaseRaw=676.1 | CurrentRaw=670.0 | Change=6.1 => Floor
data,,676.1,670.2,5.9,670.2,Time=2.7s | BaseRaw=676.1 | CurrentRaw=670.2 | Change=5.9 => Floor
data,,676.1,670.2,5.9,670.2,Time=2.8s | BaseRaw=676.1 | CurrentRaw=670.2 | Change=5.9 => Floor
data,,676.1,670.2,5.9,670.2,Time=2.9s | BaseRaw=676.1 | CurrentRaw=670.2 | Change=5.9 => Floor
data,,676.1,670.0,6.1,670.0,Time=3.0s | BaseRaw=676.1 | CurrentRaw=670.0 | Change=6.1 => Floor
data,,676.1,669.8,6.3,669.8,Time=3.1s | BaseRaw=676.1 | CurrentRaw=669.8 | Change=6.3 => Floor
data,,676.1,669.0,7.1,669.0,Time=3.2s | BaseRaw=676.1 | CurrentRaw=669.0 | Change=7.1 => Floor
data,,676.1,668.6,7.5,668.6,Time=3.3s | BaseRaw=676.1 | CurrentRaw=668.6 | Change=7.5 => Floor
data,,676.1,668.6,7.5,668.6,Time=3.4s | BaseRaw=676.1 | CurrentRaw=668.6 | Change=7.5 => Floor
data,,676.1,668.6,7.5,668.6,Time=3.5s | BaseRaw=676.1 | CurrentRaw=668.6 | Change=7.5 => Floor
data,,676.1,668.8,7.3,668.8,Time=3.6s | BaseRaw=676.1 | CurrentRaw=668.8 | Change=7.3 => Floor
data,,676.1,669.0,7.1,669.0,Time=3.7s | BaseRaw=676.1 | CurrentRaw=669.0 | Change=7.1 => Floor
data,,676.1,669.4,6.7,669.4,Time=3.8s | BaseRaw=676.1 | CurrentRaw=669.4 | Change=6.7 => Floor
data,,676.1,670.0,6.1,670.0,Time=3.9s | BaseRaw=676.1 | CurrentRaw=670.0 | Change=6.1 => Floor
data,,676.1,671.8,4.3,671.8,Time=4.0s | BaseRaw=676.1 | CurrentRaw=671.8 | Change=4.3 => Floor
data,,676.1,675.2,0.9,675.2,Time=4.1s | BaseRaw=676.1 | CurrentRaw=675.2 | Change=0.9 => Floor
data,,676.1,676.8,0.7,676.8,Time=4.2s | BaseRaw=676.1 | CurrentRaw=676.8 | Change=0.7 => Floor
data,,676.1,676.6,0.5,676.6,Time=4.3s | BaseRaw=676.1 | CurrentRaw=676.6 | Change=0.5 => Floor
data,,676.1,674.6,1.5,674.6,Time=4.4s | BaseRaw=676.1 | CurrentRaw=674.6 | Change=1.5 => Floor
data,,676.1,671.4,4.7,671.4,Time=4.5s | BaseRaw=676.1 | CurrentRaw=671.4 | Change=4.7 => Floor
data,,676.1,666.2,9.9,666.2,Time=4.6s | BaseRaw=676.1 | CurrentRaw=666.2 | Change=9.9 => Floor
data,,676.1,662.8,13.3,662.8,Time=4.7s | BaseRaw=676.1 | CurrentRaw=662.8 | Change=13.3 => Liquid
data,,676.1,661.6,14.5,661.6,Time=4.8s | BaseRaw=676.1 | CurrentRaw=661.6 | Change=14.5 => Liquid
data,,676.1,661.2,14.9,661.2,Time=4.9s | BaseRaw=676.1 | CurrentRaw=661.2 | Change=14.9 => Liquid
data,,676.1,661.0,15.1,661.0,Time=5.0s | BaseRaw=676.1 | CurrentRaw=661.0 | Change=15.1 => Liquid
data,,676.1,661.0,15.1,661.0,Time=5.1s | BaseRaw=676.1 | CurrentRaw=661.0 | Change=15.1 => Liquid
data,,676.1,661.2,14.9,661.2,Time=5.2s | BaseRaw=676.1 | CurrentRaw=661.2 | Change=14.9 => Liquid
data,,676.1,660.8,15.3,660.8,Time=5.3s | BaseRaw=676.1 | CurrentRaw=660.8 | Change=15.3 => Liquid
data,,676.1,661.0,15.1,661.0,Time=5.4s | BaseRaw=676.1 | CurrentRaw=661.0 | Change=15.1 => Liquid
