record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,687.20,,,,687.20,Collecting baseline... RawAvg=687.20
baseline,687.60,,,,687.60,Collecting baseline... RawAvg=687.60
baseline,688.00,,,,688.00,Collecting baseline... RawAvg=688.00
baseline,688.00,,,,688.00,Collecting baseline... RawAvg=688.00
baseline,688.00,,,,688.00,Collecting baseline... RawAvg=688.00
baseline,688.40,,,,688.40,Collecting baseline... RawAvg=688.40
baseline,688.40,,,,688.40,Collecting baseline... RawAvg=688.40
baseline,688.60,,,,688.60,Collecting baseline... RawAvg=688.60
baseline,689.40,,,,689.40,Collecting baseline... RawAvg=689.40
baseline,690.00,,,,690.00,Collecting baseline... RawAvg=690.00
baseline,690.40,,,,690.40,Collecting baseline... RawAvg=690.40
baseline,691.60,,,,691.60,Collecting baseline... RawAvg=691.60
baseline,692.60,,,,692.60,Collecting baseline... RawAvg=692.60
baseline,693.40,,,,693.40,Collecting baseline... RawAvg=693.40
baseline,694.20,,,,694.20,Collecting baseline... RawAvg=694.20
baseline,694.80,,,,694.80,Collecting baseline... RawAvg=694.80
baseline,695.00,,,,695.00,Collecting baseline... RawAvg=695.00
baseline,695.40,,,,695.40,Collecting baseline... RawAvg=695.40
baseline,695.80,,,,695.80,Collecting baseline... RawAvg=695.80
baseline,696.20,,,,696.20,Collecting baseline... RawAvg=696.20
baseline,696.60,,,,696.60,Collecting baseline... RawAvg=696.60
baseline,696.20,,,,696.20,Collecting baseline... RawAvg=696.20
baseline,695.80,,,,695.80,Collecting baseline... RawAvg=695.80
baseline,695.40,,,,695.40,Collecting baseline... RawAvg=695.40
baseline,695.20,,,,695.20,Collecting baseline... RawAvg=695.20
baseline,695.20,,,,695.20,Collecting baseline... RawAvg=695.20
baseline,695.60,,,,695.60,Collecting baseline... RawAvg=695.60
baseline,695.60,,,,695.60,Collecting baseline... RawAvg=695.60
baseline,695.60,,,,695.60,Collecting baseline... RawAvg=695.60
baseline,695.00,,,,695.00,Collecting baseline... RawAvg=695.00
baseline,694.60,,,,694.60,Collecting baseline... RawAvg=694.60
baseline,694.20,,,,694.20,Collecting baseline... RawAvg=694.20
baseline,694.00,,,,694.00,Collecting baseline... RawAvg=694.00
baseline,694.20,,,,694.20,Collecting baseline... RawAvg=694.20
baseline,694.80,,,,694.80,Collecting baseline... RawAvg=694.80
baseline,695.20,,,,695.20,Collecting baseline... RawAvg=695.20
baseline,695.40,,,,695.40,Collecting baseline... RawAvg=695.40
baseline,695.40,,,,695.40,Collecting baseline... RawAvg=695.40
baseline,695.00,,,,695.00,Collecting baseline... RawAvg=695.00
baseline,694.60,,,,694.60,Collecting baseline... RawAvg=694.60
baseline,694.40,,,,694.40,Collecting baseline... RawAvg=694.40
baseline,694.40,,,,694.40,Collecting baseline... RawAvg=694.40
baseline,694.80,,,,694.80,Collecting baseline... RawAvg=694.80
baseline,695.20,,,,695.20,Collecting baseline... RawAvg=695.20
baseline,695.60,,,,695.60,Collecting baseline... RawAvg=695.60
baseline,695.80,,,,695.80,Collecting baseline... RawAvg=695.80
baseline,695.80,,,,695.80,Collecting baseline... RawAvg=695.80
baseline,695.20,,,,695.20,Collecting baseline... RawAvg=695.20
baseline,694.80,,,,694.80,Collecting baseline... RawAvg=694.80
info,,,,,,Baseline collection complete! Starting detection.
final_base,,693.52,,,693.52,Final Base Raw Average = 693.52
info,,,,,,--------------------------------------------------------------------------
data,,693.5,694.2,0.7,694.2,Time=0.1s | BaseRaw=693.5 | CurrentRaw=694.2 | Change=0.7 => Floor
data,,693.5,694.4,0.9,694.4,Time=0.2s | BaseRaw=693.5 | CurrentRaw=694.4 | Change=0.9 => Floor
data,,693.5,694.6,1.1,694.6,Time=0.3s | BaseRaw=693.5 | CurrentRaw=694.6 | Change=1.1 => Floor
data,,693.5,695.0,1.5,695.0,Time=0.4s | BaseRaw=693.5 | CurrentRaw=695.0 | Change=1.5 => Floor
data,,693.5,695.0,1.5,695.0,Time=0.5s | BaseRaw=693.5 | CurrentRaw=695.0 | Change=1.5 => Floor
data,,693.5,695.4,1.9,695.4,Time=0.6s | BaseRaw=693.5 | CurrentRaw=695.4 | Change=1.9 => Floor
data,,693.5,695.2,1.7,695.2,Time=0.7s | BaseRaw=693.5 | CurrentRaw=695.2 | Change=1.7 => Floor
data,,693.5,695.4,1.9,695.4,Time=0.8s | BaseRaw=693.5 | CurrentRaw=695.4 | Change=1.9 => Floor
data,,693.5,695.4,1.9,695.4,Time=0.9s | BaseRaw=693.5 | CurrentRaw=695.4 | Change=1.9 => Floor
data,,693.5,695.4,1.9,695.4,Time=1.0s | BaseRaw=693.5 | CurrentRaw=695.4 | Change=1.9 => Floor
data,,693.5,695.2,1.7,695.2,Time=1.1s | BaseRaw=693.5 | CurrentRaw=695.2 | Change=1.7 => Floor
data,,693.5,695.0,1.5,695.0,Time=1.2s | BaseRaw=693.5 | CurrentRaw=695.0 | Change=1.5 => Floor
data,,693.5,695.0,1.5,695.0,Time=1.3s | BaseRaw=693.5 | CurrentRaw=695.0 | Change=1.5 => Floor
data,,693.5,694.8,1.3,694.8,Time=1.4s | BaseRaw=693.5 | CurrentRaw=694.8 | Change=1.3 => Floor
data,,693.5,694.8,1.3,694.8,Time=1.5s | BaseRaw=693.5 | CurrentRaw=694.8 | Change=1.3 => Floor
data,,693.5,694.8,1.3,694.8,Time=1.6s | BaseRaw=693.5 | CurrentRaw=694.8 | Change=1.3 => Floor
data,,693.5,694.8,1.3,694.8,Time=1.7s | BaseRaw=693.5 | CurrentRaw=694.8 | Change=1.3 => Floor
data,,693.5,695.0,1.5,695.0,Time=1.8s | BaseRaw=693.5 | CurrentRaw=695.0 | Change=1.5 => Floor
data,,693.5,694.8,1.3,694.8,Time=1.9s | BaseRaw=693.5 | CurrentRaw=694.8 | Change=1.3 => Floor
data,,693.5,695.0,1.5,695.0,Time=2.0s | BaseRaw=693.5 | CurrentRaw=695.0 | Change=1.5 => Floor
data,,693.5,695.0,1.5,695.0,Time=2.1s | BaseRaw=693.5 | CurrentRaw=695.0 | Change=1.5 => Floor
data,,693.5,695.0,1.5,695.0,Time=2.2s | BaseRaw=693.5 | CurrentRaw=695.0 | Change=1.5 => Floor
data,,693.5,695.0,1.5,695.0,Time=2.3s | BaseRaw=693.5 | CurrentRaw=695.0 | Change=1.5 => Floor
data,,693.5,695.0,1.5,695.0,Time=2.4s | BaseRaw=693.5 | CurrentRaw=695.0 | Change=1.5 => Floor
data,,693.5,695.0,1.5,695.0,Time=2.5s | BaseRaw=693.5 | CurrentRaw=695.0 | Change=1.5 => Floor
data,,693.5,694.8,1.3,694.8,Time=2.6s | BaseRaw=693.5 | CurrentRaw=694.8 | Change=1.3 => Floor
data,,693.5,694.8,1.3,694.8,Time=2.7s | BaseRaw=693.5 | CurrentRaw=694.8 | Change=1.3 => Floor
data,,693.5,694.8,1.3,694.8,Time=2.8s | BaseRaw=693.5 | CurrentRaw=694.8 | Change=1.3 => Floor
data,,693.5,694.8,1.3,694.8,Time=2.9s | BaseRaw=693.5 | CurrentRaw=694.8 | Change=1.3 => Floor
data,,693.5,695.0,1.5,695.0,Time=3.0s | BaseRaw=693.5 | CurrentRaw=695.0 | Change=1.5 => Floor
data,,693.5,694.8,1.3,694.8,Time=3.1s | BaseRaw=693.5 | CurrentRaw=694.8 | Change=1.3 => Floor
data,,693.5,695.0,1.5,695.0,Time=3.2s | BaseRaw=693.5 | CurrentRaw=695.0 | Change=1.5 => Floor
data,,693.5,695.0,1.5,695.0,Time=3.3s | BaseRaw=693.5 | CurrentRaw=695.0 | Change=1.5 => Floor
data,,693.5,695.0,1.5,695.0,Time=3.4s | BaseRaw=693.5 | CurrentRaw=695.0 | Change=1.5 => Floor
data,,693.5,695.0,1.5,695.0,Time=3.5s | BaseRaw=693.5 | CurrentRaw=695.0 | Change=1.5 => Floor
data,,693.5,695.0,1.5,695.0,Time=3.6s | BaseRaw=693.5 | CurrentRaw=695.0 | Change=1.5 => Floor
data,,693.5,695.2,1.7,695.2,Time=3.7s | BaseRaw=693.5 | CurrentRaw=695.2 | Change=1.7 => Floor
data,,693.5,695.2,1.7,695.2,Time=3.8s | BaseRaw=693.5 | CurrentRaw=695.2 | Change=1.7 => Floor
data,,693.5,695.4,1.9,695.4,Time=3.9s | BaseRaw=693.5 | CurrentRaw=695.4 | Change=1.9 => Floor
data,,693.5,695.2,1.7,695.2,Time=4.0s | BaseRaw=693.5 | CurrentRaw=695.2 | Change=1.7 => Floor
data,,693.5,694.8,1.3,694.8,Time=4.1s | BaseRaw=693.5 | CurrentRaw=694.8 | Change=1.3 => Floor
data,,693.5,694.4,0.9,694.4,Time=4.2s | BaseRaw=693.5 | CurrentRaw=694.4 | Change=0.9 => Floor
data,,693.5,693.6,0.1,693.6,Time=4.3s | BaseRaw=693.5 | CurrentRaw=693.6 | Change=0.1 => Floor
data,,693.5,692.8,0.7,692.8,Time=4.4s | BaseRaw=693.5 | CurrentRaw=692.8 | Change=0.7 => Floor
data,,693.5,692.2,1.3,692.2,Time=4.5s | BaseRaw=693.5 | CurrentRaw=692.2 | Change=1.3 => Floor
data,,693.5,691.2,2.3,691.2,Time=4.6s | BaseRaw=693.5 | CurrentRaw=691.2 | Change=2.3 => Floor
data,,693.5,691.2,2.3,691.2,Time=4.7s | BaseRaw=693.5 | CurrentRaw=691.2 | Change=2.3 => Floor
data,,693.5,691.6,1.9,691.6,Time=4.8s | BaseRaw=693.5 | CurrentRaw=691.6 | Change=1.9 => Floor
data,,693.5,692.8,0.7,692.8,Time=4.9s | BaseRaw=693.5 | CurrentRaw=692.8 | Change=0.7 => Floor
data,,693.5,693.6,0.1,693.6,Time=5.0s | BaseRaw=693.5 | CurrentRaw=693.6 | Change=0.1 => Floor
data,,693.5,695.2,1.7,695.2,Time=5.1s | BaseRaw=693.5 | CurrentRaw=695.2 | Change=1.7 => Floor
data,,693.5,695.6,2.1,695.6,Time=5.2s | BaseRaw=693.5 | CurrentRaw=695.6 | Change=2.1 => Floor
data,,693.5,695.6,2.1,695.6,Time=5.3s | BaseRaw=693.5 | CurrentRaw=695.6 | Change=2.1 => Floor
data,,693.5,695.4,1.9,695.4,Time=5.4s | BaseRaw=693.5 | CurrentRaw=695.4 | Change=1.9 => Floor
data,,693.5,695.0,1.5,695.0,Time=5.5s | BaseRaw=693.5 | CurrentRaw=695.0 | Change=1.5 => Floor
data,,693.5,695.2,1.7,695.2,Time=5.6s | BaseRaw=693.5 | CurrentRaw=695.2 | Change=1.7 => Floor
data,,693.5,695.2,1.7,695.2,Time=5.7s | BaseRaw=693.5 | CurrentRaw=695.2 | Change=1.7 => Floor
data,,693.5,695.4,1.9,695.4,Time=5.8s | BaseRaw=693.5 | CurrentRaw=695.4 | Change=1.9 => Floor
data,,693.5,695.4,1.9,695.4,Time=5.9s | BaseRaw=693.5 | CurrentRaw=695.4 | Change=1.9 => Floor
data,,693.5,695.4,1.9,695.4,Time=6.0s | BaseRaw=693.5 | CurrentRaw=695.4 | Change=1.9 => Floor
data,,693.5,695.6,2.1,695.6,Time=6.1s | BaseRaw=693.5 | CurrentRaw=695.6 | Change=2.1 => Floor
data,,693.5,695.6,2.1,695.6,Time=6.2s | BaseRaw=693.5 | CurrentRaw=695.6 | Change=2.1 => Floor
data,,693.5,695.6,2.1,695.6,Time=6.3s | BaseRaw=693.5 | CurrentRaw=695.6 | Change=2.1 => Floor
data,,693.5,695.6,2.1,695.6,Time=6.4s | BaseRaw=693.5 | CurrentRaw=695.6 | Change=2.1 => Floor
data,,693.5,695.6,2.1,695.6,Time=6.5s | BaseRaw=693.5 | CurrentRaw=695.6 | Change=2.1 => Floor
