record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,670.60,,,,670.60,Collecting baseline... RawAvg=670.60
baseline,670.00,,,,670.00,Collecting baseline... RawAvg=670.00
baseline,669.60,,,,669.60,Collecting baseline... RawAvg=669.60
baseline,669.20,,,,669.20,Collecting baseline... RawAvg=669.20
baseline,668.80,,,,668.80,Collecting baseline... RawAvg=668.80
baseline,668.00,,,,668.00,Collecting baseline... RawAvg=668.00
baseline,666.80,,,,666.80,Collecting baseline... RawAvg=666.80
baseline,665.40,,,,665.40,Collecting baseline... RawAvg=665.40
baseline,664.40,,,,664.40,Collecting baseline... RawAvg=664.40
baseline,663.60,,,,663.60,Collecting baseline... RawAvg=663.60
baseline,663.20,,,,663.20,Collecting baseline... RawAvg=663.20
baseline,664.00,,,,664.00,Collecting baseline... RawAvg=664.00
baseline,664.60,,,,664.60,Collecting baseline... RawAvg=664.60
baseline,665.00,,,,665.00,Collecting baseline... RawAvg=665.00
baseline,665.20,,,,665.20,Collecting baseline... RawAvg=665.20
baseline,664.40,,,,664.40,Collecting baseline... RawAvg=664.40
baseline,663.20,,,,663.20,Collecting baseline... RawAvg=663.20
baseline,662.40,,,,662.40,Collecting baseline... RawAvg=662.40
baseline,661.80,,,,661.80,Collecting baseline... RawAvg=661.80
baseline,661.60,,,,661.60,Collecting baseline... RawAvg=661.60
baseline,662.40,,,,662.40,Collecting baseline... RawAvg=662.40
baseline,663.40,,,,663.40,Collecting baseline... RawAvg=663.40
baseline,664.20,,,,664.20,Collecting baseline... RawAvg=664.20
baseline,664.60,,,,664.60,Collecting baseline... RawAvg=664.60
baseline,664.00,,,,664.00,Collecting baseline... RawAvg=664.00
baseline,663.20,,,,663.20,Collecting baseline... RawAvg=663.20
baseline,662.40,,,,662.40,Collecting baseline... RawAvg=662.40
baseline,661.80,,,,661.80,Collecting baseline... RawAvg=661.80
baseline,662.00,,,,662.00,Collecting baseline... RawAvg=662.00
baseline,662.80,,,,662.80,Collecting baseline... RawAvg=662.80
baseline,663.60,,,,663.60,Collecting baseline... RawAvg=663.60
baseline,664.40,,,,664.40,Collecting baseline... RawAvg=664.40
baseline,664.60,,,,664.60,Collecting baseline... RawAvg=664.60
baseline,663.80,,,,663.80,Collecting baseline... RawAvg=663.80
baseline,663.00,,,,663.00,Collecting baseline... RawAvg=663.00
baseline,662.40,,,,662.40,Collecting baseline... RawAvg=662.40
baseline,661.80,,,,661.80,Collecting baseline... RawAvg=661.80
baseline,662.40,,,,662.40,Collecting baseline... RawAvg=662.40
baseline,663.20,,,,663.20,Collecting baseline... RawAvg=663.20
baseline,664.00,,,,664.00,Collecting baseline... RawAvg=664.00
baseline,664.60,,,,664.60,Collecting baseline... RawAvg=664.60
baseline,664.80,,,,664.80,Collecting baseline... RawAvg=664.80
baseline,664.20,,,,664.20,Collecting baseline... RawAvg=664.20
baseline,663.60,,,,663.60,Collecting baseline... RawAvg=663.60
baseline,663.20,,,,663.20,Collecting baseline... RawAvg=663.20
baseline,663.00,,,,663.00,Collecting baseline... RawAvg=663.00
baseline,663.80,,,,663.80,Collecting baseline... RawAvg=663.80
baseline,664.60,,,,664.60,Collecting baseline... RawAvg=664.60
baseline,665.60,,,,665.60,Collecting baseline... RawAvg=665.60
info,,,,,,Baseline collection complete! Starting detection.
final_base,,664.35,,,664.35,Final Base Raw Average = 664.35
info,,,,,,--------------------------------------------------------------------------
data,,664.4,667.0,2.6,667.0,Time=0.1s | BaseRaw=664.4 | CurrentRaw=667.0 | Change=2.6 => Floor
data,,664.4,666.2,1.8,666.2,Time=0.2s | BaseRaw=664.4 | CurrentRaw=666.2 | Change=1.8 => Floor
data,,664.4,666.2,1.8,666.2,Time=0.3s | BaseRaw=664.4 | CurrentRaw=666.2 | Change=1.8 => Floor
data,,664.4,665.4,1.0,665.4,Time=0.4s | BaseRaw=664.4 | CurrentRaw=665.4 | Change=1.0 => Floor
data,,664.4,665.4,1.0,665.4,Time=0.5s | BaseRaw=664.4 | CurrentRaw=665.4 | Change=1.0 => Floor
data,,664.4,665.0,0.6,665.0,Time=0.6s | BaseRaw=664.4 | CurrentRaw=665.0 | Change=0.6 => Floor
data,,664.4,665.2,0.8,665.2,Time=0.7s | BaseRaw=664.4 | CurrentRaw=665.2 | Change=0.8 => Floor
data,,664.4,665.2,0.8,665.2,Time=0.8s | BaseRaw=664.4 | CurrentRaw=665.2 | Change=0.8 => Floor
data,,664.4,665.2,0.8,665.2,Time=0.9s | BaseRaw=664.4 | CurrentRaw=665.2 | Change=0.8 => Floor
data,,664.4,665.2,0.8,665.2,Time=1.0s | BaseRaw=664.4 | CurrentRaw=665.2 | Change=0.8 => Floor
data,,664.4,664.8,0.4,664.8,Time=1.1s | BaseRaw=664.4 | CurrentRaw=664.8 | Change=0.4 => Floor
data,,664.4,665.0,0.6,665.0,Time=1.2s | BaseRaw=664.4 | CurrentRaw=665.0 | Change=0.6 => Floor
data,,664.4,665.0,0.6,665.0,Time=1.3s | BaseRaw=664.4 | CurrentRaw=665.0 | Change=0.6 => Floor
data,,664.4,665.0,0.6,665.0,Time=1.4s | BaseRaw=664.4 | CurrentRaw=665.0 | Change=0.6 => Floor
data,,664.4,665.0,0.6,665.0,Time=1.5s | BaseRaw=664.4 | CurrentRaw=665.0 | Change=0.6 => Floor
data,,664.4,665.2,0.8,665.2,Time=1.6s | BaseRaw=664.4 | CurrentRaw=665.2 | Change=0.8 => Floor
data,,664.4,665.6,1.2,665.6,Time=1.7s | BaseRaw=664.4 | CurrentRaw=665.6 | Change=1.2 => Floor
data,,664.4,665.6,1.2,665.6,Time=1.8s | BaseRaw=664.4 | CurrentRaw=665.6 | Change=1.2 => Floor
data,,664.4,665.6,1.2,665.6,Time=1.9s | BaseRaw=664.4 | CurrentRaw=665.6 | Change=1.2 => Floor
data,,664.4,665.6,1.2,665.6,Time=2.0s | BaseRaw=664.4 | CurrentRaw=665.6 | Change=1.2 => Floor
data,,664.4,665.4,1.0,665.4,Time=2.1s | BaseRaw=664.4 | CurrentRaw=665.4 | Change=1.0 => Floor
data,,664.4,665.4,1.0,665.4,Time=2.2s | BaseRaw=664.4 | CurrentRaw=665.4 | Change=1.0 => Floor
data,,664.4,664.8,0.4,664.8,Time=2.3s | BaseRaw=664.4 | CurrentRaw=664.8 | Change=0.4 => Floor
data,,664.4,665.0,0.6,665.0,Time=2.4s | BaseRaw=664.4 | CurrentRaw=665.0 | Change=0.6 => Floor
data,,664.4,665.0,0.6,665.0,Time=2.5s | BaseRaw=664.4 | CurrentRaw=665.0 | Change=0.6 => Floor
data,,664.4,664.8,0.4,664.8,Time=2.6s | BaseRaw=664.4 | CurrentRaw=664.8 | Change=0.4 => Floor
data,,664.4,664.6,0.2,664.6,Time=2.7s | BaseRaw=664.4 | CurrentRaw=664.6 | Change=0.2 => Floor
data,,664.4,664.2,0.2,664.2,Time=2.8s | BaseRaw=664.4 | CurrentRaw=664.2 | Change=0.2 => Floor
data,,664.4,664.2,0.2,664.2,Time=2.9s | BaseRaw=664.4 | CurrentRaw=664.2 | Change=0.2 => Floor
data,,664.4,663.8,0.6,663.8,Time=3.0s | BaseRaw=664.4 | CurrentRaw=663.8 | Change=0.6 => Floor
data,,664.4,663.8,0.6,663.8,Time=3.1s | BaseRaw=664.4 | CurrentRaw=663.8 | Change=0.6 => Floor
data,,664.4,663.8,0.6,663.8,Time=3.2s | BaseRaw=664.4 | CurrentRaw=663.8 | Change=0.6 => Floor
data,,664.4,663.6,0.8,663.6,Time=3.3s | BaseRaw=664.4 | CurrentRaw=663.6 | Change=0.8 => Floor
data,,664.4,664.0,0.4,664.0,Time=3.4s | BaseRaw=664.4 | CurrentRaw=664.0 | Change=0.4 => Floor
data,,664.4,664.0,0.4,664.0,Time=3.5s | BaseRaw=664.4 | CurrentRaw=664.0 | Change=0.4 => Floor
data,,664.4,664.2,0.2,664.2,Time=3.6s | BaseRaw=664.4 | CurrentRaw=664.2 | Change=0.2 => Floor
data,,664.4,664.4,0.0,664.4,Time=3.7s | BaseRaw=664.4 | CurrentRaw=664.4 | Change=0.0 => Floor
data,,664.4,665.0,0.6,665.0,Time=3.8s | BaseRaw=664.4 | CurrentRaw=665.0 | Change=0.6 => Floor
data,,664.4,665.2,0.8,665.2,Time=3.9s | BaseRaw=664.4 | CurrentRaw=665.2 | Change=0.8 => Floor
data,,664.4,665.0,0.6,665.0,Time=4.0s | BaseRaw=664.4 | CurrentRaw=665.0 | Change=0.6 => Floor
data,,664.4,665.4,1.0,665.4,Time=4.1s | BaseRaw=664.4 | CurrentRaw=665.4 | Change=1.0 => Floor
data,,664.4,665.4,1.0,665.4,Time=4.2s | BaseRaw=664.4 | CurrentRaw=665.4 | Change=1.0 => Floor
data,,664.4,665.4,1.0,665.4,Time=4.3s | BaseRaw=664.4 | CurrentRaw=665.4 | Change=1.0 => Floor
data,,664.4,665.6,1.2,665.6,Time=4.4s | BaseRaw=664.4 | CurrentRaw=665.6 | Change=1.2 => Floor
data,,664.4,665.6,1.2,665.6,Time=4.5s | BaseRaw=664.4 | CurrentRaw=665.6 | Change=1.2 => Floor
data,,664.4,666.0,1.6,666.0,Time=4.6s | BaseRaw=664.4 | CurrentRaw=666.0 | Change=1.6 => Floor
data,,664.4,666.2,1.8,666.2,Time=4.7s | BaseRaw=664.4 | CurrentRaw=666.2 | Change=1.8 => Floor
data,,664.4,666.2,1.8,666.2,Time=4.8s | BaseRaw=664.4 | CurrentRaw=666.2 | Change=1.8 => Floor
data,,664.4,666.2,1.8,666.2,Time=4.9s | BaseRaw=664.4 | CurrentRaw=666.2 | Change=1.8 => Floor
data,,664.4,666.2,1.8,666.2,Time=5.0s | BaseRaw=664.4 | CurrentRaw=666.2 | Change=1.8 => Floor
data,,664.4,666.6,2.2,666.6,Time=5.1s | BaseRaw=664.4 | CurrentRaw=666.6 | Change=2.2 => Floor
data,,664.4,666.4,2.0,666.4,Time=5.2s | BaseRaw=664.4 | CurrentRaw=666.4 | Change=2.0 => Floor
data,,664.4,666.6,2.2,666.6,Time=5.3s | BaseRaw=664.4 | CurrentRaw=666.6 | Change=2.2 => Floor
data,,664.4,666.4,2.0,666.4,Time=5.4s | BaseRaw=664.4 | CurrentRaw=666.4 | Change=2.0 => Floor
data,,664.4,665.8,1.4,665.8,Time=5.5s | BaseRaw=664.4 | CurrentRaw=665.8 | Change=1.4 => Floor
data,,664.4,664.0,0.4,664.0,Time=5.6s | BaseRaw=664.4 | CurrentRaw=664.0 | Change=0.4 => Floor
data,,664.4,658.6,5.8,658.6,Time=5.7s | BaseRaw=664.4 | CurrentRaw=658.6 | Change=5.8 => Floor
data,,664.4,651.6,12.8,651.6,Time=5.8s | BaseRaw=664.4 | CurrentRaw=651.6 | Change=12.8 => Liquid
data,,664.4,642.2,22.2,642.2,Time=5.9s | BaseRaw=664.4 | CurrentRaw=642.2 | Change=22.2 => Liquid
data,,664.4,634.4,30.0,634.4,Time=6.0s | BaseRaw=664.4 | CurrentRaw=634.4 | Change=30.0 => Liquid
data,,664.4,626.2,38.2,626.2,Time=6.1s | BaseRaw=664.4 | CurrentRaw=626.2 | Change=38.2 => Liquid
data,,664.4,622.0,42.4,622.0,Time=6.2s | BaseRaw=664.4 | CurrentRaw=622.0 | Change=42.4 => Liquid
data,,664.4,621.8,42.6,621.8,Time=6.3s | BaseRaw=664.4 | CurrentRaw=621.8 | Change=42.6 => Liquid
data,,664.4,623.2,41.2,623.2,Time=6.4s | BaseRaw=664.4 | CurrentRaw=623.2 | Change=41.2 => Liquid
data,,664.4,624.0,40.4,624.0,Time=6.5s | BaseRaw=664.4 | CurrentRaw=624.0 | Change=40.4 => Liquid
