record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,729.80,,,,729.80,Collecting baseline... RawAvg=729.80
baseline,729.80,,,,729.80,Collecting baseline... RawAvg=729.80
baseline,729.80,,,,729.80,Collecting baseline... RawAvg=729.80
baseline,729.80,,,,729.80,Collecting baseline... RawAvg=729.80
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,730.20,,,,730.20,Collecting baseline... RawAvg=730.20
baseline,730.20,,,,730.20,Collecting baseline... RawAvg=730.20
baseline,730.20,,,,730.20,Collecting baseline... RawAvg=730.20
baseline,730.20,,,,730.20,Collecting baseline... RawAvg=730.20
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,729.80,,,,729.80,Collecting baseline... RawAvg=729.80
baseline,729.80,,,,729.80,Collecting baseline... RawAvg=729.80
baseline,729.80,,,,729.80,Collecting baseline... RawAvg=729.80
baseline,729.80,,,,729.80,Collecting baseline... RawAvg=729.80
baseline,729.80,,,,729.80,Collecting baseline... RawAvg=729.80
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
baseline,730.00,,,,730.00,Collecting baseline... RawAvg=730.00
info,,,,,,Baseline collection complete! Starting detection.
final_base,,729.98,,,729.98,Final Base Raw Average = 729.98
info,,,,,,--------------------------------------------------------------------------
data,,730.0,730.0,0.0,730.0,Time=0.1s | BaseRaw=730.0 | CurrentRaw=730.0 | Change=0.0 => Floor
data,,730.0,730.0,0.0,730.0,Time=0.2s | BaseRaw=730.0 | CurrentRaw=730.0 | Change=0.0 => Floor
data,,730.0,730.0,0.0,730.0,Time=0.3s | BaseRaw=730.0 | CurrentRaw=730.0 | Change=0.0 => Floor
data,,730.0,730.0,0.0,730.0,Time=0.4s | BaseRaw=730.0 | CurrentRaw=730.0 | Change=0.0 => Floor
data,,730.0,730.0,0.0,730.0,Time=0.5s | BaseRaw=730.0 | CurrentRaw=730.0 | Change=0.0 => Floor
data,,730.0,730.0,0.0,730.0,Time=0.6s | BaseRaw=730.0 | CurrentRaw=730.0 | Change=0.0 => Floor
data,,730.0,730.0,0.0,730.0,Time=0.7s | BaseRaw=730.0 | CurrentRaw=730.0 | Change=0.0 => Floor
data,,730.0,730.0,0.0,730.0,Time=0.8s | BaseRaw=730.0 | CurrentRaw=730.0 | Change=0.0 => Floor
data,,730.0,730.0,0.0,730.0,Time=0.9s | BaseRaw=730.0 | CurrentRaw=730.0 | Change=0.0 => Floor
data,,730.0,730.0,0.0,730.0,Time=1.0s | BaseRaw=730.0 | CurrentRaw=730.0 | Change=0.0 => Floor
data,,730.0,730.0,0.0,730.0,Time=1.1s | BaseRaw=730.0 | CurrentRaw=730.0 | Change=0.0 => Floor
data,,730.0,730.0,0.0,730.0,Time=1.2s | BaseRaw=730.0 | CurrentRaw=730.0 | Change=0.0 => Floor
data,,730.0,730.0,0.0,730.0,Time=1.3s | BaseRaw=730.0 | CurrentRaw=730.0 | Change=0.0 => Floor
data,,730.0,730.0,0.0,730.0,Time=1.4s | BaseRaw=730.0 | CurrentRaw=730.0 | Change=0.0 => Floor
data,,730.0,730.0,0.0,730.0,Time=1.5s | BaseRaw=730.0 | CurrentRaw=730.0 | Change=0.0 => Floor
data,,730.0,729.8,0.2,729.8,Time=1.6s | BaseRaw=730.0 | CurrentRaw=729.8 | Change=0.2 => Floor
data,,730.0,729.8,0.2,729.8,Time=1.7s | BaseRaw=730.0 | CurrentRaw=729.8 | Change=0.2 => Floor
data,,730.0,729.8,0.2,729.8,Time=1.8s | BaseRaw=730.0 | CurrentRaw=729.8 | Change=0.2 => Floor
data,,730.0,729.8,0.2,729.8,Time=1.9s | BaseRaw=730.0 | CurrentRaw=729.8 | Change=0.2 => Floor
data,,730.0,729.8,0.2,729.8,Time=2.0s | BaseRaw=730.0 | CurrentRaw=729.8 | Change=0.2 => Floor
data,,730.0,730.0,0.0,730.0,Time=2.1s | BaseRaw=730.0 | CurrentRaw=730.0 | Change=0.0 => Floor
data,,730.0,730.0,0.0,730.0,Time=2.2s | BaseRaw=730.0 | CurrentRaw=730.0 | Change=0.0 => Floor
data,,730.0,730.0,0.0,730.0,Time=2.3s | BaseRaw=730.0 | CurrentRaw=730.0 | Change=0.0 => Floor
data,,730.0,730.0,0.0,730.0,Time=2.4s | BaseRaw=730.0 | CurrentRaw=730.0 | Change=0.0 => Floor
data,,730.0,730.0,0.0,730.0,Time=2.5s | BaseRaw=730.0 | CurrentRaw=730.0 | Change=0.0 => Floor
data,,730.0,729.8,0.2,729.8,Time=2.6s | BaseRaw=730.0 | CurrentRaw=729.8 | Change=0.2 => Floor
data,,730.0,729.6,0.4,729.6,Time=2.7s | BaseRaw=730.0 | CurrentRaw=729.6 | Change=0.4 => Floor
data,,730.0,729.4,0.6,729.4,Time=2.8s | BaseRaw=730.0 | CurrentRaw=729.4 | Change=0.6 => Floor
data,,730.0,729.4,0.6,729.4,Time=2.9s | BaseRaw=730.0 | CurrentRaw=729.4 | Change=0.6 => Floor
data,,730.0,729.2,0.8,729.2,Time=3.0s | BaseRaw=730.0 | CurrentRaw=729.2 | Change=0.8 => Floor
data,,730.0,729.2,0.8,729.2,Time=3.1s | BaseRaw=730.0 | CurrentRaw=729.2 | Change=0.8 => Floor
data,,730.0,729.2,0.8,729.2,Time=3.2s | BaseRaw=730.0 | CurrentRaw=729.2 | Change=0.8 => Floor
data,,730.0,729.2,0.8,729.2,Time=3.3s | BaseRaw=730.0 | CurrentRaw=729.2 | Change=0.8 => Floor
data,,730.0,729.0,1.0,729.0,Time=3.4s | BaseRaw=730.0 | CurrentRaw=729.0 | Change=1.0 => Floor
data,,730.0,729.0,1.0,729.0,Time=3.5s | BaseRaw=730.0 | CurrentRaw=729.0 | Change=1.0 => Floor
data,,730.0,729.2,0.8,729.2,Time=3.6s | BaseRaw=730.0 | CurrentRaw=729.2 | Change=0.8 => Floor
data,,730.0,729.4,0.6,729.4,Time=3.7s | BaseRaw=730.0 | CurrentRaw=729.4 | Change=0.6 => Floor
data,,730.0,729.6,0.4,729.6,Time=3.8s | BaseRaw=730.0 | CurrentRaw=729.6 | Change=0.4 => Floor
data,,730.0,729.6,0.4,729.6,Time=3.9s | BaseRaw=730.0 | CurrentRaw=729.6 | Change=0.4 => Floor
data,,730.0,729.6,0.4,729.6,Time=4.0s | BaseRaw=730.0 | CurrentRaw=729.6 | Change=0.4 => Floor
data,,730.0,729.4,0.6,729.4,Time=4.1s | BaseRaw=730.0 | CurrentRaw=729.4 | Change=0.6 => Floor
data,,730.0,728.4,1.6,728.4,Time=4.2s | BaseRaw=730.0 | CurrentRaw=728.4 | Change=1.6 => Floor
data,,730.0,725.0,5.0,725.0,Time=4.3s | BaseRaw=730.0 | CurrentRaw=725.0 | Change=5.0 => Floor
data,,730.0,719.0,11.0,719.0,Time=4.4s | BaseRaw=730.0 | CurrentRaw=719.0 | Change=11.0 => Liquid
data,,730.0,712.0,18.0,712.0,Time=4.5s | BaseRaw=730.0 | CurrentRaw=712.0 | Change=18.0 => Liquid
data,,730.0,704.4,25.6,704.4,Time=4.6s | BaseRaw=730.0 | CurrentRaw=704.4 | Change=25.6 => Liquid
data,,730.0,698.0,32.0,698.0,Time=4.7s | BaseRaw=730.0 | CurrentRaw=698.0 | Change=32.0 => Liquid
data,,730.0,694.0,36.0,694.0,Time=4.8s | BaseRaw=730.0 | CurrentRaw=694.0 | Change=36.0 => Liquid
data,,730.0,692.8,37.2,692.8,Time=4.9s | BaseRaw=730.0 | CurrentRaw=692.8 | Change=37.2 => Liquid
data,,730.0,692.6,37.4,692.6,Time=5.0s | BaseRaw=730.0 | CurrentRaw=692.6 | Change=37.4 => Liquid
data,,730.0,693.0,37.0,693.0,Time=5.1s | BaseRaw=730.0 | CurrentRaw=693.0 | Change=37.0 => Liquid
data,,730.0,693.0,37.0,693.0,Time=5.2s | BaseRaw=730.0 | CurrentRaw=693.0 | Change=37.0 => Liquid
data,,730.0,693.0,37.0,693.0,Time=5.3s | BaseRaw=730.0 | CurrentRaw=693.0 | Change=37.0 => Liquid
data,,730.0,693.0,37.0,693.0,Time=5.4s | BaseRaw=730.0 | CurrentRaw=693.0 | Change=37.0 => Liquid
data,,730.0,693.0,37.0,693.0,Time=5.5s | BaseRaw=730.0 | CurrentRaw=693.0 | Change=37.0 => Liquid
data,,730.0,693.0,37.0,693.0,Time=5.6s | BaseRaw=730.0 | CurrentRaw=693.0 | Change=37.0 => Liquid
data,,730.0,693.0,37.0,693.0,Time=5.7s | BaseRaw=730.0 | CurrentRaw=693.0 | Change=37.0 => Liquid
data,,730.0,693.0,37.0,693.0,Time=5.8s | BaseRaw=730.0 | CurrentRaw=693.0 | Change=37.0 => Liquid
data,,730.0,693.0,37.0,693.0,Time=5.9s | BaseRaw=730.0 | CurrentRaw=693.0 | Change=37.0 => Liquid
data,,730.0,693.0,37.0,693.0,Time=6.0s | BaseRaw=730.0 | CurrentRaw=693.0 | Change=37.0 => Liquid
data,,730.0,693.0,37.0,693.0,Time=6.1s | BaseRaw=730.0 | CurrentRaw=693.0 | Change=37.0 => Liquid
data,,730.0,693.0,37.0,693.0,Time=6.2s | BaseRaw=730.0 | CurrentRaw=693.0 | Change=37.0 => Liquid
data,,730.0,693.0,37.0,693.0,Time=6.3s | BaseRaw=730.0 | CurrentRaw=693.0 | Change=37.0 => Liquid
data,,730.0,693.2,36.8,693.2,Time=6.4s | BaseRaw=730.0 | CurrentRaw=693.2 | Change=36.8 => Liquid
data,,730.0,693.2,36.8,693.2,Time=6.5s | BaseRaw=730.0 | CurrentRaw=693.2 | Change=36.8 => Liquid
