record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,734.80,,,,734.80,Collecting baseline... RawAvg=734.80
baseline,734.80,,,,734.80,Collecting baseline... RawAvg=734.80
baseline,734.80,,,,734.80,Collecting baseline... RawAvg=734.80
baseline,734.80,,,,734.80,Collecting baseline... RawAvg=734.80
baseline,735.00,,,,735.00,Collecting baseline... RawAvg=735.00
baseline,735.20,,,,735.20,Collecting baseline... RawAvg=735.20
baseline,735.20,,,,735.20,Collecting baseline... RawAvg=735.20
baseline,735.00,,,,735.00,Collecting baseline... RawAvg=735.00
baseline,734.80,,,,734.80,Collecting baseline... RawAvg=734.80
baseline,734.60,,,,734.60,Collecting baseline... RawAvg=734.60
baseline,734.60,,,,734.60,Collecting baseline... RawAvg=734.60
baseline,734.60,,,,734.60,Collecting baseline... RawAvg=734.60
baseline,734.80,,,,734.80,Collecting baseline... RawAvg=734.80
baseline,735.00,,,,735.00,Collecting baseline... RawAvg=735.00
baseline,735.20,,,,735.20,Collecting baseline... RawAvg=735.20
baseline,735.20,,,,735.20,Collecting baseline... RawAvg=735.20
baseline,735.20,,,,735.20,Collecting baseline... RawAvg=735.20
baseline,735.20,,,,735.20,Collecting baseline... RawAvg=735.20
baseline,735.20,,,,735.20,Collecting baseline... RawAvg=735.20
baseline,735.00,,,,735.00,Collecting baseline... RawAvg=735.00
baseline,735.00,,,,735.00,Collecting baseline... RawAvg=735.00
baseline,735.00,,,,735.00,Collecting baseline... RawAvg=735.00
baseline,735.00,,,,735.00,Collecting baseline... RawAvg=735.00
baseline,734.80,,,,734.80,Collecting baseline... RawAvg=734.80
baseline,734.80,,,,734.80,Collecting baseline... RawAvg=734.80
baseline,734.60,,,,734.60,Collecting baseline... RawAvg=734.60
baseline,734.60,,,,734.60,Collecting baseline... RawAvg=734.60
baseline,734.40,,,,734.40,Collecting baseline... RawAvg=734.40
baseline,734.40,,,,734.40,Collecting baseline... RawAvg=734.40
baseline,734.20,,,,734.20,Collecting baseline... RawAvg=734.20
baseline,734.40,,,,734.40,Collecting baseline... RawAvg=734.40
baseline,734.40,,,,734.40,Collecting baseline... RawAvg=734.40
baseline,734.60,,,,734.60,Collecting baseline... RawAvg=734.60
baseline,734.60,,,,734.60,Collecting baseline... RawAvg=734.60
baseline,734.80,,,,734.80,Collecting baseline... RawAvg=734.80
baseline,734.80,,,,734.80,Collecting baseline... RawAvg=734.80
baseline,734.60,,,,734.60,Collecting baseline... RawAvg=734.60
baseline,734.40,,,,734.40,Collecting baseline... RawAvg=734.40
baseline,734.40,,,,734.40,Collecting baseline... RawAvg=734.40
baseline,734.20,,,,734.20,Collecting baseline... RawAvg=734.20
baseline,734.00,,,,734.00,Collecting baseline... RawAvg=734.00
baseline,734.00,,,,734.00,Collecting baseline... RawAvg=734.00
baseline,734.00,,,,734.00,Collecting baseline... RawAvg=734.00
baseline,734.00,,,,734.00,Collecting baseline... RawAvg=734.00
baseline,734.00,,,,734.00,Collecting baseline... RawAvg=734.00
baseline,734.00,,,,734.00,Collecting baseline... RawAvg=734.00
baseline,734.00,,,,734.00,Collecting baseline... RawAvg=734.00
baseline,734.00,,,,734.00,Collecting baseline... RawAvg=734.00
baseline,734.20,,,,734.20,Collecting baseline... RawAvg=734.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,734.64,,,734.64,Final Base Raw Average = 734.64
info,,,,,,--------------------------------------------------------------------------
data,,734.6,734.6,0.0,734.6,Time=0.1s | BaseRaw=734.6 | CurrentRaw=734.6 | Change=0.0 => Floor
data,,734.6,734.6,0.0,734.6,Time=0.2s | BaseRaw=734.6 | CurrentRaw=734.6 | Change=0.0 => Floor
data,,734.6,734.8,0.2,734.8,Time=0.3s | BaseRaw=734.6 | CurrentRaw=734.8 | Change=0.2 => Floor
data,,734.6,734.8,0.2,734.8,Time=0.4s | BaseRaw=734.6 | CurrentRaw=734.8 | Change=0.2 => Floor
data,,734.6,734.6,0.0,734.6,Time=0.5s | BaseRaw=734.6 | CurrentRaw=734.6 | Change=0.0 => Floor
data,,734.6,734.6,0.0,734.6,Time=0.6s | BaseRaw=734.6 | CurrentRaw=734.6 | Change=0.0 => Floor
data,,734.6,734.6,0.0,734.6,Time=0.7s | BaseRaw=734.6 | CurrentRaw=734.6 | Change=0.0 => Floor
data,,734.6,734.4,0.2,734.4,Time=0.8s | BaseRaw=734.6 | CurrentRaw=734.4 | Change=0.2 => Floor
data,,734.6,734.4,0.2,734.4,Time=0.9s | BaseRaw=734.6 | CurrentRaw=734.4 | Change=0.2 => Floor
data,,734.6,734.4,0.2,734.4,Time=1.0s | BaseRaw=734.6 | CurrentRaw=734.4 | Change=0.2 => Floor
data,,734.6,734.4,0.2,734.4,Time=1.1s | BaseRaw=734.6 | CurrentRaw=734.4 | Change=0.2 => Floor
data,,734.6,734.4,0.2,734.4,Time=1.2s | BaseRaw=734.6 | CurrentRaw=734.4 | Change=0.2 => Floor
data,,734.6,734.4,0.2,734.4,Time=1.3s | BaseRaw=734.6 | CurrentRaw=734.4 | Change=0.2 => Floor
data,,734.6,734.2,0.4,734.2,Time=1.4s | BaseRaw=734.6 | CurrentRaw=734.2 | Change=0.4 => Floor
data,,734.6,734.2,0.4,734.2,Time=1.5s | BaseRaw=734.6 | CurrentRaw=734.2 | Change=0.4 => Floor
data,,734.6,734.0,0.6,734.0,Time=1.6s | BaseRaw=734.6 | CurrentRaw=734.0 | Change=0.6 => Floor
data,,734.6,734.0,0.6,734.0,Time=1.7s | BaseRaw=734.6 | CurrentRaw=734.0 | Change=0.6 => Floor
data,,734.6,734.0,0.6,734.0,Time=1.8s | BaseRaw=734.6 | CurrentRaw=734.0 | Change=0.6 => Floor
data,,734.6,734.2,0.4,734.2,Time=1.9s | BaseRaw=734.6 | CurrentRaw=734.2 | Change=0.4 => Floor
data,,734.6,734.4,0.2,734.4,Time=2.0s | BaseRaw=734.6 | CurrentRaw=734.4 | Change=0.2 => Floor
data,,734.6,734.4,0.2,734.4,Time=2.1s | BaseRaw=734.6 | CurrentRaw=734.4 | Change=0.2 => Floor
data,,734.6,734.4,0.2,734.4,Time=2.2s | BaseRaw=734.6 | CurrentRaw=734.4 | Change=0.2 => Floor
data,,734.6,734.4,0.2,734.4,Time=2.3s | BaseRaw=734.6 | CurrentRaw=734.4 | Change=0.2 => Floor
data,,734.6,734.2,0.4,734.2,Time=2.4s | BaseRaw=734.6 | CurrentRaw=734.2 | Change=0.4 => Floor
data,,734.6,734.0,0.6,734.0,Time=2.5s | BaseRaw=734.6 | CurrentRaw=734.0 | Change=0.6 => Floor
data,,734.6,734.0,0.6,734.0,Time=2.6s | BaseRaw=734.6 | CurrentRaw=734.0 | Change=0.6 => Floor
data,,734.6,734.0,0.6,734.0,Time=2.7s | BaseRaw=734.6 | CurrentRaw=734.0 | Change=0.6 => Floor
data,,734.6,734.2,0.4,734.2,Time=2.8s | BaseRaw=734.6 | CurrentRaw=734.2 | Change=0.4 => Floor
data,,734.6,734.2,0.4,734.2,Time=2.9s | BaseRaw=734.6 | CurrentRaw=734.2 | Change=0.4 => Floor
data,,734.6,734.2,0.4,734.2,Time=3.0s | BaseRaw=734.6 | CurrentRaw=734.2 | Change=0.4 => Floor
data,,734.6,734.2,0.4,734.2,Time=3.1s | BaseRaw=734.6 | CurrentRaw=734.2 | Change=0.4 => Floor
data,,734.6,734.2,0.4,734.2,Time=3.2s | BaseRaw=734.6 | CurrentRaw=734.2 | Change=0.4 => Floor
data,,734.6,734.0,0.6,734.0,Time=3.3s | BaseRaw=734.6 | CurrentRaw=734.0 | Change=0.6 => Floor
data,,734.6,734.0,0.6,734.0,Time=3.4s | BaseRaw=734.6 | CurrentRaw=734.0 | Change=0.6 => Floor
data,,734.6,734.0,0.6,734.0,Time=3.5s | BaseRaw=734.6 | CurrentRaw=734.0 | Change=0.6 => Floor
data,,734.6,734.0,0.6,734.0,Time=3.6s | BaseRaw=734.6 | CurrentRaw=734.0 | Change=0.6 => Floor
data,,734.6,733.8,0.8,733.8,Time=3.7s | BaseRaw=734.6 | CurrentRaw=733.8 | Change=0.8 => Floor
data,,734.6,733.6,1.0,733.6,Time=3.8s | BaseRaw=734.6 | CurrentRaw=733.6 | Change=1.0 => Floor
data,,734.6,733.4,1.2,733.4,Time=3.9s | BaseRaw=734.6 | CurrentRaw=733.4 | Change=1.2 => Floor
data,,734.6,733.2,1.4,733.2,Time=4.0s | BaseRaw=734.6 | CurrentRaw=733.2 | Change=1.4 => Floor
data,,734.6,733.0,1.6,733.0,Time=4.1s | BaseRaw=734.6 | CurrentRaw=733.0 | Change=1.6 => Floor
data,,734.6,733.0,1.6,733.0,Time=4.2s | BaseRaw=734.6 | CurrentRaw=733.0 | Change=1.6 => Floor
data,,734.6,733.0,1.6,733.0,Time=4.3s | BaseRaw=734.6 | CurrentRaw=733.0 | Change=1.6 => Floor
data,,734.6,733.0,1.6,733.0,Time=4.4s | BaseRaw=734.6 | CurrentRaw=733.0 | Change=1.6 => Floor
data,,734.6,732.8,1.8,732.8,Time=4.5s | BaseRaw=734.6 | CurrentRaw=732.8 | Change=1.8 => Floor
data,,734.6,732.6,2.0,732.6,Time=4.6s | BaseRaw=734.6 | CurrentRaw=732.6 | Change=2.0 => Floor
data,,734.6,732.4,2.2,732.4,Time=4.7s | BaseRaw=734.6 | CurrentRaw=732.4 | Change=2.2 => Floor
data,,734.6,732.2,2.4,732.2,Time=4.8s | BaseRaw=734.6 | CurrentRaw=732.2 | Change=2.4 => Floor
data,,734.6,732.2,2.4,732.2,Time=4.9s | BaseRaw=734.6 | CurrentRaw=732.2 | Change=2.4 => Floor
data,,734.6,732.2,2.4,732.2,Time=5.0s | BaseRaw=734.6 | CurrentRaw=732.2 | Change=2.4 => Floor
data,,734.6,732.2,2.4,732.2,Time=5.1s | BaseRaw=734.6 | CurrentRaw=732.2 | Change=2.4 => Floor
data,,734.6,732.6,2.0,732.6,Time=5.2s | BaseRaw=734.6 | CurrentRaw=732.6 | Change=2.0 => Floor
data,,734.6,733.2,1.4,733.2,Time=5.3s | BaseRaw=734.6 | CurrentRaw=733.2 | Change=1.4 => Floor
data,,734.6,733.6,1.0,733.6,Time=5.4s | BaseRaw=734.6 | CurrentRaw=733.6 | Change=1.0 => Floor
data,,734.6,733.6,1.0,733.6,Time=5.5s | BaseRaw=734.6 | CurrentRaw=733.6 | Change=1.0 => Floor
data,,734.6,733.6,1.0,733.6,Time=5.6s | BaseRaw=734.6 | CurrentRaw=733.6 | Change=1.0 => Floor
data,,734.6,733.8,0.8,733.8,Time=5.7s | BaseRaw=734.6 | CurrentRaw=733.8 | Change=0.8 => Floor
data,,734.6,734.4,0.2,734.4,Time=5.8s | BaseRaw=734.6 | CurrentRaw=734.4 | Change=0.2 => Floor
data,,734.6,734.8,0.2,734.8,Time=5.9s | BaseRaw=734.6 | CurrentRaw=734.8 | Change=0.2 => Floor
data,,734.6,735.8,1.2,735.8,Time=6.0s | BaseRaw=734.6 | CurrentRaw=735.8 | Change=1.2 => Floor
data,,734.6,736.8,2.2,736.8,Time=6.1s | BaseRaw=734.6 | CurrentRaw=736.8 | Change=2.2 => Floor
data,,734.6,737.2,2.6,737.2,Time=6.2s | BaseRaw=734.6 | CurrentRaw=737.2 | Change=2.6 => Floor
data,,734.6,737.0,2.4,737.0,Time=6.3s | BaseRaw=734.6 | CurrentRaw=737.0 | Change=2.4 => Floor
data,,734.6,737.0,2.4,737.0,Time=6.4s | BaseRaw=734.6 | CurrentRaw=737.0 | Change=2.4 => Floor
data,,734.6,737.0,2.4,737.0,Time=6.5s | BaseRaw=734.6 | CurrentRaw=737.0 | Change=2.4 => Floor
