record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,818.80,,,,818.80,Collecting baseline... RawAvg=818.80
baseline,819.00,,,,819.00,Collecting baseline... RawAvg=819.00
baseline,819.20,,,,819.20,Collecting baseline... RawAvg=819.20
baseline,819.60,,,,819.60,Collecting baseline... RawAvg=819.60
baseline,819.80,,,,819.80,Collecting baseline... RawAvg=819.80
baseline,819.80,,,,819.80,Collecting baseline... RawAvg=819.80
baseline,819.40,,,,819.40,Collecting baseline... RawAvg=819.40
baseline,819.00,,,,819.00,Collecting baseline... RawAvg=819.00
baseline,818.60,,,,818.60,Collecting baseline... RawAvg=818.60
baseline,818.40,,,,818.40,Collecting baseline... RawAvg=818.40
baseline,818.40,,,,818.40,Collecting baseline... RawAvg=818.40
baseline,818.80,,,,818.80,Collecting baseline... RawAvg=818.80
baseline,819.00,,,,819.00,Collecting baseline... RawAvg=819.00
baseline,819.20,,,,819.20,Collecting baseline... RawAvg=819.20
baseline,819.20,,,,819.20,Collecting baseline... RawAvg=819.20
baseline,819.00,,,,819.00,Collecting baseline... RawAvg=819.00
baseline,818.80,,,,818.80,Collecting baseline... RawAvg=818.80
baseline,818.60,,,,818.60,Collecting baseline... RawAvg=818.60
baseline,818.60,,,,818.60,Collecting baseline... RawAvg=818.60
baseline,818.80,,,,818.80,Collecting baseline... RawAvg=818.80
baseline,819.20,,,,819.20,Collecting baseline... RawAvg=819.20
baseline,819.60,,,,819.60,Collecting baseline... RawAvg=819.60
baseline,820.00,,,,820.00,Collecting baseline... RawAvg=820.00
baseline,820.00,,,,820.00,Collecting baseline... RawAvg=820.00
baseline,820.00,,,,820.00,Collecting baseline... RawAvg=820.00
baseline,820.00,,,,820.00,Collecting baseline... RawAvg=820.00
baseline,820.00,,,,820.00,Collecting baseline... RawAvg=820.00
baseline,820.40,,,,820.40,Collecting baseline... RawAvg=820.40
baseline,821.00,,,,821.00,Collecting baseline... RawAvg=821.00
baseline,821.40,,,,821.40,Collecting baseline... RawAvg=821.40
baseline,821.60,,,,821.60,Collecting baseline... RawAvg=821.60
baseline,821.40,,,,821.40,Collecting baseline... RawAvg=821.40
baseline,821.00,,,,821.00,Collecting baseline... RawAvg=821.00
baseline,820.40,,,,820.40,Collecting baseline... RawAvg=820.40
baseline,819.60,,,,819.60,Collecting baseline... RawAvg=819.60
baseline,819.40,,,,819.40,Collecting baseline... RawAvg=819.40
baseline,819.40,,,,819.40,Collecting baseline... RawAvg=819.40
baseline,819.40,,,,819.40,Collecting baseline... RawAvg=819.40
baseline,819.80,,,,819.80,Collecting baseline... RawAvg=819.80
baseline,820.20,,,,820.20,Collecting baseline... RawAvg=820.20
baseline,820.00,,,,820.00,Collecting baseline... RawAvg=820.00
baseline,819.80,,,,819.80,Collecting baseline... RawAvg=819.80
baseline,819.40,,,,819.40,Collecting baseline... RawAvg=819.40
baseline,818.80,,,,818.80,Collecting baseline... RawAvg=818.80
baseline,818.60,,,,818.60,Collecting baseline... RawAvg=818.60
baseline,818.60,,,,818.60,Collecting baseline... RawAvg=818.60
baseline,818.80,,,,818.80,Collecting baseline... RawAvg=818.80
baseline,819.20,,,,819.20,Collecting baseline... RawAvg=819.20
baseline,819.60,,,,819.60,Collecting baseline... RawAvg=819.60
info,,,,,,Baseline collection complete! Starting detection.
final_base,,819.52,,,819.52,Final Base Raw Average = 819.52
info,,,,,,--------------------------------------------------------------------------
data,,819.5,819.8,0.3,819.8,Time=0.1s | BaseRaw=819.5 | CurrentRaw=819.8 | Change=0.3 => Floor
data,,819.5,819.4,0.1,819.4,Time=0.2s | BaseRaw=819.5 | CurrentRaw=819.4 | Change=0.1 => Floor
data,,819.5,819.4,0.1,819.4,Time=0.3s | BaseRaw=819.5 | CurrentRaw=819.4 | Change=0.1 => Floor
data,,819.5,819.4,0.1,819.4,Time=0.4s | BaseRaw=819.5 | CurrentRaw=819.4 | Change=0.1 => Floor
data,,819.5,819.6,0.1,819.6,Time=0.5s | BaseRaw=819.5 | CurrentRaw=819.6 | Change=0.1 => Floor
data,,819.5,819.6,0.1,819.6,Time=0.6s | BaseRaw=819.5 | CurrentRaw=819.6 | Change=0.1 => Floor
data,,819.5,819.8,0.3,819.8,Time=0.7s | BaseRaw=819.5 | CurrentRaw=819.8 | Change=0.3 => Floor
data,,819.5,820.0,0.5,820.0,Time=0.8s | BaseRaw=819.5 | CurrentRaw=820.0 | Change=0.5 => Floor
data,,819.5,820.0,0.5,820.0,Time=0.9s | BaseRaw=819.5 | CurrentRaw=820.0 | Change=0.5 => Floor
data,,819.5,820.0,0.5,820.0,Time=1.0s | BaseRaw=819.5 | CurrentRaw=820.0 | Change=0.5 => Floor
data,,819.5,819.8,0.3,819.8,Time=1.1s | BaseRaw=819.5 | CurrentRaw=819.8 | Change=0.3 => Floor
data,,819.5,820.0,0.5,820.0,Time=1.2s | BaseRaw=819.5 | CurrentRaw=820.0 | Change=0.5 => Floor
data,,819.5,819.8,0.3,819.8,Time=1.3s | BaseRaw=819.5 | CurrentRaw=819.8 | Change=0.3 => Floor
data,,819.5,819.6,0.1,819.6,Time=1.4s | BaseRaw=819.5 | CurrentRaw=819.6 | Change=0.1 => Floor
data,,819.5,819.8,0.3,819.8,Time=1.5s | BaseRaw=819.5 | CurrentRaw=819.8 | Change=0.3 => Floor
data,,819.5,820.0,0.5,820.0,Time=1.6s | BaseRaw=819.5 | CurrentRaw=820.0 | Change=0.5 => Floor
data,,819.5,820.4,0.9,820.4,Time=1.7s | BaseRaw=819.5 | CurrentRaw=820.4 | Change=0.9 => Floor
data,,819.5,821.0,1.5,821.0,Time=1.8s | BaseRaw=819.5 | CurrentRaw=821.0 | Change=1.5 => Floor
data,,819.5,821.6,2.1,821.6,Time=1.9s | BaseRaw=819.5 | CurrentRaw=821.6 | Change=2.1 => Floor
data,,819.5,822.0,2.5,822.0,Time=2.0s | BaseRaw=819.5 | CurrentRaw=822.0 | Change=2.5 => Floor
data,,819.5,822.8,3.3,822.8,Time=2.1s | BaseRaw=819.5 | CurrentRaw=822.8 | Change=3.3 => Floor
data,,819.5,823.4,3.9,823.4,Time=2.2s | BaseRaw=819.5 | CurrentRaw=823.4 | Change=3.9 => Floor
data,,819.5,824.0,4.5,824.0,Time=2.3s | BaseRaw=819.5 | CurrentRaw=824.0 | Change=4.5 => Floor
data,,819.5,824.6,5.1,824.6,Time=2.4s | BaseRaw=819.5 | CurrentRaw=824.6 | Change=5.1 => Floor
data,,819.5,825.2,5.7,825.2,Time=2.5s | BaseRaw=819.5 | CurrentRaw=825.2 | Change=5.7 => Floor
data,,819.5,825.4,5.9,825.4,Time=2.6s | BaseRaw=819.5 | CurrentRaw=825.4 | Change=5.9 => Floor
data,,819.5,825.6,6.1,825.6,Time=2.7s | BaseRaw=819.5 | CurrentRaw=825.6 | Change=6.1 => Floor
data,,819.5,825.4,5.9,825.4,Time=2.8s | BaseRaw=819.5 | CurrentRaw=825.4 | Change=5.9 => Floor
data,,819.5,825.6,6.1,825.6,Time=2.9s | BaseRaw=819.5 | CurrentRaw=825.6 | Change=6.1 => Floor
data,,819.5,825.6,6.1,825.6,Time=3.0s | BaseRaw=819.5 | CurrentRaw=825.6 | Change=6.1 => Floor
data,,819.5,825.6,6.1,825.6,Time=3.1s | BaseRaw=819.5 | CurrentRaw=825.6 | Change=6.1 => Floor
data,,819.5,825.8,6.3,825.8,Time=3.2s | BaseRaw=819.5 | CurrentRaw=825.8 | Change=6.3 => Floor
data,,819.5,825.8,6.3,825.8,Time=3.3s | BaseRaw=819.5 | CurrentRaw=825.8 | Change=6.3 => Floor
data,,819.5,825.8,6.3,825.8,Time=3.4s | BaseRaw=819.5 | CurrentRaw=825.8 | Change=6.3 => Floor
data,,819.5,825.8,6.3,825.8,Time=3.5s | BaseRaw=819.5 | CurrentRaw=825.8 | Change=6.3 => Floor
data,,819.5,826.2,6.7,826.2,Time=3.6s | BaseRaw=819.5 | CurrentRaw=826.2 | Change=6.7 => Floor
data,,819.5,826.0,6.5,826.0,Time=3.7s | BaseRaw=819.5 | CurrentRaw=826.0 | Change=6.5 => Floor
data,,819.5,826.2,6.7,826.2,Time=3.8s | BaseRaw=819.5 | CurrentRaw=826.2 | Change=6.7 => Floor
data,,819.5,826.2,6.7,826.2,Time=3.9s | BaseRaw=819.5 | CurrentRaw=826.2 | Change=6.7 => Floor
data,,819.5,826.0,6.5,826.0,Time=4.0s | BaseRaw=819.5 | CurrentRaw=826.0 | Change=6.5 => Floor
data,,819.5,826.8,7.3,826.8,Time=4.1s | BaseRaw=819.5 | CurrentRaw=826.8 | Change=7.3 => Floor
data,,819.5,828.2,8.7,828.2,Time=4.2s | BaseRaw=819.5 | CurrentRaw=828.2 | Change=8.7 => Floor
data,,819.5,827.2,7.7,827.2,Time=4.3s | BaseRaw=819.5 | CurrentRaw=827.2 | Change=7.7 => Floor
data,,819.5,822.0,2.5,822.0,Time=4.4s | BaseRaw=819.5 | CurrentRaw=822.0 | Change=2.5 => Floor
data,,819.5,813.6,5.9,813.6,Time=4.5s | BaseRaw=819.5 | CurrentRaw=813.6 | Change=5.9 => Floor
data,,819.5,804.2,15.3,804.2,Time=4.6s | BaseRaw=819.5 | CurrentRaw=804.2 | Change=15.3 => Liquid
data,,819.5,794.4,25.1,794.4,Time=4.7s | BaseRaw=819.5 | CurrentRaw=794.4 | Change=25.1 => Liquid
data,,819.5,787.0,32.5,787.0,Time=4.8s | BaseRaw=819.5 | CurrentRaw=787.0 | Change=32.5 => Liquid
data,,819.5,783.6,35.9,783.6,Time=4.9s | BaseRaw=819.5 | CurrentRaw=783.6 | Change=35.9 => Liquid
data,,819.5,783.6,35.9,783.6,Time=5.0s | BaseRaw=819.5 | CurrentRaw=783.6 | Change=35.9 => Liquid
data,,819.5,783.4,36.1,783.4,Time=5.1s | BaseRaw=819.5 | CurrentRaw=783.4 | Change=36.1 => Liquid
data,,819.5,783.2,36.3,783.2,Time=5.2s | BaseRaw=819.5 | CurrentRaw=783.2 | Change=36.3 => Liquid
data,,819.5,782.6,36.9,782.6,Time=5.3s | BaseRaw=819.5 | CurrentRaw=782.6 | Change=36.9 => Liquid
data,,819.5,782.2,37.3,782.2,Time=5.4s | BaseRaw=819.5 | CurrentRaw=782.2 | Change=37.3 => Liquid
data,,819.5,782.0,37.5,782.0,Time=5.5s | BaseRaw=819.5 | CurrentRaw=782.0 | Change=37.5 => Liquid
data,,819.5,781.4,38.1,781.4,Time=5.6s | BaseRaw=819.5 | CurrentRaw=781.4 | Change=38.1 => Liquid
data,,819.5,781.0,38.5,781.0,Time=5.7s | BaseRaw=819.5 | CurrentRaw=781.0 | Change=38.5 => Liquid
data,,819.5,781.0,38.5,781.0,Time=5.8s | BaseRaw=819.5 | CurrentRaw=781.0 | Change=38.5 => Liquid
data,,819.5,780.8,38.7,780.8,Time=5.9s | BaseRaw=819.5 | CurrentRaw=780.8 | Change=38.7 => Liquid
data,,819.5,780.4,39.1,780.4,Time=6.0s | BaseRaw=819.5 | CurrentRaw=780.4 | Change=39.1 => Liquid
data,,819.5,780.8,38.7,780.8,Time=6.1s | BaseRaw=819.5 | CurrentRaw=780.8 | Change=38.7 => Liquid
data,,819.5,780.8,38.7,780.8,Time=6.2s | BaseRaw=819.5 | CurrentRaw=780.8 | Change=38.7 => Liquid
data,,819.5,780.8,38.7,780.8,Time=6.3s | BaseRaw=819.5 | CurrentRaw=780.8 | Change=38.7 => Liquid
data,,819.5,781.0,38.5,781.0,Time=6.4s | BaseRaw=819.5 | CurrentRaw=781.0 | Change=38.5 => Liquid
data,,819.5,780.8,38.7,780.8,Time=6.5s | BaseRaw=819.5 | CurrentRaw=780.8 | Change=38.7 => Liquid
