record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,810.20,,,,810.20,Collecting baseline... RawAvg=810.20
baseline,810.20,,,,810.20,Collecting baseline... RawAvg=810.20
baseline,810.20,,,,810.20,Collecting baseline... RawAvg=810.20
baseline,810.20,,,,810.20,Collecting baseline... RawAvg=810.20
baseline,810.40,,,,810.40,Collecting baseline... RawAvg=810.40
baseline,810.20,,,,810.20,Collecting baseline... RawAvg=810.20
baseline,810.20,,,,810.20,Collecting baseline... RawAvg=810.20
baseline,810.20,,,,810.20,Collecting baseline... RawAvg=810.20
baseline,810.20,,,,810.20,Collecting baseline... RawAvg=810.20
baseline,810.20,,,,810.20,Collecting baseline... RawAvg=810.20
baseline,810.20,,,,810.20,Collecting baseline... RawAvg=810.20
baseline,810.20,,,,810.20,Collecting baseline... RawAvg=810.20
baseline,810.40,,,,810.40,Collecting baseline... RawAvg=810.40
baseline,810.60,,,,810.60,Collecting baseline... RawAvg=810.60
baseline,810.60,,,,810.60,Collecting baseline... RawAvg=810.60
baseline,810.80,,,,810.80,Collecting baseline... RawAvg=810.80
baseline,810.80,,,,810.80,Collecting baseline... RawAvg=810.80
baseline,810.60,,,,810.60,Collecting baseline... RawAvg=810.60
baseline,810.60,,,,810.60,Collecting baseline... RawAvg=810.60
baseline,810.60,,,,810.60,Collecting baseline... RawAvg=810.60
baseline,810.40,,,,810.40,Collecting baseline... RawAvg=810.40
baseline,810.40,,,,810.40,Collecting baseline... RawAvg=810.40
baseline,810.40,,,,810.40,Collecting baseline... RawAvg=810.40
baseline,810.20,,,,810.20,Collecting baseline... RawAvg=810.20
baseline,810.20,,,,810.20,Collecting baseline... RawAvg=810.20
baseline,810.20,,,,810.20,Collecting baseline... RawAvg=810.20
baseline,810.20,,,,810.20,Collecting baseline... RawAvg=810.20
baseline,810.40,,,,810.40,Collecting baseline... RawAvg=810.40
baseline,810.40,,,,810.40,Collecting baseline... RawAvg=810.40
baseline,810.20,,,,810.20,Collecting baseline... RawAvg=810.20
baseline,810.20,,,,810.20,Collecting baseline... RawAvg=810.20
baseline,810.40,,,,810.40,Collecting baseline... RawAvg=810.40
baseline,810.20,,,,810.20,Collecting baseline... RawAvg=810.20
baseline,810.20,,,,810.20,Collecting baseline... RawAvg=810.20
baseline,810.20,,,,810.20,Collecting baseline... RawAvg=810.20
baseline,810.20,,,,810.20,Collecting baseline... RawAvg=810.20
baseline,810.00,,,,810.00,Collecting baseline... RawAvg=810.00
baseline,810.00,,,,810.00,Collecting baseline... RawAvg=810.00
baseline,810.00,,,,810.00,Collecting baseline... RawAvg=810.00
baseline,810.00,,,,810.00,Collecting baseline... RawAvg=810.00
baseline,810.20,,,,810.20,Collecting baseline... RawAvg=810.20
baseline,810.20,,,,810.20,Collecting baseline... RawAvg=810.20
baseline,810.20,,,,810.20,Collecting baseline... RawAvg=810.20
baseline,810.20,,,,810.20,Collecting baseline... RawAvg=810.20
baseline,810.20,,,,810.20,Collecting baseline... RawAvg=810.20
baseline,810.00,,,,810.00,Collecting baseline... RawAvg=810.00
baseline,810.20,,,,810.20,Collecting baseline... RawAvg=810.20
baseline,810.20,,,,810.20,Collecting baseline... RawAvg=810.20
baseline,810.20,,,,810.20,Collecting baseline... RawAvg=810.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,810.28,,,810.28,Final Base Raw Average = 810.28
info,,,,,,--------------------------------------------------------------------------
data,,810.3,810.2,0.1,810.2,Time=0.1s | BaseRaw=810.3 | CurrentRaw=810.2 | Change=0.1 => Floor
data,,810.3,810.0,0.3,810.0,Time=0.2s | BaseRaw=810.3 | CurrentRaw=810.0 | Change=0.3 => Floor
data,,810.3,810.2,0.1,810.2,Time=0.3s | BaseRaw=810.3 | CurrentRaw=810.2 | Change=0.1 => Floor
data,,810.3,810.4,0.1,810.4,Time=0.4s | BaseRaw=810.3 | CurrentRaw=810.4 | Change=0.1 => Floor
data,,810.3,810.6,0.3,810.6,Time=0.5s | BaseRaw=810.3 | CurrentRaw=810.6 | Change=0.3 => Floor
data,,810.3,810.6,0.3,810.6,Time=0.6s | BaseRaw=810.3 | CurrentRaw=810.6 | Change=0.3 => Floor
data,,810.3,810.8,0.5,810.8,Time=0.7s | BaseRaw=810.3 | CurrentRaw=810.8 | Change=0.5 => Floor
data,,810.3,810.8,0.5,810.8,Time=0.8s | BaseRaw=810.3 | CurrentRaw=810.8 | Change=0.5 => Floor
data,,810.3,810.8,0.5,810.8,Time=0.9s | BaseRaw=810.3 | CurrentRaw=810.8 | Change=0.5 => Floor
data,,810.3,811.0,0.7,811.0,Time=1.0s | BaseRaw=810.3 | CurrentRaw=811.0 | Change=0.7 => Floor
data,,810.3,811.0,0.7,811.0,Time=1.1s | BaseRaw=810.3 | CurrentRaw=811.0 | Change=0.7 => Floor
data,,810.3,810.8,0.5,810.8,Time=1.2s | BaseRaw=810.3 | CurrentRaw=810.8 | Change=0.5 => Floor
data,,810.3,810.8,0.5,810.8,Time=1.3s | BaseRaw=810.3 | CurrentRaw=810.8 | Change=0.5 => Floor
data,,810.3,810.6,0.3,810.6,Time=1.4s | BaseRaw=810.3 | CurrentRaw=810.6 | Change=0.3 => Floor
data,,810.3,810.4,0.1,810.4,Time=1.5s | BaseRaw=810.3 | CurrentRaw=810.4 | Change=0.1 => Floor
data,,810.3,810.4,0.1,810.4,Time=1.6s | BaseRaw=810.3 | CurrentRaw=810.4 | Change=0.1 => Floor
data,,810.3,810.6,0.3,810.6,Time=1.7s | BaseRaw=810.3 | CurrentRaw=810.6 | Change=0.3 => Floor
data,,810.3,810.4,0.1,810.4,Time=1.8s | BaseRaw=810.3 | CurrentRaw=810.4 | Change=0.1 => Floor
data,,810.3,810.6,0.3,810.6,Time=1.9s | BaseRaw=810.3 | CurrentRaw=810.6 | Change=0.3 => Floor
data,,810.3,810.4,0.1,810.4,Time=2.0s | BaseRaw=810.3 | CurrentRaw=810.4 | Change=0.1 => Floor
data,,810.3,810.4,0.1,810.4,Time=2.1s | BaseRaw=810.3 | CurrentRaw=810.4 | Change=0.1 => Floor
data,,810.3,810.2,0.1,810.2,Time=2.2s | BaseRaw=810.3 | CurrentRaw=810.2 | Change=0.1 => Floor
data,,810.3,810.2,0.1,810.2,Time=2.3s | BaseRaw=810.3 | CurrentRaw=810.2 | Change=0.1 => Floor
data,,810.3,810.2,0.1,810.2,Time=2.4s | BaseRaw=810.3 | CurrentRaw=810.2 | Change=0.1 => Floor
data,,810.3,810.4,0.1,810.4,Time=2.5s | BaseRaw=810.3 | CurrentRaw=810.4 | Change=0.1 => Floor
data,,810.3,810.6,0.3,810.6,Time=2.6s | BaseRaw=810.3 | CurrentRaw=810.6 | Change=0.3 => Floor
data,,810.3,810.8,0.5,810.8,Time=2.7s | BaseRaw=810.3 | CurrentRaw=810.8 | Change=0.5 => Floor
data,,810.3,811.0,0.7,811.0,Time=2.8s | BaseRaw=810.3 | CurrentRaw=811.0 | Change=0.7 => Floor
data,,810.3,811.0,0.7,811.0,Time=2.9s | BaseRaw=810.3 | CurrentRaw=811.0 | Change=0.7 => Floor
data,,810.3,810.8,0.5,810.8,Time=3.0s | BaseRaw=810.3 | CurrentRaw=810.8 | Change=0.5 => Floor
data,,810.3,810.6,0.3,810.6,Time=3.1s | BaseRaw=810.3 | CurrentRaw=810.6 | Change=0.3 => Floor
data,,810.3,810.6,0.3,810.6,Time=3.2s | BaseRaw=810.3 | CurrentRaw=810.6 | Change=0.3 => Floor
data,,810.3,810.4,0.1,810.4,Time=3.3s | BaseRaw=810.3 | CurrentRaw=810.4 | Change=0.1 => Floor
data,,810.3,810.2,0.1,810.2,Time=3.4s | BaseRaw=810.3 | CurrentRaw=810.2 | Change=0.1 => Floor
data,,810.3,810.2,0.1,810.2,Time=3.5s | BaseRaw=810.3 | CurrentRaw=810.2 | Change=0.1 => Floor
data,,810.3,810.2,0.1,810.2,Time=3.6s | BaseRaw=810.3 | CurrentRaw=810.2 | Change=0.1 => Floor
data,,810.3,810.0,0.3,810.0,Time=3.7s | BaseRaw=810.3 | CurrentRaw=810.0 | Change=0.3 => Floor
data,,810.3,810.0,0.3,810.0,Time=3.8s | BaseRaw=810.3 | CurrentRaw=810.0 | Change=0.3 => Floor
data,,810.3,810.2,0.1,810.2,Time=3.9s | BaseRaw=810.3 | CurrentRaw=810.2 | Change=0.1 => Floor
data,,810.3,810.2,0.1,810.2,Time=4.0s | BaseRaw=810.3 | CurrentRaw=810.2 | Change=0.1 => Floor
data,,810.3,810.2,0.1,810.2,Time=4.1s | BaseRaw=810.3 | CurrentRaw=810.2 | Change=0.1 => Floor
data,,810.3,810.4,0.1,810.4,Time=4.2s | BaseRaw=810.3 | CurrentRaw=810.4 | Change=0.1 => Floor
data,,810.3,810.4,0.1,810.4,Time=4.3s | BaseRaw=810.3 | CurrentRaw=810.4 | Change=0.1 => Floor
data,,810.3,810.4,0.1,810.4,Time=4.4s | BaseRaw=810.3 | CurrentRaw=810.4 | Change=0.1 => Floor
data,,810.3,810.6,0.3,810.6,Time=4.5s | BaseRaw=810.3 | CurrentRaw=810.6 | Change=0.3 => Floor
data,,810.3,810.8,0.5,810.8,Time=4.6s | BaseRaw=810.3 | CurrentRaw=810.8 | Change=0.5 => Floor
data,,810.3,810.8,0.5,810.8,Time=4.7s | BaseRaw=810.3 | CurrentRaw=810.8 | Change=0.5 => Floor
data,,810.3,811.0,0.7,811.0,Time=4.8s | BaseRaw=810.3 | CurrentRaw=811.0 | Change=0.7 => Floor
data,,810.3,810.8,0.5,810.8,Time=4.9s | BaseRaw=810.3 | CurrentRaw=810.8 | Change=0.5 => Floor
data,,810.3,810.6,0.3,810.6,Time=5.0s | BaseRaw=810.3 | CurrentRaw=810.6 | Change=0.3 => Floor
data,,810.3,810.4,0.1,810.4,Time=5.1s | BaseRaw=810.3 | CurrentRaw=810.4 | Change=0.1 => Floor
data,,810.3,810.4,0.1,810.4,Time=5.2s | BaseRaw=810.3 | CurrentRaw=810.4 | Change=0.1 => Floor
data,,810.3,809.6,0.7,809.6,Time=5.3s | BaseRaw=810.3 | CurrentRaw=809.6 | Change=0.7 => Floor
data,,810.3,807.2,3.1,807.2,Time=5.4s | BaseRaw=810.3 | CurrentRaw=807.2 | Change=3.1 => Floor
data,,810.3,804.0,6.3,804.0,Time=5.5s | BaseRaw=810.3 | CurrentRaw=804.0 | Change=6.3 => Floor
data,,810.3,804.0,6.3,804.0,Time=5.6s | BaseRaw=810.3 | CurrentRaw=804.0 | Change=6.3 => Floor
data,,810.3,806.4,3.9,806.4,Time=5.7s | BaseRaw=810.3 | CurrentRaw=806.4 | Change=3.9 => Floor
data,,810.3,809.8,0.5,809.8,Time=5.8s | BaseRaw=810.3 | CurrentRaw=809.8 | Change=0.5 => Floor
data,,810.3,815.0,4.7,815.0,Time=5.9s | BaseRaw=810.3 | CurrentRaw=815.0 | Change=4.7 => Floor
data,,810.3,821.2,10.9,821.2,Time=6.0s | BaseRaw=810.3 | CurrentRaw=821.2 | Change=10.9 => Liquid
data,,810.3,824.2,13.9,824.2,Time=6.1s | BaseRaw=810.3 | CurrentRaw=824.2 | Change=13.9 => Liquid
data,,810.3,824.6,14.3,824.6,Time=6.2s | BaseRaw=810.3 | CurrentRaw=824.6 | Change=14.3 => Liquid
data,,810.3,824.8,14.5,824.8,Time=6.3s | BaseRaw=810.3 | CurrentRaw=824.8 | Change=14.5 => Liquid
data,,810.3,824.8,14.5,824.8,Time=6.4s | BaseRaw=810.3 | CurrentRaw=824.8 | Change=14.5 => Liquid
data,,810.3,824.8,14.5,824.8,Time=6.5s | BaseRaw=810.3 | CurrentRaw=824.8 | Change=14.5 => Liquid
