Time,BaseRaw,CurrentRaw,Change
0.0,193.51,197.2,3.6899999999999977
0.204,193.51,196.4,2.890000000000015
0.408,193.51,195.8,2.2900000000000205
0.612,193.51,195.4,1.8900000000000148
0.816,193.51,195.2,1.6899999999999977
1.02,193.51,195.4,1.8900000000000148
1.224,193.51,195.6,2.0900000000000034
1.429,193.51,195.8,2.2900000000000205
1.633,193.51,196.0,2.490000000000009
1.837,193.51,195.8,2.2900000000000205
2.041,193.51,195.6,2.0900000000000034
2.245,193.51,195.6,2.0900000000000034
2.449,193.51,195.6,2.0900000000000034
2.653,193.51,195.6,2.0900000000000034
2.857,193.51,195.8,2.2900000000000205
3.061,193.51,196.0,2.490000000000009
3.265,193.51,195.8,2.2900000000000205
3.469,193.51,195.6,2.0900000000000034
3.673,193.51,195.4,1.8900000000000148
3.878,193.51,195.0,1.490000000000009
4.082,193.51,194.6,1.0900000000000034
4.286,193.51,194.4,0.8900000000000148
4.49,193.51,194.2,0.6899999999999977
4.694,193.51,194.0,0.4900000000000091
4.898,193.51,194.0,0.4900000000000091
5.102,193.51,194.2,0.6899999999999977
5.306,193.51,194.0,0.4900000000000091
5.51,193.51,193.6,0.09000000000000341
5.714,193.51,193.4,0.10999999999998522
5.918,193.51,193.2,0.3100000000000023
6.122,193.51,192.8,0.7099999999999795
6.327,193.51,192.8,0.7099999999999795
6.531,193.51,193.0,0.5099999999999909
6.735,193.51,193.0,0.5099999999999909
6.939,193.51,192.6,0.9099999999999966
7.143,193.51,192.4,1.1099999999999852
7.347,193.51,192.0,1.509999999999991
7.551,193.51,191.6,1.9099999999999966
7.755,193.51,191.0,2.509999999999991
7.959,193.51,191.0,2.509999999999991
8.163,193.51,190.8,2.7099999999999795
8.367,193.51,190.6,2.9099999999999966
8.571,193.51,190.6,2.9099999999999966
8.776,193.51,190.6,2.9099999999999966
8.98,193.51,190.0,3.509999999999991
9.184,193.51,189.6,3.9099999999999966
9.388,193.51,189.4,4.109999999999985
9.592,193.51,189.2,4.310000000000002
9.796,193.51,189.0,4.509999999999991
10.0,193.51,189.4,4.109999999999985
10.1,193.5,189.2,4.3
10.2,193.5,188.8,4.7
10.3,193.5,189.0,4.5
10.4,193.5,188.8,4.7
10.5,193.5,188.8,4.7
10.6,193.5,189.2,4.3
10.7,193.5,189.2,4.3
10.8,193.5,189.0,4.5
10.9,193.5,188.8,4.7
11.0,193.5,188.8,4.7
11.1,193.5,188.4,5.1
11.2,193.5,188.2,5.3
11.3,193.5,188.2,5.3
11.4,193.5,188.0,5.5
11.5,193.5,187.8,5.7
11.6,193.5,187.8,5.7
11.7,193.5,188.0,5.5
11.8,193.5,188.2,5.3
11.9,193.5,188.4,5.1
12.0,193.5,188.6,4.9
12.1,193.5,188.6,4.9
12.2,193.5,189.0,4.5
12.3,193.5,188.6,4.9
12.4,193.5,188.6,4.9
12.5,193.5,188.6,4.9
12.6,193.5,188.8,4.7
12.7,193.5,188.8,4.7
12.8,193.5,189.0,4.5
12.9,193.5,189.4,4.1
13.0,193.5,189.4,4.1
13.1,193.5,189.4,4.1
13.2,193.5,189.6,3.9
13.3,193.5,189.8,3.7
13.4,193.5,189.8,3.7
13.5,193.5,190.0,3.5
13.6,193.5,190.0,3.5
13.7,193.5,189.8,3.7
13.8,193.5,189.6,3.9
13.9,193.5,190.0,3.5
14.0,193.5,190.0,3.5
14.1,193.5,190.4,3.1
14.2,193.5,190.6,2.9
14.3,193.5,190.8,2.7
14.4,193.5,190.6,2.9
14.5,193.5,190.4,3.1
14.6,193.5,190.4,3.1
14.7,193.5,190.2,3.3
14.8,193.5,190.2,3.3
14.9,193.5,190.2,3.3
15.0,193.5,190.4,3.1
15.1,193.5,190.2,3.3
15.2,193.5,190.0,3.5
15.3,193.5,189.8,3.7
15.4,193.5,189.4,4.1
15.5,193.5,189.2,4.3
15.6,193.5,189.4,4.1
15.7,193.5,189.4,4.1
15.8,193.5,189.2,4.3
15.9,193.5,189.4,4.1
16.0,193.5,189.2,4.3
16.1,193.5,188.4,5.1
16.2,193.5,188.0,5.5
16.3,193.5,188.0,5.5
16.4,193.5,187.6,5.9
16.5,193.5,187.6,5.9
16.6,193.5,188.0,5.5
16.7,193.5,188.6,4.9
16.8,193.5,189.8,3.7
16.9,193.5,191.8,1.7
17.0,193.5,194.8,0.0
17.1,193.5,198.0,0.0
17.2,193.5,201.2,0.0
17.3,193.5,203.6,0.0
17.4,193.5,205.4,0.0
17.5,193.5,206.0,0.0
17.6,193.5,206.8,0.0
17.7,193.5,207.0,0.0
17.8,193.5,207.2,0.0
17.9,193.5,207.0,0.0
18.0,193.5,207.4,0.0
18.1,193.5,206.8,0.0
18.2,193.5,206.8,0.0
18.3,193.5,207.2,0.0
18.4,193.5,207.6,0.0
18.5,193.5,207.6,0.0
18.6,193.5,207.8,0.0
18.7,193.5,208.2,0.0
18.8,193.5,208.0,0.0
18.9,193.5,208.4,0.0
19.0,193.5,208.6,0.0
19.1,193.5,208.8,0.0
19.2,193.5,208.6,0.0
19.3,193.5,208.8,0.0
19.4,193.5,208.4,0.0
19.5,193.5,208.4,0.0
19.6,193.5,208.8,0.0
19.7,193.5,209.2,0.0
19.8,193.5,209.0,0.0
19.9,193.5,209.0,0.0
20.0,193.5,209.0,0.0
20.1,193.5,208.6,0.0
20.2,193.5,208.0,0.0
20.3,193.5,208.2,0.0
20.4,193.5,208.2,0.0
20.5,193.5,208.2,0.0
20.6,193.5,208.2,0.0
20.7,193.5,208.4,0.0
20.8,193.5,208.0,0.0
20.9,193.5,208.0,0.0
21.0,193.5,207.6,0.0
21.1,193.5,207.6,0.0
21.2,193.5,207.4,0.0
21.3,193.5,207.6,0.0
21.4,193.5,207.4,0.0
21.5,193.5,207.4,0.0
21.6,193.5,207.2,0.0
21.7,193.5,207.4,0.0
21.8,193.5,207.6,0.0
21.9,193.5,207.8,0.0
22.0,193.5,207.8,0.0
22.1,193.5,207.6,0.0
22.2,193.5,207.6,0.0
22.3,193.5,207.2,0.0
22.4,193.5,207.2,0.0
22.5,193.5,207.2,0.0
22.6,193.5,207.4,0.0
22.7,193.5,207.2,0.0
22.8,193.5,207.0,0.0
22.9,193.5,207.0,0.0
23.0,193.5,207.0,0.0
23.1,193.5,207.0,0.0
23.2,193.5,207.0,0.0
23.3,193.5,207.2,0.0
23.4,193.5,206.8,0.0
23.5,193.5,207.0,0.0
23.6,193.5,207.0,0.0
23.7,193.5,207.0,0.0
23.8,193.5,207.0,0.0
23.9,193.5,207.4,0.0
24.0,193.5,207.2,0.0
24.1,193.5,207.2,0.0
24.2,193.5,207.2,0.0
24.3,193.5,207.4,0.0
24.4,193.5,207.2,0.0
24.5,193.5,209.4,0.0
24.6,193.5,214.0,0.0
24.7,193.5,219.8,0.0
24.8,193.5,226.4,0.0
24.9,193.5,234.4,0.0
25.0,193.5,241.0,0.0
25.1,193.5,245.6,0.0
25.2,193.5,249.6,0.0
25.3,193.5,252.6,0.0
25.4,193.5,253.8,0.0
25.5,193.5,253.6,0.0
25.6,193.5,252.0,0.0
25.7,193.5,248.0,0.0
25.8,193.5,240.8,0.0
25.9,193.5,231.6,0.0
26.0,193.5,220.4,0.0
26.1,193.5,210.0,0.0
26.2,193.5,200.8,0.0
26.3,193.5,194.8,0.0
26.4,193.5,191.0,2.5
26.5,193.5,190.0,3.5
26.6,193.5,189.0,4.5
26.7,193.5,188.4,5.1
26.8,193.5,187.8,5.7
26.9,193.5,188.0,5.5
27.0,193.5,187.8,5.7
27.1,193.5,187.8,5.7
27.2,193.5,188.0,5.5
27.3,193.5,188.0,5.5
27.4,193.5,187.8,5.7
27.5,193.5,187.8,5.7
