Time,BaseRaw,CurrentRaw,Change
0.0,253.37,259.6,6.230000000000018
0.204,253.37,259.4,6.029999999999973
0.408,253.37,259.4,6.029999999999973
0.612,253.37,259.4,6.029999999999973
0.816,253.37,259.2,5.829999999999984
1.02,253.37,259.2,5.829999999999984
1.224,253.37,259.0,5.6299999999999955
1.429,253.37,258.2,4.829999999999984
1.633,253.37,257.6,4.230000000000018
1.837,253.37,257.0,3.6299999999999955
2.041,253.37,256.2,2.829999999999984
2.245,253.37,255.4,2.030000000000001
2.449,253.37,255.0,1.6299999999999955
2.653,253.37,254.4,1.0300000000000011
2.857,253.37,253.6,0.22999999999998977
3.061,253.37,253.2,0.17000000000001592
3.265,253.37,253.0,0.37000000000000455
3.469,253.37,252.6,0.7700000000000102
3.673,253.37,252.4,0.9699999999999989
3.878,253.37,252.4,0.9699999999999989
4.082,253.37,252.2,1.170000000000016
4.286,253.37,252.0,1.3700000000000045
4.49,253.37,251.8,1.5699999999999932
4.694,253.37,251.8,1.5699999999999932
4.898,253.37,251.6,1.7700000000000102
5.102,253.37,251.6,1.7700000000000102
5.306,253.37,251.4,1.9699999999999989
5.51,253.37,251.6,1.7700000000000102
5.714,253.37,251.6,1.7700000000000102
5.918,253.37,251.8,1.5699999999999932
6.122,253.37,251.8,1.5699999999999932
6.327,253.37,251.8,1.5699999999999932
6.531,253.37,251.6,1.7700000000000102
6.735,253.37,251.6,1.7700000000000102
6.939,253.37,251.4,1.9699999999999989
7.143,253.37,251.2,2.170000000000016
7.347,253.37,251.0,2.3700000000000045
7.551,253.37,251.0,2.3700000000000045
7.755,253.37,250.8,2.569999999999993
7.959,253.37,250.8,2.569999999999993
8.163,253.37,251.0,2.3700000000000045
8.367,253.37,251.2,2.170000000000016
8.571,253.37,251.0,2.3700000000000045
8.776,253.37,251.0,2.3700000000000045
8.98,253.37,251.0,2.3700000000000045
9.184,253.37,251.0,2.3700000000000045
9.388,253.37,251.2,2.170000000000016
9.592,253.37,251.4,1.9699999999999989
9.796,253.37,251.6,1.7700000000000102
10.0,253.37,251.4,1.9699999999999989
10.1,253.4,251.2,2.2
10.2,253.4,251.2,2.2
10.3,253.4,251.2,2.2
10.4,253.4,251.2,2.2
