Time,BaseRaw,CurrentRaw,Change
0.0,239.58,240.8,1.2199999999999989
0.204,239.58,240.4,0.8199999999999932
0.408,239.58,240.4,0.8199999999999932
0.612,239.58,240.6,1.0199999999999818
0.816,239.58,241.2,1.6199999999999761
1.02,239.58,241.4,1.8199999999999932
1.224,239.58,241.6,2.019999999999982
1.429,239.58,241.4,1.8199999999999932
1.633,239.58,240.8,1.2199999999999989
1.837,239.58,239.6,0.01999999999998181
2.041,239.58,238.6,0.9800000000000182
2.245,239.58,237.4,2.180000000000007
2.449,239.58,236.4,3.180000000000007
2.653,239.58,235.2,4.380000000000024
2.857,239.58,234.4,5.180000000000007
3.061,239.58,234.0,5.5800000000000125
3.265,239.58,234.0,5.5800000000000125
3.469,239.58,234.0,5.5800000000000125
3.673,239.58,234.8,4.780000000000001
3.878,239.58,236.0,3.5800000000000125
4.082,239.58,237.4,2.180000000000007
4.286,239.58,238.8,0.7800000000000011
4.49,239.58,240.6,1.0199999999999818
4.694,239.58,242.0,2.4199999999999875
4.898,239.58,243.0,3.4199999999999875
5.102,239.58,243.6,4.019999999999982
5.306,239.58,244.0,4.4199999999999875
5.51,239.58,244.0,4.4199999999999875
5.714,239.58,243.8,4.219999999999999
5.918,239.58,243.4,3.819999999999993
6.122,239.58,243.0,3.4199999999999875
6.327,239.58,242.4,2.819999999999993
6.531,239.58,241.8,2.219999999999999
6.735,239.58,241.4,1.8199999999999932
6.939,239.58,241.0,1.4199999999999875
7.143,239.58,240.4,0.8199999999999932
7.347,239.58,240.0,0.4199999999999875
7.551,239.58,239.6,0.01999999999998181
7.755,239.58,239.2,0.3800000000000239
7.959,239.58,239.0,0.5800000000000125
8.163,239.58,239.2,0.3800000000000239
8.367,239.58,239.2,0.3800000000000239
8.571,239.58,239.2,0.3800000000000239
8.776,239.58,239.0,0.5800000000000125
8.98,239.58,239.0,0.5800000000000125
9.184,239.58,238.6,0.9800000000000182
9.388,239.58,238.4,1.1800000000000068
9.592,239.58,238.2,1.3800000000000239
9.796,239.58,238.4,1.1800000000000068
10.0,239.58,238.2,1.3800000000000239
10.1,239.6,238.6,1.0
10.2,239.6,238.8,0.8
10.3,239.6,239.0,0.6
10.4,239.6,239.0,0.6
10.5,239.6,239.0,0.6
10.6,239.6,238.8,0.8
10.7,239.6,238.8,0.8
10.8,239.6,238.6,1.0
10.9,239.6,238.8,0.8
11.0,239.6,238.8,0.8
11.1,239.6,239.0,0.6
11.2,239.6,239.0,0.6
11.3,239.6,239.0,0.6
11.4,239.6,239.0,0.6
11.5,239.6,239.0,0.6
11.6,239.6,239.0,0.6
11.7,239.6,239.0,0.6
11.8,239.6,239.0,0.6
11.9,239.6,239.0,0.6
12.0,239.6,239.4,0.2
12.1,239.6,239.2,0.4
12.2,239.6,239.4,0.2
12.3,239.6,239.4,0.2
12.4,239.6,239.4,0.2
12.5,239.6,239.0,0.6
12.6,239.6,239.4,0.2
12.7,239.6,239.2,0.4
12.8,239.6,239.4,0.2
12.9,239.6,239.6,0.0
13.0,239.6,239.6,0.0
13.1,239.6,239.4,0.2
13.2,239.6,239.4,0.2
13.3,239.6,239.4,0.2
13.4,239.6,239.4,0.2
13.5,239.6,239.6,0.0
13.6,239.6,240.0,0.0
13.7,239.6,240.4,0.0
13.8,239.6,240.6,0.0
13.9,239.6,241.0,0.0
14.0,239.6,241.4,0.0
14.1,239.6,241.6,0.0
14.2,239.6,241.8,0.0
14.3,239.6,241.6,0.0
14.4,239.6,241.0,0.0
14.5,239.6,240.0,0.0
14.6,239.6,239.0,0.6
14.7,239.6,237.4,2.2
14.8,239.6,236.0,3.6
14.9,239.6,234.6,5.0
15.0,239.6,233.6,6.0
15.1,239.6,232.6,7.0
15.2,239.6,232.0,7.6
15.3,239.6,231.4,8.2
15.4,239.6,231.2,8.4
15.5,239.6,231.0,8.6
15.6,239.6,230.6,9.0
15.7,239.6,230.2,9.4
15.8,239.6,230.0,9.6
15.9,239.6,229.6,10.0
16.0,239.6,229.2,10.4
16.1,239.6,229.0,10.6
16.2,239.6,228.8,10.8
16.3,239.6,228.8,10.8
16.4,239.6,228.8,10.8
16.5,239.6,228.6,11.0
16.6,239.6,228.6,11.0
16.7,239.6,229.0,10.6
16.8,239.6,228.8,10.8
16.9,239.6,228.6,11.0
17.0,239.6,228.6,11.0
17.1,239.6,228.8,10.8
17.2,239.6,229.2,10.4
17.3,239.6,230.8,8.8
17.4,239.6,234.6,5.0
17.5,239.6,242.8,0.0
17.6,239.6,254.4,0.0
17.7,239.6,267.6,0.0
17.8,239.6,280.8,0.0
17.9,239.6,292.6,0.0
18.0,239.6,300.4,0.0
18.1,239.6,304.4,0.0
18.2,239.6,306.2,0.0
18.3,239.6,307.4,0.0
18.4,239.6,307.4,0.0
18.5,239.6,307.0,0.0
18.6,239.6,306.6,0.0
18.7,239.6,306.4,0.0
18.8,239.6,306.2,0.0
18.9,239.6,306.2,0.0
19.0,239.6,306.4,0.0
19.1,239.6,306.2,0.0
19.2,239.6,306.2,0.0
19.3,239.6,306.0,0.0
19.4,239.6,306.4,0.0
19.5,239.6,306.4,0.0
19.6,239.6,306.8,0.0
19.7,239.6,307.2,0.0
19.8,239.6,307.6,0.0
19.9,239.6,307.8,0.0
20.0,239.6,308.6,0.0
20.1,239.6,309.6,0.0
20.2,239.6,310.8,0.0
20.3,239.6,312.0,0.0
20.4,239.6,313.4,0.0
20.5,239.6,314.6,0.0
20.6,239.6,315.6,0.0
20.7,239.6,316.8,0.0
20.8,239.6,318.0,0.0
20.9,239.6,319.0,0.0
21.0,239.6,319.6,0.0
21.1,239.6,320.0,0.0
21.2,239.6,319.8,0.0
21.3,239.6,319.6,0.0
21.4,239.6,319.2,0.0
21.5,239.6,319.2,0.0
21.6,239.6,319.4,0.0
21.7,239.6,319.6,0.0
21.8,239.6,319.8,0.0
21.9,239.6,319.4,0.0
22.0,239.6,318.8,0.0
22.1,239.6,318.0,0.0
22.2,239.6,317.0,0.0
22.3,239.6,315.8,0.0
22.4,239.6,314.8,0.0
22.5,239.6,313.8,0.0
