record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.0,,,,840.0,Collecting baseline... RawAvg=840.00
baseline,840.0,,,,840.0,Collecting baseline... RawAvg=840.00
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.0,,,,840.0,Collecting baseline... RawAvg=840.00
baseline,840.0,,,,840.0,Collecting baseline... RawAvg=840.00
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.8,,,,840.8,Collecting baseline... RawAvg=840.80
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.8,,,,840.8,Collecting baseline... RawAvg=840.80
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.0,,,,840.0,Collecting baseline... RawAvg=840.00
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
info,,,,,,Baseline collection complete! Starting detection.
final_base,,840.33,,,840.33,Final Base Raw Average = 840.33
info,,,,,,--------------------------------------------------------------------------
data,,840.3,840.2,0.1,840.2,Time=11.9s | BaseRaw=840.3 | CurrentRaw=840.2 | Change=0.1 => Floor
data,,840.3,840.6,0.3,840.6,Time=12.0s | BaseRaw=840.3 | CurrentRaw=840.6 | Change=0.3 => Floor
data,,840.3,841.2,0.9,841.2,Time=12.1s | BaseRaw=840.3 | CurrentRaw=841.2 | Change=0.9 => Floor
data,,840.3,841.6,1.3,841.6,Time=12.2s | BaseRaw=840.3 | CurrentRaw=841.6 | Change=1.3 => Floor
data,,840.3,841.4,1.1,841.4,Time=12.3s | BaseRaw=840.3 | CurrentRaw=841.4 | Change=1.1 => Floor
data,,840.3,841.2,0.9,841.2,Time=12.4s | BaseRaw=840.3 | CurrentRaw=841.2 | Change=0.9 => Floor
data,,840.3,841.2,0.9,841.2,Time=12.5s | BaseRaw=840.3 | CurrentRaw=841.2 | Change=0.9 => Floor
data,,840.3,841.4,1.1,841.4,Time=12.6s | BaseRaw=840.3 | CurrentRaw=841.4 | Change=1.1 => Floor
data,,840.3,841.2,0.9,841.2,Time=12.7s | BaseRaw=840.3 | CurrentRaw=841.2 | Change=0.9 => Floor
data,,840.3,841.2,0.9,841.2,Time=12.8s | BaseRaw=840.3 | CurrentRaw=841.2 | Change=0.9 => Floor
data,,840.3,841.2,0.9,841.2,Time=12.9s | BaseRaw=840.3 | CurrentRaw=841.2 | Change=0.9 => Floor
data,,840.3,841.2,0.9,841.2,Time=13.0s | BaseRaw=840.3 | CurrentRaw=841.2 | Change=0.9 => Floor
data,,840.3,841.2,0.9,841.2,Time=13.1s | BaseRaw=840.3 | CurrentRaw=841.2 | Change=0.9 => Floor
data,,840.3,841.4,1.1,841.4,Time=13.2s | BaseRaw=840.3 | CurrentRaw=841.4 | Change=1.1 => Floor
data,,840.3,841.4,1.1,841.4,Time=13.3s | BaseRaw=840.3 | CurrentRaw=841.4 | Change=1.1 => Floor
data,,840.3,841.4,1.1,841.4,Time=13.4s | BaseRaw=840.3 | CurrentRaw=841.4 | Change=1.1 => Floor
data,,840.3,841.4,1.1,841.4,Time=13.5s | BaseRaw=840.3 | CurrentRaw=841.4 | Change=1.1 => Floor
data,,840.3,841.2,0.9,841.2,Time=13.6s | BaseRaw=840.3 | CurrentRaw=841.2 | Change=0.9 => Floor
data,,840.3,841.2,0.9,841.2,Time=13.7s | BaseRaw=840.3 | CurrentRaw=841.2 | Change=0.9 => Floor
data,,840.3,841.2,0.9,841.2,Time=13.8s | BaseRaw=840.3 | CurrentRaw=841.2 | Change=0.9 => Floor
data,,840.3,841.2,0.9,841.2,Time=13.9s | BaseRaw=840.3 | CurrentRaw=841.2 | Change=0.9 => Floor
data,,840.3,841.2,0.9,841.2,Time=14.0s | BaseRaw=840.3 | CurrentRaw=841.2 | Change=0.9 => Floor
data,,840.3,841.2,0.9,841.2,Time=14.1s | BaseRaw=840.3 | CurrentRaw=841.2 | Change=0.9 => Floor
data,,840.3,841.0,0.7,841.0,Time=14.2s | BaseRaw=840.3 | CurrentRaw=841.0 | Change=0.7 => Floor
data,,840.3,841.0,0.7,841.0,Time=14.3s | BaseRaw=840.3 | CurrentRaw=841.0 | Change=0.7 => Floor
data,,840.3,841.0,0.7,841.0,Time=14.4s | BaseRaw=840.3 | CurrentRaw=841.0 | Change=0.7 => Floor
data,,840.3,841.0,0.7,841.0,Time=14.5s | BaseRaw=840.3 | CurrentRaw=841.0 | Change=0.7 => Floor
data,,840.3,841.0,0.7,841.0,Time=14.6s | BaseRaw=840.3 | CurrentRaw=841.0 | Change=0.7 => Floor
data,,840.3,841.2,0.9,841.2,Time=14.7s | BaseRaw=840.3 | CurrentRaw=841.2 | Change=0.9 => Floor
data,,840.3,841.2,0.9,841.2,Time=14.8s | BaseRaw=840.3 | CurrentRaw=841.2 | Change=0.9 => Floor
data,,840.3,841.2,0.9,841.2,Time=14.9s | BaseRaw=840.3 | CurrentRaw=841.2 | Change=0.9 => Floor
data,,840.3,841.2,0.9,841.2,Time=15.0s | BaseRaw=840.3 | CurrentRaw=841.2 | Change=0.9 => Floor
data,,840.3,841.2,0.9,841.2,Time=15.1s | BaseRaw=840.3 | CurrentRaw=841.2 | Change=0.9 => Floor
data,,840.3,841.0,0.7,841.0,Time=15.2s | BaseRaw=840.3 | CurrentRaw=841.0 | Change=0.7 => Floor
data,,840.3,841.0,0.7,841.0,Time=15.3s | BaseRaw=840.3 | CurrentRaw=841.0 | Change=0.7 => Floor
