record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,804.6,,,,804.6,Collecting baseline... RawAvg=804.60
baseline,804.8,,,,804.8,Collecting baseline... RawAvg=804.80
baseline,805.2,,,,805.2,Collecting baseline... RawAvg=805.20
baseline,805.4,,,,805.4,Collecting baseline... RawAvg=805.40
baseline,805.4,,,,805.4,Collecting baseline... RawAvg=805.40
baseline,805.2,,,,805.2,Collecting baseline... RawAvg=805.20
baseline,805.0,,,,805.0,Collecting baseline... RawAvg=805.00
baseline,804.8,,,,804.8,Collecting baseline... RawAvg=804.80
baseline,804.8,,,,804.8,Collecting baseline... RawAvg=804.80
baseline,805.0,,,,805.0,Collecting baseline... RawAvg=805.00
baseline,805.2,,,,805.2,Collecting baseline... RawAvg=805.20
baseline,805.4,,,,805.4,Collecting baseline... RawAvg=805.40
baseline,805.4,,,,805.4,Collecting baseline... RawAvg=805.40
baseline,805.4,,,,805.4,Collecting baseline... RawAvg=805.40
baseline,805.4,,,,805.4,Collecting baseline... RawAvg=805.40
baseline,805.0,,,,805.0,Collecting baseline... RawAvg=805.00
baseline,804.6,,,,804.6,Collecting baseline... RawAvg=804.60
baseline,804.4,,,,804.4,Collecting baseline... RawAvg=804.40
baseline,804.2,,,,804.2,Collecting baseline... RawAvg=804.20
baseline,804.2,,,,804.2,Collecting baseline... RawAvg=804.20
baseline,804.6,,,,804.6,Collecting baseline... RawAvg=804.60
baseline,805.0,,,,805.0,Collecting baseline... RawAvg=805.00
baseline,805.4,,,,805.4,Collecting baseline... RawAvg=805.40
baseline,805.8,,,,805.8,Collecting baseline... RawAvg=805.80
baseline,806.0,,,,806.0,Collecting baseline... RawAvg=806.00
baseline,806.0,,,,806.0,Collecting baseline... RawAvg=806.00
baseline,805.8,,,,805.8,Collecting baseline... RawAvg=805.80
baseline,805.6,,,,805.6,Collecting baseline... RawAvg=805.60
baseline,805.6,,,,805.6,Collecting baseline... RawAvg=805.60
baseline,805.6,,,,805.6,Collecting baseline... RawAvg=805.60
baseline,805.6,,,,805.6,Collecting baseline... RawAvg=805.60
baseline,805.8,,,,805.8,Collecting baseline... RawAvg=805.80
baseline,805.8,,,,805.8,Collecting baseline... RawAvg=805.80
baseline,805.6,,,,805.6,Collecting baseline... RawAvg=805.60
baseline,805.4,,,,805.4,Collecting baseline... RawAvg=805.40
baseline,805.2,,,,805.2,Collecting baseline... RawAvg=805.20
baseline,805.0,,,,805.0,Collecting baseline... RawAvg=805.00
baseline,805.2,,,,805.2,Collecting baseline... RawAvg=805.20
baseline,805.4,,,,805.4,Collecting baseline... RawAvg=805.40
baseline,805.8,,,,805.8,Collecting baseline... RawAvg=805.80
baseline,806.0,,,,806.0,Collecting baseline... RawAvg=806.00
baseline,806.2,,,,806.2,Collecting baseline... RawAvg=806.20
baseline,806.0,,,,806.0,Collecting baseline... RawAvg=806.00
baseline,805.8,,,,805.8,Collecting baseline... RawAvg=805.80
baseline,805.4,,,,805.4,Collecting baseline... RawAvg=805.40
baseline,805.2,,,,805.2,Collecting baseline... RawAvg=805.20
baseline,805.2,,,,805.2,Collecting baseline... RawAvg=805.20
baseline,805.4,,,,805.4,Collecting baseline... RawAvg=805.40
baseline,805.6,,,,805.6,Collecting baseline... RawAvg=805.60
info,,,,,,Baseline collection complete! Starting detection.
final_base,,805.31,,,805.31,Final Base Raw Average = 805.31
info,,,,,,--------------------------------------------------------------------------
data,,805.3,806.2,0.9,806.2,Time=4.3s | BaseRaw=805.3 | CurrentRaw=806.2 | Change=0.9 => Floor
data,,805.3,807.2,1.9,807.2,Time=4.4s | BaseRaw=805.3 | CurrentRaw=807.2 | Change=1.9 => Floor
data,,805.3,808.8,3.5,808.8,Time=4.5s | BaseRaw=805.3 | CurrentRaw=808.8 | Change=3.5 => Floor
data,,805.3,809.8,4.5,809.8,Time=4.6s | BaseRaw=805.3 | CurrentRaw=809.8 | Change=4.5 => Floor
data,,805.3,811.2,5.9,811.2,Time=4.7s | BaseRaw=805.3 | CurrentRaw=811.2 | Change=5.9 => Floor
data,,805.3,813.6,8.3,813.6,Time=4.8s | BaseRaw=805.3 | CurrentRaw=813.6 | Change=8.3 => Floor
data,,805.3,815.4,10.1,815.4,Time=4.9s | BaseRaw=805.3 | CurrentRaw=815.4 | Change=10.1 => Liquid
data,,805.3,816.2,10.9,816.2,Time=5.0s | BaseRaw=805.3 | CurrentRaw=816.2 | Change=10.9 => Liquid
data,,805.3,817.8,12.5,817.8,Time=5.1s | BaseRaw=805.3 | CurrentRaw=817.8 | Change=12.5 => Liquid
data,,805.3,818.6,13.3,818.6,Time=5.2s | BaseRaw=805.3 | CurrentRaw=818.6 | Change=13.3 => Liquid
data,,805.3,818.6,13.3,818.6,Time=5.3s | BaseRaw=805.3 | CurrentRaw=818.6 | Change=13.3 => Liquid
