record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,813.8,,,,813.8,Collecting baseline... RawAvg=813.80
baseline,813.4,,,,813.4,Collecting baseline... RawAvg=813.40
baseline,813.0,,,,813.0,Collecting baseline... RawAvg=813.00
baseline,812.8,,,,812.8,Collecting baseline... RawAvg=812.80
baseline,812.6,,,,812.6,Collecting baseline... RawAvg=812.60
baseline,813.0,,,,813.0,Collecting baseline... RawAvg=813.00
baseline,813.6,,,,813.6,Collecting baseline... RawAvg=813.60
baseline,814.2,,,,814.2,Collecting baseline... RawAvg=814.20
baseline,814.2,,,,814.2,Collecting baseline... RawAvg=814.20
baseline,813.8,,,,813.8,Collecting baseline... RawAvg=813.80
baseline,813.6,,,,813.6,Collecting baseline... RawAvg=813.60
baseline,813.0,,,,813.0,Collecting baseline... RawAvg=813.00
baseline,812.6,,,,812.6,Collecting baseline... RawAvg=812.60
baseline,812.8,,,,812.8,Collecting baseline... RawAvg=812.80
baseline,813.4,,,,813.4,Collecting baseline... RawAvg=813.40
baseline,813.6,,,,813.6,Collecting baseline... RawAvg=813.60
baseline,814.0,,,,814.0,Collecting baseline... RawAvg=814.00
baseline,814.0,,,,814.0,Collecting baseline... RawAvg=814.00
baseline,813.8,,,,813.8,Collecting baseline... RawAvg=813.80
baseline,813.2,,,,813.2,Collecting baseline... RawAvg=813.20
baseline,812.8,,,,812.8,Collecting baseline... RawAvg=812.80
baseline,812.6,,,,812.6,Collecting baseline... RawAvg=812.60
baseline,812.6,,,,812.6,Collecting baseline... RawAvg=812.60
baseline,812.8,,,,812.8,Collecting baseline... RawAvg=812.80
baseline,813.4,,,,813.4,Collecting baseline... RawAvg=813.40
baseline,813.8,,,,813.8,Collecting baseline... RawAvg=813.80
baseline,813.8,,,,813.8,Collecting baseline... RawAvg=813.80
baseline,813.6,,,,813.6,Collecting baseline... RawAvg=813.60
baseline,813.2,,,,813.2,Collecting baseline... RawAvg=813.20
baseline,812.6,,,,812.6,Collecting baseline... RawAvg=812.60
baseline,812.2,,,,812.2,Collecting baseline... RawAvg=812.20
baseline,812.2,,,,812.2,Collecting baseline... RawAvg=812.20
baseline,812.6,,,,812.6,Collecting baseline... RawAvg=812.60
baseline,813.2,,,,813.2,Collecting baseline... RawAvg=813.20
baseline,813.6,,,,813.6,Collecting baseline... RawAvg=813.60
baseline,814.0,,,,814.0,Collecting baseline... RawAvg=814.00
baseline,813.8,,,,813.8,Collecting baseline... RawAvg=813.80
baseline,813.2,,,,813.2,Collecting baseline... RawAvg=813.20
baseline,812.6,,,,812.6,Collecting baseline... RawAvg=812.60
baseline,812.2,,,,812.2,Collecting baseline... RawAvg=812.20
baseline,812.0,,,,812.0,Collecting baseline... RawAvg=812.00
baseline,812.4,,,,812.4,Collecting baseline... RawAvg=812.40
baseline,813.0,,,,813.0,Collecting baseline... RawAvg=813.00
baseline,813.4,,,,813.4,Collecting baseline... RawAvg=813.40
baseline,813.6,,,,813.6,Collecting baseline... RawAvg=813.60
baseline,813.4,,,,813.4,Collecting baseline... RawAvg=813.40
baseline,813.0,,,,813.0,Collecting baseline... RawAvg=813.00
baseline,812.8,,,,812.8,Collecting baseline... RawAvg=812.80
baseline,812.4,,,,812.4,Collecting baseline... RawAvg=812.40
info,,,,,,Baseline collection complete! Starting detection.
final_base,,813.17,,,813.17,Final Base Raw Average = 813.17
info,,,,,,--------------------------------------------------------------------------
data,,813.2,815.0,1.8,815.0,Time=5.5s | BaseRaw=813.2 | CurrentRaw=815.0 | Change=1.8 => Floor
data,,813.2,815.2,2.0,815.2,Time=5.6s | BaseRaw=813.2 | CurrentRaw=815.2 | Change=2.0 => Floor
data,,813.2,816.2,3.0,816.2,Time=5.7s | BaseRaw=813.2 | CurrentRaw=816.2 | Change=3.0 => Floor
data,,813.2,818.4,5.2,818.4,Time=5.8s | BaseRaw=813.2 | CurrentRaw=818.4 | Change=5.2 => Floor
data,,813.2,822.4,9.2,822.4,Time=5.9s | BaseRaw=813.2 | CurrentRaw=822.4 | Change=9.2 => Floor
data,,813.2,826.6,13.4,826.6,Time=6.0s | BaseRaw=813.2 | CurrentRaw=826.6 | Change=13.4 => Liquid
data,,813.2,830.8,17.6,830.8,Time=6.1s | BaseRaw=813.2 | CurrentRaw=830.8 | Change=17.6 => Liquid
data,,813.2,834.2,21.0,834.2,Time=6.2s | BaseRaw=813.2 | CurrentRaw=834.2 | Change=21.0 => Liquid
data,,813.2,836.8,23.6,836.8,Time=6.3s | BaseRaw=813.2 | CurrentRaw=836.8 | Change=23.6 => Liquid
data,,813.2,837.6,24.4,837.6,Time=6.4s | BaseRaw=813.2 | CurrentRaw=837.6 | Change=24.4 => Liquid
data,,813.2,837.6,24.4,837.6,Time=6.5s | BaseRaw=813.2 | CurrentRaw=837.6 | Change=24.4 => Liquid
