record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,821.8,,,,821.8,Collecting baseline... RawAvg=821.80
baseline,821.4,,,,821.4,Collecting baseline... RawAvg=821.40
baseline,821.4,,,,821.4,Collecting baseline... RawAvg=821.40
baseline,821.2,,,,821.2,Collecting baseline... RawAvg=821.20
baseline,821.2,,,,821.2,Collecting baseline... RawAvg=821.20
baseline,821.6,,,,821.6,Collecting baseline... RawAvg=821.60
baseline,821.8,,,,821.8,Collecting baseline... RawAvg=821.80
baseline,821.4,,,,821.4,Collecting baseline... RawAvg=821.40
baseline,821.2,,,,821.2,Collecting baseline... RawAvg=821.20
baseline,820.8,,,,820.8,Collecting baseline... RawAvg=820.80
baseline,820.4,,,,820.4,Collecting baseline... RawAvg=820.40
baseline,820.2,,,,820.2,Collecting baseline... RawAvg=820.20
baseline,820.2,,,,820.2,Collecting baseline... RawAvg=820.20
baseline,820.0,,,,820.0,Collecting baseline... RawAvg=820.00
baseline,819.8,,,,819.8,Collecting baseline... RawAvg=819.80
baseline,819.4,,,,819.4,Collecting baseline... RawAvg=819.40
baseline,819.0,,,,819.0,Collecting baseline... RawAvg=819.00
baseline,818.6,,,,818.6,Collecting baseline... RawAvg=818.60
baseline,818.4,,,,818.4,Collecting baseline... RawAvg=818.40
baseline,818.0,,,,818.0,Collecting baseline... RawAvg=818.00
baseline,818.0,,,,818.0,Collecting baseline... RawAvg=818.00
baseline,818.4,,,,818.4,Collecting baseline... RawAvg=818.40
baseline,818.6,,,,818.6,Collecting baseline... RawAvg=818.60
baseline,818.8,,,,818.8,Collecting baseline... RawAvg=818.80
baseline,819.0,,,,819.0,Collecting baseline... RawAvg=819.00
baseline,818.8,,,,818.8,Collecting baseline... RawAvg=818.80
baseline,818.4,,,,818.4,Collecting baseline... RawAvg=818.40
baseline,818.2,,,,818.2,Collecting baseline... RawAvg=818.20
baseline,818.2,,,,818.2,Collecting baseline... RawAvg=818.20
baseline,818.4,,,,818.4,Collecting baseline... RawAvg=818.40
baseline,818.6,,,,818.6,Collecting baseline... RawAvg=818.60
baseline,819.0,,,,819.0,Collecting baseline... RawAvg=819.00
baseline,819.2,,,,819.2,Collecting baseline... RawAvg=819.20
baseline,819.2,,,,819.2,Collecting baseline... RawAvg=819.20
baseline,819.0,,,,819.0,Collecting baseline... RawAvg=819.00
baseline,818.6,,,,818.6,Collecting baseline... RawAvg=818.60
baseline,818.2,,,,818.2,Collecting baseline... RawAvg=818.20
baseline,818.0,,,,818.0,Collecting baseline... RawAvg=818.00
baseline,818.0,,,,818.0,Collecting baseline... RawAvg=818.00
baseline,818.4,,,,818.4,Collecting baseline... RawAvg=818.40
baseline,818.8,,,,818.8,Collecting baseline... RawAvg=818.80
baseline,818.8,,,,818.8,Collecting baseline... RawAvg=818.80
baseline,818.8,,,,818.8,Collecting baseline... RawAvg=818.80
baseline,818.6,,,,818.6,Collecting baseline... RawAvg=818.60
baseline,818.0,,,,818.0,Collecting baseline... RawAvg=818.00
baseline,817.6,,,,817.6,Collecting baseline... RawAvg=817.60
baseline,817.8,,,,817.8,Collecting baseline... RawAvg=817.80
baseline,818.0,,,,818.0,Collecting baseline... RawAvg=818.00
baseline,818.2,,,,818.2,Collecting baseline... RawAvg=818.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,819.25,,,819.25,Final Base Raw Average = 819.25
info,,,,,,--------------------------------------------------------------------------
data,,819.3,819.4,0.1,819.4,Time=5.3s | BaseRaw=819.3 | CurrentRaw=819.4 | Change=0.1 => Floor
data,,819.3,818.8,0.5,818.8,Time=5.4s | BaseRaw=819.3 | CurrentRaw=818.8 | Change=0.5 => Floor
data,,819.3,816.8,2.5,816.8,Time=5.5s | BaseRaw=819.3 | CurrentRaw=816.8 | Change=2.5 => Floor
data,,819.3,813.0,6.3,813.0,Time=5.6s | BaseRaw=819.3 | CurrentRaw=813.0 | Change=6.3 => Floor
data,,819.3,806.6,12.7,806.6,Time=5.7s | BaseRaw=819.3 | CurrentRaw=806.6 | Change=12.7 => Liquid
data,,819.3,797.0,22.3,797.0,Time=5.8s | BaseRaw=819.3 | CurrentRaw=797.0 | Change=22.3 => Liquid
data,,819.3,785.4,33.9,785.4,Time=5.9s | BaseRaw=819.3 | CurrentRaw=785.4 | Change=33.9 => Liquid
data,,819.3,775.2,44.1,775.2,Time=6.0s | BaseRaw=819.3 | CurrentRaw=775.2 | Change=44.1 => Liquid
data,,819.3,766.4,52.9,766.4,Time=6.1s | BaseRaw=819.3 | CurrentRaw=766.4 | Change=52.9 => Liquid
data,,819.3,759.8,59.5,759.8,Time=6.2s | BaseRaw=819.3 | CurrentRaw=759.8 | Change=59.5 => Liquid
