record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,724.00,,,,724.00,Collecting baseline... RawAvg=724.00
baseline,724.00,,,,724.00,Collecting baseline... RawAvg=724.00
baseline,724.00,,,,724.00,Collecting baseline... RawAvg=724.00
baseline,724.00,,,,724.00,Collecting baseline... RawAvg=724.00
baseline,724.00,,,,724.00,Collecting baseline... RawAvg=724.00
baseline,724.00,,,,724.00,Collecting baseline... RawAvg=724.00
baseline,724.20,,,,724.20,Collecting baseline... RawAvg=724.20
baseline,724.40,,,,724.40,Collecting baseline... RawAvg=724.40
baseline,724.80,,,,724.80,Collecting baseline... RawAvg=724.80
baseline,725.20,,,,725.20,Collecting baseline... RawAvg=725.20
baseline,725.60,,,,725.60,Collecting baseline... RawAvg=725.60
baseline,726.00,,,,726.00,Collecting baseline... RawAvg=726.00
baseline,726.40,,,,726.40,Collecting baseline... RawAvg=726.40
baseline,726.80,,,,726.80,Collecting baseline... RawAvg=726.80
baseline,727.20,,,,727.20,Collecting baseline... RawAvg=727.20
baseline,727.60,,,,727.60,Collecting baseline... RawAvg=727.60
baseline,727.60,,,,727.60,Collecting baseline... RawAvg=727.60
baseline,727.60,,,,727.60,Collecting baseline... RawAvg=727.60
baseline,727.40,,,,727.40,Collecting baseline... RawAvg=727.40
baseline,727.40,,,,727.40,Collecting baseline... RawAvg=727.40
baseline,727.40,,,,727.40,Collecting baseline... RawAvg=727.40
baseline,727.40,,,,727.40,Collecting baseline... RawAvg=727.40
baseline,727.60,,,,727.60,Collecting baseline... RawAvg=727.60
baseline,727.80,,,,727.80,Collecting baseline... RawAvg=727.80
baseline,727.60,,,,727.60,Collecting baseline... RawAvg=727.60
baseline,727.60,,,,727.60,Collecting baseline... RawAvg=727.60
baseline,727.80,,,,727.80,Collecting baseline... RawAvg=727.80
baseline,727.60,,,,727.60,Collecting baseline... RawAvg=727.60
baseline,727.40,,,,727.40,Collecting baseline... RawAvg=727.40
baseline,727.40,,,,727.40,Collecting baseline... RawAvg=727.40
baseline,727.20,,,,727.20,Collecting baseline... RawAvg=727.20
baseline,727.00,,,,727.00,Collecting baseline... RawAvg=727.00
baseline,727.00,,,,727.00,Collecting baseline... RawAvg=727.00
baseline,727.20,,,,727.20,Collecting baseline... RawAvg=727.20
baseline,727.20,,,,727.20,Collecting baseline... RawAvg=727.20
baseline,727.40,,,,727.40,Collecting baseline... RawAvg=727.40
baseline,727.60,,,,727.60,Collecting baseline... RawAvg=727.60
baseline,727.60,,,,727.60,Collecting baseline... RawAvg=727.60
baseline,727.40,,,,727.40,Collecting baseline... RawAvg=727.40
baseline,727.40,,,,727.40,Collecting baseline... RawAvg=727.40
baseline,727.20,,,,727.20,Collecting baseline... RawAvg=727.20
baseline,727.20,,,,727.20,Collecting baseline... RawAvg=727.20
baseline,727.20,,,,727.20,Collecting baseline... RawAvg=727.20
baseline,727.20,,,,727.20,Collecting baseline... RawAvg=727.20
baseline,727.20,,,,727.20,Collecting baseline... RawAvg=727.20
baseline,727.20,,,,727.20,Collecting baseline... RawAvg=727.20
baseline,727.00,,,,727.00,Collecting baseline... RawAvg=727.00
baseline,727.00,,,,727.00,Collecting baseline... RawAvg=727.00
baseline,727.00,,,,727.00,Collecting baseline... RawAvg=727.00
info,,,,,,Baseline collection complete! Starting detection.
final_base,,726.63,,,726.63,Final Base Raw Average = 726.63
info,,,,,,--------------------------------------------------------------------------
data,,726.6,727.0,0.4,727.0,Time=0.1s | BaseRaw=726.6 | CurrentRaw=727.0 | Change=0.4 => Floor
data,,726.6,727.0,0.4,727.0,Time=0.2s | BaseRaw=726.6 | CurrentRaw=727.0 | Change=0.4 => Floor
data,,726.6,727.0,0.4,727.0,Time=0.3s | BaseRaw=726.6 | CurrentRaw=727.0 | Change=0.4 => Floor
data,,726.6,727.0,0.4,727.0,Time=0.4s | BaseRaw=726.6 | CurrentRaw=727.0 | Change=0.4 => Floor
data,,726.6,727.0,0.4,727.0,Time=0.5s | BaseRaw=726.6 | CurrentRaw=727.0 | Change=0.4 => Floor
data,,726.6,727.0,0.4,727.0,Time=0.6s | BaseRaw=726.6 | CurrentRaw=727.0 | Change=0.4 => Floor
data,,726.6,727.0,0.4,727.0,Time=0.7s | BaseRaw=726.6 | CurrentRaw=727.0 | Change=0.4 => Floor
data,,726.6,727.0,0.4,727.0,Time=0.8s | BaseRaw=726.6 | CurrentRaw=727.0 | Change=0.4 => Floor
data,,726.6,727.0,0.4,727.0,Time=0.9s | BaseRaw=726.6 | CurrentRaw=727.0 | Change=0.4 => Floor
data,,726.6,727.0,0.4,727.0,Time=1.0s | BaseRaw=726.6 | CurrentRaw=727.0 | Change=0.4 => Floor
data,,726.6,727.0,0.4,727.0,Time=1.1s | BaseRaw=726.6 | CurrentRaw=727.0 | Change=0.4 => Floor
data,,726.6,727.0,0.4,727.0,Time=1.2s | BaseRaw=726.6 | CurrentRaw=727.0 | Change=0.4 => Floor
data,,726.6,727.0,0.4,727.0,Time=1.3s | BaseRaw=726.6 | CurrentRaw=727.0 | Change=0.4 => Floor
data,,726.6,727.0,0.4,727.0,Time=1.4s | BaseRaw=726.6 | CurrentRaw=727.0 | Change=0.4 => Floor
data,,726.6,727.0,0.4,727.0,Time=1.5s | BaseRaw=726.6 | CurrentRaw=727.0 | Change=0.4 => Floor
data,,726.6,727.0,0.4,727.0,Time=1.6s | BaseRaw=726.6 | CurrentRaw=727.0 | Change=0.4 => Floor
data,,726.6,727.0,0.4,727.0,Time=1.7s | BaseRaw=726.6 | CurrentRaw=727.0 | Change=0.4 => Floor
data,,726.6,727.0,0.4,727.0,Time=1.8s | BaseRaw=726.6 | CurrentRaw=727.0 | Change=0.4 => Floor
data,,726.6,727.0,0.4,727.0,Time=1.9s | BaseRaw=726.6 | CurrentRaw=727.0 | Change=0.4 => Floor
data,,726.6,727.0,0.4,727.0,Time=2.0s | BaseRaw=726.6 | CurrentRaw=727.0 | Change=0.4 => Floor
data,,726.6,727.0,0.4,727.0,Time=2.1s | BaseRaw=726.6 | CurrentRaw=727.0 | Change=0.4 => Floor
data,,726.6,727.0,0.4,727.0,Time=2.2s | BaseRaw=726.6 | CurrentRaw=727.0 | Change=0.4 => Floor
data,,726.6,727.0,0.4,727.0,Time=2.3s | BaseRaw=726.6 | CurrentRaw=727.0 | Change=0.4 => Floor
data,,726.6,727.0,0.4,727.0,Time=2.4s | BaseRaw=726.6 | CurrentRaw=727.0 | Change=0.4 => Floor
data,,726.6,727.0,0.4,727.0,Time=2.5s | BaseRaw=726.6 | CurrentRaw=727.0 | Change=0.4 => Floor
data,,726.6,727.2,0.6,727.2,Time=2.6s | BaseRaw=726.6 | CurrentRaw=727.2 | Change=0.6 => Floor
data,,726.6,727.2,0.6,727.2,Time=2.7s | BaseRaw=726.6 | CurrentRaw=727.2 | Change=0.6 => Floor
data,,726.6,727.2,0.6,727.2,Time=2.8s | BaseRaw=726.6 | CurrentRaw=727.2 | Change=0.6 => Floor
data,,726.6,727.2,0.6,727.2,Time=2.9s | BaseRaw=726.6 | CurrentRaw=727.2 | Change=0.6 => Floor
data,,726.6,727.2,0.6,727.2,Time=3.0s | BaseRaw=726.6 | CurrentRaw=727.2 | Change=0.6 => Floor
data,,726.6,727.0,0.4,727.0,Time=3.1s | BaseRaw=726.6 | CurrentRaw=727.0 | Change=0.4 => Floor
data,,726.6,727.0,0.4,727.0,Time=3.2s | BaseRaw=726.6 | CurrentRaw=727.0 | Change=0.4 => Floor
data,,726.6,727.0,0.4,727.0,Time=3.3s | BaseRaw=726.6 | CurrentRaw=727.0 | Change=0.4 => Floor
data,,726.6,727.0,0.4,727.0,Time=3.4s | BaseRaw=726.6 | CurrentRaw=727.0 | Change=0.4 => Floor
data,,726.6,727.0,0.4,727.0,Time=3.5s | BaseRaw=726.6 | CurrentRaw=727.0 | Change=0.4 => Floor
data,,726.6,727.0,0.4,727.0,Time=3.6s | BaseRaw=726.6 | CurrentRaw=727.0 | Change=0.4 => Floor
data,,726.6,727.0,0.4,727.0,Time=3.7s | BaseRaw=726.6 | CurrentRaw=727.0 | Change=0.4 => Floor
data,,726.6,727.0,0.4,727.0,Time=3.8s | BaseRaw=726.6 | CurrentRaw=727.0 | Change=0.4 => Floor
data,,726.6,727.0,0.4,727.0,Time=3.9s | BaseRaw=726.6 | CurrentRaw=727.0 | Change=0.4 => Floor
data,,726.6,726.8,0.2,726.8,Time=4.0s | BaseRaw=726.6 | CurrentRaw=726.8 | Change=0.2 => Floor
data,,726.6,726.6,0.0,726.6,Time=4.1s | BaseRaw=726.6 | CurrentRaw=726.6 | Change=0.0 => Floor
data,,726.6,726.2,0.4,726.2,Time=4.2s | BaseRaw=726.6 | CurrentRaw=726.2 | Change=0.4 => Floor
data,,726.6,725.8,0.8,725.8,Time=4.3s | BaseRaw=726.6 | CurrentRaw=725.8 | Change=0.8 => Floor
data,,726.6,724.8,1.8,724.8,Time=4.4s | BaseRaw=726.6 | CurrentRaw=724.8 | Change=1.8 => Floor
data,,726.6,724.4,2.2,724.4,Time=4.5s | BaseRaw=726.6 | CurrentRaw=724.4 | Change=2.2 => Floor
data,,726.6,724.2,2.4,724.2,Time=4.6s | BaseRaw=726.6 | CurrentRaw=724.2 | Change=2.4 => Floor
data,,726.6,724.2,2.4,724.2,Time=4.7s | BaseRaw=726.6 | CurrentRaw=724.2 | Change=2.4 => Floor
data,,726.6,724.0,2.6,724.0,Time=4.8s | BaseRaw=726.6 | CurrentRaw=724.0 | Change=2.6 => Floor
data,,726.6,724.4,2.2,724.4,Time=4.9s | BaseRaw=726.6 | CurrentRaw=724.4 | Change=2.2 => Floor
data,,726.6,724.4,2.2,724.4,Time=5.0s | BaseRaw=726.6 | CurrentRaw=724.4 | Change=2.2 => Floor
data,,726.6,724.2,2.4,724.2,Time=5.1s | BaseRaw=726.6 | CurrentRaw=724.2 | Change=2.4 => Floor
data,,726.6,724.0,2.6,724.0,Time=5.2s | BaseRaw=726.6 | CurrentRaw=724.0 | Change=2.6 => Floor
data,,726.6,724.0,2.6,724.0,Time=5.3s | BaseRaw=726.6 | CurrentRaw=724.0 | Change=2.6 => Floor
data,,726.6,724.0,2.6,724.0,Time=5.4s | BaseRaw=726.6 | CurrentRaw=724.0 | Change=2.6 => Floor
data,,726.6,724.0,2.6,724.0,Time=5.5s | BaseRaw=726.6 | CurrentRaw=724.0 | Change=2.6 => Floor
data,,726.6,724.2,2.4,724.2,Time=5.6s | BaseRaw=726.6 | CurrentRaw=724.2 | Change=2.4 => Floor
data,,726.6,724.4,2.2,724.4,Time=5.7s | BaseRaw=726.6 | CurrentRaw=724.4 | Change=2.2 => Floor
data,,726.6,724.4,2.2,724.4,Time=5.8s | BaseRaw=726.6 | CurrentRaw=724.4 | Change=2.2 => Floor
data,,726.6,724.4,2.2,724.4,Time=5.9s | BaseRaw=726.6 | CurrentRaw=724.4 | Change=2.2 => Floor
data,,726.6,724.6,2.0,724.6,Time=6.0s | BaseRaw=726.6 | CurrentRaw=724.6 | Change=2.0 => Floor
data,,726.6,724.6,2.0,724.6,Time=6.1s | BaseRaw=726.6 | CurrentRaw=724.6 | Change=2.0 => Floor
data,,726.6,724.4,2.2,724.4,Time=6.2s | BaseRaw=726.6 | CurrentRaw=724.4 | Change=2.2 => Floor
data,,726.6,724.4,2.2,724.4,Time=6.3s | BaseRaw=726.6 | CurrentRaw=724.4 | Change=2.2 => Floor
data,,726.6,724.4,2.2,724.4,Time=6.4s | BaseRaw=726.6 | CurrentRaw=724.4 | Change=2.2 => Floor
data,,726.6,724.2,2.4,724.2,Time=6.5s | BaseRaw=726.6 | CurrentRaw=724.2 | Change=2.4 => Floor
