record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,719.80,,,,719.80,Collecting baseline... RawAvg=719.80
baseline,719.80,,,,719.80,Collecting baseline... RawAvg=719.80
baseline,719.80,,,,719.80,Collecting baseline... RawAvg=719.80
baseline,719.80,,,,719.80,Collecting baseline... RawAvg=719.80
baseline,719.80,,,,719.80,Collecting baseline... RawAvg=719.80
baseline,720.00,,,,720.00,Collecting baseline... RawAvg=720.00
baseline,720.00,,,,720.00,Collecting baseline... RawAvg=720.00
baseline,720.00,,,,720.00,Collecting baseline... RawAvg=720.00
baseline,720.00,,,,720.00,Collecting baseline... RawAvg=720.00
baseline,720.00,,,,720.00,Collecting baseline... RawAvg=720.00
baseline,720.00,,,,720.00,Collecting baseline... RawAvg=720.00
baseline,720.00,,,,720.00,Collecting baseline... RawAvg=720.00
baseline,720.00,,,,720.00,Collecting baseline... RawAvg=720.00
baseline,720.20,,,,720.20,Collecting baseline... RawAvg=720.20
baseline,720.40,,,,720.40,Collecting baseline... RawAvg=720.40
baseline,720.60,,,,720.60,Collecting baseline... RawAvg=720.60
baseline,720.80,,,,720.80,Collecting baseline... RawAvg=720.80
baseline,721.00,,,,721.00,Collecting baseline... RawAvg=721.00
baseline,721.20,,,,721.20,Collecting baseline... RawAvg=721.20
baseline,721.40,,,,721.40,Collecting baseline... RawAvg=721.40
baseline,721.60,,,,721.60,Collecting baseline... RawAvg=721.60
baseline,721.80,,,,721.80,Collecting baseline... RawAvg=721.80
baseline,722.20,,,,722.20,Collecting baseline... RawAvg=722.20
baseline,722.40,,,,722.40,Collecting baseline... RawAvg=722.40
baseline,722.60,,,,722.60,Collecting baseline... RawAvg=722.60
baseline,723.00,,,,723.00,Collecting baseline... RawAvg=723.00
baseline,723.20,,,,723.20,Collecting baseline... RawAvg=723.20
baseline,723.20,,,,723.20,Collecting baseline... RawAvg=723.20
baseline,723.20,,,,723.20,Collecting baseline... RawAvg=723.20
baseline,723.40,,,,723.40,Collecting baseline... RawAvg=723.40
baseline,723.40,,,,723.40,Collecting baseline... RawAvg=723.40
baseline,723.40,,,,723.40,Collecting baseline... RawAvg=723.40
baseline,723.60,,,,723.60,Collecting baseline... RawAvg=723.60
baseline,723.80,,,,723.80,Collecting baseline... RawAvg=723.80
baseline,723.60,,,,723.60,Collecting baseline... RawAvg=723.60
baseline,723.40,,,,723.40,Collecting baseline... RawAvg=723.40
baseline,723.40,,,,723.40,Collecting baseline... RawAvg=723.40
baseline,723.20,,,,723.20,Collecting baseline... RawAvg=723.20
baseline,723.20,,,,723.20,Collecting baseline... RawAvg=723.20
baseline,723.20,,,,723.20,Collecting baseline... RawAvg=723.20
baseline,723.20,,,,723.20,Collecting baseline... RawAvg=723.20
baseline,723.40,,,,723.40,Collecting baseline... RawAvg=723.40
baseline,723.40,,,,723.40,Collecting baseline... RawAvg=723.40
baseline,723.20,,,,723.20,Collecting baseline... RawAvg=723.20
baseline,723.20,,,,723.20,Collecting baseline... RawAvg=723.20
baseline,723.20,,,,723.20,Collecting baseline... RawAvg=723.20
baseline,723.20,,,,723.20,Collecting baseline... RawAvg=723.20
baseline,723.20,,,,723.20,Collecting baseline... RawAvg=723.20
baseline,723.20,,,,723.20,Collecting baseline... RawAvg=723.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,721.93,,,721.93,Final Base Raw Average = 721.93
info,,,,,,--------------------------------------------------------------------------
data,,721.9,723.4,1.5,723.4,Time=0.1s | BaseRaw=721.9 | CurrentRaw=723.4 | Change=1.5 => Floor
data,,721.9,723.2,1.3,723.2,Time=0.2s | BaseRaw=721.9 | CurrentRaw=723.2 | Change=1.3 => Floor
data,,721.9,723.2,1.3,723.2,Time=0.3s | BaseRaw=721.9 | CurrentRaw=723.2 | Change=1.3 => Floor
data,,721.9,723.2,1.3,723.2,Time=0.4s | BaseRaw=721.9 | CurrentRaw=723.2 | Change=1.3 => Floor
data,,721.9,723.2,1.3,723.2,Time=0.5s | BaseRaw=721.9 | CurrentRaw=723.2 | Change=1.3 => Floor
data,,721.9,723.0,1.1,723.0,Time=0.6s | BaseRaw=721.9 | CurrentRaw=723.0 | Change=1.1 => Floor
data,,721.9,723.2,1.3,723.2,Time=0.7s | BaseRaw=721.9 | CurrentRaw=723.2 | Change=1.3 => Floor
data,,721.9,723.4,1.5,723.4,Time=0.8s | BaseRaw=721.9 | CurrentRaw=723.4 | Change=1.5 => Floor
data,,721.9,723.6,1.7,723.6,Time=0.9s | BaseRaw=721.9 | CurrentRaw=723.6 | Change=1.7 => Floor
data,,721.9,723.8,1.9,723.8,Time=1.0s | BaseRaw=721.9 | CurrentRaw=723.8 | Change=1.9 => Floor
data,,721.9,724.0,2.1,724.0,Time=1.1s | BaseRaw=721.9 | CurrentRaw=724.0 | Change=2.1 => Floor
data,,721.9,724.0,2.1,724.0,Time=1.2s | BaseRaw=721.9 | CurrentRaw=724.0 | Change=2.1 => Floor
data,,721.9,723.8,1.9,723.8,Time=1.3s | BaseRaw=721.9 | CurrentRaw=723.8 | Change=1.9 => Floor
data,,721.9,723.6,1.7,723.6,Time=1.4s | BaseRaw=721.9 | CurrentRaw=723.6 | Change=1.7 => Floor
data,,721.9,723.4,1.5,723.4,Time=1.5s | BaseRaw=721.9 | CurrentRaw=723.4 | Change=1.5 => Floor
data,,721.9,723.2,1.3,723.2,Time=1.6s | BaseRaw=721.9 | CurrentRaw=723.2 | Change=1.3 => Floor
data,,721.9,723.2,1.3,723.2,Time=1.7s | BaseRaw=721.9 | CurrentRaw=723.2 | Change=1.3 => Floor
data,,721.9,723.2,1.3,723.2,Time=1.8s | BaseRaw=721.9 | CurrentRaw=723.2 | Change=1.3 => Floor
data,,721.9,723.2,1.3,723.2,Time=1.9s | BaseRaw=721.9 | CurrentRaw=723.2 | Change=1.3 => Floor
data,,721.9,723.4,1.5,723.4,Time=2.0s | BaseRaw=721.9 | CurrentRaw=723.4 | Change=1.5 => Floor
data,,721.9,723.6,1.7,723.6,Time=2.1s | BaseRaw=721.9 | CurrentRaw=723.6 | Change=1.7 => Floor
data,,721.9,723.4,1.5,723.4,Time=2.2s | BaseRaw=721.9 | CurrentRaw=723.4 | Change=1.5 => Floor
data,,721.9,723.4,1.5,723.4,Time=2.3s | BaseRaw=721.9 | CurrentRaw=723.4 | Change=1.5 => Floor
data,,721.9,723.4,1.5,723.4,Time=2.4s | BaseRaw=721.9 | CurrentRaw=723.4 | Change=1.5 => Floor
data,,721.9,723.2,1.3,723.2,Time=2.5s | BaseRaw=721.9 | CurrentRaw=723.2 | Change=1.3 => Floor
data,,721.9,723.0,1.1,723.0,Time=2.6s | BaseRaw=721.9 | CurrentRaw=723.0 | Change=1.1 => Floor
data,,721.9,723.2,1.3,723.2,Time=2.7s | BaseRaw=721.9 | CurrentRaw=723.2 | Change=1.3 => Floor
data,,721.9,723.4,1.5,723.4,Time=2.8s | BaseRaw=721.9 | CurrentRaw=723.4 | Change=1.5 => Floor
data,,721.9,723.6,1.7,723.6,Time=2.9s | BaseRaw=721.9 | CurrentRaw=723.6 | Change=1.7 => Floor
data,,721.9,723.8,1.9,723.8,Time=3.0s | BaseRaw=721.9 | CurrentRaw=723.8 | Change=1.9 => Floor
data,,721.9,724.0,2.1,724.0,Time=3.1s | BaseRaw=721.9 | CurrentRaw=724.0 | Change=2.1 => Floor
data,,721.9,723.8,1.9,723.8,Time=3.2s | BaseRaw=721.9 | CurrentRaw=723.8 | Change=1.9 => Floor
data,,721.9,723.8,1.9,723.8,Time=3.3s | BaseRaw=721.9 | CurrentRaw=723.8 | Change=1.9 => Floor
data,,721.9,723.6,1.7,723.6,Time=3.4s | BaseRaw=721.9 | CurrentRaw=723.6 | Change=1.7 => Floor
data,,721.9,723.4,1.5,723.4,Time=3.5s | BaseRaw=721.9 | CurrentRaw=723.4 | Change=1.5 => Floor
data,,721.9,723.2,1.3,723.2,Time=3.6s | BaseRaw=721.9 | CurrentRaw=723.2 | Change=1.3 => Floor
data,,721.9,723.2,1.3,723.2,Time=3.7s | BaseRaw=721.9 | CurrentRaw=723.2 | Change=1.3 => Floor
data,,721.9,723.0,1.1,723.0,Time=3.8s | BaseRaw=721.9 | CurrentRaw=723.0 | Change=1.1 => Floor
data,,721.9,723.0,1.1,723.0,Time=3.9s | BaseRaw=721.9 | CurrentRaw=723.0 | Change=1.1 => Floor
data,,721.9,723.0,1.1,723.0,Time=4.0s | BaseRaw=721.9 | CurrentRaw=723.0 | Change=1.1 => Floor
data,,721.9,723.0,1.1,723.0,Time=4.1s | BaseRaw=721.9 | CurrentRaw=723.0 | Change=1.1 => Floor
data,,721.9,723.0,1.1,723.0,Time=4.2s | BaseRaw=721.9 | CurrentRaw=723.0 | Change=1.1 => Floor
data,,721.9,723.0,1.1,723.0,Time=4.3s | BaseRaw=721.9 | CurrentRaw=723.0 | Change=1.1 => Floor
data,,721.9,723.0,1.1,723.0,Time=4.4s | BaseRaw=721.9 | CurrentRaw=723.0 | Change=1.1 => Floor
data,,721.9,723.2,1.3,723.2,Time=4.5s | BaseRaw=721.9 | CurrentRaw=723.2 | Change=1.3 => Floor
data,,721.9,723.2,1.3,723.2,Time=4.6s | BaseRaw=721.9 | CurrentRaw=723.2 | Change=1.3 => Floor
data,,721.9,723.2,1.3,723.2,Time=4.7s | BaseRaw=721.9 | CurrentRaw=723.2 | Change=1.3 => Floor
data,,721.9,723.2,1.3,723.2,Time=4.8s | BaseRaw=721.9 | CurrentRaw=723.2 | Change=1.3 => Floor
data,,721.9,723.2,1.3,723.2,Time=4.9s | BaseRaw=721.9 | CurrentRaw=723.2 | Change=1.3 => Floor
data,,721.9,723.0,1.1,723.0,Time=5.0s | BaseRaw=721.9 | CurrentRaw=723.0 | Change=1.1 => Floor
data,,721.9,723.0,1.1,723.0,Time=5.1s | BaseRaw=721.9 | CurrentRaw=723.0 | Change=1.1 => Floor
data,,721.9,723.0,1.1,723.0,Time=5.2s | BaseRaw=721.9 | CurrentRaw=723.0 | Change=1.1 => Floor
data,,721.9,723.0,1.1,723.0,Time=5.3s | BaseRaw=721.9 | CurrentRaw=723.0 | Change=1.1 => Floor
data,,721.9,723.0,1.1,723.0,Time=5.4s | BaseRaw=721.9 | CurrentRaw=723.0 | Change=1.1 => Floor
data,,721.9,723.0,1.1,723.0,Time=5.5s | BaseRaw=721.9 | CurrentRaw=723.0 | Change=1.1 => Floor
data,,721.9,723.0,1.1,723.0,Time=5.6s | BaseRaw=721.9 | CurrentRaw=723.0 | Change=1.1 => Floor
data,,721.9,723.0,1.1,723.0,Time=5.7s | BaseRaw=721.9 | CurrentRaw=723.0 | Change=1.1 => Floor
data,,721.9,723.0,1.1,723.0,Time=5.8s | BaseRaw=721.9 | CurrentRaw=723.0 | Change=1.1 => Floor
data,,721.9,722.8,0.9,722.8,Time=5.9s | BaseRaw=721.9 | CurrentRaw=722.8 | Change=0.9 => Floor
data,,721.9,722.6,0.7,722.6,Time=6.0s | BaseRaw=721.9 | CurrentRaw=722.6 | Change=0.7 => Floor
data,,721.9,722.0,0.1,722.0,Time=6.1s | BaseRaw=721.9 | CurrentRaw=722.0 | Change=0.1 => Floor
data,,721.9,721.2,0.7,721.2,Time=6.2s | BaseRaw=721.9 | CurrentRaw=721.2 | Change=0.7 => Floor
data,,721.9,720.4,1.5,720.4,Time=6.3s | BaseRaw=721.9 | CurrentRaw=720.4 | Change=1.5 => Floor
data,,721.9,719.6,2.3,719.6,Time=6.4s | BaseRaw=721.9 | CurrentRaw=719.6 | Change=2.3 => Floor
data,,721.9,718.8,3.1,718.8,Time=6.5s | BaseRaw=721.9 | CurrentRaw=718.8 | Change=3.1 => Floor
