record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,713.40,,,,713.40,Collecting baseline... RawAvg=713.40
baseline,713.60,,,,713.60,Collecting baseline... RawAvg=713.60
baseline,713.80,,,,713.80,Collecting baseline... RawAvg=713.80
baseline,714.20,,,,714.20,Collecting baseline... RawAvg=714.20
baseline,714.80,,,,714.80,Collecting baseline... RawAvg=714.80
baseline,716.20,,,,716.20,Collecting baseline... RawAvg=716.20
baseline,718.00,,,,718.00,Collecting baseline... RawAvg=718.00
baseline,720.00,,,,720.00,Collecting baseline... RawAvg=720.00
baseline,722.20,,,,722.20,Collecting baseline... RawAvg=722.20
baseline,724.40,,,,724.40,Collecting baseline... RawAvg=724.40
baseline,726.00,,,,726.00,Collecting baseline... RawAvg=726.00
baseline,727.20,,,,727.20,Collecting baseline... RawAvg=727.20
baseline,728.00,,,,728.00,Collecting baseline... RawAvg=728.00
baseline,728.80,,,,728.80,Collecting baseline... RawAvg=728.80
baseline,729.00,,,,729.00,Collecting baseline... RawAvg=729.00
baseline,729.20,,,,729.20,Collecting baseline... RawAvg=729.20
baseline,729.20,,,,729.20,Collecting baseline... RawAvg=729.20
baseline,729.40,,,,729.40,Collecting baseline... RawAvg=729.40
baseline,729.40,,,,729.40,Collecting baseline... RawAvg=729.40
baseline,729.40,,,,729.40,Collecting baseline... RawAvg=729.40
baseline,729.40,,,,729.40,Collecting baseline... RawAvg=729.40
baseline,729.40,,,,729.40,Collecting baseline... RawAvg=729.40
baseline,729.20,,,,729.20,Collecting baseline... RawAvg=729.20
baseline,729.00,,,,729.00,Collecting baseline... RawAvg=729.00
baseline,728.80,,,,728.80,Collecting baseline... RawAvg=728.80
baseline,728.60,,,,728.60,Collecting baseline... RawAvg=728.60
baseline,728.40,,,,728.40,Collecting baseline... RawAvg=728.40
baseline,728.20,,,,728.20,Collecting baseline... RawAvg=728.20
baseline,728.00,,,,728.00,Collecting baseline... RawAvg=728.00
baseline,728.00,,,,728.00,Collecting baseline... RawAvg=728.00
baseline,728.20,,,,728.20,Collecting baseline... RawAvg=728.20
baseline,728.40,,,,728.40,Collecting baseline... RawAvg=728.40
baseline,728.60,,,,728.60,Collecting baseline... RawAvg=728.60
baseline,728.80,,,,728.80,Collecting baseline... RawAvg=728.80
baseline,728.80,,,,728.80,Collecting baseline... RawAvg=728.80
baseline,728.60,,,,728.60,Collecting baseline... RawAvg=728.60
baseline,728.40,,,,728.40,Collecting baseline... RawAvg=728.40
baseline,728.20,,,,728.20,Collecting baseline... RawAvg=728.20
baseline,728.00,,,,728.00,Collecting baseline... RawAvg=728.00
baseline,728.00,,,,728.00,Collecting baseline... RawAvg=728.00
baseline,728.00,,,,728.00,Collecting baseline... RawAvg=728.00
baseline,728.00,,,,728.00,Collecting baseline... RawAvg=728.00
baseline,728.00,,,,728.00,Collecting baseline... RawAvg=728.00
baseline,728.00,,,,728.00,Collecting baseline... RawAvg=728.00
baseline,728.00,,,,728.00,Collecting baseline... RawAvg=728.00
baseline,728.00,,,,728.00,Collecting baseline... RawAvg=728.00
baseline,728.00,,,,728.00,Collecting baseline... RawAvg=728.00
baseline,728.20,,,,728.20,Collecting baseline... RawAvg=728.20
baseline,728.40,,,,728.40,Collecting baseline... RawAvg=728.40
info,,,,,,Baseline collection complete! Starting detection.
final_base,,726.12,,,726.12,Final Base Raw Average = 726.12
info,,,,,,--------------------------------------------------------------------------
data,,726.1,728.6,2.5,728.6,Time=0.1s | BaseRaw=726.1 | CurrentRaw=728.6 | Change=2.5 => Floor
data,,726.1,728.6,2.5,728.6,Time=0.2s | BaseRaw=726.1 | CurrentRaw=728.6 | Change=2.5 => Floor
data,,726.1,728.4,2.3,728.4,Time=0.3s | BaseRaw=726.1 | CurrentRaw=728.4 | Change=2.3 => Floor
data,,726.1,728.2,2.1,728.2,Time=0.4s | BaseRaw=726.1 | CurrentRaw=728.2 | Change=2.1 => Floor
data,,726.1,728.0,1.9,728.0,Time=0.5s | BaseRaw=726.1 | CurrentRaw=728.0 | Change=1.9 => Floor
data,,726.1,728.0,1.9,728.0,Time=0.6s | BaseRaw=726.1 | CurrentRaw=728.0 | Change=1.9 => Floor
data,,726.1,728.2,2.1,728.2,Time=0.7s | BaseRaw=726.1 | CurrentRaw=728.2 | Change=2.1 => Floor
data,,726.1,728.2,2.1,728.2,Time=0.8s | BaseRaw=726.1 | CurrentRaw=728.2 | Change=2.1 => Floor
data,,726.1,728.2,2.1,728.2,Time=0.9s | BaseRaw=726.1 | CurrentRaw=728.2 | Change=2.1 => Floor
data,,726.1,728.2,2.1,728.2,Time=1.0s | BaseRaw=726.1 | CurrentRaw=728.2 | Change=2.1 => Floor
data,,726.1,728.2,2.1,728.2,Time=1.1s | BaseRaw=726.1 | CurrentRaw=728.2 | Change=2.1 => Floor
data,,726.1,728.0,1.9,728.0,Time=1.2s | BaseRaw=726.1 | CurrentRaw=728.0 | Change=1.9 => Floor
data,,726.1,728.0,1.9,728.0,Time=1.3s | BaseRaw=726.1 | CurrentRaw=728.0 | Change=1.9 => Floor
data,,726.1,728.0,1.9,728.0,Time=1.4s | BaseRaw=726.1 | CurrentRaw=728.0 | Change=1.9 => Floor
data,,726.1,728.0,1.9,728.0,Time=1.5s | BaseRaw=726.1 | CurrentRaw=728.0 | Change=1.9 => Floor
data,,726.1,728.0,1.9,728.0,Time=1.6s | BaseRaw=726.1 | CurrentRaw=728.0 | Change=1.9 => Floor
data,,726.1,728.2,2.1,728.2,Time=1.7s | BaseRaw=726.1 | CurrentRaw=728.2 | Change=2.1 => Floor
data,,726.1,728.4,2.3,728.4,Time=1.8s | BaseRaw=726.1 | CurrentRaw=728.4 | Change=2.3 => Floor
data,,726.1,728.4,2.3,728.4,Time=1.9s | BaseRaw=726.1 | CurrentRaw=728.4 | Change=2.3 => Floor
data,,726.1,728.4,2.3,728.4,Time=2.0s | BaseRaw=726.1 | CurrentRaw=728.4 | Change=2.3 => Floor
data,,726.1,728.4,2.3,728.4,Time=2.1s | BaseRaw=726.1 | CurrentRaw=728.4 | Change=2.3 => Floor
data,,726.1,728.2,2.1,728.2,Time=2.2s | BaseRaw=726.1 | CurrentRaw=728.2 | Change=2.1 => Floor
data,,726.1,728.0,1.9,728.0,Time=2.3s | BaseRaw=726.1 | CurrentRaw=728.0 | Change=1.9 => Floor
data,,726.1,728.0,1.9,728.0,Time=2.4s | BaseRaw=726.1 | CurrentRaw=728.0 | Change=1.9 => Floor
data,,726.1,728.0,1.9,728.0,Time=2.5s | BaseRaw=726.1 | CurrentRaw=728.0 | Change=1.9 => Floor
data,,726.1,728.0,1.9,728.0,Time=2.6s | BaseRaw=726.1 | CurrentRaw=728.0 | Change=1.9 => Floor
data,,726.1,728.0,1.9,728.0,Time=2.7s | BaseRaw=726.1 | CurrentRaw=728.0 | Change=1.9 => Floor
data,,726.1,728.0,1.9,728.0,Time=2.8s | BaseRaw=726.1 | CurrentRaw=728.0 | Change=1.9 => Floor
data,,726.1,727.8,1.7,727.8,Time=2.9s | BaseRaw=726.1 | CurrentRaw=727.8 | Change=1.7 => Floor
data,,726.1,727.6,1.5,727.6,Time=3.0s | BaseRaw=726.1 | CurrentRaw=727.6 | Change=1.5 => Floor
data,,726.1,727.4,1.3,727.4,Time=3.1s | BaseRaw=726.1 | CurrentRaw=727.4 | Change=1.3 => Floor
data,,726.1,727.4,1.3,727.4,Time=3.2s | BaseRaw=726.1 | CurrentRaw=727.4 | Change=1.3 => Floor
data,,726.1,727.2,1.1,727.2,Time=3.3s | BaseRaw=726.1 | CurrentRaw=727.2 | Change=1.1 => Floor
data,,726.1,727.2,1.1,727.2,Time=3.4s | BaseRaw=726.1 | CurrentRaw=727.2 | Change=1.1 => Floor
data,,726.1,727.2,1.1,727.2,Time=3.5s | BaseRaw=726.1 | CurrentRaw=727.2 | Change=1.1 => Floor
data,,726.1,727.2,1.1,727.2,Time=3.6s | BaseRaw=726.1 | CurrentRaw=727.2 | Change=1.1 => Floor
data,,726.1,727.0,0.9,727.0,Time=3.7s | BaseRaw=726.1 | CurrentRaw=727.0 | Change=0.9 => Floor
data,,726.1,727.0,0.9,727.0,Time=3.8s | BaseRaw=726.1 | CurrentRaw=727.0 | Change=0.9 => Floor
data,,726.1,727.0,0.9,727.0,Time=3.9s | BaseRaw=726.1 | CurrentRaw=727.0 | Change=0.9 => Floor
data,,726.1,727.2,1.1,727.2,Time=4.0s | BaseRaw=726.1 | CurrentRaw=727.2 | Change=1.1 => Floor
data,,726.1,727.2,1.1,727.2,Time=4.1s | BaseRaw=726.1 | CurrentRaw=727.2 | Change=1.1 => Floor
data,,726.1,727.2,1.1,727.2,Time=4.2s | BaseRaw=726.1 | CurrentRaw=727.2 | Change=1.1 => Floor
data,,726.1,727.2,1.1,727.2,Time=4.3s | BaseRaw=726.1 | CurrentRaw=727.2 | Change=1.1 => Floor
data,,726.1,727.2,1.1,727.2,Time=4.4s | BaseRaw=726.1 | CurrentRaw=727.2 | Change=1.1 => Floor
data,,726.1,727.0,0.9,727.0,Time=4.5s | BaseRaw=726.1 | CurrentRaw=727.0 | Change=0.9 => Floor
data,,726.1,727.0,0.9,727.0,Time=4.6s | BaseRaw=726.1 | CurrentRaw=727.0 | Change=0.9 => Floor
data,,726.1,727.0,0.9,727.0,Time=4.7s | BaseRaw=726.1 | CurrentRaw=727.0 | Change=0.9 => Floor
data,,726.1,727.0,0.9,727.0,Time=4.8s | BaseRaw=726.1 | CurrentRaw=727.0 | Change=0.9 => Floor
data,,726.1,727.2,1.1,727.2,Time=4.9s | BaseRaw=726.1 | CurrentRaw=727.2 | Change=1.1 => Floor
data,,726.1,727.4,1.3,727.4,Time=5.0s | BaseRaw=726.1 | CurrentRaw=727.4 | Change=1.3 => Floor
data,,726.1,727.4,1.3,727.4,Time=5.1s | BaseRaw=726.1 | CurrentRaw=727.4 | Change=1.3 => Floor
data,,726.1,727.2,1.1,727.2,Time=5.2s | BaseRaw=726.1 | CurrentRaw=727.2 | Change=1.1 => Floor
data,,726.1,727.0,0.9,727.0,Time=5.3s | BaseRaw=726.1 | CurrentRaw=727.0 | Change=0.9 => Floor
data,,726.1,726.6,0.5,726.6,Time=5.4s | BaseRaw=726.1 | CurrentRaw=726.6 | Change=0.5 => Floor
data,,726.1,726.6,0.5,726.6,Time=5.5s | BaseRaw=726.1 | CurrentRaw=726.6 | Change=0.5 => Floor
data,,726.1,726.6,0.5,726.6,Time=5.6s | BaseRaw=726.1 | CurrentRaw=726.6 | Change=0.5 => Floor
data,,726.1,726.8,0.7,726.8,Time=5.7s | BaseRaw=726.1 | CurrentRaw=726.8 | Change=0.7 => Floor
data,,726.1,727.2,1.1,727.2,Time=5.8s | BaseRaw=726.1 | CurrentRaw=727.2 | Change=1.1 => Floor
data,,726.1,727.6,1.5,727.6,Time=5.9s | BaseRaw=726.1 | CurrentRaw=727.6 | Change=1.5 => Floor
data,,726.1,727.4,1.3,727.4,Time=6.0s | BaseRaw=726.1 | CurrentRaw=727.4 | Change=1.3 => Floor
data,,726.1,727.6,1.5,727.6,Time=6.1s | BaseRaw=726.1 | CurrentRaw=727.6 | Change=1.5 => Floor
data,,726.1,727.8,1.7,727.8,Time=6.2s | BaseRaw=726.1 | CurrentRaw=727.8 | Change=1.7 => Floor
data,,726.1,727.8,1.7,727.8,Time=6.3s | BaseRaw=726.1 | CurrentRaw=727.8 | Change=1.7 => Floor
data,,726.1,727.8,1.7,727.8,Time=6.4s | BaseRaw=726.1 | CurrentRaw=727.8 | Change=1.7 => Floor
data,,726.1,728.0,1.9,728.0,Time=6.5s | BaseRaw=726.1 | CurrentRaw=728.0 | Change=1.9 => Floor
