record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,667.40,,,,667.40,Collecting baseline... RawAvg=667.40
baseline,667.60,,,,667.60,Collecting baseline... RawAvg=667.60
baseline,668.00,,,,668.00,Collecting baseline... RawAvg=668.00
baseline,668.20,,,,668.20,Collecting baseline... RawAvg=668.20
baseline,668.20,,,,668.20,Collecting baseline... RawAvg=668.20
baseline,668.20,,,,668.20,Collecting baseline... RawAvg=668.20
baseline,668.20,,,,668.20,Collecting baseline... RawAvg=668.20
baseline,668.00,,,,668.00,Collecting baseline... RawAvg=668.00
baseline,668.00,,,,668.00,Collecting baseline... RawAvg=668.00
baseline,668.20,,,,668.20,Collecting baseline... RawAvg=668.20
baseline,668.60,,,,668.60,Collecting baseline... RawAvg=668.60
baseline,668.80,,,,668.80,Collecting baseline... RawAvg=668.80
baseline,669.00,,,,669.00,Collecting baseline... RawAvg=669.00
baseline,669.00,,,,669.00,Collecting baseline... RawAvg=669.00
baseline,669.00,,,,669.00,Collecting baseline... RawAvg=669.00
baseline,668.60,,,,668.60,Collecting baseline... RawAvg=668.60
baseline,668.60,,,,668.60,Collecting baseline... RawAvg=668.60
baseline,668.40,,,,668.40,Collecting baseline... RawAvg=668.40
baseline,668.60,,,,668.60,Collecting baseline... RawAvg=668.60
baseline,668.40,,,,668.40,Collecting baseline... RawAvg=668.40
baseline,668.40,,,,668.40,Collecting baseline... RawAvg=668.40
baseline,668.40,,,,668.40,Collecting baseline... RawAvg=668.40
baseline,668.60,,,,668.60,Collecting baseline... RawAvg=668.60
baseline,668.40,,,,668.40,Collecting baseline... RawAvg=668.40
baseline,668.40,,,,668.40,Collecting baseline... RawAvg=668.40
baseline,668.40,,,,668.40,Collecting baseline... RawAvg=668.40
baseline,668.20,,,,668.20,Collecting baseline... RawAvg=668.20
baseline,668.20,,,,668.20,Collecting baseline... RawAvg=668.20
baseline,668.40,,,,668.40,Collecting baseline... RawAvg=668.40
baseline,668.60,,,,668.60,Collecting baseline... RawAvg=668.60
baseline,668.60,,,,668.60,Collecting baseline... RawAvg=668.60
baseline,668.60,,,,668.60,Collecting baseline... RawAvg=668.60
baseline,668.40,,,,668.40,Collecting baseline... RawAvg=668.40
baseline,668.40,,,,668.40,Collecting baseline... RawAvg=668.40
baseline,668.20,,,,668.20,Collecting baseline... RawAvg=668.20
baseline,668.40,,,,668.40,Collecting baseline... RawAvg=668.40
baseline,668.60,,,,668.60,Collecting baseline... RawAvg=668.60
baseline,668.60,,,,668.60,Collecting baseline... RawAvg=668.60
baseline,668.60,,,,668.60,Collecting baseline... RawAvg=668.60
baseline,668.60,,,,668.60,Collecting baseline... RawAvg=668.60
baseline,668.40,,,,668.40,Collecting baseline... RawAvg=668.40
baseline,668.40,,,,668.40,Collecting baseline... RawAvg=668.40
baseline,668.80,,,,668.80,Collecting baseline... RawAvg=668.80
baseline,669.20,,,,669.20,Collecting baseline... RawAvg=669.20
baseline,670.00,,,,670.00,Collecting baseline... RawAvg=670.00
baseline,670.80,,,,670.80,Collecting baseline... RawAvg=670.80
baseline,671.60,,,,671.60,Collecting baseline... RawAvg=671.60
baseline,672.00,,,,672.00,Collecting baseline... RawAvg=672.00
baseline,672.40,,,,672.40,Collecting baseline... RawAvg=672.40
info,,,,,,Baseline collection complete! Starting detection.
final_base,,668.73,,,668.73,Final Base Raw Average = 668.73
info,,,,,,--------------------------------------------------------------------------
data,,668.7,673.0,4.3,673.0,Time=0.1s | BaseRaw=668.7 | CurrentRaw=673.0 | Change=4.3 => Floor
data,,668.7,672.8,4.1,672.8,Time=0.2s | BaseRaw=668.7 | CurrentRaw=672.8 | Change=4.1 => Floor
data,,668.7,672.8,4.1,672.8,Time=0.3s | BaseRaw=668.7 | CurrentRaw=672.8 | Change=4.1 => Floor
data,,668.7,672.4,3.7,672.4,Time=0.4s | BaseRaw=668.7 | CurrentRaw=672.4 | Change=3.7 => Floor
data,,668.7,671.8,3.1,671.8,Time=0.5s | BaseRaw=668.7 | CurrentRaw=671.8 | Change=3.1 => Floor
data,,668.7,671.2,2.5,671.2,Time=0.6s | BaseRaw=668.7 | CurrentRaw=671.2 | Change=2.5 => Floor
data,,668.7,670.8,2.1,670.8,Time=0.7s | BaseRaw=668.7 | CurrentRaw=670.8 | Change=2.1 => Floor
data,,668.7,670.2,1.5,670.2,Time=0.8s | BaseRaw=668.7 | CurrentRaw=670.2 | Change=1.5 => Floor
data,,668.7,670.0,1.3,670.0,Time=0.9s | BaseRaw=668.7 | CurrentRaw=670.0 | Change=1.3 => Floor
data,,668.7,669.8,1.1,669.8,Time=1.0s | BaseRaw=668.7 | CurrentRaw=669.8 | Change=1.1 => Floor
data,,668.7,669.8,1.1,669.8,Time=1.1s | BaseRaw=668.7 | CurrentRaw=669.8 | Change=1.1 => Floor
data,,668.7,669.6,0.9,669.6,Time=1.2s | BaseRaw=668.7 | CurrentRaw=669.6 | Change=0.9 => Floor
data,,668.7,669.6,0.9,669.6,Time=1.3s | BaseRaw=668.7 | CurrentRaw=669.6 | Change=0.9 => Floor
data,,668.7,669.6,0.9,669.6,Time=1.4s | BaseRaw=668.7 | CurrentRaw=669.6 | Change=0.9 => Floor
data,,668.7,669.6,0.9,669.6,Time=1.5s | BaseRaw=668.7 | CurrentRaw=669.6 | Change=0.9 => Floor
data,,668.7,669.4,0.7,669.4,Time=1.6s | BaseRaw=668.7 | CurrentRaw=669.4 | Change=0.7 => Floor
data,,668.7,669.6,0.9,669.6,Time=1.7s | BaseRaw=668.7 | CurrentRaw=669.6 | Change=0.9 => Floor
data,,668.7,669.8,1.1,669.8,Time=1.8s | BaseRaw=668.7 | CurrentRaw=669.8 | Change=1.1 => Floor
data,,668.7,670.0,1.3,670.0,Time=1.9s | BaseRaw=668.7 | CurrentRaw=670.0 | Change=1.3 => Floor
data,,668.7,670.2,1.5,670.2,Time=2.0s | BaseRaw=668.7 | CurrentRaw=670.2 | Change=1.5 => Floor
data,,668.7,670.8,2.1,670.8,Time=2.1s | BaseRaw=668.7 | CurrentRaw=670.8 | Change=2.1 => Floor
data,,668.7,671.2,2.5,671.2,Time=2.2s | BaseRaw=668.7 | CurrentRaw=671.2 | Change=2.5 => Floor
data,,668.7,671.6,2.9,671.6,Time=2.3s | BaseRaw=668.7 | CurrentRaw=671.6 | Change=2.9 => Floor
data,,668.7,671.8,3.1,671.8,Time=2.4s | BaseRaw=668.7 | CurrentRaw=671.8 | Change=3.1 => Floor
data,,668.7,671.8,3.1,671.8,Time=2.5s | BaseRaw=668.7 | CurrentRaw=671.8 | Change=3.1 => Floor
data,,668.7,671.6,2.9,671.6,Time=2.6s | BaseRaw=668.7 | CurrentRaw=671.6 | Change=2.9 => Floor
data,,668.7,671.2,2.5,671.2,Time=2.7s | BaseRaw=668.7 | CurrentRaw=671.2 | Change=2.5 => Floor
data,,668.7,670.8,2.1,670.8,Time=2.8s | BaseRaw=668.7 | CurrentRaw=670.8 | Change=2.1 => Floor
data,,668.7,670.4,1.7,670.4,Time=2.9s | BaseRaw=668.7 | CurrentRaw=670.4 | Change=1.7 => Floor
data,,668.7,670.2,1.5,670.2,Time=3.0s | BaseRaw=668.7 | CurrentRaw=670.2 | Change=1.5 => Floor
data,,668.7,670.0,1.3,670.0,Time=3.1s | BaseRaw=668.7 | CurrentRaw=670.0 | Change=1.3 => Floor
data,,668.7,670.0,1.3,670.0,Time=3.2s | BaseRaw=668.7 | CurrentRaw=670.0 | Change=1.3 => Floor
data,,668.7,670.0,1.3,670.0,Time=3.3s | BaseRaw=668.7 | CurrentRaw=670.0 | Change=1.3 => Floor
data,,668.7,670.0,1.3,670.0,Time=3.4s | BaseRaw=668.7 | CurrentRaw=670.0 | Change=1.3 => Floor
data,,668.7,670.0,1.3,670.0,Time=3.5s | BaseRaw=668.7 | CurrentRaw=670.0 | Change=1.3 => Floor
data,,668.7,670.0,1.3,670.0,Time=3.6s | BaseRaw=668.7 | CurrentRaw=670.0 | Change=1.3 => Floor
data,,668.7,670.0,1.3,670.0,Time=3.7s | BaseRaw=668.7 | CurrentRaw=670.0 | Change=1.3 => Floor
data,,668.7,670.2,1.5,670.2,Time=3.8s | BaseRaw=668.7 | CurrentRaw=670.2 | Change=1.5 => Floor
data,,668.7,670.4,1.7,670.4,Time=3.9s | BaseRaw=668.7 | CurrentRaw=670.4 | Change=1.7 => Floor
data,,668.7,670.6,1.9,670.6,Time=4.0s | BaseRaw=668.7 | CurrentRaw=670.6 | Change=1.9 => Floor
data,,668.7,671.0,2.3,671.0,Time=4.1s | BaseRaw=668.7 | CurrentRaw=671.0 | Change=2.3 => Floor
data,,668.7,671.4,2.7,671.4,Time=4.2s | BaseRaw=668.7 | CurrentRaw=671.4 | Change=2.7 => Floor
data,,668.7,672.0,3.3,672.0,Time=4.3s | BaseRaw=668.7 | CurrentRaw=672.0 | Change=3.3 => Floor
data,,668.7,672.4,3.7,672.4,Time=4.4s | BaseRaw=668.7 | CurrentRaw=672.4 | Change=3.7 => Floor
data,,668.7,672.8,4.1,672.8,Time=4.5s | BaseRaw=668.7 | CurrentRaw=672.8 | Change=4.1 => Floor
data,,668.7,673.2,4.5,673.2,Time=4.6s | BaseRaw=668.7 | CurrentRaw=673.2 | Change=4.5 => Floor
data,,668.7,673.4,4.7,673.4,Time=4.7s | BaseRaw=668.7 | CurrentRaw=673.4 | Change=4.7 => Floor
data,,668.7,673.4,4.7,673.4,Time=4.8s | BaseRaw=668.7 | CurrentRaw=673.4 | Change=4.7 => Floor
data,,668.7,674.0,5.3,674.0,Time=4.9s | BaseRaw=668.7 | CurrentRaw=674.0 | Change=5.3 => Floor
data,,668.7,674.8,6.1,674.8,Time=5.0s | BaseRaw=668.7 | CurrentRaw=674.8 | Change=6.1 => Floor
data,,668.7,675.2,6.5,675.2,Time=5.1s | BaseRaw=668.7 | CurrentRaw=675.2 | Change=6.5 => Floor
data,,668.7,676.0,7.3,676.0,Time=5.2s | BaseRaw=668.7 | CurrentRaw=676.0 | Change=7.3 => Floor
data,,668.7,676.6,7.9,676.6,Time=5.3s | BaseRaw=668.7 | CurrentRaw=676.6 | Change=7.9 => Floor
data,,668.7,676.4,7.7,676.4,Time=5.4s | BaseRaw=668.7 | CurrentRaw=676.4 | Change=7.7 => Floor
data,,668.7,676.0,7.3,676.0,Time=5.5s | BaseRaw=668.7 | CurrentRaw=676.0 | Change=7.3 => Floor
data,,668.7,675.2,6.5,675.2,Time=5.6s | BaseRaw=668.7 | CurrentRaw=675.2 | Change=6.5 => Floor
data,,668.7,675.0,6.3,675.0,Time=5.7s | BaseRaw=668.7 | CurrentRaw=675.0 | Change=6.3 => Floor
data,,668.7,675.4,6.7,675.4,Time=5.8s | BaseRaw=668.7 | CurrentRaw=675.4 | Change=6.7 => Floor
data,,668.7,676.2,7.5,676.2,Time=5.9s | BaseRaw=668.7 | CurrentRaw=676.2 | Change=7.5 => Floor
data,,668.7,677.0,8.3,677.0,Time=6.0s | BaseRaw=668.7 | CurrentRaw=677.0 | Change=8.3 => Floor
data,,668.7,678.2,9.5,678.2,Time=6.1s | BaseRaw=668.7 | CurrentRaw=678.2 | Change=9.5 => Floor
data,,668.7,678.8,10.1,678.8,Time=6.2s | BaseRaw=668.7 | CurrentRaw=678.8 | Change=10.1 => Liquid
data,,668.7,678.8,10.1,678.8,Time=6.3s | BaseRaw=668.7 | CurrentRaw=678.8 | Change=10.1 => Liquid
data,,668.7,678.8,10.1,678.8,Time=6.4s | BaseRaw=668.7 | CurrentRaw=678.8 | Change=10.1 => Liquid
data,,668.7,678.8,10.1,678.8,Time=6.5s | BaseRaw=668.7 | CurrentRaw=678.8 | Change=10.1 => Liquid
