record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,727.20,,,,727.20,Collecting baseline... RawAvg=727.20
baseline,727.20,,,,727.20,Collecting baseline... RawAvg=727.20
baseline,727.20,,,,727.20,Collecting baseline... RawAvg=727.20
baseline,727.20,,,,727.20,Collecting baseline... RawAvg=727.20
baseline,727.00,,,,727.00,Collecting baseline... RawAvg=727.00
baseline,727.00,,,,727.00,Collecting baseline... RawAvg=727.00
baseline,727.00,,,,727.00,Collecting baseline... RawAvg=727.00
baseline,727.00,,,,727.00,Collecting baseline... RawAvg=727.00
baseline,727.00,,,,727.00,Collecting baseline... RawAvg=727.00
baseline,727.00,,,,727.00,Collecting baseline... RawAvg=727.00
baseline,727.00,,,,727.00,Collecting baseline... RawAvg=727.00
baseline,727.00,,,,727.00,Collecting baseline... RawAvg=727.00
baseline,727.00,,,,727.00,Collecting baseline... RawAvg=727.00
baseline,727.20,,,,727.20,Collecting baseline... RawAvg=727.20
baseline,727.40,,,,727.40,Collecting baseline... RawAvg=727.40
baseline,727.40,,,,727.40,Collecting baseline... RawAvg=727.40
baseline,727.40,,,,727.40,Collecting baseline... RawAvg=727.40
baseline,727.20,,,,727.20,Collecting baseline... RawAvg=727.20
baseline,727.00,,,,727.00,Collecting baseline... RawAvg=727.00
baseline,726.80,,,,726.80,Collecting baseline... RawAvg=726.80
baseline,726.80,,,,726.80,Collecting baseline... RawAvg=726.80
baseline,726.80,,,,726.80,Collecting baseline... RawAvg=726.80
baseline,727.00,,,,727.00,Collecting baseline... RawAvg=727.00
baseline,727.00,,,,727.00,Collecting baseline... RawAvg=727.00
baseline,727.00,,,,727.00,Collecting baseline... RawAvg=727.00
baseline,727.00,,,,727.00,Collecting baseline... RawAvg=727.00
baseline,727.00,,,,727.00,Collecting baseline... RawAvg=727.00
baseline,727.00,,,,727.00,Collecting baseline... RawAvg=727.00
baseline,727.00,,,,727.00,Collecting baseline... RawAvg=727.00
baseline,727.00,,,,727.00,Collecting baseline... RawAvg=727.00
baseline,727.00,,,,727.00,Collecting baseline... RawAvg=727.00
baseline,727.00,,,,727.00,Collecting baseline... RawAvg=727.00
baseline,727.00,,,,727.00,Collecting baseline... RawAvg=727.00
baseline,727.00,,,,727.00,Collecting baseline... RawAvg=727.00
baseline,727.00,,,,727.00,Collecting baseline... RawAvg=727.00
baseline,727.00,,,,727.00,Collecting baseline... RawAvg=727.00
baseline,727.00,,,,727.00,Collecting baseline... RawAvg=727.00
baseline,727.20,,,,727.20,Collecting baseline... RawAvg=727.20
baseline,727.40,,,,727.40,Collecting baseline... RawAvg=727.40
baseline,727.40,,,,727.40,Collecting baseline... RawAvg=727.40
baseline,727.60,,,,727.60,Collecting baseline... RawAvg=727.60
baseline,727.80,,,,727.80,Collecting baseline... RawAvg=727.80
baseline,727.60,,,,727.60,Collecting baseline... RawAvg=727.60
baseline,727.60,,,,727.60,Collecting baseline... RawAvg=727.60
baseline,727.80,,,,727.80,Collecting baseline... RawAvg=727.80
baseline,727.80,,,,727.80,Collecting baseline... RawAvg=727.80
baseline,727.80,,,,727.80,Collecting baseline... RawAvg=727.80
baseline,728.00,,,,728.00,Collecting baseline... RawAvg=728.00
baseline,728.00,,,,728.00,Collecting baseline... RawAvg=728.00
info,,,,,,Baseline collection complete! Starting detection.
final_base,,727.20,,,727.20,Final Base Raw Average = 727.20
info,,,,,,--------------------------------------------------------------------------
data,,727.2,727.8,0.6,727.8,Time=0.1s | BaseRaw=727.2 | CurrentRaw=727.8 | Change=0.6 => Floor
data,,727.2,728.0,0.8,728.0,Time=0.2s | BaseRaw=727.2 | CurrentRaw=728.0 | Change=0.8 => Floor
data,,727.2,728.0,0.8,728.0,Time=0.3s | BaseRaw=727.2 | CurrentRaw=728.0 | Change=0.8 => Floor
data,,727.2,728.2,1.0,728.2,Time=0.4s | BaseRaw=727.2 | CurrentRaw=728.2 | Change=1.0 => Floor
data,,727.2,729.0,1.8,729.0,Time=0.5s | BaseRaw=727.2 | CurrentRaw=729.0 | Change=1.8 => Floor
data,,727.2,729.6,2.4,729.6,Time=0.6s | BaseRaw=727.2 | CurrentRaw=729.6 | Change=2.4 => Floor
data,,727.2,730.0,2.8,730.0,Time=0.7s | BaseRaw=727.2 | CurrentRaw=730.0 | Change=2.8 => Floor
data,,727.2,730.8,3.6,730.8,Time=0.8s | BaseRaw=727.2 | CurrentRaw=730.8 | Change=3.6 => Floor
data,,727.2,731.4,4.2,731.4,Time=0.9s | BaseRaw=727.2 | CurrentRaw=731.4 | Change=4.2 => Floor
data,,727.2,731.4,4.2,731.4,Time=1.0s | BaseRaw=727.2 | CurrentRaw=731.4 | Change=4.2 => Floor
data,,727.2,731.6,4.4,731.6,Time=1.1s | BaseRaw=727.2 | CurrentRaw=731.6 | Change=4.4 => Floor
data,,727.2,731.8,4.6,731.8,Time=1.2s | BaseRaw=727.2 | CurrentRaw=731.8 | Change=4.6 => Floor
data,,727.2,731.4,4.2,731.4,Time=1.3s | BaseRaw=727.2 | CurrentRaw=731.4 | Change=4.2 => Floor
data,,727.2,731.0,3.8,731.0,Time=1.4s | BaseRaw=727.2 | CurrentRaw=731.0 | Change=3.8 => Floor
data,,727.2,730.0,2.8,730.0,Time=1.5s | BaseRaw=727.2 | CurrentRaw=730.0 | Change=2.8 => Floor
data,,727.2,726.8,0.4,726.8,Time=1.6s | BaseRaw=727.2 | CurrentRaw=726.8 | Change=0.4 => Floor
data,,727.2,723.4,3.8,723.4,Time=1.7s | BaseRaw=727.2 | CurrentRaw=723.4 | Change=3.8 => Floor
data,,727.2,720.4,6.8,720.4,Time=1.8s | BaseRaw=727.2 | CurrentRaw=720.4 | Change=6.8 => Floor
data,,727.2,717.8,9.4,717.8,Time=1.9s | BaseRaw=727.2 | CurrentRaw=717.8 | Change=9.4 => Floor
data,,727.2,716.2,11.0,716.2,Time=2.0s | BaseRaw=727.2 | CurrentRaw=716.2 | Change=11.0 => Liquid
data,,727.2,716.6,10.6,716.6,Time=2.1s | BaseRaw=727.2 | CurrentRaw=716.6 | Change=10.6 => Liquid
data,,727.2,716.8,10.4,716.8,Time=2.2s | BaseRaw=727.2 | CurrentRaw=716.8 | Change=10.4 => Liquid
data,,727.2,716.8,10.4,716.8,Time=2.3s | BaseRaw=727.2 | CurrentRaw=716.8 | Change=10.4 => Liquid
data,,727.2,716.4,10.8,716.4,Time=2.4s | BaseRaw=727.2 | CurrentRaw=716.4 | Change=10.8 => Liquid
data,,727.2,715.8,11.4,715.8,Time=2.5s | BaseRaw=727.2 | CurrentRaw=715.8 | Change=11.4 => Liquid
data,,727.2,715.2,12.0,715.2,Time=2.6s | BaseRaw=727.2 | CurrentRaw=715.2 | Change=12.0 => Liquid
data,,727.2,715.0,12.2,715.0,Time=2.7s | BaseRaw=727.2 | CurrentRaw=715.0 | Change=12.2 => Liquid
data,,727.2,714.8,12.4,714.8,Time=2.8s | BaseRaw=727.2 | CurrentRaw=714.8 | Change=12.4 => Liquid
data,,727.2,714.6,12.6,714.6,Time=2.9s | BaseRaw=727.2 | CurrentRaw=714.6 | Change=12.6 => Liquid
data,,727.2,714.6,12.6,714.6,Time=3.0s | BaseRaw=727.2 | CurrentRaw=714.6 | Change=12.6 => Liquid
data,,727.2,714.4,12.8,714.4,Time=3.1s | BaseRaw=727.2 | CurrentRaw=714.4 | Change=12.8 => Liquid
data,,727.2,714.2,13.0,714.2,Time=3.2s | BaseRaw=727.2 | CurrentRaw=714.2 | Change=13.0 => Liquid
data,,727.2,714.2,13.0,714.2,Time=3.3s | BaseRaw=727.2 | CurrentRaw=714.2 | Change=13.0 => Liquid
data,,727.2,714.2,13.0,714.2,Time=3.4s | BaseRaw=727.2 | CurrentRaw=714.2 | Change=13.0 => Liquid
data,,727.2,714.2,13.0,714.2,Time=3.5s | BaseRaw=727.2 | CurrentRaw=714.2 | Change=13.0 => Liquid
data,,727.2,714.4,12.8,714.4,Time=3.6s | BaseRaw=727.2 | CurrentRaw=714.4 | Change=12.8 => Liquid
data,,727.2,714.4,12.8,714.4,Time=3.7s | BaseRaw=727.2 | CurrentRaw=714.4 | Change=12.8 => Liquid
data,,727.2,714.4,12.8,714.4,Time=3.8s | BaseRaw=727.2 | CurrentRaw=714.4 | Change=12.8 => Liquid
data,,727.2,714.4,12.8,714.4,Time=3.9s | BaseRaw=727.2 | CurrentRaw=714.4 | Change=12.8 => Liquid
data,,727.2,714.2,13.0,714.2,Time=4.0s | BaseRaw=727.2 | CurrentRaw=714.2 | Change=13.0 => Liquid
data,,727.2,714.0,13.2,714.0,Time=4.1s | BaseRaw=727.2 | CurrentRaw=714.0 | Change=13.2 => Liquid
data,,727.2,714.0,13.2,714.0,Time=4.2s | BaseRaw=727.2 | CurrentRaw=714.0 | Change=13.2 => Liquid
data,,727.2,714.0,13.2,714.0,Time=4.3s | BaseRaw=727.2 | CurrentRaw=714.0 | Change=13.2 => Liquid
data,,727.2,714.2,13.0,714.2,Time=4.4s | BaseRaw=727.2 | CurrentRaw=714.2 | Change=13.0 => Liquid
data,,727.2,714.2,13.0,714.2,Time=4.5s | BaseRaw=727.2 | CurrentRaw=714.2 | Change=13.0 => Liquid
data,,727.2,714.2,13.0,714.2,Time=4.6s | BaseRaw=727.2 | CurrentRaw=714.2 | Change=13.0 => Liquid
data,,727.2,714.2,13.0,714.2,Time=4.7s | BaseRaw=727.2 | CurrentRaw=714.2 | Change=13.0 => Liquid
data,,727.2,714.2,13.0,714.2,Time=4.8s | BaseRaw=727.2 | CurrentRaw=714.2 | Change=13.0 => Liquid
data,,727.2,714.0,13.2,714.0,Time=4.9s | BaseRaw=727.2 | CurrentRaw=714.0 | Change=13.2 => Liquid
data,,727.2,714.0,13.2,714.0,Time=5.0s | BaseRaw=727.2 | CurrentRaw=714.0 | Change=13.2 => Liquid
data,,727.2,714.0,13.2,714.0,Time=5.1s | BaseRaw=727.2 | CurrentRaw=714.0 | Change=13.2 => Liquid
data,,727.2,714.0,13.2,714.0,Time=5.2s | BaseRaw=727.2 | CurrentRaw=714.0 | Change=13.2 => Liquid
data,,727.2,714.0,13.2,714.0,Time=5.3s | BaseRaw=727.2 | CurrentRaw=714.0 | Change=13.2 => Liquid
data,,727.2,714.0,13.2,714.0,Time=5.4s | BaseRaw=727.2 | CurrentRaw=714.0 | Change=13.2 => Liquid
data,,727.2,714.2,13.0,714.2,Time=5.5s | BaseRaw=727.2 | CurrentRaw=714.2 | Change=13.0 => Liquid
data,,727.2,714.4,12.8,714.4,Time=5.6s | BaseRaw=727.2 | CurrentRaw=714.4 | Change=12.8 => Liquid
data,,727.2,714.6,12.6,714.6,Time=5.7s | BaseRaw=727.2 | CurrentRaw=714.6 | Change=12.6 => Liquid
data,,727.2,714.8,12.4,714.8,Time=5.8s | BaseRaw=727.2 | CurrentRaw=714.8 | Change=12.4 => Liquid
data,,727.2,714.8,12.4,714.8,Time=5.9s | BaseRaw=727.2 | CurrentRaw=714.8 | Change=12.4 => Liquid
data,,727.2,714.6,12.6,714.6,Time=6.0s | BaseRaw=727.2 | CurrentRaw=714.6 | Change=12.6 => Liquid
data,,727.2,714.4,12.8,714.4,Time=6.1s | BaseRaw=727.2 | CurrentRaw=714.4 | Change=12.8 => Liquid
data,,727.2,714.2,13.0,714.2,Time=6.2s | BaseRaw=727.2 | CurrentRaw=714.2 | Change=13.0 => Liquid
data,,727.2,714.0,13.2,714.0,Time=6.3s | BaseRaw=727.2 | CurrentRaw=714.0 | Change=13.2 => Liquid
data,,727.2,714.0,13.2,714.0,Time=6.4s | BaseRaw=727.2 | CurrentRaw=714.0 | Change=13.2 => Liquid
