record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,765.20,,,,765.20,Collecting baseline... RawAvg=765.20
baseline,765.20,,,,765.20,Collecting baseline... RawAvg=765.20
baseline,765.40,,,,765.40,Collecting baseline... RawAvg=765.40
baseline,765.60,,,,765.60,Collecting baseline... RawAvg=765.60
baseline,765.80,,,,765.80,Collecting baseline... RawAvg=765.80
baseline,765.60,,,,765.60,Collecting baseline... RawAvg=765.60
baseline,765.40,,,,765.40,Collecting baseline... RawAvg=765.40
baseline,765.00,,,,765.00,Collecting baseline... RawAvg=765.00
baseline,764.60,,,,764.60,Collecting baseline... RawAvg=764.60
baseline,764.20,,,,764.20,Collecting baseline... RawAvg=764.20
baseline,764.20,,,,764.20,Collecting baseline... RawAvg=764.20
baseline,764.40,,,,764.40,Collecting baseline... RawAvg=764.40
baseline,764.60,,,,764.60,Collecting baseline... RawAvg=764.60
baseline,764.80,,,,764.80,Collecting baseline... RawAvg=764.80
baseline,764.80,,,,764.80,Collecting baseline... RawAvg=764.80
baseline,764.40,,,,764.40,Collecting baseline... RawAvg=764.40
baseline,764.00,,,,764.00,Collecting baseline... RawAvg=764.00
baseline,763.80,,,,763.80,Collecting baseline... RawAvg=763.80
baseline,763.80,,,,763.80,Collecting baseline... RawAvg=763.80
baseline,764.20,,,,764.20,Collecting baseline... RawAvg=764.20
baseline,764.80,,,,764.80,Collecting baseline... RawAvg=764.80
baseline,765.60,,,,765.60,Collecting baseline... RawAvg=765.60
baseline,766.00,,,,766.00,Collecting baseline... RawAvg=766.00
baseline,766.00,,,,766.00,Collecting baseline... RawAvg=766.00
baseline,765.80,,,,765.80,Collecting baseline... RawAvg=765.80
baseline,765.60,,,,765.60,Collecting baseline... RawAvg=765.60
baseline,765.20,,,,765.20,Collecting baseline... RawAvg=765.20
baseline,765.20,,,,765.20,Collecting baseline... RawAvg=765.20
baseline,765.40,,,,765.40,Collecting baseline... RawAvg=765.40
baseline,765.60,,,,765.60,Collecting baseline... RawAvg=765.60
baseline,765.80,,,,765.80,Collecting baseline... RawAvg=765.80
baseline,766.00,,,,766.00,Collecting baseline... RawAvg=766.00
baseline,765.60,,,,765.60,Collecting baseline... RawAvg=765.60
baseline,765.00,,,,765.00,Collecting baseline... RawAvg=765.00
baseline,764.60,,,,764.60,Collecting baseline... RawAvg=764.60
baseline,764.40,,,,764.40,Collecting baseline... RawAvg=764.40
baseline,764.60,,,,764.60,Collecting baseline... RawAvg=764.60
baseline,765.20,,,,765.20,Collecting baseline... RawAvg=765.20
baseline,766.00,,,,766.00,Collecting baseline... RawAvg=766.00
baseline,766.40,,,,766.40,Collecting baseline... RawAvg=766.40
baseline,766.60,,,,766.60,Collecting baseline... RawAvg=766.60
baseline,766.40,,,,766.40,Collecting baseline... RawAvg=766.40
baseline,766.20,,,,766.20,Collecting baseline... RawAvg=766.20
baseline,766.20,,,,766.20,Collecting baseline... RawAvg=766.20
baseline,766.40,,,,766.40,Collecting baseline... RawAvg=766.40
baseline,766.60,,,,766.60,Collecting baseline... RawAvg=766.60
baseline,766.80,,,,766.80,Collecting baseline... RawAvg=766.80
baseline,767.20,,,,767.20,Collecting baseline... RawAvg=767.20
baseline,767.20,,,,767.20,Collecting baseline... RawAvg=767.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,765.38,,,765.38,Final Base Raw Average = 765.38
info,,,,,,--------------------------------------------------------------------------
data,,765.4,766.4,1.0,766.4,Time=0.1s | BaseRaw=765.4 | CurrentRaw=766.4 | Change=1.0 => Floor
data,,765.4,766.4,1.0,766.4,Time=0.2s | BaseRaw=765.4 | CurrentRaw=766.4 | Change=1.0 => Floor
data,,765.4,766.0,0.6,766.0,Time=0.3s | BaseRaw=765.4 | CurrentRaw=766.0 | Change=0.6 => Floor
data,,765.4,765.8,0.4,765.8,Time=0.4s | BaseRaw=765.4 | CurrentRaw=765.8 | Change=0.4 => Floor
data,,765.4,766.2,0.8,766.2,Time=0.5s | BaseRaw=765.4 | CurrentRaw=766.2 | Change=0.8 => Floor
data,,765.4,766.2,0.8,766.2,Time=0.6s | BaseRaw=765.4 | CurrentRaw=766.2 | Change=0.8 => Floor
data,,765.4,766.2,0.8,766.2,Time=0.7s | BaseRaw=765.4 | CurrentRaw=766.2 | Change=0.8 => Floor
data,,765.4,766.0,0.6,766.0,Time=0.8s | BaseRaw=765.4 | CurrentRaw=766.0 | Change=0.6 => Floor
data,,765.4,766.0,0.6,766.0,Time=0.9s | BaseRaw=765.4 | CurrentRaw=766.0 | Change=0.6 => Floor
data,,765.4,765.8,0.4,765.8,Time=1.0s | BaseRaw=765.4 | CurrentRaw=765.8 | Change=0.4 => Floor
data,,765.4,765.8,0.4,765.8,Time=1.1s | BaseRaw=765.4 | CurrentRaw=765.8 | Change=0.4 => Floor
data,,765.4,765.8,0.4,765.8,Time=1.2s | BaseRaw=765.4 | CurrentRaw=765.8 | Change=0.4 => Floor
data,,765.4,765.8,0.4,765.8,Time=1.3s | BaseRaw=765.4 | CurrentRaw=765.8 | Change=0.4 => Floor
data,,765.4,766.0,0.6,766.0,Time=1.4s | BaseRaw=765.4 | CurrentRaw=766.0 | Change=0.6 => Floor
data,,765.4,766.0,0.6,766.0,Time=1.5s | BaseRaw=765.4 | CurrentRaw=766.0 | Change=0.6 => Floor
data,,765.4,766.0,0.6,766.0,Time=1.6s | BaseRaw=765.4 | CurrentRaw=766.0 | Change=0.6 => Floor
data,,765.4,766.0,0.6,766.0,Time=1.7s | BaseRaw=765.4 | CurrentRaw=766.0 | Change=0.6 => Floor
data,,765.4,766.0,0.6,766.0,Time=1.8s | BaseRaw=765.4 | CurrentRaw=766.0 | Change=0.6 => Floor
data,,765.4,766.6,1.2,766.6,Time=1.9s | BaseRaw=765.4 | CurrentRaw=766.6 | Change=1.2 => Floor
data,,765.4,767.2,1.8,767.2,Time=2.0s | BaseRaw=765.4 | CurrentRaw=767.2 | Change=1.8 => Floor
data,,765.4,768.0,2.6,768.0,Time=2.1s | BaseRaw=765.4 | CurrentRaw=768.0 | Change=2.6 => Floor
data,,765.4,768.0,2.6,768.0,Time=2.2s | BaseRaw=765.4 | CurrentRaw=768.0 | Change=2.6 => Floor
data,,765.4,768.4,3.0,768.4,Time=2.3s | BaseRaw=765.4 | CurrentRaw=768.4 | Change=3.0 => Floor
data,,765.4,767.8,2.4,767.8,Time=2.4s | BaseRaw=765.4 | CurrentRaw=767.8 | Change=2.4 => Floor
data,,765.4,767.0,1.6,767.0,Time=2.5s | BaseRaw=765.4 | CurrentRaw=767.0 | Change=1.6 => Floor
data,,765.4,766.6,1.2,766.6,Time=2.6s | BaseRaw=765.4 | CurrentRaw=766.6 | Change=1.2 => Floor
data,,765.4,766.4,1.0,766.4,Time=2.7s | BaseRaw=765.4 | CurrentRaw=766.4 | Change=1.0 => Floor
data,,765.4,766.2,0.8,766.2,Time=2.8s | BaseRaw=765.4 | CurrentRaw=766.2 | Change=0.8 => Floor
data,,765.4,766.2,0.8,766.2,Time=2.9s | BaseRaw=765.4 | CurrentRaw=766.2 | Change=0.8 => Floor
data,,765.4,766.2,0.8,766.2,Time=3.0s | BaseRaw=765.4 | CurrentRaw=766.2 | Change=0.8 => Floor
data,,765.4,766.2,0.8,766.2,Time=3.1s | BaseRaw=765.4 | CurrentRaw=766.2 | Change=0.8 => Floor
data,,765.4,766.2,0.8,766.2,Time=3.2s | BaseRaw=765.4 | CurrentRaw=766.2 | Change=0.8 => Floor
data,,765.4,766.4,1.0,766.4,Time=3.3s | BaseRaw=765.4 | CurrentRaw=766.4 | Change=1.0 => Floor
data,,765.4,766.4,1.0,766.4,Time=3.4s | BaseRaw=765.4 | CurrentRaw=766.4 | Change=1.0 => Floor
data,,765.4,766.6,1.2,766.6,Time=3.5s | BaseRaw=765.4 | CurrentRaw=766.6 | Change=1.2 => Floor
data,,765.4,766.6,1.2,766.6,Time=3.6s | BaseRaw=765.4 | CurrentRaw=766.6 | Change=1.2 => Floor
data,,765.4,766.4,1.0,766.4,Time=3.7s | BaseRaw=765.4 | CurrentRaw=766.4 | Change=1.0 => Floor
data,,765.4,766.4,1.0,766.4,Time=3.8s | BaseRaw=765.4 | CurrentRaw=766.4 | Change=1.0 => Floor
data,,765.4,766.4,1.0,766.4,Time=3.9s | BaseRaw=765.4 | CurrentRaw=766.4 | Change=1.0 => Floor
data,,765.4,766.6,1.2,766.6,Time=4.0s | BaseRaw=765.4 | CurrentRaw=766.6 | Change=1.2 => Floor
data,,765.4,766.6,1.2,766.6,Time=4.1s | BaseRaw=765.4 | CurrentRaw=766.6 | Change=1.2 => Floor
data,,765.4,766.8,1.4,766.8,Time=4.2s | BaseRaw=765.4 | CurrentRaw=766.8 | Change=1.4 => Floor
data,,765.4,767.2,1.8,767.2,Time=4.3s | BaseRaw=765.4 | CurrentRaw=767.2 | Change=1.8 => Floor
data,,765.4,767.0,1.6,767.0,Time=4.4s | BaseRaw=765.4 | CurrentRaw=767.0 | Change=1.6 => Floor
data,,765.4,767.0,1.6,767.0,Time=4.5s | BaseRaw=765.4 | CurrentRaw=767.0 | Change=1.6 => Floor
data,,765.4,767.4,2.0,767.4,Time=4.6s | BaseRaw=765.4 | CurrentRaw=767.4 | Change=2.0 => Floor
data,,765.4,767.8,2.4,767.8,Time=4.7s | BaseRaw=765.4 | CurrentRaw=767.8 | Change=2.4 => Floor
data,,765.4,768.0,2.6,768.0,Time=4.8s | BaseRaw=765.4 | CurrentRaw=768.0 | Change=2.6 => Floor
data,,765.4,768.6,3.2,768.6,Time=4.9s | BaseRaw=765.4 | CurrentRaw=768.6 | Change=3.2 => Floor
data,,765.4,769.2,3.8,769.2,Time=5.0s | BaseRaw=765.4 | CurrentRaw=769.2 | Change=3.8 => Floor
data,,765.4,769.0,3.6,769.0,Time=5.1s | BaseRaw=765.4 | CurrentRaw=769.0 | Change=3.6 => Floor
data,,765.4,769.0,3.6,769.0,Time=5.2s | BaseRaw=765.4 | CurrentRaw=769.0 | Change=3.6 => Floor
data,,765.4,768.8,3.4,768.8,Time=5.3s | BaseRaw=765.4 | CurrentRaw=768.8 | Change=3.4 => Floor
data,,765.4,768.4,3.0,768.4,Time=5.4s | BaseRaw=765.4 | CurrentRaw=768.4 | Change=3.0 => Floor
data,,765.4,768.4,3.0,768.4,Time=5.5s | BaseRaw=765.4 | CurrentRaw=768.4 | Change=3.0 => Floor
data,,765.4,768.6,3.2,768.6,Time=5.6s | BaseRaw=765.4 | CurrentRaw=768.6 | Change=3.2 => Floor
data,,765.4,768.6,3.2,768.6,Time=5.7s | BaseRaw=765.4 | CurrentRaw=768.6 | Change=3.2 => Floor
data,,765.4,768.2,2.8,768.2,Time=5.8s | BaseRaw=765.4 | CurrentRaw=768.2 | Change=2.8 => Floor
data,,765.4,767.6,2.2,767.6,Time=5.9s | BaseRaw=765.4 | CurrentRaw=767.6 | Change=2.2 => Floor
data,,765.4,767.6,2.2,767.6,Time=6.0s | BaseRaw=765.4 | CurrentRaw=767.6 | Change=2.2 => Floor
data,,765.4,765.8,0.4,765.8,Time=6.1s | BaseRaw=765.4 | CurrentRaw=765.8 | Change=0.4 => Floor
data,,765.4,763.8,1.6,763.8,Time=6.2s | BaseRaw=765.4 | CurrentRaw=763.8 | Change=1.6 => Floor
data,,765.4,758.6,6.8,758.6,Time=6.3s | BaseRaw=765.4 | CurrentRaw=758.6 | Change=6.8 => Floor
data,,765.4,753.0,12.4,753.0,Time=6.4s | BaseRaw=765.4 | CurrentRaw=753.0 | Change=12.4 => Liquid
data,,765.4,746.0,19.4,746.0,Time=6.5s | BaseRaw=765.4 | CurrentRaw=746.0 | Change=19.4 => Liquid
