record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,848.40,,,,848.40,Collecting baseline... RawAvg=848.40
baseline,848.60,,,,848.60,Collecting baseline... RawAvg=848.60
baseline,848.60,,,,848.60,Collecting baseline... RawAvg=848.60
baseline,849.00,,,,849.00,Collecting baseline... RawAvg=849.00
baseline,849.00,,,,849.00,Collecting baseline... RawAvg=849.00
baseline,849.20,,,,849.20,Collecting baseline... RawAvg=849.20
baseline,849.20,,,,849.20,Collecting baseline... RawAvg=849.20
baseline,849.20,,,,849.20,Collecting baseline... RawAvg=849.20
baseline,849.00,,,,849.00,Collecting baseline... RawAvg=849.00
baseline,849.00,,,,849.00,Collecting baseline... RawAvg=849.00
baseline,849.00,,,,849.00,Collecting baseline... RawAvg=849.00
baseline,849.00,,,,849.00,Collecting baseline... RawAvg=849.00
baseline,849.00,,,,849.00,Collecting baseline... RawAvg=849.00
baseline,849.00,,,,849.00,Collecting baseline... RawAvg=849.00
baseline,849.00,,,,849.00,Collecting baseline... RawAvg=849.00
baseline,849.20,,,,849.20,Collecting baseline... RawAvg=849.20
baseline,849.20,,,,849.20,Collecting baseline... RawAvg=849.20
baseline,849.20,,,,849.20,Collecting baseline... RawAvg=849.20
baseline,849.20,,,,849.20,Collecting baseline... RawAvg=849.20
baseline,849.20,,,,849.20,Collecting baseline... RawAvg=849.20
baseline,849.00,,,,849.00,Collecting baseline... RawAvg=849.00
baseline,849.00,,,,849.00,Collecting baseline... RawAvg=849.00
baseline,849.00,,,,849.00,Collecting baseline... RawAvg=849.00
baseline,849.00,,,,849.00,Collecting baseline... RawAvg=849.00
baseline,849.20,,,,849.20,Collecting baseline... RawAvg=849.20
baseline,849.20,,,,849.20,Collecting baseline... RawAvg=849.20
baseline,849.20,,,,849.20,Collecting baseline... RawAvg=849.20
baseline,849.20,,,,849.20,Collecting baseline... RawAvg=849.20
baseline,849.20,,,,849.20,Collecting baseline... RawAvg=849.20
baseline,849.00,,,,849.00,Collecting baseline... RawAvg=849.00
baseline,849.00,,,,849.00,Collecting baseline... RawAvg=849.00
baseline,849.00,,,,849.00,Collecting baseline... RawAvg=849.00
baseline,849.20,,,,849.20,Collecting baseline... RawAvg=849.20
baseline,849.20,,,,849.20,Collecting baseline... RawAvg=849.20
baseline,849.20,,,,849.20,Collecting baseline... RawAvg=849.20
baseline,849.40,,,,849.40,Collecting baseline... RawAvg=849.40
baseline,849.40,,,,849.40,Collecting baseline... RawAvg=849.40
baseline,849.20,,,,849.20,Collecting baseline... RawAvg=849.20
baseline,849.20,,,,849.20,Collecting baseline... RawAvg=849.20
baseline,849.20,,,,849.20,Collecting baseline... RawAvg=849.20
baseline,849.00,,,,849.00,Collecting baseline... RawAvg=849.00
baseline,849.00,,,,849.00,Collecting baseline... RawAvg=849.00
baseline,849.00,,,,849.00,Collecting baseline... RawAvg=849.00
baseline,849.20,,,,849.20,Collecting baseline... RawAvg=849.20
baseline,849.20,,,,849.20,Collecting baseline... RawAvg=849.20
baseline,849.20,,,,849.20,Collecting baseline... RawAvg=849.20
baseline,849.40,,,,849.40,Collecting baseline... RawAvg=849.40
baseline,849.40,,,,849.40,Collecting baseline... RawAvg=849.40
baseline,849.20,,,,849.20,Collecting baseline... RawAvg=849.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,849.10,,,849.10,Final Base Raw Average = 849.10
info,,,,,,--------------------------------------------------------------------------
data,,849.1,849.2,0.1,849.2,Time=0.1s | BaseRaw=849.1 | CurrentRaw=849.2 | Change=0.1 => Floor
data,,849.1,849.2,0.1,849.2,Time=0.2s | BaseRaw=849.1 | CurrentRaw=849.2 | Change=0.1 => Floor
data,,849.1,849.2,0.1,849.2,Time=0.3s | BaseRaw=849.1 | CurrentRaw=849.2 | Change=0.1 => Floor
data,,849.1,849.0,0.1,849.0,Time=0.4s | BaseRaw=849.1 | CurrentRaw=849.0 | Change=0.1 => Floor
data,,849.1,849.0,0.1,849.0,Time=0.5s | BaseRaw=849.1 | CurrentRaw=849.0 | Change=0.1 => Floor
data,,849.1,849.0,0.1,849.0,Time=0.6s | BaseRaw=849.1 | CurrentRaw=849.0 | Change=0.1 => Floor
data,,849.1,848.8,0.3,848.8,Time=0.7s | BaseRaw=849.1 | CurrentRaw=848.8 | Change=0.3 => Floor
data,,849.1,848.8,0.3,848.8,Time=0.8s | BaseRaw=849.1 | CurrentRaw=848.8 | Change=0.3 => Floor
data,,849.1,849.2,0.1,849.2,Time=0.9s | BaseRaw=849.1 | CurrentRaw=849.2 | Change=0.1 => Floor
data,,849.1,849.2,0.1,849.2,Time=1.0s | BaseRaw=849.1 | CurrentRaw=849.2 | Change=0.1 => Floor
data,,849.1,849.2,0.1,849.2,Time=1.1s | BaseRaw=849.1 | CurrentRaw=849.2 | Change=0.1 => Floor
data,,849.1,849.2,0.1,849.2,Time=1.2s | BaseRaw=849.1 | CurrentRaw=849.2 | Change=0.1 => Floor
data,,849.1,849.4,0.3,849.4,Time=1.3s | BaseRaw=849.1 | CurrentRaw=849.4 | Change=0.3 => Floor
data,,849.1,849.4,0.3,849.4,Time=1.4s | BaseRaw=849.1 | CurrentRaw=849.4 | Change=0.3 => Floor
data,,849.1,849.4,0.3,849.4,Time=1.5s | BaseRaw=849.1 | CurrentRaw=849.4 | Change=0.3 => Floor
data,,849.1,849.4,0.3,849.4,Time=1.6s | BaseRaw=849.1 | CurrentRaw=849.4 | Change=0.3 => Floor
data,,849.1,849.4,0.3,849.4,Time=1.7s | BaseRaw=849.1 | CurrentRaw=849.4 | Change=0.3 => Floor
data,,849.1,849.0,0.1,849.0,Time=1.8s | BaseRaw=849.1 | CurrentRaw=849.0 | Change=0.1 => Floor
data,,849.1,848.8,0.3,848.8,Time=1.9s | BaseRaw=849.1 | CurrentRaw=848.8 | Change=0.3 => Floor
data,,849.1,848.6,0.5,848.6,Time=2.0s | BaseRaw=849.1 | CurrentRaw=848.6 | Change=0.5 => Floor
data,,849.1,848.8,0.3,848.8,Time=2.1s | BaseRaw=849.1 | CurrentRaw=848.8 | Change=0.3 => Floor
data,,849.1,848.8,0.3,848.8,Time=2.2s | BaseRaw=849.1 | CurrentRaw=848.8 | Change=0.3 => Floor
data,,849.1,849.0,0.1,849.0,Time=2.3s | BaseRaw=849.1 | CurrentRaw=849.0 | Change=0.1 => Floor
data,,849.1,849.0,0.1,849.0,Time=2.4s | BaseRaw=849.1 | CurrentRaw=849.0 | Change=0.1 => Floor
data,,849.1,849.0,0.1,849.0,Time=2.5s | BaseRaw=849.1 | CurrentRaw=849.0 | Change=0.1 => Floor
data,,849.1,848.8,0.3,848.8,Time=2.6s | BaseRaw=849.1 | CurrentRaw=848.8 | Change=0.3 => Floor
data,,849.1,848.8,0.3,848.8,Time=2.7s | BaseRaw=849.1 | CurrentRaw=848.8 | Change=0.3 => Floor
data,,849.1,848.8,0.3,848.8,Time=2.8s | BaseRaw=849.1 | CurrentRaw=848.8 | Change=0.3 => Floor
data,,849.1,848.8,0.3,848.8,Time=2.9s | BaseRaw=849.1 | CurrentRaw=848.8 | Change=0.3 => Floor
data,,849.1,848.8,0.3,848.8,Time=3.0s | BaseRaw=849.1 | CurrentRaw=848.8 | Change=0.3 => Floor
data,,849.1,848.8,0.3,848.8,Time=3.1s | BaseRaw=849.1 | CurrentRaw=848.8 | Change=0.3 => Floor
data,,849.1,848.8,0.3,848.8,Time=3.2s | BaseRaw=849.1 | CurrentRaw=848.8 | Change=0.3 => Floor
data,,849.1,849.0,0.1,849.0,Time=3.3s | BaseRaw=849.1 | CurrentRaw=849.0 | Change=0.1 => Floor
data,,849.1,849.0,0.1,849.0,Time=3.4s | BaseRaw=849.1 | CurrentRaw=849.0 | Change=0.1 => Floor
data,,849.1,849.0,0.1,849.0,Time=3.5s | BaseRaw=849.1 | CurrentRaw=849.0 | Change=0.1 => Floor
data,,849.1,849.0,0.1,849.0,Time=3.6s | BaseRaw=849.1 | CurrentRaw=849.0 | Change=0.1 => Floor
data,,849.1,849.0,0.1,849.0,Time=3.7s | BaseRaw=849.1 | CurrentRaw=849.0 | Change=0.1 => Floor
data,,849.1,848.8,0.3,848.8,Time=3.8s | BaseRaw=849.1 | CurrentRaw=848.8 | Change=0.3 => Floor
data,,849.1,848.6,0.5,848.6,Time=3.9s | BaseRaw=849.1 | CurrentRaw=848.6 | Change=0.5 => Floor
data,,849.1,848.8,0.3,848.8,Time=4.0s | BaseRaw=849.1 | CurrentRaw=848.8 | Change=0.3 => Floor
data,,849.1,848.8,0.3,848.8,Time=4.1s | BaseRaw=849.1 | CurrentRaw=848.8 | Change=0.3 => Floor
data,,849.1,848.8,0.3,848.8,Time=4.2s | BaseRaw=849.1 | CurrentRaw=848.8 | Change=0.3 => Floor
data,,849.1,848.8,0.3,848.8,Time=4.3s | BaseRaw=849.1 | CurrentRaw=848.8 | Change=0.3 => Floor
data,,849.1,849.2,0.1,849.2,Time=4.4s | BaseRaw=849.1 | CurrentRaw=849.2 | Change=0.1 => Floor
data,,849.1,849.0,0.1,849.0,Time=4.5s | BaseRaw=849.1 | CurrentRaw=849.0 | Change=0.1 => Floor
data,,849.1,849.0,0.1,849.0,Time=4.6s | BaseRaw=849.1 | CurrentRaw=849.0 | Change=0.1 => Floor
data,,849.1,849.0,0.1,849.0,Time=4.7s | BaseRaw=849.1 | CurrentRaw=849.0 | Change=0.1 => Floor
data,,849.1,848.8,0.3,848.8,Time=4.8s | BaseRaw=849.1 | CurrentRaw=848.8 | Change=0.3 => Floor
data,,849.1,848.6,0.5,848.6,Time=4.9s | BaseRaw=849.1 | CurrentRaw=848.6 | Change=0.5 => Floor
data,,849.1,848.8,0.3,848.8,Time=5.0s | BaseRaw=849.1 | CurrentRaw=848.8 | Change=0.3 => Floor
data,,849.1,848.8,0.3,848.8,Time=5.1s | BaseRaw=849.1 | CurrentRaw=848.8 | Change=0.3 => Floor
data,,849.1,848.6,0.5,848.6,Time=5.2s | BaseRaw=849.1 | CurrentRaw=848.6 | Change=0.5 => Floor
data,,849.1,849.0,0.1,849.0,Time=5.3s | BaseRaw=849.1 | CurrentRaw=849.0 | Change=0.1 => Floor
data,,849.1,849.2,0.1,849.2,Time=5.4s | BaseRaw=849.1 | CurrentRaw=849.2 | Change=0.1 => Floor
data,,849.1,849.4,0.3,849.4,Time=5.5s | BaseRaw=849.1 | CurrentRaw=849.4 | Change=0.3 => Floor
data,,849.1,848.8,0.3,848.8,Time=5.6s | BaseRaw=849.1 | CurrentRaw=848.8 | Change=0.3 => Floor
data,,849.1,847.4,1.7,847.4,Time=5.7s | BaseRaw=849.1 | CurrentRaw=847.4 | Change=1.7 => Floor
data,,849.1,843.4,5.7,843.4,Time=5.8s | BaseRaw=849.1 | CurrentRaw=843.4 | Change=5.7 => Floor
data,,849.1,836.4,12.7,836.4,Time=5.9s | BaseRaw=849.1 | CurrentRaw=836.4 | Change=12.7 => Liquid
data,,849.1,828.8,20.3,828.8,Time=6.0s | BaseRaw=849.1 | CurrentRaw=828.8 | Change=20.3 => Liquid
data,,849.1,822.0,27.1,822.0,Time=6.1s | BaseRaw=849.1 | CurrentRaw=822.0 | Change=27.1 => Liquid
data,,849.1,816.2,32.9,816.2,Time=6.2s | BaseRaw=849.1 | CurrentRaw=816.2 | Change=32.9 => Liquid
data,,849.1,812.8,36.3,812.8,Time=6.3s | BaseRaw=849.1 | CurrentRaw=812.8 | Change=36.3 => Liquid
data,,849.1,812.4,36.7,812.4,Time=6.4s | BaseRaw=849.1 | CurrentRaw=812.4 | Change=36.7 => Liquid
data,,849.1,812.6,36.5,812.6,Time=6.5s | BaseRaw=849.1 | CurrentRaw=812.6 | Change=36.5 => Liquid
