record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,750.00,,,,750.00,Collecting baseline... RawAvg=750.00
baseline,750.00,,,,750.00,Collecting baseline... RawAvg=750.00
baseline,750.20,,,,750.20,Collecting baseline... RawAvg=750.20
baseline,750.20,,,,750.20,Collecting baseline... RawAvg=750.20
baseline,750.20,,,,750.20,Collecting baseline... RawAvg=750.20
baseline,750.20,,,,750.20,Collecting baseline... RawAvg=750.20
baseline,750.40,,,,750.40,Collecting baseline... RawAvg=750.40
baseline,750.40,,,,750.40,Collecting baseline... RawAvg=750.40
baseline,750.60,,,,750.60,Collecting baseline... RawAvg=750.60
baseline,750.80,,,,750.80,Collecting baseline... RawAvg=750.80
baseline,751.00,,,,751.00,Collecting baseline... RawAvg=751.00
baseline,751.20,,,,751.20,Collecting baseline... RawAvg=751.20
baseline,751.40,,,,751.40,Collecting baseline... RawAvg=751.40
baseline,751.80,,,,751.80,Collecting baseline... RawAvg=751.80
baseline,752.00,,,,752.00,Collecting baseline... RawAvg=752.00
baseline,752.20,,,,752.20,Collecting baseline... RawAvg=752.20
baseline,752.20,,,,752.20,Collecting baseline... RawAvg=752.20
baseline,752.20,,,,752.20,Collecting baseline... RawAvg=752.20
baseline,752.00,,,,752.00,Collecting baseline... RawAvg=752.00
baseline,751.80,,,,751.80,Collecting baseline... RawAvg=751.80
baseline,751.60,,,,751.60,Collecting baseline... RawAvg=751.60
baseline,751.40,,,,751.40,Collecting baseline... RawAvg=751.40
baseline,751.20,,,,751.20,Collecting baseline... RawAvg=751.20
baseline,750.80,,,,750.80,Collecting baseline... RawAvg=750.80
baseline,750.60,,,,750.60,Collecting baseline... RawAvg=750.60
baseline,751.00,,,,751.00,Collecting baseline... RawAvg=751.00
baseline,751.80,,,,751.80,Collecting baseline... RawAvg=751.80
baseline,752.80,,,,752.80,Collecting baseline... RawAvg=752.80
baseline,754.00,,,,754.00,Collecting baseline... RawAvg=754.00
baseline,755.40,,,,755.40,Collecting baseline... RawAvg=755.40
baseline,756.00,,,,756.00,Collecting baseline... RawAvg=756.00
baseline,756.40,,,,756.40,Collecting baseline... RawAvg=756.40
baseline,756.60,,,,756.60,Collecting baseline... RawAvg=756.60
baseline,756.80,,,,756.80,Collecting baseline... RawAvg=756.80
baseline,756.80,,,,756.80,Collecting baseline... RawAvg=756.80
baseline,757.00,,,,757.00,Collecting baseline... RawAvg=757.00
baseline,757.00,,,,757.00,Collecting baseline... RawAvg=757.00
baseline,757.00,,,,757.00,Collecting baseline... RawAvg=757.00
baseline,757.00,,,,757.00,Collecting baseline... RawAvg=757.00
baseline,757.20,,,,757.20,Collecting baseline... RawAvg=757.20
baseline,757.20,,,,757.20,Collecting baseline... RawAvg=757.20
baseline,757.20,,,,757.20,Collecting baseline... RawAvg=757.20
baseline,757.20,,,,757.20,Collecting baseline... RawAvg=757.20
baseline,757.20,,,,757.20,Collecting baseline... RawAvg=757.20
baseline,757.00,,,,757.00,Collecting baseline... RawAvg=757.00
baseline,757.00,,,,757.00,Collecting baseline... RawAvg=757.00
baseline,756.80,,,,756.80,Collecting baseline... RawAvg=756.80
baseline,756.60,,,,756.60,Collecting baseline... RawAvg=756.60
baseline,756.60,,,,756.60,Collecting baseline... RawAvg=756.60
info,,,,,,Baseline collection complete! Starting detection.
final_base,,753.51,,,753.51,Final Base Raw Average = 753.51
info,,,,,,--------------------------------------------------------------------------
data,,753.5,756.6,3.1,756.6,Time=0.1s | BaseRaw=753.5 | CurrentRaw=756.6 | Change=3.1 => Floor
data,,753.5,756.8,3.3,756.8,Time=0.2s | BaseRaw=753.5 | CurrentRaw=756.8 | Change=3.3 => Floor
data,,753.5,757.0,3.5,757.0,Time=0.3s | BaseRaw=753.5 | CurrentRaw=757.0 | Change=3.5 => Floor
data,,753.5,757.0,3.5,757.0,Time=0.4s | BaseRaw=753.5 | CurrentRaw=757.0 | Change=3.5 => Floor
data,,753.5,757.2,3.7,757.2,Time=0.5s | BaseRaw=753.5 | CurrentRaw=757.2 | Change=3.7 => Floor
data,,753.5,757.2,3.7,757.2,Time=0.6s | BaseRaw=753.5 | CurrentRaw=757.2 | Change=3.7 => Floor
data,,753.5,757.2,3.7,757.2,Time=0.7s | BaseRaw=753.5 | CurrentRaw=757.2 | Change=3.7 => Floor
data,,753.5,757.2,3.7,757.2,Time=0.8s | BaseRaw=753.5 | CurrentRaw=757.2 | Change=3.7 => Floor
data,,753.5,757.2,3.7,757.2,Time=0.9s | BaseRaw=753.5 | CurrentRaw=757.2 | Change=3.7 => Floor
data,,753.5,757.0,3.5,757.0,Time=1.0s | BaseRaw=753.5 | CurrentRaw=757.0 | Change=3.5 => Floor
data,,753.5,757.0,3.5,757.0,Time=1.1s | BaseRaw=753.5 | CurrentRaw=757.0 | Change=3.5 => Floor
data,,753.5,757.2,3.7,757.2,Time=1.2s | BaseRaw=753.5 | CurrentRaw=757.2 | Change=3.7 => Floor
data,,753.5,757.2,3.7,757.2,Time=1.3s | BaseRaw=753.5 | CurrentRaw=757.2 | Change=3.7 => Floor
data,,753.5,757.2,3.7,757.2,Time=1.4s | BaseRaw=753.5 | CurrentRaw=757.2 | Change=3.7 => Floor
data,,753.5,757.2,3.7,757.2,Time=1.5s | BaseRaw=753.5 | CurrentRaw=757.2 | Change=3.7 => Floor
data,,753.5,757.2,3.7,757.2,Time=1.6s | BaseRaw=753.5 | CurrentRaw=757.2 | Change=3.7 => Floor
data,,753.5,757.0,3.5,757.0,Time=1.7s | BaseRaw=753.5 | CurrentRaw=757.0 | Change=3.5 => Floor
data,,753.5,757.0,3.5,757.0,Time=1.8s | BaseRaw=753.5 | CurrentRaw=757.0 | Change=3.5 => Floor
data,,753.5,757.0,3.5,757.0,Time=1.9s | BaseRaw=753.5 | CurrentRaw=757.0 | Change=3.5 => Floor
data,,753.5,757.0,3.5,757.0,Time=2.0s | BaseRaw=753.5 | CurrentRaw=757.0 | Change=3.5 => Floor
data,,753.5,757.0,3.5,757.0,Time=2.1s | BaseRaw=753.5 | CurrentRaw=757.0 | Change=3.5 => Floor
data,,753.5,757.0,3.5,757.0,Time=2.2s | BaseRaw=753.5 | CurrentRaw=757.0 | Change=3.5 => Floor
data,,753.5,757.0,3.5,757.0,Time=2.3s | BaseRaw=753.5 | CurrentRaw=757.0 | Change=3.5 => Floor
data,,753.5,757.0,3.5,757.0,Time=2.4s | BaseRaw=753.5 | CurrentRaw=757.0 | Change=3.5 => Floor
data,,753.5,757.0,3.5,757.0,Time=2.5s | BaseRaw=753.5 | CurrentRaw=757.0 | Change=3.5 => Floor
data,,753.5,757.0,3.5,757.0,Time=2.6s | BaseRaw=753.5 | CurrentRaw=757.0 | Change=3.5 => Floor
data,,753.5,757.0,3.5,757.0,Time=2.7s | BaseRaw=753.5 | CurrentRaw=757.0 | Change=3.5 => Floor
data,,753.5,757.0,3.5,757.0,Time=2.8s | BaseRaw=753.5 | CurrentRaw=757.0 | Change=3.5 => Floor
data,,753.5,757.0,3.5,757.0,Time=2.9s | BaseRaw=753.5 | CurrentRaw=757.0 | Change=3.5 => Floor
data,,753.5,757.0,3.5,757.0,Time=3.0s | BaseRaw=753.5 | CurrentRaw=757.0 | Change=3.5 => Floor
data,,753.5,757.0,3.5,757.0,Time=3.1s | BaseRaw=753.5 | CurrentRaw=757.0 | Change=3.5 => Floor
data,,753.5,757.0,3.5,757.0,Time=3.2s | BaseRaw=753.5 | CurrentRaw=757.0 | Change=3.5 => Floor
data,,753.5,757.0,3.5,757.0,Time=3.3s | BaseRaw=753.5 | CurrentRaw=757.0 | Change=3.5 => Floor
data,,753.5,757.0,3.5,757.0,Time=3.4s | BaseRaw=753.5 | CurrentRaw=757.0 | Change=3.5 => Floor
data,,753.5,757.0,3.5,757.0,Time=3.5s | BaseRaw=753.5 | CurrentRaw=757.0 | Change=3.5 => Floor
data,,753.5,757.0,3.5,757.0,Time=3.6s | BaseRaw=753.5 | CurrentRaw=757.0 | Change=3.5 => Floor
data,,753.5,757.0,3.5,757.0,Time=3.7s | BaseRaw=753.5 | CurrentRaw=757.0 | Change=3.5 => Floor
data,,753.5,756.8,3.3,756.8,Time=3.8s | BaseRaw=753.5 | CurrentRaw=756.8 | Change=3.3 => Floor
data,,753.5,756.6,3.1,756.6,Time=3.9s | BaseRaw=753.5 | CurrentRaw=756.6 | Change=3.1 => Floor
data,,753.5,756.4,2.9,756.4,Time=4.0s | BaseRaw=753.5 | CurrentRaw=756.4 | Change=2.9 => Floor
data,,753.5,756.2,2.7,756.2,Time=4.1s | BaseRaw=753.5 | CurrentRaw=756.2 | Change=2.7 => Floor
data,,753.5,756.0,2.5,756.0,Time=4.2s | BaseRaw=753.5 | CurrentRaw=756.0 | Change=2.5 => Floor
data,,753.5,756.0,2.5,756.0,Time=4.3s | BaseRaw=753.5 | CurrentRaw=756.0 | Change=2.5 => Floor
data,,753.5,756.2,2.7,756.2,Time=4.4s | BaseRaw=753.5 | CurrentRaw=756.2 | Change=2.7 => Floor
data,,753.5,756.2,2.7,756.2,Time=4.5s | BaseRaw=753.5 | CurrentRaw=756.2 | Change=2.7 => Floor
data,,753.5,756.4,2.9,756.4,Time=4.6s | BaseRaw=753.5 | CurrentRaw=756.4 | Change=2.9 => Floor
data,,753.5,757.0,3.5,757.0,Time=4.7s | BaseRaw=753.5 | CurrentRaw=757.0 | Change=3.5 => Floor
data,,753.5,757.0,3.5,757.0,Time=4.8s | BaseRaw=753.5 | CurrentRaw=757.0 | Change=3.5 => Floor
data,,753.5,756.6,3.1,756.6,Time=4.9s | BaseRaw=753.5 | CurrentRaw=756.6 | Change=3.1 => Floor
data,,753.5,757.4,3.9,757.4,Time=5.0s | BaseRaw=753.5 | CurrentRaw=757.4 | Change=3.9 => Floor
data,,753.5,759.0,5.5,759.0,Time=5.1s | BaseRaw=753.5 | CurrentRaw=759.0 | Change=5.5 => Floor
data,,753.5,759.8,6.3,759.8,Time=5.2s | BaseRaw=753.5 | CurrentRaw=759.8 | Change=6.3 => Floor
data,,753.5,762.6,9.1,762.6,Time=5.3s | BaseRaw=753.5 | CurrentRaw=762.6 | Change=9.1 => Floor
data,,753.5,765.8,12.3,765.8,Time=5.4s | BaseRaw=753.5 | CurrentRaw=765.8 | Change=12.3 => Liquid
data,,753.5,768.0,14.5,768.0,Time=5.5s | BaseRaw=753.5 | CurrentRaw=768.0 | Change=14.5 => Liquid
data,,753.5,769.2,15.7,769.2,Time=5.6s | BaseRaw=753.5 | CurrentRaw=769.2 | Change=15.7 => Liquid
data,,753.5,770.6,17.1,770.6,Time=5.7s | BaseRaw=753.5 | CurrentRaw=770.6 | Change=17.1 => Liquid
data,,753.5,770.8,17.3,770.8,Time=5.8s | BaseRaw=753.5 | CurrentRaw=770.8 | Change=17.3 => Liquid
data,,753.5,770.8,17.3,770.8,Time=5.9s | BaseRaw=753.5 | CurrentRaw=770.8 | Change=17.3 => Liquid
data,,753.5,770.8,17.3,770.8,Time=6.0s | BaseRaw=753.5 | CurrentRaw=770.8 | Change=17.3 => Liquid
data,,753.5,770.6,17.1,770.6,Time=6.1s | BaseRaw=753.5 | CurrentRaw=770.6 | Change=17.1 => Liquid
data,,753.5,770.6,17.1,770.6,Time=6.2s | BaseRaw=753.5 | CurrentRaw=770.6 | Change=17.1 => Liquid
data,,753.5,770.4,16.9,770.4,Time=6.3s | BaseRaw=753.5 | CurrentRaw=770.4 | Change=16.9 => Liquid
data,,753.5,770.2,16.7,770.2,Time=6.4s | BaseRaw=753.5 | CurrentRaw=770.2 | Change=16.7 => Liquid
data,,753.5,770.0,16.5,770.0,Time=6.5s | BaseRaw=753.5 | CurrentRaw=770.0 | Change=16.5 => Liquid
