record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,387.40,,,,387.40,Collecting baseline... RawAvg=387.40
baseline,388.20,,,,388.20,Collecting baseline... RawAvg=388.20
baseline,389.00,,,,389.00,Collecting baseline... RawAvg=389.00
baseline,389.80,,,,389.80,Collecting baseline... RawAvg=389.80
baseline,390.40,,,,390.40,Collecting baseline... RawAvg=390.40
baseline,389.80,,,,389.80,Collecting baseline... RawAvg=389.80
baseline,389.00,,,,389.00,Collecting baseline... RawAvg=389.00
baseline,388.20,,,,388.20,Collecting baseline... RawAvg=388.20
baseline,387.80,,,,387.80,Collecting baseline... RawAvg=387.80
baseline,388.40,,,,388.40,Collecting baseline... RawAvg=388.40
baseline,389.20,,,,389.20,Collecting baseline... RawAvg=389.20
baseline,389.80,,,,389.80,Collecting baseline... RawAvg=389.80
baseline,390.40,,,,390.40,Collecting baseline... RawAvg=390.40
baseline,389.80,,,,389.80,Collecting baseline... RawAvg=389.80
baseline,388.40,,,,388.40,Collecting baseline... RawAvg=388.40
baseline,387.40,,,,387.40,Collecting baseline... RawAvg=387.40
baseline,386.60,,,,386.60,Collecting baseline... RawAvg=386.60
baseline,386.20,,,,386.20,Collecting baseline... RawAvg=386.20
baseline,386.60,,,,386.60,Collecting baseline... RawAvg=386.60
baseline,387.00,,,,387.00,Collecting baseline... RawAvg=387.00
baseline,387.20,,,,387.20,Collecting baseline... RawAvg=387.20
baseline,386.80,,,,386.80,Collecting baseline... RawAvg=386.80
baseline,385.80,,,,385.80,Collecting baseline... RawAvg=385.80
baseline,384.80,,,,384.80,Collecting baseline... RawAvg=384.80
baseline,384.40,,,,384.40,Collecting baseline... RawAvg=384.40
baseline,384.40,,,,384.40,Collecting baseline... RawAvg=384.40
baseline,385.00,,,,385.00,Collecting baseline... RawAvg=385.00
baseline,385.80,,,,385.80,Collecting baseline... RawAvg=385.80
baseline,386.60,,,,386.60,Collecting baseline... RawAvg=386.60
baseline,386.60,,,,386.60,Collecting baseline... RawAvg=386.60
baseline,386.00,,,,386.00,Collecting baseline... RawAvg=386.00
baseline,385.40,,,,385.40,Collecting baseline... RawAvg=385.40
baseline,385.00,,,,385.00,Collecting baseline... RawAvg=385.00
baseline,384.80,,,,384.80,Collecting baseline... RawAvg=384.80
baseline,385.20,,,,385.20,Collecting baseline... RawAvg=385.20
baseline,385.80,,,,385.80,Collecting baseline... RawAvg=385.80
baseline,386.40,,,,386.40,Collecting baseline... RawAvg=386.40
baseline,386.80,,,,386.80,Collecting baseline... RawAvg=386.80
baseline,386.40,,,,386.40,Collecting baseline... RawAvg=386.40
baseline,385.80,,,,385.80,Collecting baseline... RawAvg=385.80
baseline,385.40,,,,385.40,Collecting baseline... RawAvg=385.40
baseline,385.00,,,,385.00,Collecting baseline... RawAvg=385.00
baseline,385.20,,,,385.20,Collecting baseline... RawAvg=385.20
baseline,386.00,,,,386.00,Collecting baseline... RawAvg=386.00
baseline,386.60,,,,386.60,Collecting baseline... RawAvg=386.60
baseline,387.00,,,,387.00,Collecting baseline... RawAvg=387.00
baseline,386.80,,,,386.80,Collecting baseline... RawAvg=386.80
baseline,386.00,,,,386.00,Collecting baseline... RawAvg=386.00
baseline,385.20,,,,385.20,Collecting baseline... RawAvg=385.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,386.89,,,386.89,Final Base Raw Average = 386.89
info,,,,,,--------------------------------------------------------------------------
data,,386.9,384.4,2.5,384.4,Time=0.1s | BaseRaw=386.9 | CurrentRaw=384.4 | Change=2.5 => Floor
data,,386.9,385.2,1.7,385.2,Time=0.2s | BaseRaw=386.9 | CurrentRaw=385.2 | Change=1.7 => Floor
data,,386.9,385.2,1.7,385.2,Time=0.3s | BaseRaw=386.9 | CurrentRaw=385.2 | Change=1.7 => Floor
data,,386.9,385.8,1.1,385.8,Time=0.4s | BaseRaw=386.9 | CurrentRaw=385.8 | Change=1.1 => Floor
data,,386.9,385.6,1.3,385.6,Time=0.5s | BaseRaw=386.9 | CurrentRaw=385.6 | Change=1.3 => Floor
data,,386.9,386.2,0.7,386.2,Time=0.6s | BaseRaw=386.9 | CurrentRaw=386.2 | Change=0.7 => Floor
data,,386.9,386.0,0.9,386.0,Time=0.7s | BaseRaw=386.9 | CurrentRaw=386.0 | Change=0.9 => Floor
data,,386.9,386.2,0.7,386.2,Time=0.8s | BaseRaw=386.9 | CurrentRaw=386.2 | Change=0.7 => Floor
data,,386.9,386.4,0.5,386.4,Time=0.9s | BaseRaw=386.9 | CurrentRaw=386.4 | Change=0.5 => Floor
data,,386.9,386.4,0.5,386.4,Time=1.0s | BaseRaw=386.9 | CurrentRaw=386.4 | Change=0.5 => Floor
data,,386.9,386.4,0.5,386.4,Time=1.1s | BaseRaw=386.9 | CurrentRaw=386.4 | Change=0.5 => Floor
data,,386.9,385.8,1.1,385.8,Time=1.2s | BaseRaw=386.9 | CurrentRaw=385.8 | Change=1.1 => Floor
data,,386.9,386.0,0.9,386.0,Time=1.3s | BaseRaw=386.9 | CurrentRaw=386.0 | Change=0.9 => Floor
data,,386.9,386.0,0.9,386.0,Time=1.4s | BaseRaw=386.9 | CurrentRaw=386.0 | Change=0.9 => Floor
data,,386.9,386.4,0.5,386.4,Time=1.5s | BaseRaw=386.9 | CurrentRaw=386.4 | Change=0.5 => Floor
data,,386.9,386.4,0.5,386.4,Time=1.6s | BaseRaw=386.9 | CurrentRaw=386.4 | Change=0.5 => Floor
data,,386.9,386.4,0.5,386.4,Time=1.7s | BaseRaw=386.9 | CurrentRaw=386.4 | Change=0.5 => Floor
data,,386.9,386.8,0.1,386.8,Time=1.8s | BaseRaw=386.9 | CurrentRaw=386.8 | Change=0.1 => Floor
data,,386.9,386.4,0.5,386.4,Time=1.9s | BaseRaw=386.9 | CurrentRaw=386.4 | Change=0.5 => Floor
data,,386.9,386.4,0.5,386.4,Time=2.0s | BaseRaw=386.9 | CurrentRaw=386.4 | Change=0.5 => Floor
data,,386.9,386.4,0.5,386.4,Time=2.1s | BaseRaw=386.9 | CurrentRaw=386.4 | Change=0.5 => Floor
data,,386.9,386.4,0.5,386.4,Time=2.2s | BaseRaw=386.9 | CurrentRaw=386.4 | Change=0.5 => Floor
data,,386.9,386.4,0.5,386.4,Time=2.3s | BaseRaw=386.9 | CurrentRaw=386.4 | Change=0.5 => Floor
data,,386.9,386.0,0.9,386.0,Time=2.4s | BaseRaw=386.9 | CurrentRaw=386.0 | Change=0.9 => Floor
data,,386.9,386.2,0.7,386.2,Time=2.5s | BaseRaw=386.9 | CurrentRaw=386.2 | Change=0.7 => Floor
data,,386.9,386.2,0.7,386.2,Time=2.6s | BaseRaw=386.9 | CurrentRaw=386.2 | Change=0.7 => Floor
data,,386.9,386.4,0.5,386.4,Time=2.7s | BaseRaw=386.9 | CurrentRaw=386.4 | Change=0.5 => Floor
data,,386.9,386.4,0.5,386.4,Time=2.8s | BaseRaw=386.9 | CurrentRaw=386.4 | Change=0.5 => Floor
data,,386.9,386.4,0.5,386.4,Time=2.9s | BaseRaw=386.9 | CurrentRaw=386.4 | Change=0.5 => Floor
data,,386.9,386.6,0.3,386.6,Time=3.0s | BaseRaw=386.9 | CurrentRaw=386.6 | Change=0.3 => Floor
data,,386.9,386.0,0.9,386.0,Time=3.1s | BaseRaw=386.9 | CurrentRaw=386.0 | Change=0.9 => Floor
data,,386.9,386.2,0.7,386.2,Time=3.2s | BaseRaw=386.9 | CurrentRaw=386.2 | Change=0.7 => Floor
data,,386.9,386.2,0.7,386.2,Time=3.3s | BaseRaw=386.9 | CurrentRaw=386.2 | Change=0.7 => Floor
data,,386.9,386.4,0.5,386.4,Time=3.4s | BaseRaw=386.9 | CurrentRaw=386.4 | Change=0.5 => Floor
data,,386.9,386.4,0.5,386.4,Time=3.5s | BaseRaw=386.9 | CurrentRaw=386.4 | Change=0.5 => Floor
data,,386.9,386.2,0.7,386.2,Time=3.6s | BaseRaw=386.9 | CurrentRaw=386.2 | Change=0.7 => Floor
data,,386.9,386.6,0.3,386.6,Time=3.7s | BaseRaw=386.9 | CurrentRaw=386.6 | Change=0.3 => Floor
data,,386.9,386.4,0.5,386.4,Time=3.8s | BaseRaw=386.9 | CurrentRaw=386.4 | Change=0.5 => Floor
data,,386.9,386.4,0.5,386.4,Time=3.9s | BaseRaw=386.9 | CurrentRaw=386.4 | Change=0.5 => Floor
data,,386.9,386.4,0.5,386.4,Time=4.0s | BaseRaw=386.9 | CurrentRaw=386.4 | Change=0.5 => Floor
data,,386.9,386.6,0.3,386.6,Time=4.1s | BaseRaw=386.9 | CurrentRaw=386.6 | Change=0.3 => Floor
data,,386.9,386.6,0.3,386.6,Time=4.2s | BaseRaw=386.9 | CurrentRaw=386.6 | Change=0.3 => Floor
data,,386.9,386.2,0.7,386.2,Time=4.3s | BaseRaw=386.9 | CurrentRaw=386.2 | Change=0.7 => Floor
data,,386.9,387.0,0.1,387.0,Time=4.4s | BaseRaw=386.9 | CurrentRaw=387.0 | Change=0.1 => Floor
data,,386.9,388.0,1.1,388.0,Time=4.5s | BaseRaw=386.9 | CurrentRaw=388.0 | Change=1.1 => Floor
data,,386.9,389.4,2.5,389.4,Time=4.6s | BaseRaw=386.9 | CurrentRaw=389.4 | Change=2.5 => Floor
data,,386.9,390.4,3.5,390.4,Time=4.7s | BaseRaw=386.9 | CurrentRaw=390.4 | Change=3.5 => Floor
data,,386.9,391.4,4.5,391.4,Time=4.8s | BaseRaw=386.9 | CurrentRaw=391.4 | Change=4.5 => Floor
data,,386.9,392.2,5.3,392.2,Time=4.9s | BaseRaw=386.9 | CurrentRaw=392.2 | Change=5.3 => Floor
data,,386.9,391.8,4.9,391.8,Time=5.0s | BaseRaw=386.9 | CurrentRaw=391.8 | Change=4.9 => Floor
data,,386.9,391.6,4.7,391.6,Time=5.1s | BaseRaw=386.9 | CurrentRaw=391.6 | Change=4.7 => Floor
data,,386.9,391.6,4.7,391.6,Time=5.2s | BaseRaw=386.9 | CurrentRaw=391.6 | Change=4.7 => Floor
data,,386.9,391.4,4.5,391.4,Time=5.3s | BaseRaw=386.9 | CurrentRaw=391.4 | Change=4.5 => Floor
data,,386.9,390.6,3.7,390.6,Time=5.4s | BaseRaw=386.9 | CurrentRaw=390.6 | Change=3.7 => Floor
data,,386.9,387.6,0.7,387.6,Time=5.5s | BaseRaw=386.9 | CurrentRaw=387.6 | Change=0.7 => Floor
data,,386.9,381.2,5.7,381.2,Time=5.6s | BaseRaw=386.9 | CurrentRaw=381.2 | Change=5.7 => Floor
data,,386.9,366.6,20.3,366.6,Time=5.7s | BaseRaw=386.9 | CurrentRaw=366.6 | Change=20.3 => Liquid
data,,386.9,347.6,39.3,347.6,Time=5.8s | BaseRaw=386.9 | CurrentRaw=347.6 | Change=39.3 => Liquid
data,,386.9,326.0,60.9,326.0,Time=5.9s | BaseRaw=386.9 | CurrentRaw=326.0 | Change=60.9 => Liquid
data,,386.9,307.8,79.1,307.8,Time=6.0s | BaseRaw=386.9 | CurrentRaw=307.8 | Change=79.1 => Liquid
data,,386.9,293.8,93.1,293.8,Time=6.1s | BaseRaw=386.9 | CurrentRaw=293.8 | Change=93.1 => Liquid
data,,386.9,287.0,99.9,287.0,Time=6.2s | BaseRaw=386.9 | CurrentRaw=287.0 | Change=99.9 => Liquid
data,,386.9,286.0,100.9,286.0,Time=6.3s | BaseRaw=386.9 | CurrentRaw=286.0 | Change=100.9 => Liquid
data,,386.9,287.6,99.3,287.6,Time=6.4s | BaseRaw=386.9 | CurrentRaw=287.6 | Change=99.3 => Liquid
data,,386.9,287.8,99.1,287.8,Time=6.5s | BaseRaw=386.9 | CurrentRaw=287.8 | Change=99.1 => Liquid
