record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,303.20,,,,303.20,Collecting baseline... RawAvg=303.20
baseline,316.20,,,,316.20,Collecting baseline... RawAvg=316.20
baseline,334.00,,,,334.00,Collecting baseline... RawAvg=334.00
baseline,353.40,,,,353.40,Collecting baseline... RawAvg=353.40
baseline,373.00,,,,373.00,Collecting baseline... RawAvg=373.00
baseline,392.40,,,,392.40,Collecting baseline... RawAvg=392.40
baseline,399.60,,,,399.60,Collecting baseline... RawAvg=399.60
baseline,402.00,,,,402.00,Collecting baseline... RawAvg=402.00
baseline,402.80,,,,402.80,Collecting baseline... RawAvg=402.80
baseline,403.20,,,,403.20,Collecting baseline... RawAvg=403.20
baseline,403.20,,,,403.20,Collecting baseline... RawAvg=403.20
baseline,403.20,,,,403.20,Collecting baseline... RawAvg=403.20
baseline,402.80,,,,402.80,Collecting baseline... RawAvg=402.80
baseline,402.00,,,,402.00,Collecting baseline... RawAvg=402.00
baseline,401.40,,,,401.40,Collecting baseline... RawAvg=401.40
baseline,400.80,,,,400.80,Collecting baseline... RawAvg=400.80
baseline,400.60,,,,400.60,Collecting baseline... RawAvg=400.60
baseline,401.00,,,,401.00,Collecting baseline... RawAvg=401.00
baseline,401.60,,,,401.60,Collecting baseline... RawAvg=401.60
baseline,402.20,,,,402.20,Collecting baseline... RawAvg=402.20
baseline,402.60,,,,402.60,Collecting baseline... RawAvg=402.60
baseline,402.20,,,,402.20,Collecting baseline... RawAvg=402.20
baseline,401.40,,,,401.40,Collecting baseline... RawAvg=401.40
baseline,400.60,,,,400.60,Collecting baseline... RawAvg=400.60
baseline,399.80,,,,399.80,Collecting baseline... RawAvg=399.80
baseline,399.60,,,,399.60,Collecting baseline... RawAvg=399.60
baseline,400.00,,,,400.00,Collecting baseline... RawAvg=400.00
baseline,400.60,,,,400.60,Collecting baseline... RawAvg=400.60
baseline,401.00,,,,401.00,Collecting baseline... RawAvg=401.00
baseline,401.40,,,,401.40,Collecting baseline... RawAvg=401.40
baseline,401.00,,,,401.00,Collecting baseline... RawAvg=401.00
baseline,400.20,,,,400.20,Collecting baseline... RawAvg=400.20
baseline,399.60,,,,399.60,Collecting baseline... RawAvg=399.60
baseline,399.00,,,,399.00,Collecting baseline... RawAvg=399.00
baseline,398.80,,,,398.80,Collecting baseline... RawAvg=398.80
baseline,399.20,,,,399.20,Collecting baseline... RawAvg=399.20
baseline,399.40,,,,399.40,Collecting baseline... RawAvg=399.40
baseline,399.40,,,,399.40,Collecting baseline... RawAvg=399.40
baseline,399.40,,,,399.40,Collecting baseline... RawAvg=399.40
baseline,398.40,,,,398.40,Collecting baseline... RawAvg=398.40
baseline,397.00,,,,397.00,Collecting baseline... RawAvg=397.00
baseline,396.20,,,,396.20,Collecting baseline... RawAvg=396.20
baseline,395.40,,,,395.40,Collecting baseline... RawAvg=395.40
baseline,395.20,,,,395.20,Collecting baseline... RawAvg=395.20
baseline,395.80,,,,395.80,Collecting baseline... RawAvg=395.80
baseline,396.80,,,,396.80,Collecting baseline... RawAvg=396.80
baseline,398.40,,,,398.40,Collecting baseline... RawAvg=398.40
baseline,399.40,,,,399.40,Collecting baseline... RawAvg=399.40
baseline,400.20,,,,400.20,Collecting baseline... RawAvg=400.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,393.40,,,393.40,Final Base Raw Average = 393.40
info,,,,,,--------------------------------------------------------------------------
data,,393.4,400.6,7.2,400.6,Time=0.1s | BaseRaw=393.4 | CurrentRaw=400.6 | Change=7.2 => Floor
data,,393.4,400.4,7.0,400.4,Time=0.2s | BaseRaw=393.4 | CurrentRaw=400.4 | Change=7.0 => Floor
data,,393.4,400.6,7.2,400.6,Time=0.3s | BaseRaw=393.4 | CurrentRaw=400.6 | Change=7.2 => Floor
data,,393.4,400.2,6.8,400.2,Time=0.4s | BaseRaw=393.4 | CurrentRaw=400.2 | Change=6.8 => Floor
data,,393.4,400.0,6.6,400.0,Time=0.5s | BaseRaw=393.4 | CurrentRaw=400.0 | Change=6.6 => Floor
data,,393.4,399.4,6.0,399.4,Time=0.6s | BaseRaw=393.4 | CurrentRaw=399.4 | Change=6.0 => Floor
data,,393.4,399.0,5.6,399.0,Time=0.7s | BaseRaw=393.4 | CurrentRaw=399.0 | Change=5.6 => Floor
data,,393.4,398.2,4.8,398.2,Time=0.8s | BaseRaw=393.4 | CurrentRaw=398.2 | Change=4.8 => Floor
data,,393.4,398.0,4.6,398.0,Time=0.9s | BaseRaw=393.4 | CurrentRaw=398.0 | Change=4.6 => Floor
data,,393.4,398.0,4.6,398.0,Time=1.0s | BaseRaw=393.4 | CurrentRaw=398.0 | Change=4.6 => Floor
data,,393.4,398.0,4.6,398.0,Time=1.1s | BaseRaw=393.4 | CurrentRaw=398.0 | Change=4.6 => Floor
data,,393.4,397.8,4.4,397.8,Time=1.2s | BaseRaw=393.4 | CurrentRaw=397.8 | Change=4.4 => Floor
data,,393.4,397.6,4.2,397.6,Time=1.3s | BaseRaw=393.4 | CurrentRaw=397.6 | Change=4.2 => Floor
data,,393.4,397.8,4.4,397.8,Time=1.4s | BaseRaw=393.4 | CurrentRaw=397.8 | Change=4.4 => Floor
data,,393.4,397.8,4.4,397.8,Time=1.5s | BaseRaw=393.4 | CurrentRaw=397.8 | Change=4.4 => Floor
data,,393.4,397.8,4.4,397.8,Time=1.6s | BaseRaw=393.4 | CurrentRaw=397.8 | Change=4.4 => Floor
data,,393.4,397.8,4.4,397.8,Time=1.7s | BaseRaw=393.4 | CurrentRaw=397.8 | Change=4.4 => Floor
data,,393.4,397.6,4.2,397.6,Time=1.8s | BaseRaw=393.4 | CurrentRaw=397.6 | Change=4.2 => Floor
data,,393.4,397.6,4.2,397.6,Time=1.9s | BaseRaw=393.4 | CurrentRaw=397.6 | Change=4.2 => Floor
data,,393.4,397.4,4.0,397.4,Time=2.0s | BaseRaw=393.4 | CurrentRaw=397.4 | Change=4.0 => Floor
data,,393.4,397.4,4.0,397.4,Time=2.1s | BaseRaw=393.4 | CurrentRaw=397.4 | Change=4.0 => Floor
data,,393.4,397.2,3.8,397.2,Time=2.2s | BaseRaw=393.4 | CurrentRaw=397.2 | Change=3.8 => Floor
data,,393.4,397.2,3.8,397.2,Time=2.3s | BaseRaw=393.4 | CurrentRaw=397.2 | Change=3.8 => Floor
data,,393.4,397.2,3.8,397.2,Time=2.4s | BaseRaw=393.4 | CurrentRaw=397.2 | Change=3.8 => Floor
data,,393.4,396.8,3.4,396.8,Time=2.5s | BaseRaw=393.4 | CurrentRaw=396.8 | Change=3.4 => Floor
data,,393.4,396.8,3.4,396.8,Time=2.6s | BaseRaw=393.4 | CurrentRaw=396.8 | Change=3.4 => Floor
data,,393.4,396.8,3.4,396.8,Time=2.7s | BaseRaw=393.4 | CurrentRaw=396.8 | Change=3.4 => Floor
data,,393.4,396.8,3.4,396.8,Time=2.8s | BaseRaw=393.4 | CurrentRaw=396.8 | Change=3.4 => Floor
data,,393.4,396.6,3.2,396.6,Time=2.9s | BaseRaw=393.4 | CurrentRaw=396.6 | Change=3.2 => Floor
data,,393.4,396.4,3.0,396.4,Time=3.0s | BaseRaw=393.4 | CurrentRaw=396.4 | Change=3.0 => Floor
data,,393.4,396.4,3.0,396.4,Time=3.1s | BaseRaw=393.4 | CurrentRaw=396.4 | Change=3.0 => Floor
data,,393.4,396.2,2.8,396.2,Time=3.2s | BaseRaw=393.4 | CurrentRaw=396.2 | Change=2.8 => Floor
data,,393.4,396.2,2.8,396.2,Time=3.3s | BaseRaw=393.4 | CurrentRaw=396.2 | Change=2.8 => Floor
data,,393.4,396.0,2.6,396.0,Time=3.4s | BaseRaw=393.4 | CurrentRaw=396.0 | Change=2.6 => Floor
data,,393.4,395.8,2.4,395.8,Time=3.5s | BaseRaw=393.4 | CurrentRaw=395.8 | Change=2.4 => Floor
data,,393.4,396.0,2.6,396.0,Time=3.6s | BaseRaw=393.4 | CurrentRaw=396.0 | Change=2.6 => Floor
data,,393.4,396.0,2.6,396.0,Time=3.7s | BaseRaw=393.4 | CurrentRaw=396.0 | Change=2.6 => Floor
data,,393.4,396.0,2.6,396.0,Time=3.8s | BaseRaw=393.4 | CurrentRaw=396.0 | Change=2.6 => Floor
data,,393.4,396.0,2.6,396.0,Time=3.9s | BaseRaw=393.4 | CurrentRaw=396.0 | Change=2.6 => Floor
data,,393.4,395.8,2.4,395.8,Time=4.0s | BaseRaw=393.4 | CurrentRaw=395.8 | Change=2.4 => Floor
data,,393.4,395.8,2.4,395.8,Time=4.1s | BaseRaw=393.4 | CurrentRaw=395.8 | Change=2.4 => Floor
data,,393.4,395.4,2.0,395.4,Time=4.2s | BaseRaw=393.4 | CurrentRaw=395.4 | Change=2.0 => Floor
data,,393.4,395.2,1.8,395.2,Time=4.3s | BaseRaw=393.4 | CurrentRaw=395.2 | Change=1.8 => Floor
data,,393.4,395.0,1.6,395.0,Time=4.4s | BaseRaw=393.4 | CurrentRaw=395.0 | Change=1.6 => Floor
data,,393.4,395.0,1.6,395.0,Time=4.5s | BaseRaw=393.4 | CurrentRaw=395.0 | Change=1.6 => Floor
data,,393.4,394.8,1.4,394.8,Time=4.6s | BaseRaw=393.4 | CurrentRaw=394.8 | Change=1.4 => Floor
data,,393.4,394.4,1.0,394.4,Time=4.7s | BaseRaw=393.4 | CurrentRaw=394.4 | Change=1.0 => Floor
data,,393.4,394.4,1.0,394.4,Time=4.8s | BaseRaw=393.4 | CurrentRaw=394.4 | Change=1.0 => Floor
data,,393.4,394.2,0.8,394.2,Time=4.9s | BaseRaw=393.4 | CurrentRaw=394.2 | Change=0.8 => Floor
data,,393.4,394.0,0.6,394.0,Time=5.0s | BaseRaw=393.4 | CurrentRaw=394.0 | Change=0.6 => Floor
data,,393.4,394.0,0.6,394.0,Time=5.1s | BaseRaw=393.4 | CurrentRaw=394.0 | Change=0.6 => Floor
data,,393.4,394.2,0.8,394.2,Time=5.2s | BaseRaw=393.4 | CurrentRaw=394.2 | Change=0.8 => Floor
data,,393.4,395.2,1.8,395.2,Time=5.3s | BaseRaw=393.4 | CurrentRaw=395.2 | Change=1.8 => Floor
data,,393.4,397.2,3.8,397.2,Time=5.4s | BaseRaw=393.4 | CurrentRaw=397.2 | Change=3.8 => Floor
data,,393.4,400.8,7.4,400.8,Time=5.5s | BaseRaw=393.4 | CurrentRaw=400.8 | Change=7.4 => Floor
data,,393.4,404.8,11.4,404.8,Time=5.6s | BaseRaw=393.4 | CurrentRaw=404.8 | Change=11.4 => Liquid
data,,393.4,408.8,15.4,408.8,Time=5.7s | BaseRaw=393.4 | CurrentRaw=408.8 | Change=15.4 => Liquid
data,,393.4,411.6,18.2,411.6,Time=5.8s | BaseRaw=393.4 | CurrentRaw=411.6 | Change=18.2 => Liquid
data,,393.4,413.8,20.4,413.8,Time=5.9s | BaseRaw=393.4 | CurrentRaw=413.8 | Change=20.4 => Liquid
data,,393.4,414.6,21.2,414.6,Time=6.0s | BaseRaw=393.4 | CurrentRaw=414.6 | Change=21.2 => Liquid
data,,393.4,414.0,20.6,414.0,Time=6.1s | BaseRaw=393.4 | CurrentRaw=414.0 | Change=20.6 => Liquid
data,,393.4,414.4,21.0,414.4,Time=6.2s | BaseRaw=393.4 | CurrentRaw=414.4 | Change=21.0 => Liquid
data,,393.4,414.4,21.0,414.4,Time=6.3s | BaseRaw=393.4 | CurrentRaw=414.4 | Change=21.0 => Liquid
data,,393.4,413.8,20.4,413.8,Time=6.4s | BaseRaw=393.4 | CurrentRaw=413.8 | Change=20.4 => Liquid
data,,393.4,414.2,20.8,414.2,Time=6.5s | BaseRaw=393.4 | CurrentRaw=414.2 | Change=20.8 => Liquid
