record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,783.80,,,,783.80,Collecting baseline... RawAvg=783.80
baseline,783.40,,,,783.40,Collecting baseline... RawAvg=783.40
baseline,783.20,,,,783.20,Collecting baseline... RawAvg=783.20
baseline,783.00,,,,783.00,Collecting baseline... RawAvg=783.00
baseline,783.60,,,,783.60,Collecting baseline... RawAvg=783.60
baseline,782.80,,,,782.80,Collecting baseline... RawAvg=782.80
baseline,782.80,,,,782.80,Collecting baseline... RawAvg=782.80
baseline,782.40,,,,782.40,Collecting baseline... RawAvg=782.40
baseline,782.80,,,,782.80,Collecting baseline... RawAvg=782.80
baseline,783.20,,,,783.20,Collecting baseline... RawAvg=783.20
baseline,783.60,,,,783.60,Collecting baseline... RawAvg=783.60
baseline,784.40,,,,784.40,Collecting baseline... RawAvg=784.40
baseline,785.40,,,,785.40,Collecting baseline... RawAvg=785.40
baseline,786.60,,,,786.60,Collecting baseline... RawAvg=786.60
baseline,787.60,,,,787.60,Collecting baseline... RawAvg=787.60
baseline,787.60,,,,787.60,Collecting baseline... RawAvg=787.60
baseline,787.60,,,,787.60,Collecting baseline... RawAvg=787.60
baseline,787.00,,,,787.00,Collecting baseline... RawAvg=787.00
baseline,785.80,,,,785.80,Collecting baseline... RawAvg=785.80
baseline,784.00,,,,784.00,Collecting baseline... RawAvg=784.00
baseline,783.40,,,,783.40,Collecting baseline... RawAvg=783.40
baseline,782.60,,,,782.60,Collecting baseline... RawAvg=782.60
baseline,782.60,,,,782.60,Collecting baseline... RawAvg=782.60
baseline,782.80,,,,782.80,Collecting baseline... RawAvg=782.80
baseline,783.20,,,,783.20,Collecting baseline... RawAvg=783.20
baseline,783.40,,,,783.40,Collecting baseline... RawAvg=783.40
baseline,783.80,,,,783.80,Collecting baseline... RawAvg=783.80
baseline,784.80,,,,784.80,Collecting baseline... RawAvg=784.80
baseline,784.80,,,,784.80,Collecting baseline... RawAvg=784.80
baseline,785.00,,,,785.00,Collecting baseline... RawAvg=785.00
baseline,785.80,,,,785.80,Collecting baseline... RawAvg=785.80
baseline,786.60,,,,786.60,Collecting baseline... RawAvg=786.60
baseline,787.00,,,,787.00,Collecting baseline... RawAvg=787.00
baseline,787.60,,,,787.60,Collecting baseline... RawAvg=787.60
baseline,788.00,,,,788.00,Collecting baseline... RawAvg=788.00
baseline,788.00,,,,788.00,Collecting baseline... RawAvg=788.00
baseline,787.20,,,,787.20,Collecting baseline... RawAvg=787.20
baseline,786.40,,,,786.40,Collecting baseline... RawAvg=786.40
baseline,785.60,,,,785.60,Collecting baseline... RawAvg=785.60
baseline,785.00,,,,785.00,Collecting baseline... RawAvg=785.00
baseline,784.40,,,,784.40,Collecting baseline... RawAvg=784.40
baseline,784.40,,,,784.40,Collecting baseline... RawAvg=784.40
baseline,784.20,,,,784.20,Collecting baseline... RawAvg=784.20
baseline,784.20,,,,784.20,Collecting baseline... RawAvg=784.20
baseline,784.20,,,,784.20,Collecting baseline... RawAvg=784.20
baseline,784.00,,,,784.00,Collecting baseline... RawAvg=784.00
baseline,784.40,,,,784.40,Collecting baseline... RawAvg=784.40
baseline,784.80,,,,784.80,Collecting baseline... RawAvg=784.80
baseline,785.00,,,,785.00,Collecting baseline... RawAvg=785.00
info,,,,,,Baseline collection complete! Starting detection.
final_base,,784.77,,,784.77,Final Base Raw Average = 784.77
info,,,,,,--------------------------------------------------------------------------
data,,784.8,786.4,1.6,786.4,Time=0.1s | BaseRaw=784.8 | CurrentRaw=786.4 | Change=1.6 => Floor
data,,784.8,786.6,1.8,786.6,Time=0.2s | BaseRaw=784.8 | CurrentRaw=786.6 | Change=1.8 => Floor
data,,784.8,785.6,0.8,785.6,Time=0.3s | BaseRaw=784.8 | CurrentRaw=785.6 | Change=0.8 => Floor
data,,784.8,785.8,1.0,785.8,Time=0.4s | BaseRaw=784.8 | CurrentRaw=785.8 | Change=1.0 => Floor
data,,784.8,785.0,0.2,785.0,Time=0.5s | BaseRaw=784.8 | CurrentRaw=785.0 | Change=0.2 => Floor
data,,784.8,785.2,0.4,785.2,Time=0.6s | BaseRaw=784.8 | CurrentRaw=785.2 | Change=0.4 => Floor
data,,784.8,785.0,0.2,785.0,Time=0.7s | BaseRaw=784.8 | CurrentRaw=785.0 | Change=0.2 => Floor
data,,784.8,785.4,0.6,785.4,Time=0.8s | BaseRaw=784.8 | CurrentRaw=785.4 | Change=0.6 => Floor
data,,784.8,785.4,0.6,785.4,Time=0.9s | BaseRaw=784.8 | CurrentRaw=785.4 | Change=0.6 => Floor
data,,784.8,785.6,0.8,785.6,Time=1.0s | BaseRaw=784.8 | CurrentRaw=785.6 | Change=0.8 => Floor
data,,784.8,785.8,1.0,785.8,Time=1.1s | BaseRaw=784.8 | CurrentRaw=785.8 | Change=1.0 => Floor
data,,784.8,785.6,0.8,785.6,Time=1.2s | BaseRaw=784.8 | CurrentRaw=785.6 | Change=0.8 => Floor
data,,784.8,785.6,0.8,785.6,Time=1.3s | BaseRaw=784.8 | CurrentRaw=785.6 | Change=0.8 => Floor
data,,784.8,785.4,0.6,785.4,Time=1.4s | BaseRaw=784.8 | CurrentRaw=785.4 | Change=0.6 => Floor
data,,784.8,785.4,0.6,785.4,Time=1.5s | BaseRaw=784.8 | CurrentRaw=785.4 | Change=0.6 => Floor
data,,784.8,785.4,0.6,785.4,Time=1.6s | BaseRaw=784.8 | CurrentRaw=785.4 | Change=0.6 => Floor
data,,784.8,785.4,0.6,785.4,Time=1.7s | BaseRaw=784.8 | CurrentRaw=785.4 | Change=0.6 => Floor
data,,784.8,785.2,0.4,785.2,Time=1.8s | BaseRaw=784.8 | CurrentRaw=785.2 | Change=0.4 => Floor
data,,784.8,785.4,0.6,785.4,Time=1.9s | BaseRaw=784.8 | CurrentRaw=785.4 | Change=0.6 => Floor
data,,784.8,785.2,0.4,785.2,Time=2.0s | BaseRaw=784.8 | CurrentRaw=785.2 | Change=0.4 => Floor
data,,784.8,784.8,0.0,784.8,Time=2.1s | BaseRaw=784.8 | CurrentRaw=784.8 | Change=0.0 => Floor
data,,784.8,785.0,0.2,785.0,Time=2.2s | BaseRaw=784.8 | CurrentRaw=785.0 | Change=0.2 => Floor
data,,784.8,785.4,0.6,785.4,Time=2.3s | BaseRaw=784.8 | CurrentRaw=785.4 | Change=0.6 => Floor
data,,784.8,785.4,0.6,785.4,Time=2.4s | BaseRaw=784.8 | CurrentRaw=785.4 | Change=0.6 => Floor
data,,784.8,785.6,0.8,785.6,Time=2.5s | BaseRaw=784.8 | CurrentRaw=785.6 | Change=0.8 => Floor
data,,784.8,786.0,1.2,786.0,Time=2.6s | BaseRaw=784.8 | CurrentRaw=786.0 | Change=1.2 => Floor
data,,784.8,786.2,1.4,786.2,Time=2.7s | BaseRaw=784.8 | CurrentRaw=786.2 | Change=1.4 => Floor
data,,784.8,785.8,1.0,785.8,Time=2.8s | BaseRaw=784.8 | CurrentRaw=785.8 | Change=1.0 => Floor
data,,784.8,785.6,0.8,785.6,Time=2.9s | BaseRaw=784.8 | CurrentRaw=785.6 | Change=0.8 => Floor
data,,784.8,785.8,1.0,785.8,Time=3.0s | BaseRaw=784.8 | CurrentRaw=785.8 | Change=1.0 => Floor
data,,784.8,786.0,1.2,786.0,Time=3.1s | BaseRaw=784.8 | CurrentRaw=786.0 | Change=1.2 => Floor
data,,784.8,786.0,1.2,786.0,Time=3.2s | BaseRaw=784.8 | CurrentRaw=786.0 | Change=1.2 => Floor
data,,784.8,786.2,1.4,786.2,Time=3.3s | BaseRaw=784.8 | CurrentRaw=786.2 | Change=1.4 => Floor
data,,784.8,786.4,1.6,786.4,Time=3.4s | BaseRaw=784.8 | CurrentRaw=786.4 | Change=1.6 => Floor
data,,784.8,786.8,2.0,786.8,Time=3.5s | BaseRaw=784.8 | CurrentRaw=786.8 | Change=2.0 => Floor
data,,784.8,786.8,2.0,786.8,Time=3.6s | BaseRaw=784.8 | CurrentRaw=786.8 | Change=2.0 => Floor
data,,784.8,786.0,1.2,786.0,Time=3.7s | BaseRaw=784.8 | CurrentRaw=786.0 | Change=1.2 => Floor
data,,784.8,786.0,1.2,786.0,Time=3.8s | BaseRaw=784.8 | CurrentRaw=786.0 | Change=1.2 => Floor
data,,784.8,785.8,1.0,785.8,Time=3.9s | BaseRaw=784.8 | CurrentRaw=785.8 | Change=1.0 => Floor
data,,784.8,785.6,0.8,785.6,Time=4.0s | BaseRaw=784.8 | CurrentRaw=785.6 | Change=0.8 => Floor
data,,784.8,785.2,0.4,785.2,Time=4.1s | BaseRaw=784.8 | CurrentRaw=785.2 | Change=0.4 => Floor
data,,784.8,785.2,0.4,785.2,Time=4.2s | BaseRaw=784.8 | CurrentRaw=785.2 | Change=0.4 => Floor
data,,784.8,785.0,0.2,785.0,Time=4.3s | BaseRaw=784.8 | CurrentRaw=785.0 | Change=0.2 => Floor
data,,784.8,784.6,0.2,784.6,Time=4.4s | BaseRaw=784.8 | CurrentRaw=784.6 | Change=0.2 => Floor
data,,784.8,784.2,0.6,784.2,Time=4.5s | BaseRaw=784.8 | CurrentRaw=784.2 | Change=0.6 => Floor
data,,784.8,784.6,0.2,784.6,Time=4.6s | BaseRaw=784.8 | CurrentRaw=784.6 | Change=0.2 => Floor
data,,784.8,784.8,0.0,784.8,Time=4.7s | BaseRaw=784.8 | CurrentRaw=784.8 | Change=0.0 => Floor
data,,784.8,784.8,0.0,784.8,Time=4.8s | BaseRaw=784.8 | CurrentRaw=784.8 | Change=0.0 => Floor
data,,784.8,784.6,0.2,784.6,Time=4.9s | BaseRaw=784.8 | CurrentRaw=784.6 | Change=0.2 => Floor
data,,784.8,784.8,0.0,784.8,Time=5.0s | BaseRaw=784.8 | CurrentRaw=784.8 | Change=0.0 => Floor
data,,784.8,784.6,0.2,784.6,Time=5.1s | BaseRaw=784.8 | CurrentRaw=784.6 | Change=0.2 => Floor
data,,784.8,784.4,0.4,784.4,Time=5.2s | BaseRaw=784.8 | CurrentRaw=784.4 | Change=0.4 => Floor
data,,784.8,784.2,0.6,784.2,Time=5.3s | BaseRaw=784.8 | CurrentRaw=784.2 | Change=0.6 => Floor
data,,784.8,784.4,0.4,784.4,Time=5.4s | BaseRaw=784.8 | CurrentRaw=784.4 | Change=0.4 => Floor
data,,784.8,784.2,0.6,784.2,Time=5.5s | BaseRaw=784.8 | CurrentRaw=784.2 | Change=0.6 => Floor
data,,784.8,784.8,0.0,784.8,Time=5.6s | BaseRaw=784.8 | CurrentRaw=784.8 | Change=0.0 => Floor
data,,784.8,785.4,0.6,785.4,Time=5.7s | BaseRaw=784.8 | CurrentRaw=785.4 | Change=0.6 => Floor
data,,784.8,786.4,1.6,786.4,Time=5.8s | BaseRaw=784.8 | CurrentRaw=786.4 | Change=1.6 => Floor
data,,784.8,787.6,2.8,787.6,Time=5.9s | BaseRaw=784.8 | CurrentRaw=787.6 | Change=2.8 => Floor
data,,784.8,789.0,4.2,789.0,Time=6.0s | BaseRaw=784.8 | CurrentRaw=789.0 | Change=4.2 => Floor
data,,784.8,790.2,5.4,790.2,Time=6.1s | BaseRaw=784.8 | CurrentRaw=790.2 | Change=5.4 => Floor
data,,784.8,791.6,6.8,791.6,Time=6.2s | BaseRaw=784.8 | CurrentRaw=791.6 | Change=6.8 => Floor
data,,784.8,792.4,7.6,792.4,Time=6.3s | BaseRaw=784.8 | CurrentRaw=792.4 | Change=7.6 => Floor
data,,784.8,789.2,4.4,789.2,Time=6.4s | BaseRaw=784.8 | CurrentRaw=789.2 | Change=4.4 => Floor
data,,784.8,776.2,8.6,776.2,Time=6.5s | BaseRaw=784.8 | CurrentRaw=776.2 | Change=8.6 => Floor
