record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,786.00,,,,786.00,Collecting baseline... RawAvg=786.00
baseline,785.40,,,,785.40,Collecting baseline... RawAvg=785.40
baseline,785.00,,,,785.00,Collecting baseline... RawAvg=785.00
baseline,784.60,,,,784.60,Collecting baseline... RawAvg=784.60
baseline,784.20,,,,784.20,Collecting baseline... RawAvg=784.20
baseline,785.20,,,,785.20,Collecting baseline... RawAvg=785.20
baseline,786.00,,,,786.00,Collecting baseline... RawAvg=786.00
baseline,786.00,,,,786.00,Collecting baseline... RawAvg=786.00
baseline,786.00,,,,786.00,Collecting baseline... RawAvg=786.00
baseline,785.20,,,,785.20,Collecting baseline... RawAvg=785.20
baseline,784.60,,,,784.60,Collecting baseline... RawAvg=784.60
baseline,783.00,,,,783.00,Collecting baseline... RawAvg=783.00
baseline,782.40,,,,782.40,Collecting baseline... RawAvg=782.40
baseline,781.80,,,,781.80,Collecting baseline... RawAvg=781.80
baseline,782.00,,,,782.00,Collecting baseline... RawAvg=782.00
baseline,782.00,,,,782.00,Collecting baseline... RawAvg=782.00
baseline,782.60,,,,782.60,Collecting baseline... RawAvg=782.60
baseline,782.80,,,,782.80,Collecting baseline... RawAvg=782.80
baseline,782.60,,,,782.60,Collecting baseline... RawAvg=782.60
baseline,782.40,,,,782.40,Collecting baseline... RawAvg=782.40
baseline,782.00,,,,782.00,Collecting baseline... RawAvg=782.00
baseline,782.20,,,,782.20,Collecting baseline... RawAvg=782.20
baseline,782.80,,,,782.80,Collecting baseline... RawAvg=782.80
baseline,783.40,,,,783.40,Collecting baseline... RawAvg=783.40
baseline,784.00,,,,784.00,Collecting baseline... RawAvg=784.00
baseline,785.40,,,,785.40,Collecting baseline... RawAvg=785.40
baseline,786.20,,,,786.20,Collecting baseline... RawAvg=786.20
baseline,785.80,,,,785.80,Collecting baseline... RawAvg=785.80
baseline,785.80,,,,785.80,Collecting baseline... RawAvg=785.80
baseline,785.00,,,,785.00,Collecting baseline... RawAvg=785.00
baseline,783.40,,,,783.40,Collecting baseline... RawAvg=783.40
baseline,782.00,,,,782.00,Collecting baseline... RawAvg=782.00
baseline,781.60,,,,781.60,Collecting baseline... RawAvg=781.60
baseline,781.00,,,,781.00,Collecting baseline... RawAvg=781.00
baseline,781.40,,,,781.40,Collecting baseline... RawAvg=781.40
baseline,782.00,,,,782.00,Collecting baseline... RawAvg=782.00
baseline,782.00,,,,782.00,Collecting baseline... RawAvg=782.00
baseline,782.00,,,,782.00,Collecting baseline... RawAvg=782.00
baseline,782.20,,,,782.20,Collecting baseline... RawAvg=782.20
baseline,782.20,,,,782.20,Collecting baseline... RawAvg=782.20
baseline,782.20,,,,782.20,Collecting baseline... RawAvg=782.20
baseline,782.80,,,,782.80,Collecting baseline... RawAvg=782.80
baseline,783.60,,,,783.60,Collecting baseline... RawAvg=783.60
baseline,784.20,,,,784.20,Collecting baseline... RawAvg=784.20
baseline,785.20,,,,785.20,Collecting baseline... RawAvg=785.20
baseline,786.00,,,,786.00,Collecting baseline... RawAvg=786.00
baseline,786.20,,,,786.20,Collecting baseline... RawAvg=786.20
baseline,786.20,,,,786.20,Collecting baseline... RawAvg=786.20
baseline,785.60,,,,785.60,Collecting baseline... RawAvg=785.60
info,,,,,,Baseline collection complete! Starting detection.
final_base,,783.76,,,783.76,Final Base Raw Average = 783.76
info,,,,,,--------------------------------------------------------------------------
data,,783.8,782.8,1.0,782.8,Time=0.1s | BaseRaw=783.8 | CurrentRaw=782.8 | Change=1.0 => Floor
data,,783.8,782.2,1.6,782.2,Time=0.2s | BaseRaw=783.8 | CurrentRaw=782.2 | Change=1.6 => Floor
data,,783.8,781.8,2.0,781.8,Time=0.3s | BaseRaw=783.8 | CurrentRaw=781.8 | Change=2.0 => Floor
data,,783.8,782.6,1.2,782.6,Time=0.4s | BaseRaw=783.8 | CurrentRaw=782.6 | Change=1.2 => Floor
data,,783.8,783.6,0.2,783.6,Time=0.5s | BaseRaw=783.8 | CurrentRaw=783.6 | Change=0.2 => Floor
data,,783.8,783.6,0.2,783.6,Time=0.6s | BaseRaw=783.8 | CurrentRaw=783.6 | Change=0.2 => Floor
data,,783.8,783.6,0.2,783.6,Time=0.7s | BaseRaw=783.8 | CurrentRaw=783.6 | Change=0.2 => Floor
data,,783.8,783.2,0.6,783.2,Time=0.8s | BaseRaw=783.8 | CurrentRaw=783.2 | Change=0.6 => Floor
data,,783.8,783.0,0.8,783.0,Time=0.9s | BaseRaw=783.8 | CurrentRaw=783.0 | Change=0.8 => Floor
data,,783.8,783.2,0.6,783.2,Time=1.0s | BaseRaw=783.8 | CurrentRaw=783.2 | Change=0.6 => Floor
data,,783.8,782.8,1.0,782.8,Time=1.1s | BaseRaw=783.8 | CurrentRaw=782.8 | Change=1.0 => Floor
data,,783.8,782.8,1.0,782.8,Time=1.2s | BaseRaw=783.8 | CurrentRaw=782.8 | Change=1.0 => Floor
data,,783.8,783.2,0.6,783.2,Time=1.3s | BaseRaw=783.8 | CurrentRaw=783.2 | Change=0.6 => Floor
data,,783.8,783.2,0.6,783.2,Time=1.4s | BaseRaw=783.8 | CurrentRaw=783.2 | Change=0.6 => Floor
data,,783.8,783.0,0.8,783.0,Time=1.5s | BaseRaw=783.8 | CurrentRaw=783.0 | Change=0.8 => Floor
data,,783.8,783.0,0.8,783.0,Time=1.6s | BaseRaw=783.8 | CurrentRaw=783.0 | Change=0.8 => Floor
data,,783.8,783.2,0.6,783.2,Time=1.7s | BaseRaw=783.8 | CurrentRaw=783.2 | Change=0.6 => Floor
data,,783.8,782.8,1.0,782.8,Time=1.8s | BaseRaw=783.8 | CurrentRaw=782.8 | Change=1.0 => Floor
data,,783.8,782.8,1.0,782.8,Time=1.9s | BaseRaw=783.8 | CurrentRaw=782.8 | Change=1.0 => Floor
data,,783.8,782.8,1.0,782.8,Time=2.0s | BaseRaw=783.8 | CurrentRaw=782.8 | Change=1.0 => Floor
data,,783.8,782.8,1.0,782.8,Time=2.1s | BaseRaw=783.8 | CurrentRaw=782.8 | Change=1.0 => Floor
data,,783.8,783.0,0.8,783.0,Time=2.2s | BaseRaw=783.8 | CurrentRaw=783.0 | Change=0.8 => Floor
data,,783.8,783.0,0.8,783.0,Time=2.3s | BaseRaw=783.8 | CurrentRaw=783.0 | Change=0.8 => Floor
data,,783.8,783.0,0.8,783.0,Time=2.4s | BaseRaw=783.8 | CurrentRaw=783.0 | Change=0.8 => Floor
data,,783.8,783.0,0.8,783.0,Time=2.5s | BaseRaw=783.8 | CurrentRaw=783.0 | Change=0.8 => Floor
data,,783.8,783.2,0.6,783.2,Time=2.6s | BaseRaw=783.8 | CurrentRaw=783.2 | Change=0.6 => Floor
data,,783.8,783.2,0.6,783.2,Time=2.7s | BaseRaw=783.8 | CurrentRaw=783.2 | Change=0.6 => Floor
data,,783.8,783.4,0.4,783.4,Time=2.8s | BaseRaw=783.8 | CurrentRaw=783.4 | Change=0.4 => Floor
data,,783.8,783.4,0.4,783.4,Time=2.9s | BaseRaw=783.8 | CurrentRaw=783.4 | Change=0.4 => Floor
data,,783.8,782.8,1.0,782.8,Time=3.0s | BaseRaw=783.8 | CurrentRaw=782.8 | Change=1.0 => Floor
data,,783.8,782.8,1.0,782.8,Time=3.1s | BaseRaw=783.8 | CurrentRaw=782.8 | Change=1.0 => Floor
data,,783.8,782.6,1.2,782.6,Time=3.2s | BaseRaw=783.8 | CurrentRaw=782.6 | Change=1.2 => Floor
data,,783.8,783.0,0.8,783.0,Time=3.3s | BaseRaw=783.8 | CurrentRaw=783.0 | Change=0.8 => Floor
data,,783.8,782.8,1.0,782.8,Time=3.4s | BaseRaw=783.8 | CurrentRaw=782.8 | Change=1.0 => Floor
data,,783.8,783.6,0.2,783.6,Time=3.5s | BaseRaw=783.8 | CurrentRaw=783.6 | Change=0.2 => Floor
data,,783.8,783.8,0.0,783.8,Time=3.6s | BaseRaw=783.8 | CurrentRaw=783.8 | Change=0.0 => Floor
data,,783.8,783.8,0.0,783.8,Time=3.7s | BaseRaw=783.8 | CurrentRaw=783.8 | Change=0.0 => Floor
data,,783.8,783.6,0.2,783.6,Time=3.8s | BaseRaw=783.8 | CurrentRaw=783.6 | Change=0.2 => Floor
data,,783.8,784.0,0.2,784.0,Time=3.9s | BaseRaw=783.8 | CurrentRaw=784.0 | Change=0.2 => Floor
data,,783.8,784.0,0.2,784.0,Time=4.0s | BaseRaw=783.8 | CurrentRaw=784.0 | Change=0.2 => Floor
data,,783.8,784.2,0.4,784.2,Time=4.1s | BaseRaw=783.8 | CurrentRaw=784.2 | Change=0.4 => Floor
data,,783.8,784.6,0.8,784.6,Time=4.2s | BaseRaw=783.8 | CurrentRaw=784.6 | Change=0.8 => Floor
data,,783.8,785.8,2.0,785.8,Time=4.3s | BaseRaw=783.8 | CurrentRaw=785.8 | Change=2.0 => Floor
data,,783.8,786.6,2.8,786.6,Time=4.4s | BaseRaw=783.8 | CurrentRaw=786.6 | Change=2.8 => Floor
data,,783.8,787.0,3.2,787.0,Time=4.5s | BaseRaw=783.8 | CurrentRaw=787.0 | Change=3.2 => Floor
data,,783.8,787.6,3.8,787.6,Time=4.6s | BaseRaw=783.8 | CurrentRaw=787.6 | Change=3.8 => Floor
data,,783.8,788.2,4.4,788.2,Time=4.7s | BaseRaw=783.8 | CurrentRaw=788.2 | Change=4.4 => Floor
data,,783.8,788.4,4.6,788.4,Time=4.8s | BaseRaw=783.8 | CurrentRaw=788.4 | Change=4.6 => Floor
data,,783.8,789.0,5.2,789.0,Time=4.9s | BaseRaw=783.8 | CurrentRaw=789.0 | Change=5.2 => Floor
data,,783.8,789.2,5.4,789.2,Time=5.0s | BaseRaw=783.8 | CurrentRaw=789.2 | Change=5.4 => Floor
data,,783.8,789.6,5.8,789.6,Time=5.1s | BaseRaw=783.8 | CurrentRaw=789.6 | Change=5.8 => Floor
data,,783.8,790.0,6.2,790.0,Time=5.2s | BaseRaw=783.8 | CurrentRaw=790.0 | Change=6.2 => Floor
data,,783.8,789.4,5.6,789.4,Time=5.3s | BaseRaw=783.8 | CurrentRaw=789.4 | Change=5.6 => Floor
data,,783.8,787.4,3.6,787.4,Time=5.4s | BaseRaw=783.8 | CurrentRaw=787.4 | Change=3.6 => Floor
data,,783.8,781.2,2.6,781.2,Time=5.5s | BaseRaw=783.8 | CurrentRaw=781.2 | Change=2.6 => Floor
data,,783.8,772.4,11.4,772.4,Time=5.6s | BaseRaw=783.8 | CurrentRaw=772.4 | Change=11.4 => Liquid
data,,783.8,763.6,20.2,763.6,Time=5.7s | BaseRaw=783.8 | CurrentRaw=763.6 | Change=20.2 => Liquid
data,,783.8,756.4,27.4,756.4,Time=5.8s | BaseRaw=783.8 | CurrentRaw=756.4 | Change=27.4 => Liquid
data,,783.8,748.6,35.2,748.6,Time=5.9s | BaseRaw=783.8 | CurrentRaw=748.6 | Change=35.2 => Liquid
data,,783.8,746.0,37.8,746.0,Time=6.0s | BaseRaw=783.8 | CurrentRaw=746.0 | Change=37.8 => Liquid
data,,783.8,747.2,36.6,747.2,Time=6.1s | BaseRaw=783.8 | CurrentRaw=747.2 | Change=36.6 => Liquid
data,,783.8,746.4,37.4,746.4,Time=6.2s | BaseRaw=783.8 | CurrentRaw=746.4 | Change=37.4 => Liquid
data,,783.8,744.6,39.2,744.6,Time=6.3s | BaseRaw=783.8 | CurrentRaw=744.6 | Change=39.2 => Liquid
data,,783.8,745.6,38.2,745.6,Time=6.4s | BaseRaw=783.8 | CurrentRaw=745.6 | Change=38.2 => Liquid
data,,783.8,744.2,39.6,744.2,Time=6.5s | BaseRaw=783.8 | CurrentRaw=744.2 | Change=39.6 => Liquid
