record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,684.80,,,,684.80,Collecting baseline... RawAvg=684.80
baseline,684.20,,,,684.20,Collecting baseline... RawAvg=684.20
baseline,683.80,,,,683.80,Collecting baseline... RawAvg=683.80
baseline,684.80,,,,684.80,Collecting baseline... RawAvg=684.80
baseline,684.80,,,,684.80,Collecting baseline... RawAvg=684.80
baseline,686.00,,,,686.00,Collecting baseline... RawAvg=686.00
baseline,686.60,,,,686.60,Collecting baseline... RawAvg=686.60
baseline,687.20,,,,687.20,Collecting baseline... RawAvg=687.20
baseline,687.20,,,,687.20,Collecting baseline... RawAvg=687.20
baseline,687.20,,,,687.20,Collecting baseline... RawAvg=687.20
baseline,687.20,,,,687.20,Collecting baseline... RawAvg=687.20
baseline,687.20,,,,687.20,Collecting baseline... RawAvg=687.20
baseline,686.60,,,,686.60,Collecting baseline... RawAvg=686.60
baseline,685.60,,,,685.60,Collecting baseline... RawAvg=685.60
baseline,685.00,,,,685.00,Collecting baseline... RawAvg=685.00
baseline,684.40,,,,684.40,Collecting baseline... RawAvg=684.40
baseline,683.80,,,,683.80,Collecting baseline... RawAvg=683.80
baseline,683.80,,,,683.80,Collecting baseline... RawAvg=683.80
baseline,683.80,,,,683.80,Collecting baseline... RawAvg=683.80
baseline,684.20,,,,684.20,Collecting baseline... RawAvg=684.20
baseline,684.20,,,,684.20,Collecting baseline... RawAvg=684.20
baseline,684.60,,,,684.60,Collecting baseline... RawAvg=684.60
baseline,685.20,,,,685.20,Collecting baseline... RawAvg=685.20
baseline,685.80,,,,685.80,Collecting baseline... RawAvg=685.80
baseline,686.40,,,,686.40,Collecting baseline... RawAvg=686.40
baseline,687.00,,,,687.00,Collecting baseline... RawAvg=687.00
baseline,688.00,,,,688.00,Collecting baseline... RawAvg=688.00
baseline,688.20,,,,688.20,Collecting baseline... RawAvg=688.20
baseline,687.80,,,,687.80,Collecting baseline... RawAvg=687.80
baseline,687.60,,,,687.60,Collecting baseline... RawAvg=687.60
baseline,686.80,,,,686.80,Collecting baseline... RawAvg=686.80
baseline,685.20,,,,685.20,Collecting baseline... RawAvg=685.20
baseline,683.80,,,,683.80,Collecting baseline... RawAvg=683.80
baseline,683.40,,,,683.40,Collecting baseline... RawAvg=683.40
baseline,682.80,,,,682.80,Collecting baseline... RawAvg=682.80
baseline,682.60,,,,682.60,Collecting baseline... RawAvg=682.60
baseline,683.40,,,,683.40,Collecting baseline... RawAvg=683.40
baseline,683.60,,,,683.60,Collecting baseline... RawAvg=683.60
baseline,683.80,,,,683.80,Collecting baseline... RawAvg=683.80
baseline,684.20,,,,684.20,Collecting baseline... RawAvg=684.20
baseline,684.40,,,,684.40,Collecting baseline... RawAvg=684.40
baseline,684.60,,,,684.60,Collecting baseline... RawAvg=684.60
baseline,685.20,,,,685.20,Collecting baseline... RawAvg=685.20
baseline,685.80,,,,685.80,Collecting baseline... RawAvg=685.80
baseline,686.40,,,,686.40,Collecting baseline... RawAvg=686.40
baseline,687.40,,,,687.40,Collecting baseline... RawAvg=687.40
baseline,687.40,,,,687.40,Collecting baseline... RawAvg=687.40
baseline,687.40,,,,687.40,Collecting baseline... RawAvg=687.40
baseline,687.20,,,,687.20,Collecting baseline... RawAvg=687.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,685.48,,,685.48,Final Base Raw Average = 685.48
info,,,,,,--------------------------------------------------------------------------
data,,685.5,685.6,0.1,685.6,Time=0.1s | BaseRaw=685.5 | CurrentRaw=685.6 | Change=0.1 => Floor
data,,685.5,684.8,0.7,684.8,Time=0.2s | BaseRaw=685.5 | CurrentRaw=684.8 | Change=0.7 => Floor
data,,685.5,684.2,1.3,684.2,Time=0.3s | BaseRaw=685.5 | CurrentRaw=684.2 | Change=1.3 => Floor
data,,685.5,684.4,1.1,684.4,Time=0.4s | BaseRaw=685.5 | CurrentRaw=684.4 | Change=1.1 => Floor
data,,685.5,684.8,0.7,684.8,Time=0.5s | BaseRaw=685.5 | CurrentRaw=684.8 | Change=0.7 => Floor
data,,685.5,684.0,1.5,684.0,Time=0.6s | BaseRaw=685.5 | CurrentRaw=684.0 | Change=1.5 => Floor
data,,685.5,684.6,0.9,684.6,Time=0.7s | BaseRaw=685.5 | CurrentRaw=684.6 | Change=0.9 => Floor
data,,685.5,685.0,0.5,685.0,Time=0.8s | BaseRaw=685.5 | CurrentRaw=685.0 | Change=0.5 => Floor
data,,685.5,685.0,0.5,685.0,Time=0.9s | BaseRaw=685.5 | CurrentRaw=685.0 | Change=0.5 => Floor
data,,685.5,684.6,0.9,684.6,Time=1.0s | BaseRaw=685.5 | CurrentRaw=684.6 | Change=0.9 => Floor
data,,685.5,685.2,0.3,685.2,Time=1.1s | BaseRaw=685.5 | CurrentRaw=685.2 | Change=0.3 => Floor
data,,685.5,685.2,0.3,685.2,Time=1.2s | BaseRaw=685.5 | CurrentRaw=685.2 | Change=0.3 => Floor
data,,685.5,685.0,0.5,685.0,Time=1.3s | BaseRaw=685.5 | CurrentRaw=685.0 | Change=0.5 => Floor
data,,685.5,684.8,0.7,684.8,Time=1.4s | BaseRaw=685.5 | CurrentRaw=684.8 | Change=0.7 => Floor
data,,685.5,685.0,0.5,685.0,Time=1.5s | BaseRaw=685.5 | CurrentRaw=685.0 | Change=0.5 => Floor
data,,685.5,685.0,0.5,685.0,Time=1.6s | BaseRaw=685.5 | CurrentRaw=685.0 | Change=0.5 => Floor
data,,685.5,684.4,1.1,684.4,Time=1.7s | BaseRaw=685.5 | CurrentRaw=684.4 | Change=1.1 => Floor
data,,685.5,685.0,0.5,685.0,Time=1.8s | BaseRaw=685.5 | CurrentRaw=685.0 | Change=0.5 => Floor
data,,685.5,685.0,0.5,685.0,Time=1.9s | BaseRaw=685.5 | CurrentRaw=685.0 | Change=0.5 => Floor
data,,685.5,685.4,0.1,685.4,Time=2.0s | BaseRaw=685.5 | CurrentRaw=685.4 | Change=0.1 => Floor
data,,685.5,685.2,0.3,685.2,Time=2.1s | BaseRaw=685.5 | CurrentRaw=685.2 | Change=0.3 => Floor
data,,685.5,685.4,0.1,685.4,Time=2.2s | BaseRaw=685.5 | CurrentRaw=685.4 | Change=0.1 => Floor
data,,685.5,685.4,0.1,685.4,Time=2.3s | BaseRaw=685.5 | CurrentRaw=685.4 | Change=0.1 => Floor
data,,685.5,685.6,0.1,685.6,Time=2.4s | BaseRaw=685.5 | CurrentRaw=685.6 | Change=0.1 => Floor
data,,685.5,685.4,0.1,685.4,Time=2.5s | BaseRaw=685.5 | CurrentRaw=685.4 | Change=0.1 => Floor
data,,685.5,685.6,0.1,685.6,Time=2.6s | BaseRaw=685.5 | CurrentRaw=685.6 | Change=0.1 => Floor
data,,685.5,685.4,0.1,685.4,Time=2.7s | BaseRaw=685.5 | CurrentRaw=685.4 | Change=0.1 => Floor
data,,685.5,685.4,0.1,685.4,Time=2.8s | BaseRaw=685.5 | CurrentRaw=685.4 | Change=0.1 => Floor
data,,685.5,686.4,0.9,686.4,Time=2.9s | BaseRaw=685.5 | CurrentRaw=686.4 | Change=0.9 => Floor
data,,685.5,686.0,0.5,686.0,Time=3.0s | BaseRaw=685.5 | CurrentRaw=686.0 | Change=0.5 => Floor
data,,685.5,686.2,0.7,686.2,Time=3.1s | BaseRaw=685.5 | CurrentRaw=686.2 | Change=0.7 => Floor
data,,685.5,686.4,0.9,686.4,Time=3.2s | BaseRaw=685.5 | CurrentRaw=686.4 | Change=0.9 => Floor
data,,685.5,686.0,0.5,686.0,Time=3.3s | BaseRaw=685.5 | CurrentRaw=686.0 | Change=0.5 => Floor
data,,685.5,685.6,0.1,685.6,Time=3.4s | BaseRaw=685.5 | CurrentRaw=685.6 | Change=0.1 => Floor
data,,685.5,685.4,0.1,685.4,Time=3.5s | BaseRaw=685.5 | CurrentRaw=685.4 | Change=0.1 => Floor
data,,685.5,685.4,0.1,685.4,Time=3.6s | BaseRaw=685.5 | CurrentRaw=685.4 | Change=0.1 => Floor
data,,685.5,685.4,0.1,685.4,Time=3.7s | BaseRaw=685.5 | CurrentRaw=685.4 | Change=0.1 => Floor
data,,685.5,686.4,0.9,686.4,Time=3.8s | BaseRaw=685.5 | CurrentRaw=686.4 | Change=0.9 => Floor
data,,685.5,686.4,0.9,686.4,Time=3.9s | BaseRaw=685.5 | CurrentRaw=686.4 | Change=0.9 => Floor
data,,685.5,687.6,2.1,687.6,Time=4.0s | BaseRaw=685.5 | CurrentRaw=687.6 | Change=2.1 => Floor
data,,685.5,688.0,2.5,688.0,Time=4.1s | BaseRaw=685.5 | CurrentRaw=688.0 | Change=2.5 => Floor
data,,685.5,688.8,3.3,688.8,Time=4.2s | BaseRaw=685.5 | CurrentRaw=688.8 | Change=3.3 => Floor
data,,685.5,689.6,4.1,689.6,Time=4.3s | BaseRaw=685.5 | CurrentRaw=689.6 | Change=4.1 => Floor
data,,685.5,690.4,4.9,690.4,Time=4.4s | BaseRaw=685.5 | CurrentRaw=690.4 | Change=4.9 => Floor
data,,685.5,691.2,5.7,691.2,Time=4.5s | BaseRaw=685.5 | CurrentRaw=691.2 | Change=5.7 => Floor
data,,685.5,692.2,6.7,692.2,Time=4.6s | BaseRaw=685.5 | CurrentRaw=692.2 | Change=6.7 => Floor
data,,685.5,693.0,7.5,693.0,Time=4.7s | BaseRaw=685.5 | CurrentRaw=693.0 | Change=7.5 => Floor
data,,685.5,693.4,7.9,693.4,Time=4.8s | BaseRaw=685.5 | CurrentRaw=693.4 | Change=7.9 => Floor
data,,685.5,694.0,8.5,694.0,Time=4.9s | BaseRaw=685.5 | CurrentRaw=694.0 | Change=8.5 => Floor
data,,685.5,694.6,9.1,694.6,Time=5.0s | BaseRaw=685.5 | CurrentRaw=694.6 | Change=9.1 => Floor
data,,685.5,695.6,10.1,695.6,Time=5.1s | BaseRaw=685.5 | CurrentRaw=695.6 | Change=10.1 => Liquid
data,,685.5,698.4,12.9,698.4,Time=5.2s | BaseRaw=685.5 | CurrentRaw=698.4 | Change=12.9 => Liquid
data,,685.5,701.0,15.5,701.0,Time=5.3s | BaseRaw=685.5 | CurrentRaw=701.0 | Change=15.5 => Liquid
data,,685.5,703.8,18.3,703.8,Time=5.4s | BaseRaw=685.5 | CurrentRaw=703.8 | Change=18.3 => Liquid
data,,685.5,709.0,23.5,709.0,Time=5.5s | BaseRaw=685.5 | CurrentRaw=709.0 | Change=23.5 => Liquid
data,,685.5,715.6,30.1,715.6,Time=5.6s | BaseRaw=685.5 | CurrentRaw=715.6 | Change=30.1 => Liquid
data,,685.5,719.2,33.7,719.2,Time=5.7s | BaseRaw=685.5 | CurrentRaw=719.2 | Change=33.7 => Liquid
data,,685.5,722.4,36.9,722.4,Time=5.8s | BaseRaw=685.5 | CurrentRaw=722.4 | Change=36.9 => Liquid
data,,685.5,725.4,39.9,725.4,Time=5.9s | BaseRaw=685.5 | CurrentRaw=725.4 | Change=39.9 => Liquid
data,,685.5,725.4,39.9,725.4,Time=6.0s | BaseRaw=685.5 | CurrentRaw=725.4 | Change=39.9 => Liquid
data,,685.5,724.0,38.5,724.0,Time=6.1s | BaseRaw=685.5 | CurrentRaw=724.0 | Change=38.5 => Liquid
data,,685.5,724.2,38.7,724.2,Time=6.2s | BaseRaw=685.5 | CurrentRaw=724.2 | Change=38.7 => Liquid
data,,685.5,723.2,37.7,723.2,Time=6.3s | BaseRaw=685.5 | CurrentRaw=723.2 | Change=37.7 => Liquid
data,,685.5,722.0,36.5,722.0,Time=6.4s | BaseRaw=685.5 | CurrentRaw=722.0 | Change=36.5 => Liquid
data,,685.5,722.0,36.5,722.0,Time=6.5s | BaseRaw=685.5 | CurrentRaw=722.0 | Change=36.5 => Liquid
