record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,512.60,,,,512.60,Collecting baseline... RawAvg=512.60
baseline,513.40,,,,513.40,Collecting baseline... RawAvg=513.40
baseline,513.80,,,,513.80,Collecting baseline... RawAvg=513.80
baseline,513.60,,,,513.60,Collecting baseline... RawAvg=513.60
baseline,513.40,,,,513.40,Collecting baseline... RawAvg=513.40
baseline,513.60,,,,513.60,Collecting baseline... RawAvg=513.60
baseline,513.00,,,,513.00,Collecting baseline... RawAvg=513.00
baseline,513.20,,,,513.20,Collecting baseline... RawAvg=513.20
baseline,513.80,,,,513.80,Collecting baseline... RawAvg=513.80
baseline,514.20,,,,514.20,Collecting baseline... RawAvg=514.20
baseline,514.40,,,,514.40,Collecting baseline... RawAvg=514.40
baseline,514.00,,,,514.00,Collecting baseline... RawAvg=514.00
baseline,512.80,,,,512.80,Collecting baseline... RawAvg=512.80
baseline,511.80,,,,511.80,Collecting baseline... RawAvg=511.80
baseline,511.20,,,,511.20,Collecting baseline... RawAvg=511.20
baseline,511.00,,,,511.00,Collecting baseline... RawAvg=511.00
baseline,511.80,,,,511.80,Collecting baseline... RawAvg=511.80
baseline,512.80,,,,512.80,Collecting baseline... RawAvg=512.80
baseline,514.00,,,,514.00,Collecting baseline... RawAvg=514.00
baseline,515.00,,,,515.00,Collecting baseline... RawAvg=515.00
baseline,514.80,,,,514.80,Collecting baseline... RawAvg=514.80
baseline,514.00,,,,514.00,Collecting baseline... RawAvg=514.00
baseline,513.20,,,,513.20,Collecting baseline... RawAvg=513.20
baseline,512.40,,,,512.40,Collecting baseline... RawAvg=512.40
baseline,512.20,,,,512.20,Collecting baseline... RawAvg=512.20
baseline,512.60,,,,512.60,Collecting baseline... RawAvg=512.60
baseline,513.20,,,,513.20,Collecting baseline... RawAvg=513.20
baseline,513.60,,,,513.60,Collecting baseline... RawAvg=513.60
baseline,513.40,,,,513.40,Collecting baseline... RawAvg=513.40
baseline,512.20,,,,512.20,Collecting baseline... RawAvg=512.20
baseline,511.20,,,,511.20,Collecting baseline... RawAvg=511.20
baseline,510.40,,,,510.40,Collecting baseline... RawAvg=510.40
baseline,510.00,,,,510.00,Collecting baseline... RawAvg=510.00
baseline,510.40,,,,510.40,Collecting baseline... RawAvg=510.40
baseline,511.20,,,,511.20,Collecting baseline... RawAvg=511.20
baseline,512.00,,,,512.00,Collecting baseline... RawAvg=512.00
baseline,512.60,,,,512.60,Collecting baseline... RawAvg=512.60
baseline,512.20,,,,512.20,Collecting baseline... RawAvg=512.20
baseline,511.40,,,,511.40,Collecting baseline... RawAvg=511.40
baseline,510.60,,,,510.60,Collecting baseline... RawAvg=510.60
baseline,510.00,,,,510.00,Collecting baseline... RawAvg=510.00
baseline,510.00,,,,510.00,Collecting baseline... RawAvg=510.00
baseline,510.80,,,,510.80,Collecting baseline... RawAvg=510.80
baseline,511.60,,,,511.60,Collecting baseline... RawAvg=511.60
baseline,512.40,,,,512.40,Collecting baseline... RawAvg=512.40
baseline,512.60,,,,512.60,Collecting baseline... RawAvg=512.60
baseline,511.80,,,,511.80,Collecting baseline... RawAvg=511.80
baseline,511.00,,,,511.00,Collecting baseline... RawAvg=511.00
baseline,510.20,,,,510.20,Collecting baseline... RawAvg=510.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,512.40,,,512.40,Final Base Raw Average = 512.40
info,,,,,,--------------------------------------------------------------------------
data,,512.4,510.0,2.4,510.0,Time=0.1s | BaseRaw=512.4 | CurrentRaw=510.0 | Change=2.4 => Floor
data,,512.4,510.8,1.6,510.8,Time=0.2s | BaseRaw=512.4 | CurrentRaw=510.8 | Change=1.6 => Floor
data,,512.4,511.0,1.4,511.0,Time=0.3s | BaseRaw=512.4 | CurrentRaw=511.0 | Change=1.4 => Floor
data,,512.4,511.8,0.6,511.8,Time=0.4s | BaseRaw=512.4 | CurrentRaw=511.8 | Change=0.6 => Floor
data,,512.4,511.4,1.0,511.4,Time=0.5s | BaseRaw=512.4 | CurrentRaw=511.4 | Change=1.0 => Floor
data,,512.4,511.6,0.8,511.6,Time=0.6s | BaseRaw=512.4 | CurrentRaw=511.6 | Change=0.8 => Floor
data,,512.4,511.0,1.4,511.0,Time=0.7s | BaseRaw=512.4 | CurrentRaw=511.0 | Change=1.4 => Floor
data,,512.4,511.0,1.4,511.0,Time=0.8s | BaseRaw=512.4 | CurrentRaw=511.0 | Change=1.4 => Floor
data,,512.4,511.0,1.4,511.0,Time=0.9s | BaseRaw=512.4 | CurrentRaw=511.0 | Change=1.4 => Floor
data,,512.4,511.0,1.4,511.0,Time=1.0s | BaseRaw=512.4 | CurrentRaw=511.0 | Change=1.4 => Floor
data,,512.4,511.0,1.4,511.0,Time=1.1s | BaseRaw=512.4 | CurrentRaw=511.0 | Change=1.4 => Floor
data,,512.4,510.8,1.6,510.8,Time=1.2s | BaseRaw=512.4 | CurrentRaw=510.8 | Change=1.6 => Floor
data,,512.4,511.4,1.0,511.4,Time=1.3s | BaseRaw=512.4 | CurrentRaw=511.4 | Change=1.0 => Floor
data,,512.4,511.4,1.0,511.4,Time=1.4s | BaseRaw=512.4 | CurrentRaw=511.4 | Change=1.0 => Floor
data,,512.4,511.4,1.0,511.4,Time=1.5s | BaseRaw=512.4 | CurrentRaw=511.4 | Change=1.0 => Floor
data,,512.4,511.4,1.0,511.4,Time=1.6s | BaseRaw=512.4 | CurrentRaw=511.4 | Change=1.0 => Floor
data,,512.4,511.4,1.0,511.4,Time=1.7s | BaseRaw=512.4 | CurrentRaw=511.4 | Change=1.0 => Floor
data,,512.4,511.4,1.0,511.4,Time=1.8s | BaseRaw=512.4 | CurrentRaw=511.4 | Change=1.0 => Floor
data,,512.4,510.6,1.8,510.6,Time=1.9s | BaseRaw=512.4 | CurrentRaw=510.6 | Change=1.8 => Floor
data,,512.4,511.0,1.4,511.0,Time=2.0s | BaseRaw=512.4 | CurrentRaw=511.0 | Change=1.4 => Floor
data,,512.4,511.0,1.4,511.0,Time=2.1s | BaseRaw=512.4 | CurrentRaw=511.0 | Change=1.4 => Floor
data,,512.4,511.0,1.4,511.0,Time=2.2s | BaseRaw=512.4 | CurrentRaw=511.0 | Change=1.4 => Floor
data,,512.4,511.0,1.4,511.0,Time=2.3s | BaseRaw=512.4 | CurrentRaw=511.0 | Change=1.4 => Floor
data,,512.4,511.0,1.4,511.0,Time=2.4s | BaseRaw=512.4 | CurrentRaw=511.0 | Change=1.4 => Floor
data,,512.4,511.6,0.8,511.6,Time=2.5s | BaseRaw=512.4 | CurrentRaw=511.6 | Change=0.8 => Floor
data,,512.4,511.4,1.0,511.4,Time=2.6s | BaseRaw=512.4 | CurrentRaw=511.4 | Change=1.0 => Floor
data,,512.4,511.6,0.8,511.6,Time=2.7s | BaseRaw=512.4 | CurrentRaw=511.6 | Change=0.8 => Floor
data,,512.4,511.6,0.8,511.6,Time=2.8s | BaseRaw=512.4 | CurrentRaw=511.6 | Change=0.8 => Floor
data,,512.4,511.6,0.8,511.6,Time=2.9s | BaseRaw=512.4 | CurrentRaw=511.6 | Change=0.8 => Floor
data,,512.4,511.6,0.8,511.6,Time=3.0s | BaseRaw=512.4 | CurrentRaw=511.6 | Change=0.8 => Floor
data,,512.4,511.2,1.2,511.2,Time=3.1s | BaseRaw=512.4 | CurrentRaw=511.2 | Change=1.2 => Floor
data,,512.4,512.0,0.4,512.0,Time=3.2s | BaseRaw=512.4 | CurrentRaw=512.0 | Change=0.4 => Floor
data,,512.4,512.4,0.0,512.4,Time=3.3s | BaseRaw=512.4 | CurrentRaw=512.4 | Change=0.0 => Floor
data,,512.4,513.2,0.8,513.2,Time=3.4s | BaseRaw=512.4 | CurrentRaw=513.2 | Change=0.8 => Floor
data,,512.4,513.6,1.2,513.6,Time=3.5s | BaseRaw=512.4 | CurrentRaw=513.6 | Change=1.2 => Floor
data,,512.4,514.0,1.6,514.0,Time=3.6s | BaseRaw=512.4 | CurrentRaw=514.0 | Change=1.6 => Floor
data,,512.4,514.6,2.2,514.6,Time=3.7s | BaseRaw=512.4 | CurrentRaw=514.6 | Change=2.2 => Floor
data,,512.4,514.4,2.0,514.4,Time=3.8s | BaseRaw=512.4 | CurrentRaw=514.4 | Change=2.0 => Floor
data,,512.4,514.6,2.2,514.6,Time=3.9s | BaseRaw=512.4 | CurrentRaw=514.6 | Change=2.2 => Floor
data,,512.4,514.6,2.2,514.6,Time=4.0s | BaseRaw=512.4 | CurrentRaw=514.6 | Change=2.2 => Floor
data,,512.4,514.8,2.4,514.8,Time=4.1s | BaseRaw=512.4 | CurrentRaw=514.8 | Change=2.4 => Floor
data,,512.4,514.8,2.4,514.8,Time=4.2s | BaseRaw=512.4 | CurrentRaw=514.8 | Change=2.4 => Floor
data,,512.4,514.4,2.0,514.4,Time=4.3s | BaseRaw=512.4 | CurrentRaw=514.4 | Change=2.0 => Floor
data,,512.4,514.2,1.8,514.2,Time=4.4s | BaseRaw=512.4 | CurrentRaw=514.2 | Change=1.8 => Floor
data,,512.4,512.4,0.0,512.4,Time=4.5s | BaseRaw=512.4 | CurrentRaw=512.4 | Change=0.0 => Floor
data,,512.4,510.2,2.2,510.2,Time=4.6s | BaseRaw=512.4 | CurrentRaw=510.2 | Change=2.2 => Floor
data,,512.4,507.0,5.4,507.0,Time=4.7s | BaseRaw=512.4 | CurrentRaw=507.0 | Change=5.4 => Floor
data,,512.4,504.0,8.4,504.0,Time=4.8s | BaseRaw=512.4 | CurrentRaw=504.0 | Change=8.4 => Floor
data,,512.4,501.2,11.2,501.2,Time=4.9s | BaseRaw=512.4 | CurrentRaw=501.2 | Change=11.2 => Liquid
data,,512.4,498.8,13.6,498.8,Time=5.0s | BaseRaw=512.4 | CurrentRaw=498.8 | Change=13.6 => Liquid
data,,512.4,497.6,14.8,497.6,Time=5.1s | BaseRaw=512.4 | CurrentRaw=497.6 | Change=14.8 => Liquid
data,,512.4,496.6,15.8,496.6,Time=5.2s | BaseRaw=512.4 | CurrentRaw=496.6 | Change=15.8 => Liquid
data,,512.4,495.8,16.6,495.8,Time=5.3s | BaseRaw=512.4 | CurrentRaw=495.8 | Change=16.6 => Liquid
data,,512.4,495.0,17.4,495.0,Time=5.4s | BaseRaw=512.4 | CurrentRaw=495.0 | Change=17.4 => Liquid
data,,512.4,495.4,17.0,495.4,Time=5.5s | BaseRaw=512.4 | CurrentRaw=495.4 | Change=17.0 => Liquid
data,,512.4,495.0,17.4,495.0,Time=5.6s | BaseRaw=512.4 | CurrentRaw=495.0 | Change=17.4 => Liquid
data,,512.4,494.8,17.6,494.8,Time=5.7s | BaseRaw=512.4 | CurrentRaw=494.8 | Change=17.6 => Liquid
data,,512.4,495.4,17.0,495.4,Time=5.8s | BaseRaw=512.4 | CurrentRaw=495.4 | Change=17.0 => Liquid
data,,512.4,494.8,17.6,494.8,Time=5.9s | BaseRaw=512.4 | CurrentRaw=494.8 | Change=17.6 => Liquid
data,,512.4,494.0,18.4,494.0,Time=6.0s | BaseRaw=512.4 | CurrentRaw=494.0 | Change=18.4 => Liquid
data,,512.4,494.0,18.4,494.0,Time=6.1s | BaseRaw=512.4 | CurrentRaw=494.0 | Change=18.4 => Liquid
data,,512.4,493.0,19.4,493.0,Time=6.2s | BaseRaw=512.4 | CurrentRaw=493.0 | Change=19.4 => Liquid
data,,512.4,492.2,20.2,492.2,Time=6.3s | BaseRaw=512.4 | CurrentRaw=492.2 | Change=20.2 => Liquid
data,,512.4,492.4,20.0,492.4,Time=6.4s | BaseRaw=512.4 | CurrentRaw=492.4 | Change=20.0 => Liquid
data,,512.4,491.8,20.6,491.8,Time=6.5s | BaseRaw=512.4 | CurrentRaw=491.8 | Change=20.6 => Liquid
