record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,472.60,,,,472.60,Collecting baseline... RawAvg=472.60
baseline,472.40,,,,472.40,Collecting baseline... RawAvg=472.40
baseline,472.40,,,,472.40,Collecting baseline... RawAvg=472.40
baseline,472.40,,,,472.40,Collecting baseline... RawAvg=472.40
baseline,472.60,,,,472.60,Collecting baseline... RawAvg=472.60
baseline,472.80,,,,472.80,Collecting baseline... RawAvg=472.80
baseline,472.20,,,,472.20,Collecting baseline... RawAvg=472.20
baseline,471.20,,,,471.20,Collecting baseline... RawAvg=471.20
baseline,470.20,,,,470.20,Collecting baseline... RawAvg=470.20
baseline,469.20,,,,469.20,Collecting baseline... RawAvg=469.20
baseline,468.60,,,,468.60,Collecting baseline... RawAvg=468.60
baseline,468.80,,,,468.80,Collecting baseline... RawAvg=468.80
baseline,469.20,,,,469.20,Collecting baseline... RawAvg=469.20
baseline,469.40,,,,469.40,Collecting baseline... RawAvg=469.40
baseline,469.00,,,,469.00,Collecting baseline... RawAvg=469.00
baseline,468.00,,,,468.00,Collecting baseline... RawAvg=468.00
baseline,467.00,,,,467.00,Collecting baseline... RawAvg=467.00
baseline,466.20,,,,466.20,Collecting baseline... RawAvg=466.20
baseline,466.00,,,,466.00,Collecting baseline... RawAvg=466.00
baseline,466.80,,,,466.80,Collecting baseline... RawAvg=466.80
baseline,467.60,,,,467.60,Collecting baseline... RawAvg=467.60
baseline,468.40,,,,468.40,Collecting baseline... RawAvg=468.40
baseline,469.00,,,,469.00,Collecting baseline... RawAvg=469.00
baseline,468.40,,,,468.40,Collecting baseline... RawAvg=468.40
baseline,467.20,,,,467.20,Collecting baseline... RawAvg=467.20
baseline,466.40,,,,466.40,Collecting baseline... RawAvg=466.40
baseline,465.80,,,,465.80,Collecting baseline... RawAvg=465.80
baseline,465.80,,,,465.80,Collecting baseline... RawAvg=465.80
baseline,466.40,,,,466.40,Collecting baseline... RawAvg=466.40
baseline,467.20,,,,467.20,Collecting baseline... RawAvg=467.20
baseline,467.80,,,,467.80,Collecting baseline... RawAvg=467.80
baseline,467.80,,,,467.80,Collecting baseline... RawAvg=467.80
baseline,466.80,,,,466.80,Collecting baseline... RawAvg=466.80
baseline,466.00,,,,466.00,Collecting baseline... RawAvg=466.00
baseline,465.40,,,,465.40,Collecting baseline... RawAvg=465.40
baseline,465.00,,,,465.00,Collecting baseline... RawAvg=465.00
baseline,465.40,,,,465.40,Collecting baseline... RawAvg=465.40
baseline,466.20,,,,466.20,Collecting baseline... RawAvg=466.20
baseline,466.80,,,,466.80,Collecting baseline... RawAvg=466.80
baseline,467.20,,,,467.20,Collecting baseline... RawAvg=467.20
baseline,466.80,,,,466.80,Collecting baseline... RawAvg=466.80
baseline,465.80,,,,465.80,Collecting baseline... RawAvg=465.80
baseline,465.00,,,,465.00,Collecting baseline... RawAvg=465.00
baseline,464.60,,,,464.60,Collecting baseline... RawAvg=464.60
baseline,464.80,,,,464.80,Collecting baseline... RawAvg=464.80
baseline,465.60,,,,465.60,Collecting baseline... RawAvg=465.60
baseline,466.60,,,,466.60,Collecting baseline... RawAvg=466.60
baseline,467.40,,,,467.40,Collecting baseline... RawAvg=467.40
baseline,467.80,,,,467.80,Collecting baseline... RawAvg=467.80
info,,,,,,Baseline collection complete! Starting detection.
final_base,,467.92,,,467.92,Final Base Raw Average = 467.92
info,,,,,,--------------------------------------------------------------------------
data,,467.9,466.2,1.7,466.2,Time=0.1s | BaseRaw=467.9 | CurrentRaw=466.2 | Change=1.7 => Floor
data,,467.9,466.2,1.7,466.2,Time=0.2s | BaseRaw=467.9 | CurrentRaw=466.2 | Change=1.7 => Floor
data,,467.9,466.0,1.9,466.0,Time=0.3s | BaseRaw=467.9 | CurrentRaw=466.0 | Change=1.9 => Floor
data,,467.9,465.4,2.5,465.4,Time=0.4s | BaseRaw=467.9 | CurrentRaw=465.4 | Change=2.5 => Floor
data,,467.9,466.2,1.7,466.2,Time=0.5s | BaseRaw=467.9 | CurrentRaw=466.2 | Change=1.7 => Floor
data,,467.9,466.0,1.9,466.0,Time=0.6s | BaseRaw=467.9 | CurrentRaw=466.0 | Change=1.9 => Floor
data,,467.9,466.0,1.9,466.0,Time=0.7s | BaseRaw=467.9 | CurrentRaw=466.0 | Change=1.9 => Floor
data,,467.9,465.4,2.5,465.4,Time=0.8s | BaseRaw=467.9 | CurrentRaw=465.4 | Change=2.5 => Floor
data,,467.9,465.8,2.1,465.8,Time=0.9s | BaseRaw=467.9 | CurrentRaw=465.8 | Change=2.1 => Floor
data,,467.9,465.6,2.3,465.6,Time=1.0s | BaseRaw=467.9 | CurrentRaw=465.6 | Change=2.3 => Floor
data,,467.9,465.8,2.1,465.8,Time=1.1s | BaseRaw=467.9 | CurrentRaw=465.8 | Change=2.1 => Floor
data,,467.9,465.8,2.1,465.8,Time=1.2s | BaseRaw=467.9 | CurrentRaw=465.8 | Change=2.1 => Floor
data,,467.9,465.6,2.3,465.6,Time=1.3s | BaseRaw=467.9 | CurrentRaw=465.6 | Change=2.3 => Floor
data,,467.9,466.0,1.9,466.0,Time=1.4s | BaseRaw=467.9 | CurrentRaw=466.0 | Change=1.9 => Floor
data,,467.9,466.0,1.9,466.0,Time=1.5s | BaseRaw=467.9 | CurrentRaw=466.0 | Change=1.9 => Floor
data,,467.9,466.0,1.9,466.0,Time=1.6s | BaseRaw=467.9 | CurrentRaw=466.0 | Change=1.9 => Floor
data,,467.9,465.8,2.1,465.8,Time=1.7s | BaseRaw=467.9 | CurrentRaw=465.8 | Change=2.1 => Floor
data,,467.9,465.8,2.1,465.8,Time=1.8s | BaseRaw=467.9 | CurrentRaw=465.8 | Change=2.1 => Floor
data,,467.9,465.8,2.1,465.8,Time=1.9s | BaseRaw=467.9 | CurrentRaw=465.8 | Change=2.1 => Floor
data,,467.9,465.2,2.7,465.2,Time=2.0s | BaseRaw=467.9 | CurrentRaw=465.2 | Change=2.7 => Floor
data,,467.9,465.6,2.3,465.6,Time=2.1s | BaseRaw=467.9 | CurrentRaw=465.6 | Change=2.3 => Floor
data,,467.9,465.8,2.1,465.8,Time=2.2s | BaseRaw=467.9 | CurrentRaw=465.8 | Change=2.1 => Floor
data,,467.9,466.0,1.9,466.0,Time=2.3s | BaseRaw=467.9 | CurrentRaw=466.0 | Change=1.9 => Floor
data,,467.9,466.2,1.7,466.2,Time=2.4s | BaseRaw=467.9 | CurrentRaw=466.2 | Change=1.7 => Floor
data,,467.9,466.2,1.7,466.2,Time=2.5s | BaseRaw=467.9 | CurrentRaw=466.2 | Change=1.7 => Floor
data,,467.9,466.8,1.1,466.8,Time=2.6s | BaseRaw=467.9 | CurrentRaw=466.8 | Change=1.1 => Floor
data,,467.9,467.0,0.9,467.0,Time=2.7s | BaseRaw=467.9 | CurrentRaw=467.0 | Change=0.9 => Floor
data,,467.9,467.6,0.3,467.6,Time=2.8s | BaseRaw=467.9 | CurrentRaw=467.6 | Change=0.3 => Floor
data,,467.9,467.8,0.1,467.8,Time=2.9s | BaseRaw=467.9 | CurrentRaw=467.8 | Change=0.1 => Floor
data,,467.9,468.2,0.3,468.2,Time=3.0s | BaseRaw=467.9 | CurrentRaw=468.2 | Change=0.3 => Floor
data,,467.9,468.6,0.7,468.6,Time=3.1s | BaseRaw=467.9 | CurrentRaw=468.6 | Change=0.7 => Floor
data,,467.9,468.2,0.3,468.2,Time=3.2s | BaseRaw=467.9 | CurrentRaw=468.2 | Change=0.3 => Floor
data,,467.9,468.6,0.7,468.6,Time=3.3s | BaseRaw=467.9 | CurrentRaw=468.6 | Change=0.7 => Floor
data,,467.9,468.6,0.7,468.6,Time=3.4s | BaseRaw=467.9 | CurrentRaw=468.6 | Change=0.7 => Floor
data,,467.9,468.8,0.9,468.8,Time=3.5s | BaseRaw=467.9 | CurrentRaw=468.8 | Change=0.9 => Floor
data,,467.9,468.6,0.7,468.6,Time=3.6s | BaseRaw=467.9 | CurrentRaw=468.6 | Change=0.7 => Floor
data,,467.9,468.4,0.5,468.4,Time=3.7s | BaseRaw=467.9 | CurrentRaw=468.4 | Change=0.5 => Floor
data,,467.9,468.8,0.9,468.8,Time=3.8s | BaseRaw=467.9 | CurrentRaw=468.8 | Change=0.9 => Floor
data,,467.9,468.6,0.7,468.6,Time=3.9s | BaseRaw=467.9 | CurrentRaw=468.6 | Change=0.7 => Floor
data,,467.9,469.0,1.1,469.0,Time=4.0s | BaseRaw=467.9 | CurrentRaw=469.0 | Change=1.1 => Floor
data,,467.9,469.2,1.3,469.2,Time=4.1s | BaseRaw=467.9 | CurrentRaw=469.2 | Change=1.3 => Floor
data,,467.9,469.0,1.1,469.0,Time=4.2s | BaseRaw=467.9 | CurrentRaw=469.0 | Change=1.1 => Floor
data,,467.9,468.6,0.7,468.6,Time=4.3s | BaseRaw=467.9 | CurrentRaw=468.6 | Change=0.7 => Floor
data,,467.9,467.6,0.3,467.6,Time=4.4s | BaseRaw=467.9 | CurrentRaw=467.6 | Change=0.3 => Floor
data,,467.9,466.8,1.1,466.8,Time=4.5s | BaseRaw=467.9 | CurrentRaw=466.8 | Change=1.1 => Floor
data,,467.9,465.2,2.7,465.2,Time=4.6s | BaseRaw=467.9 | CurrentRaw=465.2 | Change=2.7 => Floor
data,,467.9,462.8,5.1,462.8,Time=4.7s | BaseRaw=467.9 | CurrentRaw=462.8 | Change=5.1 => Floor
data,,467.9,458.0,9.9,458.0,Time=4.8s | BaseRaw=467.9 | CurrentRaw=458.0 | Change=9.9 => Floor
data,,467.9,448.2,19.7,448.2,Time=4.9s | BaseRaw=467.9 | CurrentRaw=448.2 | Change=19.7 => Liquid
data,,467.9,434.0,33.9,434.0,Time=5.0s | BaseRaw=467.9 | CurrentRaw=434.0 | Change=33.9 => Liquid
data,,467.9,416.4,51.5,416.4,Time=5.1s | BaseRaw=467.9 | CurrentRaw=416.4 | Change=51.5 => Liquid
data,,467.9,399.6,68.3,399.6,Time=5.2s | BaseRaw=467.9 | CurrentRaw=399.6 | Change=68.3 => Liquid
data,,467.9,386.6,81.3,386.6,Time=5.3s | BaseRaw=467.9 | CurrentRaw=386.6 | Change=81.3 => Liquid
data,,467.9,380.2,87.7,380.2,Time=5.4s | BaseRaw=467.9 | CurrentRaw=380.2 | Change=87.7 => Liquid
data,,467.9,377.0,90.9,377.0,Time=5.5s | BaseRaw=467.9 | CurrentRaw=377.0 | Change=90.9 => Liquid
data,,467.9,379.0,88.9,379.0,Time=5.6s | BaseRaw=467.9 | CurrentRaw=379.0 | Change=88.9 => Liquid
data,,467.9,382.2,85.7,382.2,Time=5.7s | BaseRaw=467.9 | CurrentRaw=382.2 | Change=85.7 => Liquid
data,,467.9,382.4,85.5,382.4,Time=5.8s | BaseRaw=467.9 | CurrentRaw=382.4 | Change=85.5 => Liquid
data,,467.9,382.8,85.1,382.8,Time=5.9s | BaseRaw=467.9 | CurrentRaw=382.8 | Change=85.1 => Liquid
data,,467.9,384.0,83.9,384.0,Time=6.0s | BaseRaw=467.9 | CurrentRaw=384.0 | Change=83.9 => Liquid
data,,467.9,382.8,85.1,382.8,Time=6.1s | BaseRaw=467.9 | CurrentRaw=382.8 | Change=85.1 => Liquid
data,,467.9,382.4,85.5,382.4,Time=6.2s | BaseRaw=467.9 | CurrentRaw=382.4 | Change=85.5 => Liquid
data,,467.9,382.6,85.3,382.6,Time=6.3s | BaseRaw=467.9 | CurrentRaw=382.6 | Change=85.3 => Liquid
data,,467.9,381.0,86.9,381.0,Time=6.4s | BaseRaw=467.9 | CurrentRaw=381.0 | Change=86.9 => Liquid
data,,467.9,380.4,87.5,380.4,Time=6.5s | BaseRaw=467.9 | CurrentRaw=380.4 | Change=87.5 => Liquid
