record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,379.40,,,,379.40,Collecting baseline... RawAvg=379.40
baseline,378.80,,,,378.80,Collecting baseline... RawAvg=378.80
baseline,378.20,,,,378.20,Collecting baseline... RawAvg=378.20
baseline,377.80,,,,377.80,Collecting baseline... RawAvg=377.80
baseline,378.20,,,,378.20,Collecting baseline... RawAvg=378.20
baseline,379.40,,,,379.40,Collecting baseline... RawAvg=379.40
baseline,380.40,,,,380.40,Collecting baseline... RawAvg=380.40
baseline,381.40,,,,381.40,Collecting baseline... RawAvg=381.40
baseline,382.00,,,,382.00,Collecting baseline... RawAvg=382.00
baseline,381.20,,,,381.20,Collecting baseline... RawAvg=381.20
baseline,380.20,,,,380.20,Collecting baseline... RawAvg=380.20
baseline,379.40,,,,379.40,Collecting baseline... RawAvg=379.40
baseline,378.80,,,,378.80,Collecting baseline... RawAvg=378.80
baseline,378.80,,,,378.80,Collecting baseline... RawAvg=378.80
baseline,379.60,,,,379.60,Collecting baseline... RawAvg=379.60
baseline,380.20,,,,380.20,Collecting baseline... RawAvg=380.20
baseline,380.80,,,,380.80,Collecting baseline... RawAvg=380.80
baseline,381.20,,,,381.20,Collecting baseline... RawAvg=381.20
baseline,380.60,,,,380.60,Collecting baseline... RawAvg=380.60
baseline,379.80,,,,379.80,Collecting baseline... RawAvg=379.80
baseline,379.40,,,,379.40,Collecting baseline... RawAvg=379.40
baseline,379.00,,,,379.00,Collecting baseline... RawAvg=379.00
baseline,379.00,,,,379.00,Collecting baseline... RawAvg=379.00
baseline,379.60,,,,379.60,Collecting baseline... RawAvg=379.60
baseline,380.20,,,,380.20,Collecting baseline... RawAvg=380.20
baseline,380.60,,,,380.60,Collecting baseline... RawAvg=380.60
baseline,380.60,,,,380.60,Collecting baseline... RawAvg=380.60
baseline,380.00,,,,380.00,Collecting baseline... RawAvg=380.00
baseline,379.60,,,,379.60,Collecting baseline... RawAvg=379.60
baseline,379.20,,,,379.20,Collecting baseline... RawAvg=379.20
baseline,379.20,,,,379.20,Collecting baseline... RawAvg=379.20
baseline,379.80,,,,379.80,Collecting baseline... RawAvg=379.80
baseline,380.60,,,,380.60,Collecting baseline... RawAvg=380.60
baseline,381.00,,,,381.00,Collecting baseline... RawAvg=381.00
baseline,381.40,,,,381.40,Collecting baseline... RawAvg=381.40
baseline,381.00,,,,381.00,Collecting baseline... RawAvg=381.00
baseline,380.20,,,,380.20,Collecting baseline... RawAvg=380.20
baseline,379.60,,,,379.60,Collecting baseline... RawAvg=379.60
baseline,379.40,,,,379.40,Collecting baseline... RawAvg=379.40
baseline,379.60,,,,379.60,Collecting baseline... RawAvg=379.60
baseline,380.20,,,,380.20,Collecting baseline... RawAvg=380.20
baseline,381.00,,,,381.00,Collecting baseline... RawAvg=381.00
baseline,381.40,,,,381.40,Collecting baseline... RawAvg=381.40
baseline,381.20,,,,381.20,Collecting baseline... RawAvg=381.20
baseline,380.40,,,,380.40,Collecting baseline... RawAvg=380.40
baseline,379.80,,,,379.80,Collecting baseline... RawAvg=379.80
baseline,379.20,,,,379.20,Collecting baseline... RawAvg=379.20
baseline,379.20,,,,379.20,Collecting baseline... RawAvg=379.20
baseline,379.80,,,,379.80,Collecting baseline... RawAvg=379.80
info,,,,,,Baseline collection complete! Starting detection.
final_base,,379.95,,,379.95,Final Base Raw Average = 379.95
info,,,,,,--------------------------------------------------------------------------
data,,379.9,381.2,1.3,381.2,Time=0.1s | BaseRaw=379.9 | CurrentRaw=381.2 | Change=1.3 => Floor
data,,379.9,381.0,1.1,381.0,Time=0.2s | BaseRaw=379.9 | CurrentRaw=381.0 | Change=1.1 => Floor
data,,379.9,381.2,1.3,381.2,Time=0.3s | BaseRaw=379.9 | CurrentRaw=381.2 | Change=1.3 => Floor
data,,379.9,380.6,0.7,380.6,Time=0.4s | BaseRaw=379.9 | CurrentRaw=380.6 | Change=0.7 => Floor
data,,379.9,380.2,0.3,380.2,Time=0.5s | BaseRaw=379.9 | CurrentRaw=380.2 | Change=0.3 => Floor
data,,379.9,380.2,0.3,380.2,Time=0.6s | BaseRaw=379.9 | CurrentRaw=380.2 | Change=0.3 => Floor
data,,379.9,380.4,0.5,380.4,Time=0.7s | BaseRaw=379.9 | CurrentRaw=380.4 | Change=0.5 => Floor
data,,379.9,380.4,0.5,380.4,Time=0.8s | BaseRaw=379.9 | CurrentRaw=380.4 | Change=0.5 => Floor
data,,379.9,380.4,0.5,380.4,Time=0.9s | BaseRaw=379.9 | CurrentRaw=380.4 | Change=0.5 => Floor
data,,379.9,380.8,0.9,380.8,Time=1.0s | BaseRaw=379.9 | CurrentRaw=380.8 | Change=0.9 => Floor
data,,379.9,380.6,0.7,380.6,Time=1.1s | BaseRaw=379.9 | CurrentRaw=380.6 | Change=0.7 => Floor
data,,379.9,380.6,0.7,380.6,Time=1.2s | BaseRaw=379.9 | CurrentRaw=380.6 | Change=0.7 => Floor
data,,379.9,380.6,0.7,380.6,Time=1.3s | BaseRaw=379.9 | CurrentRaw=380.6 | Change=0.7 => Floor
data,,379.9,380.6,0.7,380.6,Time=1.4s | BaseRaw=379.9 | CurrentRaw=380.6 | Change=0.7 => Floor
data,,379.9,380.6,0.7,380.6,Time=1.5s | BaseRaw=379.9 | CurrentRaw=380.6 | Change=0.7 => Floor
data,,379.9,380.2,0.3,380.2,Time=1.6s | BaseRaw=379.9 | CurrentRaw=380.2 | Change=0.3 => Floor
data,,379.9,380.6,0.7,380.6,Time=1.7s | BaseRaw=379.9 | CurrentRaw=380.6 | Change=0.7 => Floor
data,,379.9,380.6,0.7,380.6,Time=1.8s | BaseRaw=379.9 | CurrentRaw=380.6 | Change=0.7 => Floor
data,,379.9,380.6,0.7,380.6,Time=1.9s | BaseRaw=379.9 | CurrentRaw=380.6 | Change=0.7 => Floor
data,,379.9,380.6,0.7,380.6,Time=2.0s | BaseRaw=379.9 | CurrentRaw=380.6 | Change=0.7 => Floor
data,,379.9,380.4,0.5,380.4,Time=2.1s | BaseRaw=379.9 | CurrentRaw=380.4 | Change=0.5 => Floor
data,,379.9,380.6,0.7,380.6,Time=2.2s | BaseRaw=379.9 | CurrentRaw=380.6 | Change=0.7 => Floor
data,,379.9,380.4,0.5,380.4,Time=2.3s | BaseRaw=379.9 | CurrentRaw=380.4 | Change=0.5 => Floor
data,,379.9,380.6,0.7,380.6,Time=2.4s | BaseRaw=379.9 | CurrentRaw=380.6 | Change=0.7 => Floor
data,,379.9,380.6,0.7,380.6,Time=2.5s | BaseRaw=379.9 | CurrentRaw=380.6 | Change=0.7 => Floor
data,,379.9,380.8,0.9,380.8,Time=2.6s | BaseRaw=379.9 | CurrentRaw=380.8 | Change=0.9 => Floor
data,,379.9,380.8,0.9,380.8,Time=2.7s | BaseRaw=379.9 | CurrentRaw=380.8 | Change=0.9 => Floor
data,,379.9,380.4,0.5,380.4,Time=2.8s | BaseRaw=379.9 | CurrentRaw=380.4 | Change=0.5 => Floor
data,,379.9,380.8,0.9,380.8,Time=2.9s | BaseRaw=379.9 | CurrentRaw=380.8 | Change=0.9 => Floor
data,,379.9,380.8,0.9,380.8,Time=3.0s | BaseRaw=379.9 | CurrentRaw=380.8 | Change=0.9 => Floor
data,,379.9,381.0,1.1,381.0,Time=3.1s | BaseRaw=379.9 | CurrentRaw=381.0 | Change=1.1 => Floor
data,,379.9,381.0,1.1,381.0,Time=3.2s | BaseRaw=379.9 | CurrentRaw=381.0 | Change=1.1 => Floor
data,,379.9,381.0,1.1,381.0,Time=3.3s | BaseRaw=379.9 | CurrentRaw=381.0 | Change=1.1 => Floor
data,,379.9,381.0,1.1,381.0,Time=3.4s | BaseRaw=379.9 | CurrentRaw=381.0 | Change=1.1 => Floor
data,,379.9,380.4,0.5,380.4,Time=3.5s | BaseRaw=379.9 | CurrentRaw=380.4 | Change=0.5 => Floor
data,,379.9,380.4,0.5,380.4,Time=3.6s | BaseRaw=379.9 | CurrentRaw=380.4 | Change=0.5 => Floor
data,,379.9,380.4,0.5,380.4,Time=3.7s | BaseRaw=379.9 | CurrentRaw=380.4 | Change=0.5 => Floor
data,,379.9,380.4,0.5,380.4,Time=3.8s | BaseRaw=379.9 | CurrentRaw=380.4 | Change=0.5 => Floor
data,,379.9,380.4,0.5,380.4,Time=3.9s | BaseRaw=379.9 | CurrentRaw=380.4 | Change=0.5 => Floor
data,,379.9,380.2,0.3,380.2,Time=4.0s | BaseRaw=379.9 | CurrentRaw=380.2 | Change=0.3 => Floor
data,,379.9,380.6,0.7,380.6,Time=4.1s | BaseRaw=379.9 | CurrentRaw=380.6 | Change=0.7 => Floor
data,,379.9,380.6,0.7,380.6,Time=4.2s | BaseRaw=379.9 | CurrentRaw=380.6 | Change=0.7 => Floor
data,,379.9,380.6,0.7,380.6,Time=4.3s | BaseRaw=379.9 | CurrentRaw=380.6 | Change=0.7 => Floor
data,,379.9,380.6,0.7,380.6,Time=4.4s | BaseRaw=379.9 | CurrentRaw=380.6 | Change=0.7 => Floor
data,,379.9,380.8,0.9,380.8,Time=4.5s | BaseRaw=379.9 | CurrentRaw=380.8 | Change=0.9 => Floor
data,,379.9,380.8,0.9,380.8,Time=4.6s | BaseRaw=379.9 | CurrentRaw=380.8 | Change=0.9 => Floor
data,,379.9,380.6,0.7,380.6,Time=4.7s | BaseRaw=379.9 | CurrentRaw=380.6 | Change=0.7 => Floor
data,,379.9,382.0,2.1,382.0,Time=4.8s | BaseRaw=379.9 | CurrentRaw=382.0 | Change=2.1 => Floor
data,,379.9,383.0,3.1,383.0,Time=4.9s | BaseRaw=379.9 | CurrentRaw=383.0 | Change=3.1 => Floor
data,,379.9,384.4,4.5,384.4,Time=5.0s | BaseRaw=379.9 | CurrentRaw=384.4 | Change=4.5 => Floor
data,,379.9,386.0,6.1,386.0,Time=5.1s | BaseRaw=379.9 | CurrentRaw=386.0 | Change=6.1 => Floor
data,,379.9,387.2,7.3,387.2,Time=5.2s | BaseRaw=379.9 | CurrentRaw=387.2 | Change=7.3 => Floor
data,,379.9,388.0,8.1,388.0,Time=5.3s | BaseRaw=379.9 | CurrentRaw=388.0 | Change=8.1 => Floor
data,,379.9,388.4,8.5,388.4,Time=5.4s | BaseRaw=379.9 | CurrentRaw=388.4 | Change=8.5 => Floor
data,,379.9,389.0,9.1,389.0,Time=5.5s | BaseRaw=379.9 | CurrentRaw=389.0 | Change=9.1 => Floor
data,,379.9,389.4,9.5,389.4,Time=5.6s | BaseRaw=379.9 | CurrentRaw=389.4 | Change=9.5 => Floor
data,,379.9,390.0,10.1,390.0,Time=5.7s | BaseRaw=379.9 | CurrentRaw=390.0 | Change=10.1 => Liquid
data,,379.9,391.2,11.3,391.2,Time=5.8s | BaseRaw=379.9 | CurrentRaw=391.2 | Change=11.3 => Liquid
data,,379.9,393.6,13.7,393.6,Time=5.9s | BaseRaw=379.9 | CurrentRaw=393.6 | Change=13.7 => Liquid
data,,379.9,397.4,17.5,397.4,Time=6.0s | BaseRaw=379.9 | CurrentRaw=397.4 | Change=17.5 => Liquid
data,,379.9,402.2,22.3,402.2,Time=6.1s | BaseRaw=379.9 | CurrentRaw=402.2 | Change=22.3 => Liquid
data,,379.9,408.0,28.1,408.0,Time=6.2s | BaseRaw=379.9 | CurrentRaw=408.0 | Change=28.1 => Liquid
data,,379.9,412.2,32.3,412.2,Time=6.3s | BaseRaw=379.9 | CurrentRaw=412.2 | Change=32.3 => Liquid
data,,379.9,415.6,35.7,415.6,Time=6.4s | BaseRaw=379.9 | CurrentRaw=415.6 | Change=35.7 => Liquid
data,,379.9,417.6,37.7,417.6,Time=6.5s | BaseRaw=379.9 | CurrentRaw=417.6 | Change=37.7 => Liquid
