record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,381.00,,,,381.00,Collecting baseline... RawAvg=381.00
baseline,381.00,,,,381.00,Collecting baseline... RawAvg=381.00
baseline,381.20,,,,381.20,Collecting baseline... RawAvg=381.20
baseline,381.40,,,,381.40,Collecting baseline... RawAvg=381.40
baseline,381.80,,,,381.80,Collecting baseline... RawAvg=381.80
baseline,381.60,,,,381.60,Collecting baseline... RawAvg=381.60
baseline,381.00,,,,381.00,Collecting baseline... RawAvg=381.00
baseline,380.40,,,,380.40,Collecting baseline... RawAvg=380.40
baseline,380.00,,,,380.00,Collecting baseline... RawAvg=380.00
baseline,380.00,,,,380.00,Collecting baseline... RawAvg=380.00
baseline,380.40,,,,380.40,Collecting baseline... RawAvg=380.40
baseline,381.00,,,,381.00,Collecting baseline... RawAvg=381.00
baseline,381.60,,,,381.60,Collecting baseline... RawAvg=381.60
baseline,382.00,,,,382.00,Collecting baseline... RawAvg=382.00
baseline,381.40,,,,381.40,Collecting baseline... RawAvg=381.40
baseline,380.80,,,,380.80,Collecting baseline... RawAvg=380.80
baseline,380.40,,,,380.40,Collecting baseline... RawAvg=380.40
baseline,380.20,,,,380.20,Collecting baseline... RawAvg=380.20
baseline,380.40,,,,380.40,Collecting baseline... RawAvg=380.40
baseline,381.80,,,,381.80,Collecting baseline... RawAvg=381.80
baseline,383.00,,,,383.00,Collecting baseline... RawAvg=383.00
baseline,383.60,,,,383.60,Collecting baseline... RawAvg=383.60
baseline,383.60,,,,383.60,Collecting baseline... RawAvg=383.60
baseline,383.00,,,,383.00,Collecting baseline... RawAvg=383.00
baseline,381.60,,,,381.60,Collecting baseline... RawAvg=381.60
baseline,380.60,,,,380.60,Collecting baseline... RawAvg=380.60
baseline,380.40,,,,380.40,Collecting baseline... RawAvg=380.40
baseline,380.60,,,,380.60,Collecting baseline... RawAvg=380.60
baseline,381.00,,,,381.00,Collecting baseline... RawAvg=381.00
baseline,381.80,,,,381.80,Collecting baseline... RawAvg=381.80
baseline,382.20,,,,382.20,Collecting baseline... RawAvg=382.20
baseline,381.60,,,,381.60,Collecting baseline... RawAvg=381.60
baseline,380.80,,,,380.80,Collecting baseline... RawAvg=380.80
baseline,380.20,,,,380.20,Collecting baseline... RawAvg=380.20
baseline,379.60,,,,379.60,Collecting baseline... RawAvg=379.60
baseline,379.80,,,,379.80,Collecting baseline... RawAvg=379.80
baseline,380.40,,,,380.40,Collecting baseline... RawAvg=380.40
baseline,381.20,,,,381.20,Collecting baseline... RawAvg=381.20
baseline,381.80,,,,381.80,Collecting baseline... RawAvg=381.80
baseline,381.80,,,,381.80,Collecting baseline... RawAvg=381.80
baseline,381.00,,,,381.00,Collecting baseline... RawAvg=381.00
baseline,380.40,,,,380.40,Collecting baseline... RawAvg=380.40
baseline,380.00,,,,380.00,Collecting baseline... RawAvg=380.00
baseline,380.00,,,,380.00,Collecting baseline... RawAvg=380.00
baseline,380.40,,,,380.40,Collecting baseline... RawAvg=380.40
baseline,381.00,,,,381.00,Collecting baseline... RawAvg=381.00
baseline,381.80,,,,381.80,Collecting baseline... RawAvg=381.80
baseline,382.20,,,,382.20,Collecting baseline... RawAvg=382.20
baseline,381.60,,,,381.60,Collecting baseline... RawAvg=381.60
info,,,,,,Baseline collection complete! Starting detection.
final_base,,381.15,,,381.15,Final Base Raw Average = 381.15
info,,,,,,--------------------------------------------------------------------------
data,,381.2,380.4,0.8,380.4,Time=0.1s | BaseRaw=381.2 | CurrentRaw=380.4 | Change=0.8 => Floor
data,,381.2,380.8,0.4,380.8,Time=0.2s | BaseRaw=381.2 | CurrentRaw=380.8 | Change=0.4 => Floor
data,,381.2,381.6,0.4,381.6,Time=0.3s | BaseRaw=381.2 | CurrentRaw=381.6 | Change=0.4 => Floor
data,,381.2,383.2,2.0,383.2,Time=0.4s | BaseRaw=381.2 | CurrentRaw=383.2 | Change=2.0 => Floor
data,,381.2,385.2,4.0,385.2,Time=0.5s | BaseRaw=381.2 | CurrentRaw=385.2 | Change=4.0 => Floor
data,,381.2,386.4,5.2,386.4,Time=0.6s | BaseRaw=381.2 | CurrentRaw=386.4 | Change=5.2 => Floor
data,,381.2,387.0,5.8,387.0,Time=0.7s | BaseRaw=381.2 | CurrentRaw=387.0 | Change=5.8 => Floor
data,,381.2,386.8,5.6,386.8,Time=0.8s | BaseRaw=381.2 | CurrentRaw=386.8 | Change=5.6 => Floor
data,,381.2,387.2,6.0,387.2,Time=0.9s | BaseRaw=381.2 | CurrentRaw=387.2 | Change=6.0 => Floor
data,,381.2,387.2,6.0,387.2,Time=1.0s | BaseRaw=381.2 | CurrentRaw=387.2 | Change=6.0 => Floor
data,,381.2,387.6,6.4,387.6,Time=1.1s | BaseRaw=381.2 | CurrentRaw=387.6 | Change=6.4 => Floor
data,,381.2,387.8,6.6,387.8,Time=1.2s | BaseRaw=381.2 | CurrentRaw=387.8 | Change=6.6 => Floor
data,,381.2,387.4,6.2,387.4,Time=1.3s | BaseRaw=381.2 | CurrentRaw=387.4 | Change=6.2 => Floor
data,,381.2,386.6,5.4,386.6,Time=1.4s | BaseRaw=381.2 | CurrentRaw=386.6 | Change=5.4 => Floor
data,,381.2,384.8,3.6,384.8,Time=1.5s | BaseRaw=381.2 | CurrentRaw=384.8 | Change=3.6 => Floor
data,,381.2,383.6,2.4,383.6,Time=1.6s | BaseRaw=381.2 | CurrentRaw=383.6 | Change=2.4 => Floor
data,,381.2,382.2,1.0,382.2,Time=1.7s | BaseRaw=381.2 | CurrentRaw=382.2 | Change=1.0 => Floor
data,,381.2,381.4,0.2,381.4,Time=1.8s | BaseRaw=381.2 | CurrentRaw=381.4 | Change=0.2 => Floor
data,,381.2,380.8,0.4,380.8,Time=1.9s | BaseRaw=381.2 | CurrentRaw=380.8 | Change=0.4 => Floor
data,,381.2,380.4,0.8,380.4,Time=2.0s | BaseRaw=381.2 | CurrentRaw=380.4 | Change=0.8 => Floor
data,,381.2,380.6,0.6,380.6,Time=2.1s | BaseRaw=381.2 | CurrentRaw=380.6 | Change=0.6 => Floor
data,,381.2,380.6,0.6,380.6,Time=2.2s | BaseRaw=381.2 | CurrentRaw=380.6 | Change=0.6 => Floor
data,,381.2,380.8,0.4,380.8,Time=2.3s | BaseRaw=381.2 | CurrentRaw=380.8 | Change=0.4 => Floor
data,,381.2,380.8,0.4,380.8,Time=2.4s | BaseRaw=381.2 | CurrentRaw=380.8 | Change=0.4 => Floor
data,,381.2,381.0,0.2,381.0,Time=2.5s | BaseRaw=381.2 | CurrentRaw=381.0 | Change=0.2 => Floor
data,,381.2,381.0,0.2,381.0,Time=2.6s | BaseRaw=381.2 | CurrentRaw=381.0 | Change=0.2 => Floor
data,,381.2,380.4,0.8,380.4,Time=2.7s | BaseRaw=381.2 | CurrentRaw=380.4 | Change=0.8 => Floor
data,,381.2,380.6,0.6,380.6,Time=2.8s | BaseRaw=381.2 | CurrentRaw=380.6 | Change=0.6 => Floor
data,,381.2,380.6,0.6,380.6,Time=2.9s | BaseRaw=381.2 | CurrentRaw=380.6 | Change=0.6 => Floor
data,,381.2,380.8,0.4,380.8,Time=3.0s | BaseRaw=381.2 | CurrentRaw=380.8 | Change=0.4 => Floor
data,,381.2,380.8,0.4,380.8,Time=3.1s | BaseRaw=381.2 | CurrentRaw=380.8 | Change=0.4 => Floor
data,,381.2,380.8,0.4,380.8,Time=3.2s | BaseRaw=381.2 | CurrentRaw=380.8 | Change=0.4 => Floor
data,,381.2,381.2,0.0,381.2,Time=3.3s | BaseRaw=381.2 | CurrentRaw=381.2 | Change=0.0 => Floor
data,,381.2,381.2,0.0,381.2,Time=3.4s | BaseRaw=381.2 | CurrentRaw=381.2 | Change=0.0 => Floor
data,,381.2,381.2,0.0,381.2,Time=3.5s | BaseRaw=381.2 | CurrentRaw=381.2 | Change=0.0 => Floor
data,,381.2,381.2,0.0,381.2,Time=3.6s | BaseRaw=381.2 | CurrentRaw=381.2 | Change=0.0 => Floor
data,,381.2,381.2,0.0,381.2,Time=3.7s | BaseRaw=381.2 | CurrentRaw=381.2 | Change=0.0 => Floor
data,,381.2,381.0,0.2,381.0,Time=3.8s | BaseRaw=381.2 | CurrentRaw=381.0 | Change=0.2 => Floor
data,,381.2,380.4,0.8,380.4,Time=3.9s | BaseRaw=381.2 | CurrentRaw=380.4 | Change=0.8 => Floor
data,,381.2,380.8,0.4,380.8,Time=4.0s | BaseRaw=381.2 | CurrentRaw=380.8 | Change=0.4 => Floor
data,,381.2,380.8,0.4,380.8,Time=4.1s | BaseRaw=381.2 | CurrentRaw=380.8 | Change=0.4 => Floor
data,,381.2,381.0,0.2,381.0,Time=4.2s | BaseRaw=381.2 | CurrentRaw=381.0 | Change=0.2 => Floor
data,,381.2,381.2,0.0,381.2,Time=4.3s | BaseRaw=381.2 | CurrentRaw=381.2 | Change=0.0 => Floor
data,,381.2,381.4,0.2,381.4,Time=4.4s | BaseRaw=381.2 | CurrentRaw=381.4 | Change=0.2 => Floor
data,,381.2,381.8,0.6,381.8,Time=4.5s | BaseRaw=381.2 | CurrentRaw=381.8 | Change=0.6 => Floor
data,,381.2,382.0,0.8,382.0,Time=4.6s | BaseRaw=381.2 | CurrentRaw=382.0 | Change=0.8 => Floor
data,,381.2,382.4,1.2,382.4,Time=4.7s | BaseRaw=381.2 | CurrentRaw=382.4 | Change=1.2 => Floor
data,,381.2,383.0,1.8,383.0,Time=4.8s | BaseRaw=381.2 | CurrentRaw=383.0 | Change=1.8 => Floor
data,,381.2,383.6,2.4,383.6,Time=4.9s | BaseRaw=381.2 | CurrentRaw=383.6 | Change=2.4 => Floor
data,,381.2,384.6,3.4,384.6,Time=5.0s | BaseRaw=381.2 | CurrentRaw=384.6 | Change=3.4 => Floor
data,,381.2,385.2,4.0,385.2,Time=5.1s | BaseRaw=381.2 | CurrentRaw=385.2 | Change=4.0 => Floor
data,,381.2,386.6,5.4,386.6,Time=5.2s | BaseRaw=381.2 | CurrentRaw=386.6 | Change=5.4 => Floor
data,,381.2,387.2,6.0,387.2,Time=5.3s | BaseRaw=381.2 | CurrentRaw=387.2 | Change=6.0 => Floor
data,,381.2,387.6,6.4,387.6,Time=5.4s | BaseRaw=381.2 | CurrentRaw=387.6 | Change=6.4 => Floor
data,,381.2,387.2,6.0,387.2,Time=5.5s | BaseRaw=381.2 | CurrentRaw=387.2 | Change=6.0 => Floor
data,,381.2,386.8,5.6,386.8,Time=5.6s | BaseRaw=381.2 | CurrentRaw=386.8 | Change=5.6 => Floor
data,,381.2,386.6,5.4,386.6,Time=5.7s | BaseRaw=381.2 | CurrentRaw=386.6 | Change=5.4 => Floor
data,,381.2,386.0,4.8,386.0,Time=5.8s | BaseRaw=381.2 | CurrentRaw=386.0 | Change=4.8 => Floor
data,,381.2,386.2,5.0,386.2,Time=5.9s | BaseRaw=381.2 | CurrentRaw=386.2 | Change=5.0 => Floor
data,,381.2,386.2,5.0,386.2,Time=6.0s | BaseRaw=381.2 | CurrentRaw=386.2 | Change=5.0 => Floor
data,,381.2,386.4,5.2,386.4,Time=6.1s | BaseRaw=381.2 | CurrentRaw=386.4 | Change=5.2 => Floor
data,,381.2,386.4,5.2,386.4,Time=6.2s | BaseRaw=381.2 | CurrentRaw=386.4 | Change=5.2 => Floor
data,,381.2,386.2,5.0,386.2,Time=6.3s | BaseRaw=381.2 | CurrentRaw=386.2 | Change=5.0 => Floor
data,,381.2,386.4,5.2,386.4,Time=6.4s | BaseRaw=381.2 | CurrentRaw=386.4 | Change=5.2 => Floor
data,,381.2,386.8,5.6,386.8,Time=6.5s | BaseRaw=381.2 | CurrentRaw=386.8 | Change=5.6 => Floor
