record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,780.40,,,,780.40,Collecting baseline... RawAvg=780.40
baseline,780.20,,,,780.20,Collecting baseline... RawAvg=780.20
baseline,779.40,,,,779.40,Collecting baseline... RawAvg=779.40
baseline,778.80,,,,778.80,Collecting baseline... RawAvg=778.80
baseline,778.40,,,,778.40,Collecting baseline... RawAvg=778.40
baseline,779.60,,,,779.60,Collecting baseline... RawAvg=779.60
baseline,780.00,,,,780.00,Collecting baseline... RawAvg=780.00
baseline,780.00,,,,780.00,Collecting baseline... RawAvg=780.00
baseline,780.00,,,,780.00,Collecting baseline... RawAvg=780.00
baseline,779.20,,,,779.20,Collecting baseline... RawAvg=779.20
baseline,778.20,,,,778.20,Collecting baseline... RawAvg=778.20
baseline,776.80,,,,776.80,Collecting baseline... RawAvg=776.80
baseline,776.60,,,,776.60,Collecting baseline... RawAvg=776.60
baseline,776.00,,,,776.00,Collecting baseline... RawAvg=776.00
baseline,776.00,,,,776.00,Collecting baseline... RawAvg=776.00
baseline,776.00,,,,776.00,Collecting baseline... RawAvg=776.00
baseline,776.40,,,,776.40,Collecting baseline... RawAvg=776.40
baseline,775.80,,,,775.80,Collecting baseline... RawAvg=775.80
baseline,775.60,,,,775.60,Collecting baseline... RawAvg=775.60
baseline,776.00,,,,776.00,Collecting baseline... RawAvg=776.00
baseline,775.80,,,,775.80,Collecting baseline... RawAvg=775.80
baseline,776.60,,,,776.60,Collecting baseline... RawAvg=776.60
baseline,777.40,,,,777.40,Collecting baseline... RawAvg=777.40
baseline,778.40,,,,778.40,Collecting baseline... RawAvg=778.40
baseline,779.00,,,,779.00,Collecting baseline... RawAvg=779.00
baseline,779.80,,,,779.80,Collecting baseline... RawAvg=779.80
baseline,780.00,,,,780.00,Collecting baseline... RawAvg=780.00
baseline,779.60,,,,779.60,Collecting baseline... RawAvg=779.60
baseline,779.00,,,,779.00,Collecting baseline... RawAvg=779.00
baseline,777.20,,,,777.20,Collecting baseline... RawAvg=777.20
baseline,776.20,,,,776.20,Collecting baseline... RawAvg=776.20
baseline,775.00,,,,775.00,Collecting baseline... RawAvg=775.00
baseline,775.00,,,,775.00,Collecting baseline... RawAvg=775.00
baseline,775.00,,,,775.00,Collecting baseline... RawAvg=775.00
baseline,776.00,,,,776.00,Collecting baseline... RawAvg=776.00
baseline,775.80,,,,775.80,Collecting baseline... RawAvg=775.80
baseline,775.40,,,,775.40,Collecting baseline... RawAvg=775.40
baseline,775.60,,,,775.60,Collecting baseline... RawAvg=775.60
baseline,775.60,,,,775.60,Collecting baseline... RawAvg=775.60
baseline,776.20,,,,776.20,Collecting baseline... RawAvg=776.20
baseline,777.00,,,,777.00,Collecting baseline... RawAvg=777.00
baseline,778.20,,,,778.20,Collecting baseline... RawAvg=778.20
baseline,778.60,,,,778.60,Collecting baseline... RawAvg=778.60
baseline,779.80,,,,779.80,Collecting baseline... RawAvg=779.80
baseline,779.60,,,,779.60,Collecting baseline... RawAvg=779.60
baseline,779.60,,,,779.60,Collecting baseline... RawAvg=779.60
baseline,779.00,,,,779.00,Collecting baseline... RawAvg=779.00
baseline,778.00,,,,778.00,Collecting baseline... RawAvg=778.00
baseline,776.80,,,,776.80,Collecting baseline... RawAvg=776.80
info,,,,,,Baseline collection complete! Starting detection.
final_base,,777.65,,,777.65,Final Base Raw Average = 777.65
info,,,,,,--------------------------------------------------------------------------
data,,777.6,775.4,2.2,775.4,Time=0.1s | BaseRaw=777.6 | CurrentRaw=775.4 | Change=2.2 => Floor
data,,777.6,775.8,1.8,775.8,Time=0.2s | BaseRaw=777.6 | CurrentRaw=775.8 | Change=1.8 => Floor
data,,777.6,776.4,1.2,776.4,Time=0.3s | BaseRaw=777.6 | CurrentRaw=776.4 | Change=1.2 => Floor
data,,777.6,777.2,0.4,777.2,Time=0.4s | BaseRaw=777.6 | CurrentRaw=777.2 | Change=0.4 => Floor
data,,777.6,777.6,0.0,777.6,Time=0.5s | BaseRaw=777.6 | CurrentRaw=777.6 | Change=0.0 => Floor
data,,777.6,777.8,0.2,777.8,Time=0.6s | BaseRaw=777.6 | CurrentRaw=777.8 | Change=0.2 => Floor
data,,777.6,777.6,0.0,777.6,Time=0.7s | BaseRaw=777.6 | CurrentRaw=777.6 | Change=0.0 => Floor
data,,777.6,777.2,0.4,777.2,Time=0.8s | BaseRaw=777.6 | CurrentRaw=777.2 | Change=0.4 => Floor
data,,777.6,777.2,0.4,777.2,Time=0.9s | BaseRaw=777.6 | CurrentRaw=777.2 | Change=0.4 => Floor
data,,777.6,776.8,0.8,776.8,Time=1.0s | BaseRaw=777.6 | CurrentRaw=776.8 | Change=0.8 => Floor
data,,777.6,777.0,0.6,777.0,Time=1.1s | BaseRaw=777.6 | CurrentRaw=777.0 | Change=0.6 => Floor
data,,777.6,777.0,0.6,777.0,Time=1.2s | BaseRaw=777.6 | CurrentRaw=777.0 | Change=0.6 => Floor
data,,777.6,777.4,0.2,777.4,Time=1.3s | BaseRaw=777.6 | CurrentRaw=777.4 | Change=0.2 => Floor
data,,777.6,777.6,0.0,777.6,Time=1.4s | BaseRaw=777.6 | CurrentRaw=777.6 | Change=0.0 => Floor
data,,777.6,777.6,0.0,777.6,Time=1.5s | BaseRaw=777.6 | CurrentRaw=777.6 | Change=0.0 => Floor
data,,777.6,777.6,0.0,777.6,Time=1.6s | BaseRaw=777.6 | CurrentRaw=777.6 | Change=0.0 => Floor
data,,777.6,777.4,0.2,777.4,Time=1.7s | BaseRaw=777.6 | CurrentRaw=777.4 | Change=0.2 => Floor
data,,777.6,777.2,0.4,777.2,Time=1.8s | BaseRaw=777.6 | CurrentRaw=777.2 | Change=0.4 => Floor
data,,777.6,777.4,0.2,777.4,Time=1.9s | BaseRaw=777.6 | CurrentRaw=777.4 | Change=0.2 => Floor
data,,777.6,777.4,0.2,777.4,Time=2.0s | BaseRaw=777.6 | CurrentRaw=777.4 | Change=0.2 => Floor
data,,777.6,777.6,0.0,777.6,Time=2.1s | BaseRaw=777.6 | CurrentRaw=777.6 | Change=0.0 => Floor
data,,777.6,777.6,0.0,777.6,Time=2.2s | BaseRaw=777.6 | CurrentRaw=777.6 | Change=0.0 => Floor
data,,777.6,777.6,0.0,777.6,Time=2.3s | BaseRaw=777.6 | CurrentRaw=777.6 | Change=0.0 => Floor
data,,777.6,777.4,0.2,777.4,Time=2.4s | BaseRaw=777.6 | CurrentRaw=777.4 | Change=0.2 => Floor
data,,777.6,777.8,0.2,777.8,Time=2.5s | BaseRaw=777.6 | CurrentRaw=777.8 | Change=0.2 => Floor
data,,777.6,778.0,0.4,778.0,Time=2.6s | BaseRaw=777.6 | CurrentRaw=778.0 | Change=0.4 => Floor
data,,777.6,778.4,0.8,778.4,Time=2.7s | BaseRaw=777.6 | CurrentRaw=778.4 | Change=0.8 => Floor
data,,777.6,779.8,2.2,779.8,Time=2.8s | BaseRaw=777.6 | CurrentRaw=779.8 | Change=2.2 => Floor
data,,777.6,781.0,3.4,781.0,Time=2.9s | BaseRaw=777.6 | CurrentRaw=781.0 | Change=3.4 => Floor
data,,777.6,781.6,4.0,781.6,Time=3.0s | BaseRaw=777.6 | CurrentRaw=781.6 | Change=4.0 => Floor
data,,777.6,782.2,4.6,782.2,Time=3.1s | BaseRaw=777.6 | CurrentRaw=782.2 | Change=4.6 => Floor
data,,777.6,782.4,4.8,782.4,Time=3.2s | BaseRaw=777.6 | CurrentRaw=782.4 | Change=4.8 => Floor
data,,777.6,782.6,5.0,782.6,Time=3.3s | BaseRaw=777.6 | CurrentRaw=782.6 | Change=5.0 => Floor
data,,777.6,782.0,4.4,782.0,Time=3.4s | BaseRaw=777.6 | CurrentRaw=782.0 | Change=4.4 => Floor
data,,777.6,782.8,5.2,782.8,Time=3.5s | BaseRaw=777.6 | CurrentRaw=782.8 | Change=5.2 => Floor
data,,777.6,782.8,5.2,782.8,Time=3.6s | BaseRaw=777.6 | CurrentRaw=782.8 | Change=5.2 => Floor
data,,777.6,783.4,5.8,783.4,Time=3.7s | BaseRaw=777.6 | CurrentRaw=783.4 | Change=5.8 => Floor
data,,777.6,783.6,6.0,783.6,Time=3.8s | BaseRaw=777.6 | CurrentRaw=783.6 | Change=6.0 => Floor
data,,777.6,784.2,6.6,784.2,Time=3.9s | BaseRaw=777.6 | CurrentRaw=784.2 | Change=6.6 => Floor
data,,777.6,784.2,6.6,784.2,Time=4.0s | BaseRaw=777.6 | CurrentRaw=784.2 | Change=6.6 => Floor
data,,777.6,784.2,6.6,784.2,Time=4.1s | BaseRaw=777.6 | CurrentRaw=784.2 | Change=6.6 => Floor
data,,777.6,784.2,6.6,784.2,Time=4.2s | BaseRaw=777.6 | CurrentRaw=784.2 | Change=6.6 => Floor
data,,777.6,784.2,6.6,784.2,Time=4.3s | BaseRaw=777.6 | CurrentRaw=784.2 | Change=6.6 => Floor
data,,777.6,784.4,6.8,784.4,Time=4.4s | BaseRaw=777.6 | CurrentRaw=784.4 | Change=6.8 => Floor
data,,777.6,784.8,7.2,784.8,Time=4.5s | BaseRaw=777.6 | CurrentRaw=784.8 | Change=7.2 => Floor
data,,777.6,785.2,7.6,785.2,Time=4.6s | BaseRaw=777.6 | CurrentRaw=785.2 | Change=7.6 => Floor
data,,777.6,786.0,8.4,786.0,Time=4.7s | BaseRaw=777.6 | CurrentRaw=786.0 | Change=8.4 => Floor
data,,777.6,787.4,9.8,787.4,Time=4.8s | BaseRaw=777.6 | CurrentRaw=787.4 | Change=9.8 => Floor
data,,777.6,789.0,11.4,789.0,Time=4.9s | BaseRaw=777.6 | CurrentRaw=789.0 | Change=11.4 => Liquid
data,,777.6,790.8,13.2,790.8,Time=5.0s | BaseRaw=777.6 | CurrentRaw=790.8 | Change=13.2 => Liquid
data,,777.6,793.6,16.0,793.6,Time=5.1s | BaseRaw=777.6 | CurrentRaw=793.6 | Change=16.0 => Liquid
data,,777.6,796.6,19.0,796.6,Time=5.2s | BaseRaw=777.6 | CurrentRaw=796.6 | Change=19.0 => Liquid
data,,777.6,797.2,19.6,797.2,Time=5.3s | BaseRaw=777.6 | CurrentRaw=797.2 | Change=19.6 => Liquid
data,,777.6,797.2,19.6,797.2,Time=5.4s | BaseRaw=777.6 | CurrentRaw=797.2 | Change=19.6 => Liquid
data,,777.6,797.6,20.0,797.6,Time=5.5s | BaseRaw=777.6 | CurrentRaw=797.6 | Change=20.0 => Liquid
data,,777.6,796.4,18.8,796.4,Time=5.6s | BaseRaw=777.6 | CurrentRaw=796.4 | Change=18.8 => Liquid
data,,777.6,795.6,18.0,795.6,Time=5.7s | BaseRaw=777.6 | CurrentRaw=795.6 | Change=18.0 => Liquid
data,,777.6,796.0,18.4,796.0,Time=5.8s | BaseRaw=777.6 | CurrentRaw=796.0 | Change=18.4 => Liquid
data,,777.6,794.0,16.4,794.0,Time=5.9s | BaseRaw=777.6 | CurrentRaw=794.0 | Change=16.4 => Liquid
data,,777.6,792.2,14.6,792.2,Time=6.0s | BaseRaw=777.6 | CurrentRaw=792.2 | Change=14.6 => Liquid
data,,777.6,792.8,15.2,792.8,Time=6.1s | BaseRaw=777.6 | CurrentRaw=792.8 | Change=15.2 => Liquid
data,,777.6,791.0,13.4,791.0,Time=6.2s | BaseRaw=777.6 | CurrentRaw=791.0 | Change=13.4 => Liquid
data,,777.6,789.0,11.4,789.0,Time=6.3s | BaseRaw=777.6 | CurrentRaw=789.0 | Change=11.4 => Liquid
data,,777.6,790.6,13.0,790.6,Time=6.4s | BaseRaw=777.6 | CurrentRaw=790.6 | Change=13.0 => Liquid
data,,777.6,790.6,13.0,790.6,Time=6.5s | BaseRaw=777.6 | CurrentRaw=790.6 | Change=13.0 => Liquid
