record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,784.00,,,,784.00,Collecting baseline... RawAvg=784.00
baseline,783.60,,,,783.60,Collecting baseline... RawAvg=783.60
baseline,783.40,,,,783.40,Collecting baseline... RawAvg=783.40
baseline,782.80,,,,782.80,Collecting baseline... RawAvg=782.80
baseline,782.80,,,,782.80,Collecting baseline... RawAvg=782.80
baseline,783.60,,,,783.60,Collecting baseline... RawAvg=783.60
baseline,784.20,,,,784.20,Collecting baseline... RawAvg=784.20
baseline,784.40,,,,784.40,Collecting baseline... RawAvg=784.40
baseline,784.80,,,,784.80,Collecting baseline... RawAvg=784.80
baseline,784.60,,,,784.60,Collecting baseline... RawAvg=784.60
baseline,783.80,,,,783.80,Collecting baseline... RawAvg=783.80
baseline,782.80,,,,782.80,Collecting baseline... RawAvg=782.80
baseline,781.80,,,,781.80,Collecting baseline... RawAvg=781.80
baseline,781.00,,,,781.00,Collecting baseline... RawAvg=781.00
baseline,780.40,,,,780.40,Collecting baseline... RawAvg=780.40
baseline,780.80,,,,780.80,Collecting baseline... RawAvg=780.80
baseline,781.40,,,,781.40,Collecting baseline... RawAvg=781.40
baseline,781.80,,,,781.80,Collecting baseline... RawAvg=781.80
baseline,782.00,,,,782.00,Collecting baseline... RawAvg=782.00
baseline,782.20,,,,782.20,Collecting baseline... RawAvg=782.20
baseline,782.80,,,,782.80,Collecting baseline... RawAvg=782.80
baseline,782.80,,,,782.80,Collecting baseline... RawAvg=782.80
baseline,783.20,,,,783.20,Collecting baseline... RawAvg=783.20
baseline,784.00,,,,784.00,Collecting baseline... RawAvg=784.00
baseline,785.20,,,,785.20,Collecting baseline... RawAvg=785.20
baseline,786.00,,,,786.00,Collecting baseline... RawAvg=786.00
baseline,786.00,,,,786.00,Collecting baseline... RawAvg=786.00
baseline,786.20,,,,786.20,Collecting baseline... RawAvg=786.20
baseline,785.20,,,,785.20,Collecting baseline... RawAvg=785.20
baseline,784.20,,,,784.20,Collecting baseline... RawAvg=784.20
baseline,782.60,,,,782.60,Collecting baseline... RawAvg=782.60
baseline,782.00,,,,782.00,Collecting baseline... RawAvg=782.00
baseline,781.40,,,,781.40,Collecting baseline... RawAvg=781.40
baseline,781.80,,,,781.80,Collecting baseline... RawAvg=781.80
baseline,781.80,,,,781.80,Collecting baseline... RawAvg=781.80
baseline,782.00,,,,782.00,Collecting baseline... RawAvg=782.00
baseline,782.20,,,,782.20,Collecting baseline... RawAvg=782.20
baseline,782.40,,,,782.40,Collecting baseline... RawAvg=782.40
baseline,783.20,,,,783.20,Collecting baseline... RawAvg=783.20
baseline,783.40,,,,783.40,Collecting baseline... RawAvg=783.40
baseline,783.80,,,,783.80,Collecting baseline... RawAvg=783.80
baseline,784.40,,,,784.40,Collecting baseline... RawAvg=784.40
baseline,785.20,,,,785.20,Collecting baseline... RawAvg=785.20
baseline,785.40,,,,785.40,Collecting baseline... RawAvg=785.40
baseline,785.80,,,,785.80,Collecting baseline... RawAvg=785.80
baseline,785.80,,,,785.80,Collecting baseline... RawAvg=785.80
baseline,785.20,,,,785.20,Collecting baseline... RawAvg=785.20
baseline,784.00,,,,784.00,Collecting baseline... RawAvg=784.00
baseline,782.60,,,,782.60,Collecting baseline... RawAvg=782.60
info,,,,,,Baseline collection complete! Starting detection.
final_base,,783.40,,,783.40,Final Base Raw Average = 783.40
info,,,,,,--------------------------------------------------------------------------
data,,783.4,781.0,2.4,781.0,Time=0.1s | BaseRaw=783.4 | CurrentRaw=781.0 | Change=2.4 => Floor
data,,783.4,781.0,2.4,781.0,Time=0.2s | BaseRaw=783.4 | CurrentRaw=781.0 | Change=2.4 => Floor
data,,783.4,781.6,1.8,781.6,Time=0.3s | BaseRaw=783.4 | CurrentRaw=781.6 | Change=1.8 => Floor
data,,783.4,783.0,0.4,783.0,Time=0.4s | BaseRaw=783.4 | CurrentRaw=783.0 | Change=0.4 => Floor
data,,783.4,783.4,0.0,783.4,Time=0.5s | BaseRaw=783.4 | CurrentRaw=783.4 | Change=0.0 => Floor
data,,783.4,783.6,0.2,783.6,Time=0.6s | BaseRaw=783.4 | CurrentRaw=783.6 | Change=0.2 => Floor
data,,783.4,783.6,0.2,783.6,Time=0.7s | BaseRaw=783.4 | CurrentRaw=783.6 | Change=0.2 => Floor
data,,783.4,783.4,0.0,783.4,Time=0.8s | BaseRaw=783.4 | CurrentRaw=783.4 | Change=0.0 => Floor
data,,783.4,783.6,0.2,783.6,Time=0.9s | BaseRaw=783.4 | CurrentRaw=783.6 | Change=0.2 => Floor
data,,783.4,783.6,0.2,783.6,Time=1.0s | BaseRaw=783.4 | CurrentRaw=783.6 | Change=0.2 => Floor
data,,783.4,783.6,0.2,783.6,Time=1.1s | BaseRaw=783.4 | CurrentRaw=783.6 | Change=0.2 => Floor
data,,783.4,783.4,0.0,783.4,Time=1.2s | BaseRaw=783.4 | CurrentRaw=783.4 | Change=0.0 => Floor
data,,783.4,783.8,0.4,783.8,Time=1.3s | BaseRaw=783.4 | CurrentRaw=783.8 | Change=0.4 => Floor
data,,783.4,784.0,0.6,784.0,Time=1.4s | BaseRaw=783.4 | CurrentRaw=784.0 | Change=0.6 => Floor
data,,783.4,783.8,0.4,783.8,Time=1.5s | BaseRaw=783.4 | CurrentRaw=783.8 | Change=0.4 => Floor
data,,783.4,784.0,0.6,784.0,Time=1.6s | BaseRaw=783.4 | CurrentRaw=784.0 | Change=0.6 => Floor
data,,783.4,784.2,0.8,784.2,Time=1.7s | BaseRaw=783.4 | CurrentRaw=784.2 | Change=0.8 => Floor
data,,783.4,784.2,0.8,784.2,Time=1.8s | BaseRaw=783.4 | CurrentRaw=784.2 | Change=0.8 => Floor
data,,783.4,783.8,0.4,783.8,Time=1.9s | BaseRaw=783.4 | CurrentRaw=783.8 | Change=0.4 => Floor
data,,783.4,784.0,0.6,784.0,Time=2.0s | BaseRaw=783.4 | CurrentRaw=784.0 | Change=0.6 => Floor
data,,783.4,784.0,0.6,784.0,Time=2.1s | BaseRaw=783.4 | CurrentRaw=784.0 | Change=0.6 => Floor
data,,783.4,783.8,0.4,783.8,Time=2.2s | BaseRaw=783.4 | CurrentRaw=783.8 | Change=0.4 => Floor
data,,783.4,783.6,0.2,783.6,Time=2.3s | BaseRaw=783.4 | CurrentRaw=783.6 | Change=0.2 => Floor
data,,783.4,783.8,0.4,783.8,Time=2.4s | BaseRaw=783.4 | CurrentRaw=783.8 | Change=0.4 => Floor
data,,783.4,783.2,0.2,783.2,Time=2.5s | BaseRaw=783.4 | CurrentRaw=783.2 | Change=0.2 => Floor
data,,783.4,783.0,0.4,783.0,Time=2.6s | BaseRaw=783.4 | CurrentRaw=783.0 | Change=0.4 => Floor
data,,783.4,783.4,0.0,783.4,Time=2.7s | BaseRaw=783.4 | CurrentRaw=783.4 | Change=0.0 => Floor
data,,783.4,783.6,0.2,783.6,Time=2.8s | BaseRaw=783.4 | CurrentRaw=783.6 | Change=0.2 => Floor
data,,783.4,782.8,0.6,782.8,Time=2.9s | BaseRaw=783.4 | CurrentRaw=782.8 | Change=0.6 => Floor
data,,783.4,783.0,0.4,783.0,Time=3.0s | BaseRaw=783.4 | CurrentRaw=783.0 | Change=0.4 => Floor
data,,783.4,783.6,0.2,783.6,Time=3.1s | BaseRaw=783.4 | CurrentRaw=783.6 | Change=0.2 => Floor
data,,783.4,783.8,0.4,783.8,Time=3.2s | BaseRaw=783.4 | CurrentRaw=783.8 | Change=0.4 => Floor
data,,783.4,783.8,0.4,783.8,Time=3.3s | BaseRaw=783.4 | CurrentRaw=783.8 | Change=0.4 => Floor
data,,783.4,784.0,0.6,784.0,Time=3.4s | BaseRaw=783.4 | CurrentRaw=784.0 | Change=0.6 => Floor
data,,783.4,783.8,0.4,783.8,Time=3.5s | BaseRaw=783.4 | CurrentRaw=783.8 | Change=0.4 => Floor
data,,783.4,783.0,0.4,783.0,Time=3.6s | BaseRaw=783.4 | CurrentRaw=783.0 | Change=0.4 => Floor
data,,783.4,782.4,1.0,782.4,Time=3.7s | BaseRaw=783.4 | CurrentRaw=782.4 | Change=1.0 => Floor
data,,783.4,782.2,1.2,782.2,Time=3.8s | BaseRaw=783.4 | CurrentRaw=782.2 | Change=1.2 => Floor
data,,783.4,781.8,1.6,781.8,Time=3.9s | BaseRaw=783.4 | CurrentRaw=781.8 | Change=1.6 => Floor
data,,783.4,782.0,1.4,782.0,Time=4.0s | BaseRaw=783.4 | CurrentRaw=782.0 | Change=1.4 => Floor
data,,783.4,782.6,0.8,782.6,Time=4.1s | BaseRaw=783.4 | CurrentRaw=782.6 | Change=0.8 => Floor
data,,783.4,783.6,0.2,783.6,Time=4.2s | BaseRaw=783.4 | CurrentRaw=783.6 | Change=0.2 => Floor
data,,783.4,784.6,1.2,784.6,Time=4.3s | BaseRaw=783.4 | CurrentRaw=784.6 | Change=1.2 => Floor
data,,783.4,785.6,2.2,785.6,Time=4.4s | BaseRaw=783.4 | CurrentRaw=785.6 | Change=2.2 => Floor
data,,783.4,786.8,3.4,786.8,Time=4.5s | BaseRaw=783.4 | CurrentRaw=786.8 | Change=3.4 => Floor
data,,783.4,787.6,4.2,787.6,Time=4.6s | BaseRaw=783.4 | CurrentRaw=787.6 | Change=4.2 => Floor
data,,783.4,788.2,4.8,788.2,Time=4.7s | BaseRaw=783.4 | CurrentRaw=788.2 | Change=4.8 => Floor
data,,783.4,789.0,5.6,789.0,Time=4.8s | BaseRaw=783.4 | CurrentRaw=789.0 | Change=5.6 => Floor
data,,783.4,789.4,6.0,789.4,Time=4.9s | BaseRaw=783.4 | CurrentRaw=789.4 | Change=6.0 => Floor
data,,783.4,789.6,6.2,789.6,Time=5.0s | BaseRaw=783.4 | CurrentRaw=789.6 | Change=6.2 => Floor
data,,783.4,789.6,6.2,789.6,Time=5.1s | BaseRaw=783.4 | CurrentRaw=789.6 | Change=6.2 => Floor
data,,783.4,790.4,7.0,790.4,Time=5.2s | BaseRaw=783.4 | CurrentRaw=790.4 | Change=7.0 => Floor
data,,783.4,791.4,8.0,791.4,Time=5.3s | BaseRaw=783.4 | CurrentRaw=791.4 | Change=8.0 => Floor
data,,783.4,792.8,9.4,792.8,Time=5.4s | BaseRaw=783.4 | CurrentRaw=792.8 | Change=9.4 => Floor
data,,783.4,795.2,11.8,795.2,Time=5.5s | BaseRaw=783.4 | CurrentRaw=795.2 | Change=11.8 => Liquid
data,,783.4,798.4,15.0,798.4,Time=5.6s | BaseRaw=783.4 | CurrentRaw=798.4 | Change=15.0 => Liquid
data,,783.4,801.4,18.0,801.4,Time=5.7s | BaseRaw=783.4 | CurrentRaw=801.4 | Change=18.0 => Liquid
data,,783.4,802.0,18.6,802.0,Time=5.8s | BaseRaw=783.4 | CurrentRaw=802.0 | Change=18.6 => Liquid
data,,783.4,803.2,19.8,803.2,Time=5.9s | BaseRaw=783.4 | CurrentRaw=803.2 | Change=19.8 => Liquid
data,,783.4,804.6,21.2,804.6,Time=6.0s | BaseRaw=783.4 | CurrentRaw=804.6 | Change=21.2 => Liquid
data,,783.4,803.8,20.4,803.8,Time=6.1s | BaseRaw=783.4 | CurrentRaw=803.8 | Change=20.4 => Liquid
data,,783.4,802.4,19.0,802.4,Time=6.2s | BaseRaw=783.4 | CurrentRaw=802.4 | Change=19.0 => Liquid
data,,783.4,803.0,19.6,803.0,Time=6.3s | BaseRaw=783.4 | CurrentRaw=803.0 | Change=19.6 => Liquid
data,,783.4,802.2,18.8,802.2,Time=6.4s | BaseRaw=783.4 | CurrentRaw=802.2 | Change=18.8 => Liquid
data,,783.4,800.0,16.6,800.0,Time=6.5s | BaseRaw=783.4 | CurrentRaw=800.0 | Change=16.6 => Liquid
