record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,704.80,,,,704.80,Collecting baseline... RawAvg=704.80
baseline,704.80,,,,704.80,Collecting baseline... RawAvg=704.80
baseline,704.80,,,,704.80,Collecting baseline... RawAvg=704.80
baseline,705.00,,,,705.00,Collecting baseline... RawAvg=705.00
baseline,704.80,,,,704.80,Collecting baseline... RawAvg=704.80
baseline,704.60,,,,704.60,Collecting baseline... RawAvg=704.60
baseline,704.40,,,,704.40,Collecting baseline... RawAvg=704.40
baseline,704.00,,,,704.00,Collecting baseline... RawAvg=704.00
baseline,704.60,,,,704.60,Collecting baseline... RawAvg=704.60
baseline,704.80,,,,704.80,Collecting baseline... RawAvg=704.80
baseline,705.00,,,,705.00,Collecting baseline... RawAvg=705.00
baseline,704.80,,,,704.80,Collecting baseline... RawAvg=704.80
baseline,705.20,,,,705.20,Collecting baseline... RawAvg=705.20
baseline,704.80,,,,704.80,Collecting baseline... RawAvg=704.80
baseline,705.20,,,,705.20,Collecting baseline... RawAvg=705.20
baseline,705.80,,,,705.80,Collecting baseline... RawAvg=705.80
baseline,706.40,,,,706.40,Collecting baseline... RawAvg=706.40
baseline,707.40,,,,707.40,Collecting baseline... RawAvg=707.40
baseline,707.80,,,,707.80,Collecting baseline... RawAvg=707.80
baseline,707.40,,,,707.40,Collecting baseline... RawAvg=707.40
baseline,706.80,,,,706.80,Collecting baseline... RawAvg=706.80
baseline,706.40,,,,706.40,Collecting baseline... RawAvg=706.40
baseline,705.00,,,,705.00,Collecting baseline... RawAvg=705.00
baseline,704.00,,,,704.00,Collecting baseline... RawAvg=704.00
baseline,703.60,,,,703.60,Collecting baseline... RawAvg=703.60
baseline,703.20,,,,703.20,Collecting baseline... RawAvg=703.20
baseline,703.20,,,,703.20,Collecting baseline... RawAvg=703.20
baseline,703.60,,,,703.60,Collecting baseline... RawAvg=703.60
baseline,703.60,,,,703.60,Collecting baseline... RawAvg=703.60
baseline,703.80,,,,703.80,Collecting baseline... RawAvg=703.80
baseline,704.60,,,,704.60,Collecting baseline... RawAvg=704.60
baseline,704.60,,,,704.60,Collecting baseline... RawAvg=704.60
baseline,704.80,,,,704.80,Collecting baseline... RawAvg=704.80
baseline,705.40,,,,705.40,Collecting baseline... RawAvg=705.40
baseline,706.00,,,,706.00,Collecting baseline... RawAvg=706.00
baseline,706.40,,,,706.40,Collecting baseline... RawAvg=706.40
baseline,707.00,,,,707.00,Collecting baseline... RawAvg=707.00
baseline,707.00,,,,707.00,Collecting baseline... RawAvg=707.00
baseline,706.80,,,,706.80,Collecting baseline... RawAvg=706.80
baseline,706.20,,,,706.20,Collecting baseline... RawAvg=706.20
baseline,705.00,,,,705.00,Collecting baseline... RawAvg=705.00
baseline,704.00,,,,704.00,Collecting baseline... RawAvg=704.00
baseline,703.40,,,,703.40,Collecting baseline... RawAvg=703.40
baseline,703.20,,,,703.20,Collecting baseline... RawAvg=703.20
baseline,703.40,,,,703.40,Collecting baseline... RawAvg=703.40
baseline,703.60,,,,703.60,Collecting baseline... RawAvg=703.60
baseline,703.60,,,,703.60,Collecting baseline... RawAvg=703.60
baseline,704.00,,,,704.00,Collecting baseline... RawAvg=704.00
baseline,704.20,,,,704.20,Collecting baseline... RawAvg=704.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,704.96,,,704.96,Final Base Raw Average = 704.96
info,,,,,,--------------------------------------------------------------------------
data,,705.0,704.6,0.4,704.6,Time=0.1s | BaseRaw=705.0 | CurrentRaw=704.6 | Change=0.4 => Floor
data,,705.0,705.8,0.8,705.8,Time=0.2s | BaseRaw=705.0 | CurrentRaw=705.8 | Change=0.8 => Floor
data,,705.0,705.6,0.6,705.6,Time=0.3s | BaseRaw=705.0 | CurrentRaw=705.6 | Change=0.6 => Floor
data,,705.0,705.2,0.2,705.2,Time=0.4s | BaseRaw=705.0 | CurrentRaw=705.2 | Change=0.2 => Floor
data,,705.0,704.8,0.2,704.8,Time=0.5s | BaseRaw=705.0 | CurrentRaw=704.8 | Change=0.2 => Floor
data,,705.0,705.0,0.0,705.0,Time=0.6s | BaseRaw=705.0 | CurrentRaw=705.0 | Change=0.0 => Floor
data,,705.0,705.0,0.0,705.0,Time=0.7s | BaseRaw=705.0 | CurrentRaw=705.0 | Change=0.0 => Floor
data,,705.0,705.2,0.2,705.2,Time=0.8s | BaseRaw=705.0 | CurrentRaw=705.2 | Change=0.2 => Floor
data,,705.0,705.2,0.2,705.2,Time=0.9s | BaseRaw=705.0 | CurrentRaw=705.2 | Change=0.2 => Floor
data,,705.0,705.6,0.6,705.6,Time=1.0s | BaseRaw=705.0 | CurrentRaw=705.6 | Change=0.6 => Floor
data,,705.0,705.8,0.8,705.8,Time=1.1s | BaseRaw=705.0 | CurrentRaw=705.8 | Change=0.8 => Floor
data,,705.0,706.2,1.2,706.2,Time=1.2s | BaseRaw=705.0 | CurrentRaw=706.2 | Change=1.2 => Floor
data,,705.0,706.2,1.2,706.2,Time=1.3s | BaseRaw=705.0 | CurrentRaw=706.2 | Change=1.2 => Floor
data,,705.0,706.6,1.6,706.6,Time=1.4s | BaseRaw=705.0 | CurrentRaw=706.6 | Change=1.6 => Floor
data,,705.0,707.2,2.2,707.2,Time=1.5s | BaseRaw=705.0 | CurrentRaw=707.2 | Change=2.2 => Floor
data,,705.0,707.8,2.8,707.8,Time=1.6s | BaseRaw=705.0 | CurrentRaw=707.8 | Change=2.8 => Floor
data,,705.0,707.8,2.8,707.8,Time=1.7s | BaseRaw=705.0 | CurrentRaw=707.8 | Change=2.8 => Floor
data,,705.0,708.4,3.4,708.4,Time=1.8s | BaseRaw=705.0 | CurrentRaw=708.4 | Change=3.4 => Floor
data,,705.0,709.0,4.0,709.0,Time=1.9s | BaseRaw=705.0 | CurrentRaw=709.0 | Change=4.0 => Floor
data,,705.0,709.4,4.4,709.4,Time=2.0s | BaseRaw=705.0 | CurrentRaw=709.4 | Change=4.4 => Floor
data,,705.0,709.8,4.8,709.8,Time=2.1s | BaseRaw=705.0 | CurrentRaw=709.8 | Change=4.8 => Floor
data,,705.0,710.2,5.2,710.2,Time=2.2s | BaseRaw=705.0 | CurrentRaw=710.2 | Change=5.2 => Floor
data,,705.0,710.8,5.8,710.8,Time=2.3s | BaseRaw=705.0 | CurrentRaw=710.8 | Change=5.8 => Floor
data,,705.0,711.4,6.4,711.4,Time=2.4s | BaseRaw=705.0 | CurrentRaw=711.4 | Change=6.4 => Floor
data,,705.0,711.8,6.8,711.8,Time=2.5s | BaseRaw=705.0 | CurrentRaw=711.8 | Change=6.8 => Floor
data,,705.0,712.0,7.0,712.0,Time=2.6s | BaseRaw=705.0 | CurrentRaw=712.0 | Change=7.0 => Floor
data,,705.0,711.6,6.6,711.6,Time=2.7s | BaseRaw=705.0 | CurrentRaw=711.6 | Change=6.6 => Floor
data,,705.0,708.2,3.2,708.2,Time=2.8s | BaseRaw=705.0 | CurrentRaw=708.2 | Change=3.2 => Floor
data,,705.0,699.6,5.4,699.6,Time=2.9s | BaseRaw=705.0 | CurrentRaw=699.6 | Change=5.4 => Floor
data,,705.0,654.0,51.0,654.0,Time=3.0s | BaseRaw=705.0 | CurrentRaw=654.0 | Change=51.0 => Liquid
data,,705.0,589.8,115.2,589.8,Time=3.1s | BaseRaw=705.0 | CurrentRaw=589.8 | Change=115.2 => Liquid
data,,705.0,526.4,178.6,526.4,Time=3.2s | BaseRaw=705.0 | CurrentRaw=526.4 | Change=178.6 => Liquid
data,,705.0,467.6,237.4,467.6,Time=3.3s | BaseRaw=705.0 | CurrentRaw=467.6 | Change=237.4 => Liquid
data,,705.0,413.0,292.0,413.0,Time=3.4s | BaseRaw=705.0 | CurrentRaw=413.0 | Change=292.0 => Liquid
data,,705.0,395.6,309.4,395.6,Time=3.5s | BaseRaw=705.0 | CurrentRaw=395.6 | Change=309.4 => Liquid
data,,705.0,397.0,308.0,397.0,Time=3.6s | BaseRaw=705.0 | CurrentRaw=397.0 | Change=308.0 => Liquid
data,,705.0,395.8,309.2,395.8,Time=3.7s | BaseRaw=705.0 | CurrentRaw=395.8 | Change=309.2 => Liquid
data,,705.0,393.8,311.2,393.8,Time=3.8s | BaseRaw=705.0 | CurrentRaw=393.8 | Change=311.2 => Liquid
data,,705.0,392.4,312.6,392.4,Time=3.9s | BaseRaw=705.0 | CurrentRaw=392.4 | Change=312.6 => Liquid
data,,705.0,390.8,314.2,390.8,Time=4.0s | BaseRaw=705.0 | CurrentRaw=390.8 | Change=314.2 => Liquid
data,,705.0,389.2,315.8,389.2,Time=4.1s | BaseRaw=705.0 | CurrentRaw=389.2 | Change=315.8 => Liquid
data,,705.0,389.0,316.0,389.0,Time=4.2s | BaseRaw=705.0 | CurrentRaw=389.0 | Change=316.0 => Liquid
data,,705.0,388.8,316.2,388.8,Time=4.3s | BaseRaw=705.0 | CurrentRaw=388.8 | Change=316.2 => Liquid
data,,705.0,389.0,316.0,389.0,Time=4.4s | BaseRaw=705.0 | CurrentRaw=389.0 | Change=316.0 => Liquid
data,,705.0,389.0,316.0,389.0,Time=4.5s | BaseRaw=705.0 | CurrentRaw=389.0 | Change=316.0 => Liquid
data,,705.0,389.0,316.0,389.0,Time=4.6s | BaseRaw=705.0 | CurrentRaw=389.0 | Change=316.0 => Liquid
data,,705.0,388.6,316.4,388.6,Time=4.7s | BaseRaw=705.0 | CurrentRaw=388.6 | Change=316.4 => Liquid
data,,705.0,388.4,316.6,388.4,Time=4.8s | BaseRaw=705.0 | CurrentRaw=388.4 | Change=316.6 => Liquid
data,,705.0,388.8,316.2,388.8,Time=4.9s | BaseRaw=705.0 | CurrentRaw=388.8 | Change=316.2 => Liquid
data,,705.0,388.8,316.2,388.8,Time=5.0s | BaseRaw=705.0 | CurrentRaw=388.8 | Change=316.2 => Liquid
data,,705.0,389.0,316.0,389.0,Time=5.1s | BaseRaw=705.0 | CurrentRaw=389.0 | Change=316.0 => Liquid
data,,705.0,389.6,315.4,389.6,Time=5.2s | BaseRaw=705.0 | CurrentRaw=389.6 | Change=315.4 => Liquid
data,,705.0,389.6,315.4,389.6,Time=5.3s | BaseRaw=705.0 | CurrentRaw=389.6 | Change=315.4 => Liquid
data,,705.0,390.2,314.8,390.2,Time=5.4s | BaseRaw=705.0 | CurrentRaw=390.2 | Change=314.8 => Liquid
data,,705.0,390.0,315.0,390.0,Time=5.5s | BaseRaw=705.0 | CurrentRaw=390.0 | Change=315.0 => Liquid
data,,705.0,389.6,315.4,389.6,Time=5.6s | BaseRaw=705.0 | CurrentRaw=389.6 | Change=315.4 => Liquid
data,,705.0,389.6,315.4,389.6,Time=5.7s | BaseRaw=705.0 | CurrentRaw=389.6 | Change=315.4 => Liquid
data,,705.0,389.6,315.4,389.6,Time=5.8s | BaseRaw=705.0 | CurrentRaw=389.6 | Change=315.4 => Liquid
data,,705.0,389.6,315.4,389.6,Time=5.9s | BaseRaw=705.0 | CurrentRaw=389.6 | Change=315.4 => Liquid
data,,705.0,389.8,315.2,389.8,Time=6.0s | BaseRaw=705.0 | CurrentRaw=389.8 | Change=315.2 => Liquid
data,,705.0,390.4,314.6,390.4,Time=6.1s | BaseRaw=705.0 | CurrentRaw=390.4 | Change=314.6 => Liquid
data,,705.0,390.8,314.2,390.8,Time=6.2s | BaseRaw=705.0 | CurrentRaw=390.8 | Change=314.2 => Liquid
data,,705.0,391.2,313.8,391.2,Time=6.3s | BaseRaw=705.0 | CurrentRaw=391.2 | Change=313.8 => Liquid
data,,705.0,391.0,314.0,391.0,Time=6.4s | BaseRaw=705.0 | CurrentRaw=391.0 | Change=314.0 => Liquid
data,,705.0,391.2,313.8,391.2,Time=6.5s | BaseRaw=705.0 | CurrentRaw=391.2 | Change=313.8 => Liquid
