record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,676.40,,,,676.40,Collecting baseline... RawAvg=676.40
baseline,677.00,,,,677.00,Collecting baseline... RawAvg=677.00
baseline,678.00,,,,678.00,Collecting baseline... RawAvg=678.00
baseline,678.80,,,,678.80,Collecting baseline... RawAvg=678.80
baseline,678.80,,,,678.80,Collecting baseline... RawAvg=678.80
baseline,678.60,,,,678.60,Collecting baseline... RawAvg=678.60
baseline,677.80,,,,677.80,Collecting baseline... RawAvg=677.80
baseline,676.40,,,,676.40,Collecting baseline... RawAvg=676.40
baseline,675.60,,,,675.60,Collecting baseline... RawAvg=675.60
baseline,675.20,,,,675.20,Collecting baseline... RawAvg=675.20
baseline,675.60,,,,675.60,Collecting baseline... RawAvg=675.60
baseline,675.60,,,,675.60,Collecting baseline... RawAvg=675.60
baseline,675.60,,,,675.60,Collecting baseline... RawAvg=675.60
baseline,675.60,,,,675.60,Collecting baseline... RawAvg=675.60
baseline,675.80,,,,675.80,Collecting baseline... RawAvg=675.80
baseline,675.60,,,,675.60,Collecting baseline... RawAvg=675.60
baseline,675.60,,,,675.60,Collecting baseline... RawAvg=675.60
baseline,676.40,,,,676.40,Collecting baseline... RawAvg=676.40
baseline,677.00,,,,677.00,Collecting baseline... RawAvg=677.00
baseline,678.00,,,,678.00,Collecting baseline... RawAvg=678.00
baseline,679.40,,,,679.40,Collecting baseline... RawAvg=679.40
baseline,680.00,,,,680.00,Collecting baseline... RawAvg=680.00
baseline,680.20,,,,680.20,Collecting baseline... RawAvg=680.20
baseline,679.60,,,,679.60,Collecting baseline... RawAvg=679.60
baseline,678.80,,,,678.80,Collecting baseline... RawAvg=678.80
baseline,677.00,,,,677.00,Collecting baseline... RawAvg=677.00
baseline,676.20,,,,676.20,Collecting baseline... RawAvg=676.20
baseline,675.20,,,,675.20,Collecting baseline... RawAvg=675.20
baseline,675.20,,,,675.20,Collecting baseline... RawAvg=675.20
baseline,675.20,,,,675.20,Collecting baseline... RawAvg=675.20
baseline,675.60,,,,675.60,Collecting baseline... RawAvg=675.60
baseline,675.80,,,,675.80,Collecting baseline... RawAvg=675.80
baseline,675.80,,,,675.80,Collecting baseline... RawAvg=675.80
baseline,676.20,,,,676.20,Collecting baseline... RawAvg=676.20
baseline,676.20,,,,676.20,Collecting baseline... RawAvg=676.20
baseline,676.60,,,,676.60,Collecting baseline... RawAvg=676.60
baseline,676.80,,,,676.80,Collecting baseline... RawAvg=676.80
baseline,677.60,,,,677.60,Collecting baseline... RawAvg=677.60
baseline,678.40,,,,678.40,Collecting baseline... RawAvg=678.40
baseline,679.40,,,,679.40,Collecting baseline... RawAvg=679.40
baseline,679.20,,,,679.20,Collecting baseline... RawAvg=679.20
baseline,678.80,,,,678.80,Collecting baseline... RawAvg=678.80
baseline,678.20,,,,678.20,Collecting baseline... RawAvg=678.20
baseline,676.60,,,,676.60,Collecting baseline... RawAvg=676.60
baseline,675.40,,,,675.40,Collecting baseline... RawAvg=675.40
baseline,675.20,,,,675.20,Collecting baseline... RawAvg=675.20
baseline,675.20,,,,675.20,Collecting baseline... RawAvg=675.20
baseline,675.40,,,,675.40,Collecting baseline... RawAvg=675.40
baseline,676.20,,,,676.20,Collecting baseline... RawAvg=676.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,676.91,,,676.91,Final Base Raw Average = 676.91
info,,,,,,--------------------------------------------------------------------------
data,,676.9,676.0,0.9,676.0,Time=0.1s | BaseRaw=676.9 | CurrentRaw=676.0 | Change=0.9 => Floor
data,,676.9,676.4,0.5,676.4,Time=0.2s | BaseRaw=676.9 | CurrentRaw=676.4 | Change=0.5 => Floor
data,,676.9,677.2,0.3,677.2,Time=0.3s | BaseRaw=676.9 | CurrentRaw=677.2 | Change=0.3 => Floor
data,,676.9,677.0,0.1,677.0,Time=0.4s | BaseRaw=676.9 | CurrentRaw=677.0 | Change=0.1 => Floor
data,,676.9,677.0,0.1,677.0,Time=0.5s | BaseRaw=676.9 | CurrentRaw=677.0 | Change=0.1 => Floor
data,,676.9,677.0,0.1,677.0,Time=0.6s | BaseRaw=676.9 | CurrentRaw=677.0 | Change=0.1 => Floor
data,,676.9,677.2,0.3,677.2,Time=0.7s | BaseRaw=676.9 | CurrentRaw=677.2 | Change=0.3 => Floor
data,,676.9,677.6,0.7,677.6,Time=0.8s | BaseRaw=676.9 | CurrentRaw=677.6 | Change=0.7 => Floor
data,,676.9,677.4,0.5,677.4,Time=0.9s | BaseRaw=676.9 | CurrentRaw=677.4 | Change=0.5 => Floor
data,,676.9,677.6,0.7,677.6,Time=1.0s | BaseRaw=676.9 | CurrentRaw=677.6 | Change=0.7 => Floor
data,,676.9,677.4,0.5,677.4,Time=1.1s | BaseRaw=676.9 | CurrentRaw=677.4 | Change=0.5 => Floor
data,,676.9,677.6,0.7,677.6,Time=1.2s | BaseRaw=676.9 | CurrentRaw=677.6 | Change=0.7 => Floor
data,,676.9,677.0,0.1,677.0,Time=1.3s | BaseRaw=676.9 | CurrentRaw=677.0 | Change=0.1 => Floor
data,,676.9,677.4,0.5,677.4,Time=1.4s | BaseRaw=676.9 | CurrentRaw=677.4 | Change=0.5 => Floor
data,,676.9,677.2,0.3,677.2,Time=1.5s | BaseRaw=676.9 | CurrentRaw=677.2 | Change=0.3 => Floor
data,,676.9,677.2,0.3,677.2,Time=1.6s | BaseRaw=676.9 | CurrentRaw=677.2 | Change=0.3 => Floor
data,,676.9,677.2,0.3,677.2,Time=1.7s | BaseRaw=676.9 | CurrentRaw=677.2 | Change=0.3 => Floor
data,,676.9,677.4,0.5,677.4,Time=1.8s | BaseRaw=676.9 | CurrentRaw=677.4 | Change=0.5 => Floor
data,,676.9,676.8,0.1,676.8,Time=1.9s | BaseRaw=676.9 | CurrentRaw=676.8 | Change=0.1 => Floor
data,,676.9,677.0,0.1,677.0,Time=2.0s | BaseRaw=676.9 | CurrentRaw=677.0 | Change=0.1 => Floor
data,,676.9,677.0,0.1,677.0,Time=2.1s | BaseRaw=676.9 | CurrentRaw=677.0 | Change=0.1 => Floor
data,,676.9,676.8,0.1,676.8,Time=2.2s | BaseRaw=676.9 | CurrentRaw=676.8 | Change=0.1 => Floor
data,,676.9,676.4,0.5,676.4,Time=2.3s | BaseRaw=676.9 | CurrentRaw=676.4 | Change=0.5 => Floor
data,,676.9,676.0,0.9,676.0,Time=2.4s | BaseRaw=676.9 | CurrentRaw=676.0 | Change=0.9 => Floor
data,,676.9,676.2,0.7,676.2,Time=2.5s | BaseRaw=676.9 | CurrentRaw=676.2 | Change=0.7 => Floor
data,,676.9,676.2,0.7,676.2,Time=2.6s | BaseRaw=676.9 | CurrentRaw=676.2 | Change=0.7 => Floor
data,,676.9,676.2,0.7,676.2,Time=2.7s | BaseRaw=676.9 | CurrentRaw=676.2 | Change=0.7 => Floor
data,,676.9,676.0,0.9,676.0,Time=2.8s | BaseRaw=676.9 | CurrentRaw=676.0 | Change=0.9 => Floor
data,,676.9,676.2,0.7,676.2,Time=2.9s | BaseRaw=676.9 | CurrentRaw=676.2 | Change=0.7 => Floor
data,,676.9,676.2,0.7,676.2,Time=3.0s | BaseRaw=676.9 | CurrentRaw=676.2 | Change=0.7 => Floor
data,,676.9,676.2,0.7,676.2,Time=3.1s | BaseRaw=676.9 | CurrentRaw=676.2 | Change=0.7 => Floor
data,,676.9,676.4,0.5,676.4,Time=3.2s | BaseRaw=676.9 | CurrentRaw=676.4 | Change=0.5 => Floor
data,,676.9,675.8,1.1,675.8,Time=3.3s | BaseRaw=676.9 | CurrentRaw=675.8 | Change=1.1 => Floor
data,,676.9,676.4,0.5,676.4,Time=3.4s | BaseRaw=676.9 | CurrentRaw=676.4 | Change=0.5 => Floor
data,,676.9,676.4,0.5,676.4,Time=3.5s | BaseRaw=676.9 | CurrentRaw=676.4 | Change=0.5 => Floor
data,,676.9,676.8,0.1,676.8,Time=3.6s | BaseRaw=676.9 | CurrentRaw=676.8 | Change=0.1 => Floor
data,,676.9,676.6,0.3,676.6,Time=3.7s | BaseRaw=676.9 | CurrentRaw=676.6 | Change=0.3 => Floor
data,,676.9,677.2,0.3,677.2,Time=3.8s | BaseRaw=676.9 | CurrentRaw=677.2 | Change=0.3 => Floor
data,,676.9,677.0,0.1,677.0,Time=3.9s | BaseRaw=676.9 | CurrentRaw=677.0 | Change=0.1 => Floor
data,,676.9,677.0,0.1,677.0,Time=4.0s | BaseRaw=676.9 | CurrentRaw=677.0 | Change=0.1 => Floor
data,,676.9,677.0,0.1,677.0,Time=4.1s | BaseRaw=676.9 | CurrentRaw=677.0 | Change=0.1 => Floor
data,,676.9,677.0,0.1,677.0,Time=4.2s | BaseRaw=676.9 | CurrentRaw=677.0 | Change=0.1 => Floor
data,,676.9,677.2,0.3,677.2,Time=4.3s | BaseRaw=676.9 | CurrentRaw=677.2 | Change=0.3 => Floor
data,,676.9,677.0,0.1,677.0,Time=4.4s | BaseRaw=676.9 | CurrentRaw=677.0 | Change=0.1 => Floor
data,,676.9,676.8,0.1,676.8,Time=4.5s | BaseRaw=676.9 | CurrentRaw=676.8 | Change=0.1 => Floor
data,,676.9,676.8,0.1,676.8,Time=4.6s | BaseRaw=676.9 | CurrentRaw=676.8 | Change=0.1 => Floor
data,,676.9,677.8,0.9,677.8,Time=4.7s | BaseRaw=676.9 | CurrentRaw=677.8 | Change=0.9 => Floor
data,,676.9,678.0,1.1,678.0,Time=4.8s | BaseRaw=676.9 | CurrentRaw=678.0 | Change=1.1 => Floor
data,,676.9,679.2,2.3,679.2,Time=4.9s | BaseRaw=676.9 | CurrentRaw=679.2 | Change=2.3 => Floor
data,,676.9,680.2,3.3,680.2,Time=5.0s | BaseRaw=676.9 | CurrentRaw=680.2 | Change=3.3 => Floor
data,,676.9,681.4,4.5,681.4,Time=5.1s | BaseRaw=676.9 | CurrentRaw=681.4 | Change=4.5 => Floor
data,,676.9,682.6,5.7,682.6,Time=5.2s | BaseRaw=676.9 | CurrentRaw=682.6 | Change=5.7 => Floor
data,,676.9,683.6,6.7,683.6,Time=5.3s | BaseRaw=676.9 | CurrentRaw=683.6 | Change=6.7 => Floor
data,,676.9,684.0,7.1,684.0,Time=5.4s | BaseRaw=676.9 | CurrentRaw=684.0 | Change=7.1 => Floor
data,,676.9,684.0,7.1,684.0,Time=5.5s | BaseRaw=676.9 | CurrentRaw=684.0 | Change=7.1 => Floor
data,,676.9,683.6,6.7,683.6,Time=5.6s | BaseRaw=676.9 | CurrentRaw=683.6 | Change=6.7 => Floor
data,,676.9,683.4,6.5,683.4,Time=5.7s | BaseRaw=676.9 | CurrentRaw=683.4 | Change=6.5 => Floor
data,,676.9,686.0,9.1,686.0,Time=5.8s | BaseRaw=676.9 | CurrentRaw=686.0 | Change=9.1 => Floor
data,,676.9,690.2,13.3,690.2,Time=5.9s | BaseRaw=676.9 | CurrentRaw=690.2 | Change=13.3 => Liquid
data,,676.9,695.8,18.9,695.8,Time=6.0s | BaseRaw=676.9 | CurrentRaw=695.8 | Change=18.9 => Liquid
data,,676.9,701.8,24.9,701.8,Time=6.1s | BaseRaw=676.9 | CurrentRaw=701.8 | Change=24.9 => Liquid
data,,676.9,705.4,28.5,705.4,Time=6.2s | BaseRaw=676.9 | CurrentRaw=705.4 | Change=28.5 => Liquid
data,,676.9,707.6,30.7,707.6,Time=6.3s | BaseRaw=676.9 | CurrentRaw=707.6 | Change=30.7 => Liquid
data,,676.9,709.6,32.7,709.6,Time=6.4s | BaseRaw=676.9 | CurrentRaw=709.6 | Change=32.7 => Liquid
data,,676.9,708.8,31.9,708.8,Time=6.5s | BaseRaw=676.9 | CurrentRaw=708.8 | Change=31.9 => Liquid
